Row	ID	AllWeights	AllProperties
0	:U01123	1 متوسطة=44g|1 كبيرة=50g|1 إضافية كبيرة=56g|1 جامبو=63g|1 كأس=243g|1 صغيرة=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U14209	1 كأس=237g|1 كأس صغير=178g|1 كأس كبير=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
2	:SD9909795	1 شريحة=25g|1 شريحة دون قشرة=12g|1 كوب (الفتات)=45g|1 كوب (مكعبات)=35g|1 شريحة كبيرة (مكعبات)=30g|1 شريحة رقيقة=20g|1 شريحة رقيقة دون القشرة (مكعبات)=9g|1 شريحة رقيقة جداً (مكعبات)=15g	03272|0411|051|073.5|084.5|15650|090.5
3	:U18064	1 شريحة=25g|1 شريحة دون قشرة=12g|1 كوب (الفتات)=45g|1 كوب (مكعبات)=35g|1 شريحة كبيرة (مكعبات)=30g|1 شريحة رقيقة=20g|1 شريحة رقيقة دون القشرة (مكعبات)=9g|1 شريحة رقيقة جداً (مكعبات)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
4	:U09040	1 المتوسطة (18 سم إلى 20 سم)=118g|1 كبيرة (20 سم إلى 22 سم)=136g|1 صغيرة (15 سم إلى 18 سم)=101g|1 إضافية كبيرة (22 سم أو أطول)=152g|1 صغيرة جداً (أقل من 15 سم)=81g|1 كوب (شرائح)=150g|1 كوب (مهروسة)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
5	:SD1001795	1 كأس=237g|1 كأس صغير=178g|1 كأس كبير=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
6	:U18064	1 شريحة=25g|1 شريحة دون قشرة=12g|1 كوب (الفتات)=45g|1 كوب (مكعبات)=35g|1 شريحة كبيرة (مكعبات)=30g|1 شريحة رقيقة=20g|1 شريحة رقيقة دون القشرة (مكعبات)=9g|1 شريحة رقيقة جداً (مكعبات)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
7	:U14355	1 كأس=237g|1 كأس صغير=178g|1 كأس كبير=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
8	:U14355	1 كأس=237g|1 كأس صغير=178g|1 كأس كبير=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
9	:U18065	1 شريحة=25g|1 شريحة دون قشرة=12g|1 كوب (الفتات)=45g|1 كوب (مكعبات)=35g|1 شريحة كبيرة (مكعبات)=30g|1 شريحة رقيقة=20g|1 شريحة رقيقة دون القشرة (مكعبات)=9g|1 شريحة رقيقة جداً (مكعبات)=15g	03313|0412.96|054.27|0655.77|074.7|086.42|12165|134.09|14223|15601|170.2|090.989|101.019|111.72
10	:LC055	1 المتوسطة (18 سم إلى 20 سم)=118g|1 كبيرة (20 سم إلى 22 سم)=136g|1 صغيرة (15 سم إلى 18 سم)=101g|1 إضافية كبيرة (22 سم أو أطول)=152g|1 صغيرة جداً (أقل من 15 سم)=81g|1 كوب (شرائح)=150g|1 كوب (مهروسة)=225g	03104.54|040.95|050.5|0625.91|071.85
11	:U18064	1 شريحة=25g|1 شريحة دون قشرة=12g|1 كوب (الفتات)=45g|1 كوب (مكعبات)=35g|1 شريحة كبيرة (مكعبات)=30g|1 شريحة رقيقة=20g|1 شريحة رقيقة دون القشرة (مكعبات)=9g|1 شريحة رقيقة جداً (مكعبات)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
12	:U08122	0.333 كأس=27g|1 كأس=81g	03362|0411.92|056.9|0669.52|0710|081.5|12351|1324.72|14366|15220|091.346|102.325|112.533
13	:LG042	1 حاوية=245g|1 حاوية متوسطة=184g|1 حاوية صغيرة=123g	0364.48|044.29|052.16|066.97
14	:LB798	1 المتوسطة (6 سم)=123g|1 كأس=240g|1 شريحة (1 سم)=20g|1 كبيرة (8 سم)=182g|1 آسفين (1/4 طماطم متوسطة الحجم)=31g|1 شريحة كبيرة/سميكة (1 سم)=27g|1 حبة طماطم صغيرة (6 سم)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
15	:U01123	1 متوسطة=44g|1 كبيرة=50g|1 إضافية كبيرة=56g|1 جامبو=63g|1 كأس=243g|1 صغيرة=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
16	:U20045	1 كأس=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
17	:LA594	1 شريحة=25g|1 شريحة دون قشرة=12g|1 كوب (الفتات)=45g|1 كوب (مكعبات)=35g|1 شريحة كبيرة (مكعبات)=30g|1 شريحة رقيقة=20g|1 شريحة رقيقة دون القشرة (مكعبات)=9g|1 شريحة رقيقة جداً (مكعبات)=15g	03259.55|0411.27|053.31|0650.49|074.32
18	:U11124	1 متوسطة=61g|1 كبيرة (7 إلى 21 سم)=72g|1 صغيرة (14 سم)=50g|1 شريحة=3g|1 كوب (المبشور)=110g|1 كأس (شرائح أو شرائح)=122g|1 قطاع المتوسط (شرائح أو شرائح)=4g|1 قطاع كبير (8 سم)=7g|1 كوب (المفروم)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
19	:U18009	1 بسكويت (6 سم)=35g|1 متوسطة=51g|1 كبيرة=77g|1 صغيرة=35g	03365|046.2|0516.5|0648.5|071.3|083.48|1249|133.3|14224|15942|092.49|106.906|116.209|161
20	:SF1001795	1 كأس=237g|1 كأس صغير=178g|1 كأس كبير=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
21	:U11529	1 المتوسطة (6 سم)=123g|1 كأس=240g|1 شريحة (1 سم)=20g|1 كبيرة (8 سم)=182g|1 آسفين (1/4 طماطم متوسطة الحجم)=31g|1 شريحة كبيرة/سميكة (1 سم)=27g|1 حبة طماطم صغيرة (6 سم)=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
22	:U10124	1 شريحة=8g|1 شريحة رقيقة=5g|1 شريحة سميكة=12g|1 شريحة سميكة=12g	03541|0437.04|0541.78|061.43|1211|131.44|14565|151717|181|0913.739|1018.52|114.548|16110
23	:U20045	1 كأس=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
24	:U09003	1 المتوسطة (8 سم)=182g|1 كبيرة (8 سم)=223g|1 صغيرة (7 سم)=149g|1 إضافية صغيرة (6 سم)=101g|1 كوب (المفروم)=125g|1 كوب (شرائح)=109g	0352|040.26|050.17|0613.81|072.4|0810.39|126|130.12|14107|151|174.6|090.028|100.007|110.051
25	:U14209	1 كأس=237g|1 كأس صغير=178g|1 كأس كبير=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
26	:LG042	1 حاوية=245g|1 حاوية متوسطة=184g|1 حاوية صغيرة=123g	0364.48|044.29|052.16|066.97
