Row	ID	AllWeights	AllProperties
0	:U01123	1 средно=44g|1 голяма=50g|1 много голям=56g|1 джъмбо=63g|1 чаша=243g|1 малки=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U14209	1 чаша=237g|1 малка чаша=178g|1 голяма купа=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
2	:SD9909795	1 резен=25g|1 парче без кора=12g|1 купа (галета)=45g|1 чаша (кубчета)=35g|1 голямо парче (кубчета)=30g|1 тънък резен=20g|1 тънък резен без кора (кубчета)=9g|1 много тънък резен (кубчета)=15g	03272|0411|051|073.5|084.5|15650|090.5
3	:U18064	1 резен=25g|1 парче без кора=12g|1 купа (галета)=45g|1 чаша (кубчета)=35g|1 голямо парче (кубчета)=30g|1 тънък резен=20g|1 тънък резен без кора (кубчета)=9g|1 много тънък резен (кубчета)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
4	:U09040	1 среден (18 см на 20 см)=118g|1 голяма (20 см до 22 см)=136g|1 малка (15 см до 18 см)=101g|1 особено малък (по-малки от 15 см)=81g|1 чаша (нарязани)=150g|1 чаша (пюре)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
5	:SD1001795	1 чаша=237g|1 малка чаша=178g|1 голяма купа=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
6	:U18064	1 резен=25g|1 парче без кора=12g|1 купа (галета)=45g|1 чаша (кубчета)=35g|1 голямо парче (кубчета)=30g|1 тънък резен=20g|1 тънък резен без кора (кубчета)=9g|1 много тънък резен (кубчета)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
7	:U14355	1 чаша=237g|1 малка чаша=178g|1 голяма купа=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
8	:U14355	1 чаша=237g|1 малка чаша=178g|1 голяма купа=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
9	:U18065	1 резен=25g|1 парче без кора=12g|1 купа (галета)=45g|1 чаша (кубчета)=35g|1 голямо парче (кубчета)=30g|1 тънък резен=20g|1 тънък резен без кора (кубчета)=9g|1 много тънък резен (кубчета)=15g	03313|0412.96|054.27|0655.77|074.7|086.42|12165|134.09|14223|15601|170.2|090.989|101.019|111.72
