Row	ID	AllWeights	AllProperties
0	:U01123	1 střední=44g|1 velké=50g|1 extra velké=56g|1 šálek=243g|1 malá=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U14209	1 šálek=237g|1 malý pohár=178g|1 velký pohár=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
2	:SD9909795	1 plátek=25g|1 plátek bez kůry=12g|1 pohár (drobečky)=45g|1 pohár (kostky)=35g|1 velký plátek (kostky)=30g|1 tenký plátek=20g|1 tenký plátek bez kůry (kostky)=9g|1 velmi tenký plátek (kostky)=15g	03272|0411|051|073.5|084.5|15650|090.5
3	:U18064	1 plátek=25g|1 plátek bez kůry=12g|1 pohár (drobečky)=45g|1 pohár (kostky)=35g|1 velký plátek (kostky)=30g|1 tenký plátek=20g|1 tenký plátek bez kůry (kostky)=9g|1 velmi tenký plátek (kostky)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
4	:U09040	1 střední (18 cm do 20 cm)=118g|1 velký (20 cm do 22 cm)=136g|1 malá (15 cm na 18 cm)=101g|1 extra velký (22 cm nebo déle)=152g|1 extra malý (menší než 15 cm)=81g|1 šálek (plátky)=150g|1 pohár (kaše)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
5	:SD1001795	1 šálek=237g|1 malý pohár=178g|1 velký pohár=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
6	:U18064	1 plátek=25g|1 plátek bez kůry=12g|1 pohár (drobečky)=45g|1 pohár (kostky)=35g|1 velký plátek (kostky)=30g|1 tenký plátek=20g|1 tenký plátek bez kůry (kostky)=9g|1 velmi tenký plátek (kostky)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
7	:U14355	1 šálek=237g|1 malý pohár=178g|1 velký pohár=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
8	:U14355	1 šálek=237g|1 malý pohár=178g|1 velký pohár=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
9	:U18065	1 plátek=25g|1 plátek bez kůry=12g|1 pohár (drobečky)=45g|1 pohár (kostky)=35g|1 velký plátek (kostky)=30g|1 tenký plátek=20g|1 tenký plátek bez kůry (kostky)=9g|1 velmi tenký plátek (kostky)=15g	03313|0412.96|054.27|0655.77|074.7|086.42|12165|134.09|14223|15601|170.2|090.989|101.019|111.72
10	:LC055	1 střední (18 cm do 20 cm)=118g|1 velký (20 cm do 22 cm)=136g|1 malá (15 cm na 18 cm)=101g|1 extra velký (22 cm nebo déle)=152g|1 extra malý (menší než 15 cm)=81g|1 šálek (plátky)=150g|1 pohár (kaše)=225g	03104.54|040.95|050.5|0625.91|071.85
11	:U18064	1 plátek=25g|1 plátek bez kůry=12g|1 pohár (drobečky)=45g|1 pohár (kostky)=35g|1 velký plátek (kostky)=30g|1 tenký plátek=20g|1 tenký plátek bez kůry (kostky)=9g|1 velmi tenký plátek (kostky)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
12	:U08122	0,333 pohár=27g|1 šálek=81g	03362|0411.92|056.9|0669.52|0710|081.5|12351|1324.72|14366|15220|091.346|102.325|112.533
13	:LG042	1 kontejner=245g|1 střední kontejner=184g|1 malý kontejner=123g	0364.48|044.29|052.16|066.97
14	:LB798	1 střední (6 cm)=123g|1 šálek=240g|1 výseč (1 cm)=20g|1 velké (8 cm)=182g|1 klín (1/4 střední rajčata)=31g|1 silná/velký plátek (1 cm)=27g|1 malé rajče (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
15	:U01123	1 střední=44g|1 velké=50g|1 extra velké=56g|1 šálek=243g|1 malá=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
16	:U20045	1 šálek=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
17	:LA594	1 plátek=25g|1 plátek bez kůry=12g|1 pohár (drobečky)=45g|1 pohár (kostky)=35g|1 velký plátek (kostky)=30g|1 tenký plátek=20g|1 tenký plátek bez kůry (kostky)=9g|1 velmi tenký plátek (kostky)=15g	03259.55|0411.27|053.31|0650.49|074.32
18	:U11124	1 střední=61g|1 velké (7 až 21 cm)=72g|1 malé (14 cm)=50g|1 plátek=3g|1 pohár (strouhaný)=110g|1 šálek (proužky nebo plátky)=122g|1 střední pruh (proužky nebo plátky)=4g|1 velký pruh (8 cm)=7g|1 šálek (nasekané)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
19	:U18009	1 sušenky (6 cm)=35g|1 střední=51g|1 velké=77g|1 malá=35g	03365|046.2|0516.5|0648.5|071.3|083.48|1249|133.3|14224|15942|092.49|106.906|116.209|161
20	:SF1001795	1 šálek=237g|1 malý pohár=178g|1 velký pohár=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
21	:U11529	1 střední (6 cm)=123g|1 šálek=240g|1 výseč (1 cm)=20g|1 velké (8 cm)=182g|1 klín (1/4 střední rajčata)=31g|1 silná/velký plátek (1 cm)=27g|1 malé rajče (6 cm)=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
22	:U20045	1 šálek=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
23	:U09003	1 střední (8 cm)=182g|1 velké (8 cm)=223g|1 malá (7 cm)=149g|1 velmi malé (6 cm)=101g|1 šálek (nasekané)=125g|1 pohár (plátky)=109g	0352|040.26|050.17|0613.81|072.4|0810.39|126|130.12|14107|151|174.6|090.028|100.007|110.051
24	:U14209	1 šálek=237g|1 malý pohár=178g|1 velký pohár=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
25	:LG042	1 kontejner=245g|1 střední kontejner=184g|1 malý kontejner=123g	0364.48|044.29|052.16|066.97
