Row	ID	AllWeights	AllProperties
0	:LB798	1 mediana (6 cm)=123g|1 taza=240g|1 rebanada (1 cm)=20g|1 grande (8 cm)=182g|1 cuña (1/4 de tomate mediano)=31g|1 rodaja gruesa grande (1 cm)=27g|1 tomate pequeño (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
1	:LC043	1 mediana (18 cm a 20 cm)=118g|1 grande (20 cm a 22 cm)=136g|1 pequeño (15 cm a 18 cm)=101g|1 extra grande (22 cm o más)=152g|1 extra pequeños (menores de 15 cm)=81g|1 taza (en rodajas)=150g|1 taza (puré)=225g	041.2|050.2|0623|127|130.41|14348|151|176.1
2	:LC333	1 mediana (8 cm)=182g|1 grande (8 cm)=223g|1 pequeño (7 cm)=149g|1 extra pequeño (6 cm)=101g|1 taza (picada)=125g|1 taza (rodajas)=109g	040.3|050.3|0614|127|130.7|14113|1711|090.05|100.01|110.08
3	:LB798	1 mediana (6 cm)=123g|1 taza=240g|1 rebanada (1 cm)=20g|1 grande (8 cm)=182g|1 cuña (1/4 de tomate mediano)=31g|1 rodaja gruesa grande (1 cm)=27g|1 tomate pequeño (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
4	:LA572	1 rebanada=25g|1 rebanada sin corteza=12g|1 taza (migas)=45g|1 taza (cubos)=35g|1 rebanada grande (cubos)=30g|1 rebanada fina=20g|1 rebanada delgada sin corteza (cubos)=9g|1 rebanada muy delgada (cubos)=15g	03259|0410.3|052.2|0656.1|076.6
5	:LA568	1 rebanada=25g|1 rebanada sin corteza=12g|1 taza (migas)=45g|1 taza (cubos)=35g|1 rebanada grande (cubos)=30g|1 rebanada fina=20g|1 rebanada delgada sin corteza (cubos)=9g|1 rebanada muy delgada (cubos)=15g	048.1|052|0652.7|1250|134
6	:LC043	1 mediana (18 cm a 20 cm)=118g|1 grande (20 cm a 22 cm)=136g|1 pequeño (15 cm a 18 cm)=101g|1 extra grande (22 cm o más)=152g|1 extra pequeños (menores de 15 cm)=81g|1 taza (en rodajas)=150g|1 taza (puré)=225g	041.2|050.2|0623|127|130.41|14348|151|176.1
7	:LT290	1 taza=198g|1 cucharada sopera=12.3g	0424.06|050.89|0663.26|1267|133.76
8	:LT202	1 taza=198g|1 cucharada sopera=12.3g	0423.5|050.6|0660.9|1270|139.5
9	:LH086	1 taza=237g|1 taza pequeña=178g|1 taza grande=356g	040.7|050.2|0610.2|1211|130.2|14200|151|1750|090.02|100.01|110.03
10	:LF295	1 pecho=290g|1 pata de pollo=133g|1 ala=49g|1 pepita=20g|1 taza (picado o en cubitos)=140g	03172.6|0420.2|0510.2|1214|131.5
11	:LC333	1 mediana (8 cm)=182g|1 grande (8 cm)=223g|1 pequeño (7 cm)=149g|1 extra pequeño (6 cm)=101g|1 taza (picada)=125g|1 taza (rodajas)=109g	040.3|050.3|0614|127|130.7|14113|1711|090.05|100.01|110.08
12	:LB798	1 mediana (6 cm)=123g|1 taza=240g|1 rebanada (1 cm)=20g|1 grande (8 cm)=182g|1 cuña (1/4 de tomate mediano)=31g|1 rodaja gruesa grande (1 cm)=27g|1 tomate pequeño (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
13	:LB498	1 porción=89g|1 taza (llenos de trozos de 1 cm, picadas, libremente)=57g|1 hoja mediana (aproximadamente 14 cm)=8g|1 lechuga mediana (15 cm)=539g|1 lechuga grande (15 cm)=755g|1 hoja grande (alrededor de 18 cm)=15g|1 taza (rallada)=72g	039.86|041.38|050.3|062.58|072.17
14	:LB503	1 porción=89g|1 taza (llenos de trozos de 1 cm, picadas, libremente)=57g|1 hoja mediana (aproximadamente 14 cm)=8g|1 lechuga mediana (15 cm)=539g|1 lechuga grande (15 cm)=755g|1 hoja grande (alrededor de 18 cm)=15g|1 taza (rallada)=72g	041.2|050.2|066.3|1247|131.2|1717
