Row	ID	AllWeights	AllProperties
0	:U01123	1 vidēja=44g|1 lielu=50g|1 ļoti lieli=56g|1 tase=243g|1 maza=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U14209	1 tase=237g|1 maza tase=178g|1 liela tase=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
2	:SD9909795	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03272|0411|051|073.5|084.5|15650|090.5
3	:U18064	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
4	:U09040	1 vidējs (18 cm 20 cm)=118g|1 liels (20 cm līdz 22 cm)=136g|1 mazs (15 cm līdz 18 cm)=101g|1 liela (22 cm vai ilgāk)=152g|1 papildu maza (mazāka par 15 cm)=81g|1 tase (sagriezta)=150g|1 tase (biezenis)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
5	:SD1001795	1 tase=237g|1 maza tase=178g|1 liela tase=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
6	:U18064	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
7	:U14355	1 tase=237g|1 maza tase=178g|1 liela tase=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
8	:U14355	1 tase=237g|1 maza tase=178g|1 liela tase=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
9	:U18065	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03313|0412.96|054.27|0655.77|074.7|086.42|12165|134.09|14223|15601|170.2|090.989|101.019|111.72
10	:LC055	1 vidējs (18 cm 20 cm)=118g|1 liels (20 cm līdz 22 cm)=136g|1 mazs (15 cm līdz 18 cm)=101g|1 liela (22 cm vai ilgāk)=152g|1 papildu maza (mazāka par 15 cm)=81g|1 tase (sagriezta)=150g|1 tase (biezenis)=225g	03104.54|040.95|050.5|0625.91|071.85
11	:U18064	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
12	:U08122	0,333 kauss=27g|1 tase=81g	03362|0411.92|056.9|0669.52|0710|081.5|12351|1324.72|14366|15220|091.346|102.325|112.533
13	:LG042	1 konteiners=245g|1 vidējs konteiners=184g|1 mazs konteiners=123g	0364.48|044.29|052.16|066.97
14	:LB798	1 vidēja (6 cm)=123g|1 tase=240g|1 šķēle (1 cm)=20g|1 liela (8 cm)=182g|1 ķīlis (1/4 vidēji tomāti)=31g|1 maza tomāta (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
15	:U01123	1 vidēja=44g|1 lielu=50g|1 ļoti lieli=56g|1 tase=243g|1 maza=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
16	:U20045	1 tase=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
17	:LA594	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03259.55|0411.27|053.31|0650.49|074.32
18	:U11124	1 vidēja=61g|1 liela (7 līdz 21 cm)=72g|1 mazs (14 cm)=50g|1 šķēle=3g|1 tase (rīvēts)=110g|1 tase (sloksnēm vai šķēles)=122g|1 vidēja sloksnes (sloksnēm vai šķēles)=4g|1 liela sloksnes (8 cm)=7g|1 tase (sasmalcinātu)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
19	:U18009	1 cepums (6 cm)=35g|1 vidēja=51g|1 lielu=77g|1 maza=35g	03365|046.2|0516.5|0648.5|071.3|083.48|1249|133.3|14224|15942|092.49|106.906|116.209|161
20	:SF1001795	1 tase=237g|1 maza tase=178g|1 liela tase=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
21	:U11529	1 vidēja (6 cm)=123g|1 tase=240g|1 šķēle (1 cm)=20g|1 liela (8 cm)=182g|1 ķīlis (1/4 vidēji tomāti)=31g|1 maza tomāta (6 cm)=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
22	:U20045	1 tase=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
23	:U14209	1 tase=237g|1 maza tase=178g|1 liela tase=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
24	:LG042	1 konteiners=245g|1 vidējs konteiners=184g|1 mazs konteiners=123g	0364.48|044.29|052.16|066.97
25	:U11529	1 vidēja (6 cm)=123g|1 tase=240g|1 šķēle (1 cm)=20g|1 liela (8 cm)=182g|1 ķīlis (1/4 vidēji tomāti)=31g|1 maza tomāta (6 cm)=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
26	:U18064	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
27	:LC043	1 vidējs (18 cm 20 cm)=118g|1 liels (20 cm līdz 22 cm)=136g|1 mazs (15 cm līdz 18 cm)=101g|1 liela (22 cm vai ilgāk)=152g|1 papildu maza (mazāka par 15 cm)=81g|1 tase (sagriezta)=150g|1 tase (biezenis)=225g	041.2|050.2|0623|127|130.41|14348|151|176.1
28	:U01123	1 vidēja=44g|1 lielu=50g|1 ļoti lieli=56g|1 tase=243g|1 maza=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
29	:U11282	1 vidēja (6 cm)=110g|1 lielu=150g|1 tase (sasmalcinātu)=160g|1 tase (sagriezta)=115g|1 ēdamkarote (sasmalcinātas)=10g|1 liela šķēle (1 cm)=38g|1 vidējā slāņa=14g|1 maza=70g|1 plānas šķēle=9g|10 gredzeni=60g	0340|041.1|050.1|069.34|071.7|084.24|1223|130.21|14146|154|177.4|090.042|100.013|110.017
30	:U05009	0,5 vistas=460g|1 krūšu=290g|1 stilbiņu=133g|1 spārns=49g|1 tīrradnis=20g|1 tase (sasmalcinātas vai kubiņos)=140g	03239|0427.3|0513.6|1215|131.26|14223|1582|093.79|105.34|112.97|1688
31	:U01121	1 konteiners=245g|1 vidējs konteiners=184g|1 mazs konteiners=123g	03102|044.37|051.08|0619.05|0819.05|12152|130.07|14195|1558|170.7|090.697|100.297|110.031|164
32	:U01009	1 šķēle=28g|1 tase (kubiņos)=132g|1 tase (sasmalcinātu)=113g|1 tase (kausēts)=244g|1 kubik collas=17g|1 pakete (kausēts)=170g	03403|0424.9|0533.14|061.28|080.52|12721|130.68|1498|15621|180.6|0921.092|109.391|110.942|16105
33	:U09040	1 vidējs (18 cm 20 cm)=118g|1 liels (20 cm līdz 22 cm)=136g|1 mazs (15 cm līdz 18 cm)=101g|1 liela (22 cm vai ilgāk)=152g|1 papildu maza (mazāka par 15 cm)=81g|1 tase (sagriezta)=150g|1 tase (biezenis)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
34	:U01082	1 tase=237g|1 maza tase=178g|1 liela tase=356g	0342|043.37|050.97|064.99|085.2|12125|130.03|14150|1544|181.2|090.633|100.277|110.035|165
35	:U01009	1 šķēle=28g|1 tase (kubiņos)=132g|1 tase (sasmalcinātu)=113g|1 tase (kausēts)=244g|1 kubik collas=17g|1 pakete (kausēts)=170g	03403|0424.9|0533.14|061.28|080.52|12721|130.68|1498|15621|180.6|0921.092|109.391|110.942|16105
36	:LC055	1 vidējs (18 cm 20 cm)=118g|1 liels (20 cm līdz 22 cm)=136g|1 mazs (15 cm līdz 18 cm)=101g|1 liela (22 cm vai ilgāk)=152g|1 papildu maza (mazāka par 15 cm)=81g|1 tase (sagriezta)=150g|1 tase (biezenis)=225g	03104.54|040.95|050.5|0625.91|071.85
37	:U21299	1 šķēle=118g|1 pica=946g	03266|0411.39|059.69|0633.33|072.3|083.58|12188|132.48|14172|15598|171.4|094.465|102.608|111.681|1617
38	:U20044	1 tase=158g	03365|047.13|050.66|0679.95|071.3|080.12|1228|134.31|14115|155|090.18|100.206|110.177
39	:U14096	1 glāzi=150g	0385|040.07|062.61|080.62|128|130.46|14127|154
40	:LL009	1 tase=237g|1 maza tase=178g|1 liela tase=356g	0412.4|0543.7|0634.3|12130|135.8|173
41	:U11124	1 vidēja=61g|1 liela (7 līdz 21 cm)=72g|1 mazs (14 cm)=50g|1 šķēle=3g|1 tase (rīvēts)=110g|1 tase (sloksnēm vai šķēles)=122g|1 vidēja sloksnes (sloksnēm vai šķēles)=4g|1 liela sloksnes (8 cm)=7g|1 tase (sasmalcinātu)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
42	:N3190	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03231|0410.6|053|0635.6|079.8|1233|132|14236|15434|090.6|100.8|111.2|160.7
43	:LF295	0,5 vistas=460g|1 krūšu=290g|1 stilbiņu=133g|1 spārns=49g|1 tīrradnis=20g|1 tase (sasmalcinātas vai kubiņos)=140g	03172.6|0420.2|0510.2|1214|131.5
44	:SF821031	1 konteiners=245g|1 vidējs konteiners=184g|1 mazs konteiners=123g	0398.38|043.8|053.02|0614|0813.1|12132|130.016|14126|1544.8|180.06|091.8|100.7|110.14|169
45	:U08120	0,333 kauss=27g|1 tase=81g	03379|0413.15|056.52|0667.7|0710.1|080.99|1252|134.25|14362|156|091.11|101.98|112.3
46	:LA602	1 vidējā slāņa (10 cm x 6 cm x 4 cm)=64g|1 liela šķēle (15 cm x 6 cm x 4 cm)=96g|1 mazs šķēle (5 cm x 6 cm x 4 cm)=32g	03308.34|0412.08|052.22|0663.16|073.15
47	:SD1000844	1 vidējs (18 cm 20 cm)=118g|1 liels (20 cm līdz 22 cm)=136g|1 mazs (15 cm līdz 18 cm)=101g|1 liela (22 cm vai ilgāk)=152g|1 papildu maza (mazāka par 15 cm)=81g|1 tase (sagriezta)=150g|1 tase (biezenis)=225g	0395.1|041.1|050.3|0623|072|0817.2|128|130.42|14385|151|1712|090.12|110.06
48	:LA572	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03259|0410.3|052.2|0656.1|076.6
49	:LT047	1 tase=254g	0369.09|044.77|050.53|0616.91|075.6
50	:LB798	1 vidēja (6 cm)=123g|1 tase=240g|1 šķēle (1 cm)=20g|1 liela (8 cm)=182g|1 ķīlis (1/4 vidēji tomāti)=31g|1 maza tomāta (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
51	:LG178	1 šķēle=28g|1 tase (kubiņos)=132g|1 tase (sasmalcinātu)=113g|1 tase (kausēts)=244g|1 kubik collas=17g|1 pakete (kausēts)=170g	03297.35|0421.44|0523.51
52	:U09040	1 vidējs (18 cm 20 cm)=118g|1 liels (20 cm līdz 22 cm)=136g|1 mazs (15 cm līdz 18 cm)=101g|1 liela (22 cm vai ilgāk)=152g|1 papildu maza (mazāka par 15 cm)=81g|1 tase (sagriezta)=150g|1 tase (biezenis)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
53	:SD9909795	1 šķēle=25g|1 šķēle bez garozas=12g|1 tase (drupatas)=45g|1 tase (kubos)=35g|1 liela šķēle (kubos)=30g|1 plānas šķēle=20g|1 plānas šķēle bez garozas (kubos)=9g|1 ļoti plānas šķēle (kubos)=15g	03272|0411|051|073.5|084.5|15650|090.5
54	:U01009	1 šķēle=28g|1 tase (kubiņos)=132g|1 tase (sasmalcinātu)=113g|1 tase (kausēts)=244g|1 kubik collas=17g|1 pakete (kausēts)=170g	03403|0424.9|0533.14|061.28|080.52|12721|130.68|1498|15621|180.6|0921.092|109.391|110.942|16105
55	:LL007	1 paciņa=2g|1 tējkarote=1g	03165.64|0412.46|0512|0666.91|0764.96
56	:LA071	1 tase=158g	03104.15|042.05|050.63|0623.54|070.97
57	:SD1001011	1 glāzi=150g	0369.2|040.2|060.3|080.29|128|130.9|14115|155
58	:SD1000809	1 vidēja (6 cm)=123g|1 tase=240g|1 šķēle (1 cm)=20g|1 liela (8 cm)=182g|1 ķīlis (1/4 vidēji tomāti)=31g|1 maza tomāta (6 cm)=91g	0321.1|040.8|050.3|064.2|071.2|083.2|128.5|130.16|14224|151.58|1718|090.05|100.05|110.14
