Row	ID	AllWeights	AllProperties
0	:LB798	1 mediana (6 cm)=123g|1 taza=240g|1 rebanada (1 cm)=20g|1 grande (8 cm)=182g|1 cuña (1/4 de tomate mediano)=31g|1 rodaja gruesa grande (1 cm)=27g|1 tomate pequeño (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
1	:LL009	1 taza=237g|1 taza pequeña=178g|1 taza grande=356g	0412.4|0543.7|0634.3|12130|135.8|173
2	:LC043	1 mediana (18 cm a 20 cm)=118g|1 grande (20 cm a 22 cm)=136g|1 pequeño (15 cm a 18 cm)=101g|1 extra grande (22 cm o más)=152g|1 extra pequeños (menores de 15 cm)=81g|1 taza (en rodajas)=150g|1 taza (puré)=225g	041.2|050.2|0623|127|130.41|14348|151|176.1
3	:LC326	1 mediana (8 cm)=182g|1 grande (8 cm)=223g|1 pequeño (7 cm)=149g|1 extra pequeño (6 cm)=101g|1 taza (picada)=125g|1 taza (rodajas)=109g	040.3|050.1|0614.6|125|131.4|171.3
4	:LF295	1 pecho=290g|1 pata de pollo=133g|1 ala=49g|1 pepita=20g|1 taza (picado o en cubitos)=140g	03172.6|0420.2|0510.2|1214|131.5
5	:LA572	1 rebanada=25g|1 rebanada sin corteza=12g|1 taza (migas)=45g|1 taza (cubos)=35g|1 rebanada grande (cubos)=30g|1 rebanada fina=20g|1 rebanada delgada sin corteza (cubos)=9g|1 rebanada muy delgada (cubos)=15g	03259|0410.3|052.2|0656.1|076.6
6	:LB237	1 mediana (6 cm)=110g|1 grande=150g|1 taza (picada)=160g|1 taza (en rodajas)=115g|1 cucharada sopera (picada)=10g|1 rebanada grande (1 cm)=38g|1 rebanada mediana=14g|1 pequeño=70g|1 rebanada fina=9g|10 anillos=60g	040.7|050.2|0612.4|1233|130.5|177
7	:LB798	1 mediana (6 cm)=123g|1 taza=240g|1 rebanada (1 cm)=20g|1 grande (8 cm)=182g|1 cuña (1/4 de tomate mediano)=31g|1 rodaja gruesa grande (1 cm)=27g|1 tomate pequeño (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
8	:LC326	1 mediana (8 cm)=182g|1 grande (8 cm)=223g|1 pequeño (7 cm)=149g|1 extra pequeño (6 cm)=101g|1 taza (picada)=125g|1 taza (rodajas)=109g	040.3|050.1|0614.6|125|131.4|171.3
9	:LA568	1 rebanada=25g|1 rebanada sin corteza=12g|1 taza (migas)=45g|1 taza (cubos)=35g|1 rebanada grande (cubos)=30g|1 rebanada fina=20g|1 rebanada delgada sin corteza (cubos)=9g|1 rebanada muy delgada (cubos)=15g	048.1|052|0652.7|1250|134
