Row	ID	AllWeights	AllProperties
0	:U01123	1 中期=44g|1 大=50g|1 特大=56g|1 珍宝=63g|1 杯=243g|1 小=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U14209	1 杯=237g|1 小杯=178g|1 大杯=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
2	:SD9909795	1 片=25g|1 片无外壳=12g|1 杯 （面包屑）=45g|1 杯 （多维数据集）=35g|1 大切片 （多维数据集）=30g|1 薄切片=20g|1 薄层无外壳 （多维数据集）=9g|1 非常薄切片 （多维数据集）=15g	03272|0411|051|073.5|084.5|15650|090.5
3	:U18064	1 片=25g|1 片无外壳=12g|1 杯 （面包屑）=45g|1 杯 （多维数据集）=35g|1 大切片 （多维数据集）=30g|1 薄切片=20g|1 薄层无外壳 （多维数据集）=9g|1 非常薄切片 （多维数据集）=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
4	:U09040	1 介质 （18 厘米到 20 厘米)=118g|1 大 （20 厘米至 22 厘米)=136g|1 小 （15 厘米至 18 厘米）=101g|1 特大 (22 厘米或更长时间）=152g|1 额外小 （小于 15 厘米）=81g|1 杯 （切片）=150g|1 杯 (土豆泥)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
5	:SD1001795	1 杯=237g|1 小杯=178g|1 大杯=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
6	:U18064	1 片=25g|1 片无外壳=12g|1 杯 （面包屑）=45g|1 杯 （多维数据集）=35g|1 大切片 （多维数据集）=30g|1 薄切片=20g|1 薄层无外壳 （多维数据集）=9g|1 非常薄切片 （多维数据集）=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
7	:U14355	1 杯=237g|1 小杯=178g|1 大杯=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
8	:U14355	1 杯=237g|1 小杯=178g|1 大杯=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
9	:U18065	1 片=25g|1 片无外壳=12g|1 杯 （面包屑）=45g|1 杯 （多维数据集）=35g|1 大切片 （多维数据集）=30g|1 薄切片=20g|1 薄层无外壳 （多维数据集）=9g|1 非常薄切片 （多维数据集）=15g	03313|0412.96|054.27|0655.77|074.7|086.42|12165|134.09|14223|15601|170.2|090.989|101.019|111.72
