Row	Meal	Name	Pos
0	B	Яйце	33
1	B	Кафе	218
2	B	Тост	340
3	B	Хляб	584
4	B	Банан	883
5	B	Кафе	1160
6	L	Хляб	1291
7	S	Чай	1590
8	B	Чай	1700
9	B	Тост	1810
10	B	Банан	2108
11	D	Хляб	2330
12	B	Овесена каша	2630
13	B	Ниска мазнини плодове кисело мляко	2757
14	L	Домат	2861
15	L	Яйце	3032
16	D	Бял ориз	3218
17	B	Цялото пшеница хляб	3327
18	D	Морков	3568
19	S	Бисквити	3879
20	B	Кафе	4040
21	D	Домат	4172
22	B	Бейкън	4387
23	L	Бял ориз	4554
24	S	Ябълка	4663
25	S	Кафе	4901
26	S	Ниска мазнини плодове кисело мляко	5024
27	L	Домат	5128
28	S	Хляб	5343
29	B	Банан	5643
30	D	Яйце	5872
31	D	Лук	6058
32	D	Пиле	6324
33	B	Ниска мазнини плодове кисело мляко	6537
34	D	Чедър сирене	6707
35	S	Банан	6954
36	B	1 % мляко	7232
37	B	Чедър сирене	7383
38	S	Банан	7630
39	D	Пица	7852
40	L	Бял ориз	7991
41	D	Червено вино	8101
42	B	Кафе	8174
43	L	Морков	8271
44	B	Хляб	8582
45	L	Пиле	8859
46	B	Ябълка	9035
47	S	Ориндж	9273
48	L	Ниска мазнини плодове кисело мляко	9458
49	B	Ориндж	9626
50	B	Овес	9811
51	B	Френски хляб	9933
52	B	Банан	10104
53	B	Хляб	10368
54	L	Ябълка	10602
55	L	Печен боб	10840
56	D	Домат	10899
57	B	Чедър сирене	11070
58	L	Банан	11245
59	D	Тост	11523
60	L	Чедър сирене	11768
61	B	Нес кафе	12015
62	L	Пропарен ориз	12085
63	D	Червено вино	12146
64	D	Домат	12221
65	D	Бейкън	12437
66	L	Маслиново масло	12604
67	L	Домат	12701
68	L	Ориндж	12859
69	S	Яйце	13044
70	D	Пилешки гърди	13230
71	L	Чай	13380
72	L	Домат	13491
73	B	Корнфлейкс	13707
74	L	Хляб	13825
75	B	Ябълка	14102
76	S	Тост	14282
77	B	Банан	14527
78		Крема сирене	14791
79		Монтерей сирене	14987
80		Мокро моцарела сирене	15240
81		Сирене моцарела	15493
82		Сирене пармезан	15745
83		Сирене рикота	15883
84		Швейцарско сирене	16023
85		Американски сирене	16275
86		Американски сирене	16533
87		Сирене за мазане	16789
88		Половината и половина	16940
89		Лек крем	17100
90		Тежки сметани	17260
91		Осолено масло	17440
92		Битото масло	17606
93		Масло масло	17772
94		Чедър сирене	17925
95		Колби сирене	18179
96		Заквасена сметана	18433
97		Крем заместител на прах	18559
98		Пълномаслено мляко	18715
99		2 % мляко	18874
100		1 % мляко	19032
101		Ообезмаслено концентрирано мляко	19191
102		Мляко сухо	19351
103		Цялата Шоколадово мляко	19495
104		Млечен шоколад	19660
105		Ниско съдържание на мазнини мляко шоколад	19822
106		Ниско съдържание на мазнини кисело мляко ванилия	19981
107		Ниска мазнини плодове кисело мляко	20156
108		Яйце	20334
109		Яйчен жълтък	20528
110		Пържени яйца	20671
111		Твърдо сварени яйца	20867
112		Бъркани яйца	21086
113		Сушени яйчни	21304
114		Масло без сол	21454
115		Неуголемени Ообезмаслено концентрирано мляко	21620
116		Сос от сирене	21778
117		Ниско съдържание на мазнини сирене	21928
118		Светлина ниска мазнини плодове кисело мляко	22175
119		Крем заместител	22349
120		Укрепени ниска мазнини плодове кисело мляко	22503
121		Леки укрепени ниска мазнини плодове кисело мляко	22683
122		Чили на прах	22859
123		Горчица	23001
124		Сол	23136
125		Бебе овесена каша	23265
126		Бебе оризова каша	23423
127		Свинска мас	23556
128		Подправки	23661
129		Салати с майонеза	23795
130		Фъстъчено масло	23944
131		Соево масло	24071
132		Маслиново масло	24204
133		Италиански дресинг	24339
134		Френски дресинг	24489
135		Ниска мазнини растителни масла се разпространява	24638
136		Царевично масло	24799
137		Синьо сирене дресинг	24931
138		Рапично масло	25085
139		Масло стик	25216
140		Маргарин	25377
141		Растително масло се разпространява	25536
142		Растително масло	25682
143		Промишлени соево масло	25818
144		Промишлени соя и памучно масло	25950
145		Кокосово масло	26082
146		Пиле	26214
147		Панирано пилешко	26451
148		Пиле	26693
149		Пържено пиле	26926
150		Печено пилешко месо	27166
151		Задушено пиле	27401
152		Пилешки дроб	27636
153		Пилешки гърди с кожата	27764
154		Панирани пилешки гърди	27930
155		Печени пилешки гърди	28102
156		Пилешко месо	28267
157		Пилешки гърди	28438
158		Подбедрица	28604
159		Пилешко бутче	28770
160		Пилешко горно бутче	28951
161		Пилешко крило	29112
162		Печено пилешко крило	29249
163		Печена Турция	29366
164		Печено пуешко месо	29501
165		Терена Турция	29632
166		Пилешки нъгет	29751
167		Телешки бульон	29892
168		Пилешка супа	30041
169		Сметана на гъбена супа	30199
170		Сос	30357
171		Барбекю сос	30499
172		Салса	30653
173		Говеждо склад	30810
174		Пилешки бульон	30966
175		Мидена супа	31124
176		Пилешки бульон	31288
177		Маринара сос	31441
178		Болоня	31566
179		Черен дроб наденица	31724
180		Пилешко роле	31860
181		Чоризо	32014
182		Хот-дог	32146
183		Пиле с яйца	32271
184		Обяд месо	32402
185		Пеперони	32558
186		Наденица	32688
187		Свинско и говеждо месо, колбаси	32813
188		Салам	32977
189		Пуешки гърди	33109
190		Светло месо Турция ролка	33268
191		Турция ролка	33415
192		Италиански колбас	33564
193		Полуготови свинско наденица	33727
194		Какао камъчета	33853
195		Бисквитка чипс	33970
196		Корнфлейкс	34093
197		Корнфлейкс	34215
198		Мюсли	34337
199		Гроздова ядки зърнени	34461
200		Мълчаливо овес живот	34591
201		Носели	34733
202		Стафиди трици	34865
203		Стафиди трици от зърнени култури	34992
204		Матирано люспи	35115
205		Цялото зърно общо	35242
206		Крупи овесени	35363
207		Овес	35490
208		Овесена каша	35624
209		Овес с канела и подправки	35763
210		Овес със стафиди и подправки	35902
211		Ниска мазнини мюсли без стафиди	36045
212		Рийз кълба	36161
213		Овесена каша квадрати	36285
214		Овесени трици от зърнени култури	36415
215		Фибри, един	36545
216		Общо стафиди трици	36660
217		Какао кълба	36777
