Row	Meal	Name	Pos
0	B	Æg	33
1	B	Kaffe	214
2	B	Brød	331
3	B	Banan	619
4	B	Kaffe	932
5	L	Brød	1058
6	S	Te	1346
7	B	Te	1451
8	B	Banan	1556
9	D	Brød	1813
10	B	Havregryn	2101
11	B	Lav fedt frugt yoghurt	2226
12	L	Tomat	2333
13	L	Æg	2549
14	D	Hvide ris	2731
15	B	Hel-hvede brød	2839
16	D	Gulerod	3069
17	S	Kiks	3380
18	B	Kaffe	3535
19	D	Tomat	3662
20	L	Hvide ris	3922
21	S	Kaffe	4030
22	S	Lav fedt frugt yoghurt	4148
23	L	Tomat	4255
24	S	Brød	4515
25	B	Banan	4804
26	D	Æg	5069
27	D	Løg	5251
28	D	Kylling	5529
29	B	Lav fedt frugt yoghurt	5727
30	S	Banan	5900
31	B	1% mælk	6214
32	S	Banan	6360
33	L	Hvide ris	6618
34	D	Rødvin	6727
35	B	Kaffe	6798
36	L	Gulerod	6890
37	B	Brød	7201
38	L	Kylling	7467
39	L	Lav fedt frugt yoghurt	7628
40	B	Havre	7799
41	B	Franskbrød	7919
42	B	Banan	8088
43	B	Brød	8388
44	L	Bagte bønner	8611
45	D	Tomat	8669
46	L	Banan	8885
47	L	Langkornet ris	9199
48	D	Rødvin	9259
49	D	Tomat	9332
50	L	Olivenolie	9593
51	L	Tomat	9688
52	S	Æg	9891
53	D	Kyllingebryst	10073
54	L	Te	10219
55	L	Tomat	10325
56	L	Brød	10586
57	B	Banan	10852
58		Flødeost	11152
59		Våd mozzarellaost	11360
60		Mozzarellaost	11590
61		Parmesanost	11819
62		Ricottaost	11956
63		Schweizisk ost	12094
64		Amerikansk ost	12323
65		Amerikansk ost	12558
66		Ost spredt	12791
67		Halvdelen og halvdelen	12933
68		Lys creme	13092
69		Tunge piskefløde	13251
70		Saltet smør	13426
71		Pisket smør	13626
72		Smør olie	13826
73		Creme fraiche	14013
74		Creme stedfortræder pulver	14139
75		Sødmælk	14293
76		2% mælk	14447
77		1% mælk	14600
78		Tør mælk	14753
79		Hele chokolade mælk	14894
80		Chokolade mælk	15053
81		Fedtfattig chokolade mælk	15209
82		Fedtfattig vanille yoghurt	15362
83		Lav fedt frugt yoghurt	15539
84		Æg	15719
85		Æggeblomme	15908
86		Spejlæg	16053
87		Hårdkogt æg	16244
88		Tørret æg	16457
89		Ostesauce	16604
90		Lys lavt fedt frugt yoghurt	16743
91		Creme erstatning	16919
92		Befæstede lav fedt frugt yoghurt	17070
93		Lys befæstede lav fedt frugt yoghurt	17252
94		Sennep	17430
95		Svinefedt	17563
96		Jordnøddeolie	17667
97		Sojaolie	17791
98		Olivenolie	17921
99		Lav fedt vegetabilsk olie spredt	18053
100		Majsolie	18247
101		Rapsolie	18377
102		Vegetabilsk olie spredt	18506
103		Vegetabilsk olie	18650
104		Industrielle soja olie	18784
105		Industrielle soja og bomuldsfrø olie	18914
106		Kokosolie	19044
107		Kylling	19174
108		Paneret kylling	19396
109		Kylling	19623
110		Grillkylling	19841
111		Stegt kyllingekød	20066
112		Kyllingelever	20286
113		Kyllingebryst med hud	20411
114		Paneret kylling bryst	20573
115		Stegt kyllingebryst	20741
116		Kylling bryst kød	20902
117		Kyllingebryst	21069
118		Underlår	21231
119		Kyllingelår	21398
120		Kylling lår	21574
121		Kylling vinge	21732
122		Ristet kylling vinge	21865
123		Brændt Tyrkiet	21981
124		Ristede kalkunkød	22116
125		Jorden Tyrkiet	22247
126		Oksekød bouillon	22367
127		Fløde af champignon suppe	22511
128		Sovs	22664
129		Oksekød lager	22804
130		Hønsefond	22955
131		Fiskesuppe	23108
132		Kylling bouillon	23267
133		Leverpølse	23415
134		Hotdog	23551
135		Kylling hotdog	23675
136		Frokost kød	23805
137		Pølse	23956
138		Svinekød og oksekød pølse	24082
139		Kalkunbryst	24244
140		Italiensk pølse	24430
141		Pre kogte svinekød pølse	24585
142		Apple-stik	24712
143		Kakao småsten	24831
144		Majs chex	24949
145		Branflakes	25065
146		Drue-nødder korn	25188
147		KIX	25319
148		Honning møtrik chex	25449
149		Rosin klid korn	25582
150		Ris chex	25704
151		Hele korn samlede	25823
152		Hvede chex	25945
153		Gryn af majs	26068
154		Havre	26194
155		Havregryn	26326
156		Havre med kanel og krydderi	26463
157		Havre med rosiner og krydderi	26600
158		Reeses pust	26741
159		Havregryn firkanter	26866
160		Havre klid korn	26995
161		Fiber, en	27126
162		Kakao pust	27242
163		Honning ristet havre	27364
164		Vanille mandel	27484
165		Æblesaft	27603
166		Æblemos	27756
167		Banan	27889
168		Blåbær	28211
169		Druesaft	28358
170		Druer	28513
171		Friskpresset appelsinjuice	28664
172		Fersken	28813
173		Pære	29028
174		Ananas	29232
175		Rosiner	29482
176		Jordbær	29747
177		Frosne jordbær	30047
178		Vandmelon	30351
179		Æblesaft med c-vitamin	30708
180		Kogt fedt på Svinekam	30862
181		Kogt svinekød lænd	31002
182		Stegt Svinekam	31141
183		Svinekoteletter	31281
184		Skinke	31422
185		Ristede fedt på skinke	31567
186		Ristet skinke	31698
187		Svinekød nedskæringer	31827
188		Hakket svinekød	31971
189		Skinke med naturlig juice	32093
190		Skinke og vand	32247
191		Skinke - vand tilsat	32397
192		Asparges	32550
193		Dåse grønne bønner	32691
194		Rå kål	32863
195		Kål	33189
196		Gulerod	33513
197		Kogt gulerod	33832
198		Frosne gulerod	34149
199		Selleri	34468
200		Cikorie grønne	34740
201		Majs	34864
202		Gul majs på dåse	35155
203		Frosne majs	35302
204		Agurk	35593
205		Endivie	35830
206		Grønkål	35986
207		Icebergsalat	36111
208		Grøn salat	36469
209		Hvide champignon	36827
210		Løg	36987
211		Kogte løg	37273
212		Forårsløg	37562
213		Persille	37764
214		Grønne ærter	37921
215		Dåse grønne ærter	38046
216		Frosne grønne ærter	38171
217		Kartoffel	38296
218		Bagt kartoffel	38513
219		Kartoffel i huden	38727
220		Kogt kartoffel	38940
221		Kartoffelmos	39154
222		Kartoffel pust	39280
223		Ovn pommes frites	39440
224		Rå spinat	39636
225		Kogt spinat	39816
226		Dåse spinat	39941
227		Bagt sød kartoffel	40064
228		Sød kartoffel	40265
229		Tomat	40462
230		Kogt tomat	40807
231		Dåse tomat	41077
232		Stuvet dåsetomater	41256
233		Tomatjuice	41524
234		Tomatpuré	41682
235		Dåse tomatsauce	41835
236		Majroer	41986
237		Blandede grøntsager	42119
238		Dåse sød kartoffel	42243
239		Dåse gulerodsjuice	42442
240		Bagt kartoffel med hud	42598
241		Tomatpuré	42814
242		Lage	42969
243		Solsikkekerner	43196
244		Ristede solsikkekerner	43322
245		Mandler	43449
246		Blancheret mandler	43690
247		Ristede mandler	43920
248		Valnød	44149
249		Olie ristede solsikkekerner	44435
250		Saltet ristede mandler	44565
251		Cashewnødder	44796
252		Blandet nødder	44975
253		Olie brændt blandet nødder	45101
254		Oksekød lever	45233
255		Oksekød lever	45357
256		Oksekød bryst	45481
257		Oksekød	45598
258		Oksekød runde	45789
259		Øl	45906
260		Lys øl	46037
261		80 bevis spiritus	46194
262		Rødvin	46288
263		Hvidvin	46391
