Row	Meal	Name	Pos
0	L	Tomate	33
1	B	Banana	265
2	B	Manzana	529
3	D	Tomate	734
4	B	Pan, integral 	966
5	B	Pan, integral	1215
6	S	Banana	1458
7	L	Lenteja	1722
8	L	Lenteja	1804
9	B	Jugo, de naranja	1882
10	L	Pollo	2009
11	S	Manzana	2144
12	S	Tomate	2350
13	L	Lechuga	2583
14	L	Lechuga	2864
15	L	Cebolla, blanca	3145
16	L	Cebolla	3433
17	L	Banana	3692
18	L	Manzana	3957
19	B	Huevo, entero	4163
20	B	Yogur, descremado	4297
21	D	Pollo	4419
22	L	Arroz, corriente	4554
23	L	Papas fritas	4610
24	B	Café, tostado	4752
25	D	Jamón, cocido	4851
26	L	Aguacate	4956
27	S	Jugo, de naranja	5079
28	B	Leche, de soya	5207
29	D	Cebolla, blanca	5296
30	D	Papas fritas	5584
31	D	Cebolla	5726
32	L	Zanahoria	5985
33	L	Pasta	6247
34	D	Yogur, descremado	6366
35	B	Queso	6488
36	L	Durazno, envasado al natural	6669
37	B	Pan, blanco	6840
38	S	Kiwi	7084
39	L	Mango	7191
40	L	Huevo, entero	7273
41	B	Azúcar	7407
42	S	Pan, integral 	7590
43	S	Pollo	7840
44	B	Leche, entera	7975
45	B	Leche, entera	8038
46	L	Queso	8093
47	S	Pan, integral	8274
48	L	Fideo	8518
49	L	Yogur, descremado	8571
50	D	Pan, integral 	8693
51	D	Queso	8943
52	L	Arroz, grano largo	9124
53	D	Banana	9181
54	S	Café, tostado	9446
55	B	Tomate	9545
56	D	Lechuga	9778
57	D	Lechuga	10059
58	D	Pasta	10340
59	L	Jugo, de naranja	10459
60	D	Brócoli	10587
61	D	Mantequilla	10783
62	B	Jamón, cocido	10948
63	D	Brócoli	11053
64	D	Huevo, entero	11282
65	S	Papas fritas	11416
66	D	Manzana	11558
67	B	Jugo de papaya	11764
68	L	Pan, blanco	11951
69	D	Leche, de soya	12195
70	D	Ketchup	12284
71	B	Lechuga	12359
