Row	Meal	Name	Pos
0	B	Egg	33
1	B	Toast	215
2	S	Tea	484
3	S	Biscuit	590
4	B	Coffee	750
5	B	Tea	868
6	B	1% milk	974
7	B	Porridge 	1120
8	L	Bread	1239
9	B	Bread	1509
10	B	Bacon	1779
11	D	Chicken	1944
12	D	Carrot	2127
13	D	Red wine	2408
14	B	Banana	2480
15	D	Bread	2767
16	B	Oats	3038
17	L	Egg	3158
18	D	Chicken breast	3341
19	D	White rice	3473
20	D	Spaghetti	3581
21	B	Oatmeal	3688
22	D	Onion	3813
23	B	2% milk	4104
24	D	Egg	4255
25	D	Bacon	4438
26	D	Tomato	4603
27	L	White rice	4871
28	L	Chicken breast	4979
29	L	Tomato	5111
30	L	Carrot	5379
31	D	Broccoli	5660
32	S	Apple	5895
33	S	Banana	6131
34	S	Red wine	6418
35	L	Ham	6490
36	B	Corn flakes	6619
37	S	Toast	6736
38	L	Chicken	7006
39	S	Celery	7189
40	B	Biscuit	7440
41	L	Tea	7601
42	D	Frozen green peas	7708
43	L	Celery	7825
44	D	1% milk	8076
45	S	Biscuits - Foxes Assortment 	8223
46	D	Cooked lentils	8310
47	S	Coffee	8438
48	S	Egg	8557
49	B	Low fat fruit yogurt	8740
50	S	Granola bar	8909
51	L	White bread	9023
52	D	Cheddar cheese	9287
53	S	Chocolate chip cookie	9501
54	D	Green peas	9688
55	L	Banana	9805
56	L	Bacon	10092
57	B	Apple	10257
58	S	Carrot	10493
59	S	Low fat fruit yogurt	10774
60	L	Tomato paste	10943
61	S	Orange	11089
62	L	Apple	11278
63	L	Pasta	11514
64	L	Toast	11689
65	S	Popcorn	11959
66	B	Ham	12087
67	B	Raw spinach	12216
68	S	Bread	12370
69	D	Tomato paste	12641
70	S	Milk chocolate	12787
71	L	Cheddar cheese	12946
72	D	Raw spinach	13160
73	B	Orange	13314
74	L	Peach	13503
75	L	Salmon	13712
76	D	Fries	13816
77	D	Biscuit	13999
78	L	Orange	14160
79	D	Green lettuce	14349
80	D	Cabbage	14652
81	B	Special K cereal	14953
82	B	Bagel	15056
83	D	Tea	15265
84	B	Whole milk	15372
85	B	Fresh orange juice	15476
86	B	Whole-wheat toast	15618
87	B	Tomato	15882
88	B	Butter	16150
89	D	Cheeseburger	16311
90	D	Toast	16451
91	S	2% milk	16721
92	L	Onion	16872
93	D	Pizza	17163
94	B	Hard boiled egg	17303
95	B	White toast	17511
96	D	White bread	17771
97	D	Popcorn	18035
98	B	Spaghetti	18163
99	B	Tap water	18270
100	D	Brown rice	18335
101	B	White bread	18443
102	L	1% milk	18708
103	B	Scrambled egg	18856
104	D	Ham	19064
105	S	Bacon	19194
106	L	Cucumber	19360
107	L	Tap water	19590
108	D	Sweet potato	19656
109	D	Mixed vegetables	19838
110	B	Margarine	19955
111	D	Chips	20122
112	S	Beer	20268
113	S	Chocolate lite	20365
114	B	Sugar	20525
115	B	Apple juice	20689
116	B	Croissant	20836
117	D	Apple	21035
118	D	Cucumber	21272
119	S	Chips	21502
120	L	Green lettuce	21648
121	B	Nonfat milk	21952
122	D	Pasta	22101
123	S	1% milk	22277
124	L	Raw spinach	22425
125	L	Fries	22580
126	L	Chips	22764
127	B	Granola	22910
128	B	Latta	23026
129	B	Fried egg	23146
130	D	Salmon	23332
131	S	Fruit	23437
132	S	Fruit	23617
133	B	Strawberry	23802
134	L	Soup	24088
135	S	Almonds	24147
136	L	Spaghetti	24367
137	D	Mashed potatoes	24475
138	S	Cheddar cheese	24594
139	D	Baked potato	24809
140	D	Celery	25025
141	B	Salmon	25277
142	B	Granola bar	25382
143	D	Avocado	25497
144	L	Cooked lentils	25673
145	B	Weetabix	25802
146	B	Sausage	26060
147	L	Broccoli	26175
148	D	Chicken leg	26411
149	D	Potato	26564
150	L	Fruit	26783
151	L	Fruit	26963
152	D	Chocolate lite	27148
153	D	Tap water	27308
154	B	Instant coffee	27374
155	L	Low fat fruit yogurt	27483
156	L	Coffee	27653
157	B	Kiwifruit	27773
158	L	Blueberries	27908
159	L	Cabbage	28052
160	L	Cereals ready-to-eat, WEETABIX WHOLE WHEAT CEREAL	28354
161	L	Cola	28612
162	L	Salad	28744
163	L	Mixed vegetables	28859
164	B	Baked beans	28976
165	D	Green snap beans	29088
166	L	Bagel	29216
167	L	Mango	29426
168	D	Black beans	29565
169	D	Gravy	29691
170	D	Baked beans	29824
171	B	Egg noodles	29936
172	D	Soup	30086
173	B	Peanut butter	30145
174	B	Cheerios cereal	30260
175	B	Enriched soymilk	30388
176	D	Peach	30538
177	L	Rice chex	30748
178	L	Biscuit	30864
179	S	Kiwifruit, green, raw (Chinese gooseberry)	31026
180	D	White wine	31161
181	S	Peanut butter	31232
182	S	Tap water	31347
183	L	Natural yoghurt	31413
184	L	Kiwifruit, green, raw (Chinese gooseberry)	31576
185	B	Salted butter	31711
186	B	Chicken breast	31898
187	S	White bread	32031
188	S	Chicken	32296
189	B	Blueberries	32480
190	B	Mixed nuts	32624
191	D	Pork chops	32742
192	D	Salad	32869
193	S	Fresh orange juice	32984
194	L	Pizza	33127
195	S	Mixed nuts	33268
196	B	Cheddar cheese	33386
197	L	Chicken noodle soup	33601
198	D	Sweet pepper	33748
199	D	Coffee	34037
200	D	Weetabix	34157
201	L	Cheeseburger	34415
202	D	Fried chicken	34556
203	L	Butter	34759
204	D	Shrimp	34921
205	D	Corn	35054
206	D	Top round beef steak	35306
207	D	White mushroom	35407
208	D	Chicken southern fried	35561
209	L	Red wine	35764
210	B	White rice	35837
211	S	Porridge 	35946
212	L	Oats	36067
213	S	Tomato	36188
214	B	Chicken	36457
215	S	Corn flakes	36641
216	D	Orange	36759
217	D	Chicken thigh	36949
218	S	Instant coffee	37100
219	L	2% milk	37209
220	L	Green peas	37361
221	D	Olive oil	37479
222	L	Grapes	37585
223	L	Mashed potatoes	37730
224	D	Macaroni cheese	37849
225	D	Pasta with tomato sauce	38025
226	D	Light cream	38153
227	D	Noodles	38310
228	D	Hamburger	38430
229	D	Banana	38540
230	L	Corn flakes	38828
231	D	Beer	38946
232	D	Romaine lettuce	39043
233	B	Butter stick	39343
234	S	Chocolate cake	39516
235	S	Grapes	39658
236	S	Whole milk	39803
237	B	Jam	39908
238	B	Onion	40032
239	L	Latta	40324
240	L	Noodles	40444
241	L	Pear	40564
242	L	Beef	40762
243	D	Fried egg	40944
244	S	Chocolate ice cream	41130
245	D	Frozen corn	41255
246	L	Chicken thigh	41507
247	S	Cashew nuts	41658
248	S	Pear	41829
249	B	Avocado	42027
250	B	Bottled water	42203
251	S	Cucumber	42270
252	D	Oven french fries	42500
253	B	Honey	42685
254	B	American cheese	42768
255	B	Mexican cheese blend	42985
256	B	Americano	43200
257	B	Celery	43417
258	B	Chocolate chip cookie	43669
259	B	Low fat vanilla yogurt	43857
260	B	American eel	44024
261	D	Beef	44182
262	S	Fries	44364
