Row	Meal	Name	Pos
0	B	अंडा	33
1	B	कॉफी	214
2	B	टोस्ट	327
3	B	रोटी	543
4	B	केले	814
5	B	कॉफी	1160
6	L	रोटी	1282
7	S	चाय	1553
8	B	चाय	1654
9	B	टोस्ट	1755
10	B	केले	2025
11	D	रोटी	2316
12	B	दलिया	2588
13	B	कम वसा वाले फल दही	2711
14	L	टमाटर	2790
15	L	अंडा	3016
16	D	सफेद चावल	3198
17	B	पूरी गेहूं की रोटी	3305
18	D	गाजर	3518
19	S	बिस्किट	3855
20	B	कॉफी	4016
21	D	टमाटर	4139
22	B	बेकन	4409
23	L	सफेद चावल	4575
24	S	सेब	4682
25	S	कॉफी	4908
26	S	कम वसा वाले फल दही	5022
27	L	टमाटर	5101
28	S	रोटी	5371
29	B	केले	5643
30	D	अंडा	5941
31	D	प्याज	6123
32	D	चिकन	6437
33	B	कम वसा वाले फल दही	6620
34	D	चेडर पनीर	6765
35	S	केले	6976
36	B	1% दूध	7323
37	B	चेडर पनीर	7465
38	S	केले	7676
39	D	पिज्जा	7967
40	L	सफेद चावल	8109
41	D	रेड वाइन	8217
42	B	कॉफी	8289
43	L	गाजर	8377
44	B	रोटी	8714
45	L	चिकन	8963
46	B	सेब	9109
47	S	ऑरेंज	9335
48	L	कम वसा वाले फल दही	9521
49	B	ऑरेंज	9664
50	B	जई	9850
51	B	फ्रेंच रोटी	9968
52	B	केले	10019
53	B	रोटी	10352
54	L	सेब	10558
55	L	बेक्ड बीन्स	10784
56	D	टमाटर	10841
57	B	चेडर पनीर	11067
58	L	केले	11206
59	D	टोस्ट	11553
60	L	चेडर पनीर	11770
61	B	इंस्टेंट कॉफी	11981
62	D	रेड वाइन	12057
63	D	टमाटर	12131
64	L	जैतून का तेल	12402
65	D	बेकन	12509
66	L	टमाटर	12675
67	L	ऑरेंज	12888
68	S	अंडा	13074
69	D	चिकन स्तन	13256
70	L	चाय	13391
71	L	टमाटर	13493
72	L	रोटी	13764
73	B	मकई के गुच्छे	14013
74	B	सेब	14129
75	S	टोस्ट	14297
76	B	केले	14514
77		क्रीम पनीर	14847
78		गीला मोत्ज़ारेला पनीर	15034
79		मोत्ज़ारेला पनीर	15251
80		एक प्रकार का पनीर पनीर	15467
81		प्रोवोलोन पनीर	15609
82		स्विस पनीर	15828
83		अमेरिकी पनीर	16044
84		अमेरिकी पनीर	16266
85		पनीर फैल गया	16486
86		आधा और आधा	16632
87		प्रकाश क्रीम	16793
88		भारी सजा क्रीम	16953
89		नमकीन मक्खन	17128
90		व्हीप्ड मक्खन	17350
91		मक्खन तेल	17572
92		चेडर पनीर	17781
93		खट्टा क्रीम	17999
94		क्रीम पाउडर स्थानापन्न	18131
95		सारा दूध	18297
96		2% दूध	18447
97		1% दूध	18596
98		नोनफेट दूध	18745
99		सूखा दूध	18895
100		पूरे चॉकलेट दूध	19034
101		चॉकलेट दूध	19190
102		कम वसा वाले चॉकलेट दूध	19343
103		कम वसा वाले वेनिला दही	19493
104		कम वसा वाले फल दही	19643
105		अंडा	19796
106		अंडे की जर्दी	19986
107		तला हुआ अंडा	20129
108		मुश्किल उबले अंडे	20321
109		तले हुए अंडे	20548
110		सूखे अंडा	20774
111		बिना नमक मक्खन	20927
112		पनीर सॉस	21149
