Row	Meal	Name	Pos
0	B	Latte scremato	33
1	B	Biscotti 	186
2	L	Olio d'oliva	267
3	L	Pomodoro	375
4	B	Banana	652
5	B	Marmellata	947
6	L	Pasta	1060
7	D	Olio d'oliva	1232
8	S	Yogurt bifidus, naturale	1340
9	S	Banana	1510
10	L	Ricotta	1805
11	S	Biscotti 	1960
12	D	Pizza Margherita (Dr. Schär)	2042
13	B	Caffelatte, non zuccerato	2113
14	L	Pollo 	2299
15	D	Pane bianco	2396
16	D	Pomodoro	2697
17	B	Caffè, nero, non zuccherato	2975
18	L	Banana	3112
19	B	Croissant	3408
20	L	Pane bianco	3618
21	L	Riso bianco	3919
22	S	Latte scremato	4020
23	B	Té, non zuccherato	4174
24	S	Mela	4248
25	D	Pasta	4484
26	D	Pollo 	4657
27	L	Carota	4754
28	D	Bresaola	5075
29	L	Mela	5250
30	B	Zucchero cristallino	5486
31	S	Cioccolato al latte	5684
32	D	Ricotta	5830
33	S	Mandarino	5985
34	D	Patatine amica chips	6147
35	B	Yogurt bifidus, naturale	6299
36	L	Broccoli	6470
37	L	Pizza Margherita (Dr. Schär)	6727
38	B	Cornflakes	6798
39	B	Pane	6859
40	B	Yogurt, naturale	7158
41	D	Riso bianco	7342
42	L	Mandarino	7443
43	L	Bresaola	7605
44	S	Patatine amica chips	7780
45	B	Pane bianco	7932
46	L	Spinaci	8233
47	L	Patatine amica chips	8412
48	S	Kiwi	8564
49	L	Latte scremato	8677
50	B	Succo d'arancia	8831
51	B	Caffè istantaneo	8967
52	D	Mandarino	9074
53	D	Mela	9236
54	D	Prosciutto	9472
55	L	Pane	9626
56	D	Lenticchie, secche	9925
57	S	Yogurt, naturale magro	10047
58	D	Yogurt bifidus, naturale	10217
59	L	Patate, pelate	10388
60	L	Sottilette	10580
61	L	Patate, pelate, al vapore (senza aggiunta di sale)	10802
62	S	Ricotta	11016
63	L	Pane croccante integrale	11171
64	B	Yogurt, naturale magro	11466
65	S	Arancia	11636
66	L	Lenticchie, secche	11800
67	S	Pollo 	11922
68	S	Marmellata	12019
69	L	Prosciutto	12133
70	D	Té, non zuccherato	12287
71	D	Carota	12361
72	D	Pane	12682
73	B	Bresaola	12981
74	D	Banana	13156
75	B	Kiwi	13452
76	L	Yogurt, naturale	13565
77	D	Spinaci	13749
78	D	Latte scremato	13928
79	L	Arancia	14082
80	B	Mela	14246
81	D	Pasta al sugo 	14482
82	D	Hamburger Kebab	14612
83	S	Mandorle	14682
84	S	Pane	14917
85	S	Cacao in polvere	15216
86	S	Croissant	15337
87	L	Kiwi	15547
88	L	Cioccolato al latte	15660
89	D	Marmellata	15806
90	D	Broccoli	15920
91	S	Pane bianco	16177
92	L	Caffè, nero, non zuccherato	16478
93	L	Biscotti 	16615
94	L	Lattuga	16697
95	B	Pane croccante integrale	17024
96	D	Patate, pelate, al vapore (senza aggiunta di sale)	17319
97	B	Pizza Margherita (Dr. Schär)	17533
98	D	Patate, pelate	17604
99	L	Salame (linea economica)	17796
100	L	Salame tipo nostrano	17913
101	D	Ketchup	18033
102	B	Acqua minerale Vera	18169
103	D	Sottilette	18258
104	D	Verdura (in media)	18481
105	S	Yogurt, naturale	18615
106	D	The caldo 	18800
107	S	Prosciutto	18914
108	L	Grissini (Dr. Schär)	19069
109	S	Bresaola	19162
110	D	Uovo di gallina	19338
111	L	Marmellata	19527
112	B	Pollo 	19642
113	D	Cornetto 	19740
114	S	Té, non zuccherato	20000
115	D	Pane croccante integrale	20075
116	L	Ketchup	20371
117	S	Sottilette	20507
