Row	Meal	Name	Pos
0	B	卵	33
1	B	コーヒー	192
2	B	トースト	303
3	B	パン	499
4	B	バナナ	750
5	B	コーヒー	893
6	L	パン	1013
7	S	茶	1264
8	B	茶	1363
9	B	トースト	1462
10	B	バナナ	1712
11	D	パン	1800
12	B	オートミール	2052
13	B	低脂肪フルーツ ヨーグルト	2177
14	L	トマト	2230
15	L	卵	2324
16	D	白いご飯	2484
17	B	全粒小麦のパン	2592
18	D	ニンジン	2785
19	S	ビスケット	2998
20	B	コーヒー	3116
21	D	トマト	3237
22	B	ベーコン	3375
23	L	白いご飯	3529
24	S	アップル	3637
25	S	コーヒー	3776
26	S	低脂肪フルーツ ヨーグルト	3888
27	L	トマト	3941
28	S	パン	4079
29	B	バナナ	4331
30	D	卵	4426
31	D	タマネギ	4586
32	D	チキン	4786
33	B	低脂肪フルーツ ヨーグルト	4948
34	D	チェダー チーズ	5067
35	S	バナナ	5268
36	B	1% のミルク	5412
37	B	チェダー チーズ	5552
38	S	バナナ	5753
39	D	ピザ	5841
40	L	白いご飯	5977
41	D	赤ワイン	6086
42	B	コーヒー	6156
43	L	ニンジン	6242
44	B	パン	6455
45	L	チキン	6684
46	B	アップル	6809
47	S	オレンジ	6948
48	L	低脂肪フルーツ ヨーグルト	7067
49	B	オレンジ	7184
50	B	オート麦	7303
51	B	フランス ・ パン	7423
52	B	バナナ	7474
53	B	パン	7604
54	L	アップル	7790
55	L	ベイクド ・ ビーンズ	7929
56	D	トマト	7987
57	B	チェダー チーズ	8081
58	L	バナナ	8210
59	D	トースト	8354
60	L	チェダー チーズ	8551
61	B	インスタント コーヒー	8752
62	L	パーボイルド ライス	8820
63	D	赤ワイン	8880
64	D	トマト	8952
65	D	ベーコン	9091
66	L	オリーブ オイル	9245
67	L	トマト	9339
68	L	オレンジ	9420
69	S	卵	9539
70	D	鶏の胸肉	9699
71	L	茶	9820
72	L	トマト	9920
73	B	トウモロコシはフレーク	10059
74	L	パン	10176
75	B	アップル	10405
76	S	トースト	10486
77	B	バナナ	10683
78		クリーム チーズ	10813
79		モントレーのチーズ	11009
80		ウェット モッツァレラチーズ	11216
81		モッツァレラチーズ	11423
82		パルメザン チーズ	11629
83		パルメザン チーズ	11765
84		リコッタ チーズ	11974
85		スイスのチーズ	12112
86		アメリカン チーズ	12318
87		アメリカン チーズ	12530
88		チーズスプレッド。	12740
89		半分と半分	12875
90		ライト クリーム	13025
91		重いホイップ クリーム	13159
92		塩味のバター	13335
93		ホイップ バター	13482
94		バター オイル	13629
95		チェダー チーズ	13763
96		コルビー チーズ	13971
97		サワー クリーム	14179
98		クリーム色の代わりの粉	14304
99		全乳	14456
100		2% のミルク	14604
101		1% のミルク	14752
102		無脂肪牛乳	14900
103		乾燥したミルク	15049
104		全体チョコレート ミルク	15191
105		チョコレート ミルク	15345
106		低脂肪のチョコレート牛乳	15496
107		低脂肪バニラ ヨーグルト	15644
108		低脂肪フルーツ ヨーグルト	15768
109		卵	15895
110		卵の黄身	16063
111		目玉焼き	16201
112		ゆで卵	16371
113		スクランブルエッグ	16559
114		乾燥卵	16746
115		塩バターします。	16891
116		チーズのソース	17038
117		低脂肪チーズ	17177
118		光の低脂肪フルーツ ヨーグルト	17378
119		クリーム色の代わり	17501
120		要塞化された低脂肪フルーツ ヨーグルト	17651
121		光の要塞化された低脂肪フルーツ ヨーグルト	17780
122		チリパウダー	17905
123		マスタード	18045
124		塩	18178
125		赤ちゃんオートミール	18304
126		赤ちゃんの米穀	18460
127		ラード	18593
128		マヨネーズ ドレッシング	18697
129		マヨネーズとサラダ ドレッシング	18828
130		ピーナッツ油	18974
131		大豆油	19098
132		オリーブ オイル	19228
133		イタリアン ドレッシング	19360
134		フレンチ ドレッシング	19507
135		広がる低脂肪質植物油	19653
136		コーン油	19795
137		ブルーチーズ ドレッシング	19924
138		キャノーラ油	20075
139		バター棒	20203
140		マーガリン	20345
141		植物油の広がり	20485
142		植物油	20628
143		工業用大豆オイル	20761
144		工業用大豆および綿実オイル	20890
145		ココナッツ オイル	21019
146		チキン	21148
147		パン粉チキン	21334
148		チキン	21525
