Row	Meal	Name	Pos
0	L	Tomate	33
1	B	Café, tostado	265
2	B	Banana	363
3	B	Manzana	627
4	L	Pollo	808
5	B	Pan, integral 	942
6	L	Cebolla	1191
7	D	Tomate	1449
8	S	Manzana	1681
9	B	Pan, integral	1862
10	S	Banana	2105
11	D	Pollo	2370
12	B	Jugo, de naranja	2505
13	L	Lenteja	2595
14	L	Lechuga	2674
15	D	Pizza	2955
16	S	Tomate	3098
17	L	Banana	3331
18	L	Manzana	3596
19	L	Aguacate	3778
20	B	Huevo	3901
21	B	Leche deslactosada ligth	4035
22	B	Queso	4189
23	D	Cebolla	4370
24	L	Arroz, corriente	4629
25	B	Yogur	4685
26	L	Papas fritas	4800
27	S	Pollo	4942
28	S	Café, tostado	5077
29	L	Queso	5176
30	L	Pizza	5357
31	D	Queso	5500
32	D	Pan, integral 	5681
33	B	Granola	5931
34	D	Leche deslactosada ligth	6000
35	B	Pan, blanco	6154
36	L	Pasta	6398
37	L	Zanahoria	6517
38	D	Papas fritas	6779
39	S	Jugo, de naranja	6921
40	L	Maíz, tortilla	7011
41	D	Chocolate	7235
42	L	Leche deslactosada ligth	7324
43	S	Galletita	7478
44	B	Papaya	7615
45	S	Pan, integral 	7773
46	B	Aceite, de oliva	8023
47	B	Pollo	8132
48	L	Huevo, entero	8267
49	L	Carnero, mondongo	8401
50	D	Manzana	8470
51	B	Leche, entera	8652
52	L	Fideo, tallarín	8707
53	B	Yogur, natural 	8760
54	S	Chocolate	8859
55	S	Pan, integral	8948
56	S	Pan, francés	9192
57	L	Bebidas, Cola, carbonatadas (Soda)	9377
58	L	Yogur	9486
59	D	Lechuga	9601
60	S	Naranja	9882
61	S	Yema, de huevo	10016
62	L	Hojuela, de papas	10099
63	B	Durazno	10280
64	B	Durazno	10451
65	L	Pan, francés	10611
66	L	Aceite, de oliva	10796
67	D	Yogur	10905
68	L	Pollo, pechuga, cocida	11020
69	B	Pizza	11117
70	B	Tomate	11260
71	B	Pan, francés	11493
72	D	Banana	11678
73	L	Res, carne, magra	11943
74	D	Pan, blanco	12139
75	B	Azúcar	12383
76	D	Huevo, entero	12566
77	B	Turrón, de amaranto, con miel	12700
78	L	Jugo, de naranja	12772
79	L	Pan, blanco	12862
80	S	Papas fritas	13106
81	B	Piña	13248
82	B	Avena	13446
83	D	Pasta	13553
84	B	Avena	13672
85	S	Yogur	13731
86	L	Salchicha	13846
87	S	Pera	13895
88	S	Leche deslactosada ligth	14043
89	D	Brócoli	14197
90	S	Pizza	14393
91	L	Frijol, bayo	14536
92	L	Papaya	14588
93	S	Durazno	14746
94	B	Salchicha	14906
95	B	Naranja	14955
96	S	Lenteja	15089
97	S	Durazno	15168
98	S	Queso	15339
99	S	Carnero, mondongo	15520
100	S	Tostadas	15589
101	D	Pera	15905
102	S	Piña	16054
103	L	Arroz, inflado	16253
104	L	Café, tostado	16307
105	L	Pan, integral 	16407
106	S	Granola	16658
107	S	Cebolla	16728
108	L	Pollo, guisado	16988
109	B	Pera	17129
110	D	Naranja	17278
111	D	Pan, integral	17413
112	L	Tortilla de Mano	17658
113	B	Res, carne, magra	17667
114	B	Huevo, de gallina, cocido	17864
115	D	Café, tostado	18004
116	L	Huevo, de gallina, frito 	18104
117	L	Hamburguesa	18252
118	L	Papa, cocida	18317
119	B	Avena, preparada	18466
120	B	Lechuga	18513
121	D	Piña	18795
122	D	Mantequilla	18994
123	D	Jugo, de manzana	19160
124	S	Pollo, pechuga, cocida	19277
125	D	Repollo	19375
126	B	Yema, de huevo	19667
127	B	Jugo, de manzana	19751
128	B	Carnero, mondongo	19868
129	B	Maíz, tortilla	19938
130	B	Mantequilla	20163
131	B	Arroz, corriente	20329
132	B	Paté	20386
133	D	Galletita	20466
134	D	Maíz, tortilla	20604
135	D	Chocolate, con leche	20829
136	S	Leche, entera	20934
137	B	Aguacate	20990
138	S	Lechuga	21114
139	D	Postre, de chocolate con leche	21396
140	L	Huevo, de gallina, cocido	21491
141	B	Jamón	21631
142	D	Arroz, corriente	21729
143	D	Res, carne, magra	21786
144	D	Zanahoria	21983
145	B	Cereal para desayuno, Corn Flakes	22246
146	S	Huevo, entero	22297
147	S	Azúcar	22432
148	S	Pan, blanco	22616
149	S	Avena, preparada	22861
150	S	Zanahoria	22908
151	L	Brócoli	23171
152	L	Arroz oro hervido	23368
153	B	Gatorate	23479
154	B	Mermelada, de ciruela	23610
155	B	Sandia	23691
156	B	Agua mineral 	23979
157	S	Maíz, tortilla	24048
158	L	Galletita	24273
159	B	Queso, mozarella	24411
160	D	Jugo, de naranja	24583
161	L	Agua mineral 	24674
162	D	Salchicha	24743
163	D	Jamón	24793
164	B	Queso, crema, untable, entero	24891
165	D	Pollo, pechuga, cocida	25066
166	D	Carnero, mondongo	25164
167	B	Chocolate	25234
168	D	Hamburguesa	25324
169	L	Jugo, de manzana	25389
170	L	Jugo de tomate	25506
171	L	Camarón	25594
172	B	Tostadas	25690
173	S	Salchicha	26006
174	B	Galletita	26056
175	B	Cebolla	26194
176	B	Papas fritas	26454
177	L	Ensalada, de frutas picadas	26597
178	B	Papa, cocida	26659
179	L	Sandwich de miga	26808
180	L	Avena, preparada	26833
