Row	Meal	Name	Pos
0	B	Ovo	33
1	B	Café	221
2	B	Brinde	347
3	B	Pão	590
4	B	Café	888
5	L	Pão	1023
6	S	Chá	1321
7	B	Chá	1435
8	B	Brinde	1549
9	D	Pão	1846
10	B	Farinha de aveia	2144
11	B	Iogurte de baixa gordura frutas	2258
12	L	Tomate	2366
13	L	Ovo	2594
14	D	Arroz branco	2783
15	B	Pão de trigo integral	2894
16	D	Cenoura	3134
17	S	Biscoito	3446
18	B	Café	3608
19	D	Tomate	3744
20	L	Arroz branco	4016
21	S	Café	4127
22	S	Iogurte de baixa gordura frutas	4254
23	L	Tomate	4362
24	S	Pão	4634
25	D	Ovo	4933
26	D	Cebola	5122
27	D	Frango	5421
28	B	Iogurte de baixa gordura frutas	5588
29	B	leite de 1%	5762
30	L	Arroz branco	5917
31	D	Vinho tinto	6029
32	B	Café	6101
33	L	Cenoura	6202
34	B	Pão	6514
35	L	Frango	6790
36	S	Laranja	6920
37	L	Iogurte de baixa gordura frutas	7107
38	B	Laranja	7279
39	B	Aveia	7466
40	B	Pão francês	7575
41	B	Pão	7744
42	L	Feijões cozidos	7977
43	D	Tomate	8038
44	D	Brinde	8266
45	B	Café instantâneo	8510
46	L	Arroz parboilizado	8590
47	D	Vinho tinto	8653
48	D	Tomate	8727
49	L	Azeite de oliva	9000
50	L	Tomate	9118
51	L	Laranja	9333
52	S	Ovo	9520
53	D	Peito de frango	9709
54	L	Chá	9845
55	L	Tomate	9960
56	B	Flocos de milho	10233
57	L	Pão	10353
58	S	Brinde	10629
59		Creme de queijo	10873
60		Queijo mussarela molhado	11116
61		Queijo mussarela	11362
62		Queijo parmesão	11607
63		Queijo ricota	11757
64		Queijo suíço	11901
65		Queijo americano	12146
66		Queijo americano	12397
67		Queijo fundido	12646
68		Metade e metade	12798
69		Creme claro	12974
70		Creme de chicoteamento pesado	13149
71		Manteiga com sal	13348
72		Manteiga chantilly	13569
73		Óleo de manteiga	13790
74		Creme de leite	13998
75		Substituto de creme em pó	14134
76		Leite integral	14312
77		2% de leite	14475
78		leite de 1%	14637
79		Leite desnatado	14799
80		Leite seco	14962
81		Baixo teor de gordura iogurte de baunilha	15093
82		Iogurte de baixa gordura frutas	15271
83		Ovo	15452
84		Gema de ovo	15648
85		Ovo frito	15790
86		Ovo cozido	15988
87		Ovo mexido	16218
88		Ovo secado	16447
89		Manteiga sem sal	16610
90		De leite desnatado	16830
91		Molho de queijo	16991
92		Iogurte de frutas gordura baixa luz	17145
93		Substituto de creme	17322
94		Iogurte de frutas fortificado de gordura baixo	17497
95		Luz fortificada de iogurte de baixa gordura frutas	17680
96		Pimenta em pó	17859
97		Mostarda	18019
98		Sal	18163
99		Aveia bebê	18313
100		Cereais de arroz do bebê	18464
101		Banha	18607
102		Molho de maionese	18722
103		Molho para salada com maionese	18877
104		Óleo de amendoim	19047
105		Óleo de soja	19195
106		Azeite de oliva	19349
107		Molho italiano	19505
108		Molho francês	19676
109		Baixo gordo vegetal óleo espalhar	19846
110		Óleo de milho	20062
111		Molho de queijo azul	20215
112		Vara de manteiga	20390
113		Margarina	20606
114		Óleo vegetal se espalhou	20820
115		Óleo vegetal	20987
116		Óleo de coco	21144
117		Frango	21297
118		Frango à milanesa	21488
119		Frango	21684
120		Frango frito	21871
121		Carne de frango assado	22065
122		Frango Estufado	22254
123		Fígado de galinha	22443
124		Peito de frango com pele	22567
125		Peito de frango à milanesa	22719
126		Peito de frango assado	22877
127		Carne de peito de frango	23028
128		Peito de frango	23185
129		Baqueta	23337
130		Perna de frango	23494
131		Coxa de frango	23647
132		Asa de frango	23802
133		Asa de frango assado	23937
134		Peru assado	24052
135		Carne de peru assado	24190
136		Terra Peru	24324
137		Caldo de carne	24444
138		Canja de galinha	24597
139		Sopa cremosa de cogumelo	24759
140		Molho de carne	24921
141		Caldo de carne	25084
142		Caldo de galinha	25244
143		Caldo de galinha	25406
144		Sopa de macarrão lamen	25563
145		Bolonha	25733
146		Salsicha de fígado	25892
147		Rolo de frango	26025
148		Chouriço	26180
149		Salsicha de carne de bovino	26312
150		Cachorro-quente	26443
151		Cachorro quente de frango	26576
152		Carne do almoço	26715
153		Calabresa	26845
154		Salsicha	26978
