Row	Meal	Name	Pos
0	B	ไข่	33
1	B	กาแฟ	226
2	B	ขนมปังปิ้ง	343
3	B	ขนมปัง	579
4	B	กล้วย	870
5	B	กาแฟ	1194
6	L	ขนมปัง	1320
7	S	ชา	1611
8	B	ชา	1716
9	B	ขนมปังปิ้ง	1821
10	B	กล้วย	2111
11	D	ขนมปัง	2380
12	B	ข้าวโอ๊ต	2672
13	B	โยเกิร์ตผลไม้ไขมันต่ำ	2799
14	L	มะเขือเทศ	2891
15	L	ไข่	3090
16	D	ข้าวขาว	3284
17	B	ขนมปังโฮลวีท	3393
18	D	แครอท	3626
19	S	ขนม	3917
20	B	กาแฟ	4080
21	D	มะเขือเทศ	4207
22	B	เบคอน	4450
23	L	ข้าวขาว	4602
24	S	แอปเปิ้ล	4711
25	S	กาแฟ	4949
26	S	โยเกิร์ตผลไม้ไขมันต่ำ	5067
27	L	มะเขือเทศ	5159
28	S	ขนมปัง	5402
29	B	กล้วย	5694
30	D	ไข่	5970
31	D	หัวหอม	6164
32	D	ไก่	6430
33	B	โยเกิร์ตผลไม้ไขมันต่ำ	6562
34	D	ชีสเนยแข็งชนิดหนึ่ง	6720
35	S	กล้วย	6917
36	B	นม 1%	7242
37	B	ชีสเนยแข็งชนิดหนึ่ง	7388
38	S	กล้วย	7585
39	D	พิซซ่า	7854
40	L	ข้าวขาว	7994
41	D	ไวน์แดง	8104
42	B	กาแฟ	8175
43	L	แครอท	8267
44	B	ขนมปัง	8558
45	L	ไก่	8827
46	B	แอปเปิ้ล	8922
47	S	สีส้ม	9160
48	L	โยเกิร์ตผลไม้ไขมันต่ำ	9349
49	B	สีส้ม	9505
50	B	ข้าวโอ๊ต	9694
51	B	ขนมปังฝรั่งเศส	9816
52	B	กล้วย	9867
53	B	ขนมปัง	10178
54	L	แอปเปิ้ล	10404
55	L	ถั่วอบกรอบ	10642
56	D	มะเขือเทศ	10701
57	B	ชีสเนยแข็งชนิดหนึ่ง	10900
58	L	กล้วย	11025
59	D	ขนมปังปิ้ง	11350
60	L	ชีสเนยแข็งชนิดหนึ่ง	11587
61	B	กาแฟสำเร็จรูป	11784
62	L	ข้าวนึ่ง	11855
63	D	ไวน์แดง	11916
64	D	มะเขือเทศ	11989
65	D	เบคอน	12233
66	L	น้ำมันมะกอก	12385
67	L	มะเขือเทศ	12488
68	L	สีส้ม	12674
69	S	ไข่	12863
70	D	อกไก่	13057
71	L	ชา	13159
72	L	มะเขือเทศ	13265
73	L	ขนมปัง	13509
74	B	แอปเปิ้ล	13778
75	S	ขนมปังปิ้ง	13958
76	B	กล้วย	14195
77		ครีมชีส	14506
78		ชีมอนเทอเรย์	14679
79		ชีสเปียก	14882
80		ชีส	15085
81		เก็ต	15287
82		เก็ตตี้ชีส	15429
83		สวิสชีส	15569
84		อเมริกันชี	15771
85		อเมริกันชี	15979
86		ชีกระจาย	16185
87		สะเทิน	16325
88		สีครีม	16479
89		เนยเค็ม	16632
90		น้ำมันเนย	16837
91		ชีสเนยแข็งชนิดหนึ่ง	17029
92		ครีมเปรี้ยว	17233
93		ผงทดแทนครีม	17363
94		นมสด	17524
95		นม 2%	17678
96		นม 1%	17831
97		น้ำนมแห้ง	17984
98		นมช็อคโกแลตทั้งหมด	18127
99		นมช็อคโกแลต	18286
100		ช็อกโกแลตนมพร่องมันเนย	18442
101		โยเกิร์ตวานิลลาไขมันต่ำ	18596
102		โยเกิร์ตผลไม้ไขมันต่ำ	18759
103		ไข่	18925
104		ไข่แดง	19127
105		ไข่ดาว	19267
106		ไข่ต้มอย่างหนัก	19471
107		ไข่กวน	19698
108		ไข่แห้ง	19924
109		เนยไม่ใส่เกลือ	20057
110		ซอสชีส	20262
111		ชีสเนยแข็งไขมันต่ำชนิดหนึ่ง	20407
