Row	Meal	Name	Pos
0	B	Yumurta	33
1	B	Kahve	209
2	B	Kızarmış ekmek	338
3	B	Ekmek	579
4	B	Muz	875
5	B	Kahve	1187
6	L	Ekmek	1325
7	S	Çay	1621
8	B	Çay	1738
9	B	Kızarmış ekmek	1855
10	B	Muz	2150
11	D	Ekmek	2407
12	B	Yulaf ezmesi	2704
13	B	Düşük yağ meyve yoğurt	2839
14	L	Domates	2925
15	L	Yumurta	3153
16	D	Beyaz pirinç	3330
17	B	Tam buğday ekmeği	3445
18	D	Havuç	3683
19	S	Bisküvi	4008
20	B	Kahve	4165
21	D	Domates	4304
22	B	Pastırma	4576
23	L	Beyaz pirinç	4740
24	S	Elma	4855
25	S	Kahve	5093
26	S	Düşük yağ meyve yoğurt	5223
27	L	Domates	5309
28	S	Ekmek	5581
29	B	Muz	5878
30	D	Yumurta	6142
31	D	Soğan	6319
32	D	Tavuk	6620
33	B	Düşük yağ meyve yoğurt	6793
34	D	Kaşar peyniri	6945
35	S	Muz	7185
36	B	%1 süt	7498
37	B	Kaşar peyniri	7656
38	S	Muz	7896
39	L	Beyaz pirinç	8153
40	D	Kırmızı şarap	8269
41	B	Kahve	8339
42	L	Havuç	8443
43	B	Ekmek	8768
44	L	Tavuk	9042
45	B	Elma	9178
46	S	Turuncu	9416
47	L	Düşük yağ meyve yoğurt	9580
48	B	Turuncu	9730
49	B	Yulaf	9894
50	B	Fransız ekmeği	10024
51	B	Muz	10192
52	B	Ekmek	10491
53	L	Elma	10722
54	L	Kuru fasulye	10960
55	D	Domates	11025
56	B	Kaşar peyniri	11253
57	L	Muz	11421
58	D	Kızarmış ekmek	11734
59	L	Kaşar peyniri	11976
60	B	Hazır kahve	12216
61	L	Kaynatılmış pirinç	12292
62	D	Kırmızı şarap	12359
63	D	Domates	12431
64	D	Pastırma	12704
65	L	Zeytin yağı	12868
66	L	Domates	12975
67	L	Turuncu	13190
68	S	Yumurta	13354
69	D	Tavuk göğsü	13531
70	L	Çay	13671
71	L	Domates	13789
72	B	Mısır gevreği	14062
73	L	Ekmek	14186
74	B	Elma	14460
75	S	Kızarmış ekmek	14640
76	B	Muz	14882
77		Krem peynir	15181
78		İsviçre peyniri	15373
79		Amerikan peyniri	15618
80		Amerikan peyniri	15869
81		Peynir yayıldı	16118
82		Yarı yarıya	16269
83		Açık krem	16434
84		Ağır Kırbaçlanan krem	16592
85		Tuzlu tereyağı	16782
86		Şanti tereyağı	16950
87		Tereyağı yağ	17118
88		Kaşar peyniri	17273
89		Ekşi krema	17520
90		Krema tozu yerine	17644
91		Tam yağlı süt	17810
92		2% süt	17976
93		%1 süt	18141
94		Yağsız süt	18306
95		Kuru süt	18472
96		Bütün çikolatalı süt	18623
97		Çikolatalı süt	18794
98		Az yağlı çikolatalı süt	18962
99		Düşük yağlı vanilyalı yoğurt	19127
100		Düşük yağ meyve yoğurt	19283
101		Yumurta	19443
102		Yumurta sarısı	19628
103		Sahanda yumurta	19777
104		Katı pişmiş yumurta	19964
105		Çırpılmış yumurta	20170
106		Kurutulmuş yumurta	20375
107		Tereyağı tuz	20525
108		Peynir sos	20693
109		Düşük yağlı kaşar peyniri	20838
110		Hafif düşük yağlı meyve yoğurt	21078
111		Krem yerine	21234
112		Müstahkem düşük yağlı meyve yoğurt	21398
113		Düşük yağ meyve yoğurt ışığı güçlendirilmiş	21560
114		Biber tozu	21718
115		Hardal	21864
116		Tuz	22005
117		Bebek yulaf ezmesi	22132
118		Bebek pirinç tahıl	22280
119		Domuz yağı	22400
120		Mayonez sos	22503
121		Mayonez salata sosu	22647
122		Fıstık yağı	22806
123		Soya yağı	22943
124		Zeytin yağı	23086
125		İtalyan sosu	23231
126		Fransız sosu	23391
127		Düşük yağ bitkisel yağ yayıldı	23550
128		Mısır yağı	23713
129		Mavi peynir sosu	23855
130		Kanola yağı	24019
131		Tereyağı sopa	24160
132		Margarin	24323
133		Bitkisel yağ yayıldı	24484
134		Bitkisel yağ	24640
135		Endüstriyel soya yağı	24786
136		Endüstriyel soya ve ayçiçek yağı	24928
137		Hindistan cevizi yağı	25070
138		Tavuk	25212
139		Ekmekli Tavuk	25409
140		Tavuk	25611
141		Kızarmış tavuk	25804
142		Kavrulmuş Tavuk eti	26004
143		Haşlanmış tavuk	26199
144		Tavuk karaciğer	26394
145		Cilt ile tavuk göğsü	26521
146		Ekmekli tavuk göğsü	26677
147		Kavrulmuş tavuk göğsü	26839
148		Tavuk Göğüs eti	26994
149		Tavuk göğsü	27155
150		Baget	27311
151		Tavuk budu	27472
152		Tavuk uyluk	27641
153		Tavuk kanadı	27803
154		Kavrulmuş Tavuk kanadı	27940
155		Kavrulmuş hindi	28057
