Row	Meal	Name	Pos
0	B	Яйце	33
1	B	Кава	213
2	B	Тост	340
3	B	Хліб	599
4	B	Банан	913
5	B	Кава	1245
6	L	Хліб	1381
7	S	Чай	1695
8	B	Чай	1810
9	B	Тост	1925
10	B	Банан	2238
11	D	Хліб	2515
12	B	Вівсянка	2830
13	B	Низьким вмістом жиру фруктів йогурт	2959
14	L	Томатний	3069
15	L	Яйце	3316
16	D	Білий рис	3497
17	D	Морква	3607
18	S	Бісквіт	3913
19	B	Кава	4082
20	D	Томатний	4219
21	B	Бекон	4510
22	L	Білий рис	4692
23	S	Яблуко	4802
24	S	Кава	5058
25	S	Низьким вмістом жиру фруктів йогурт	5186
26	L	Томатний	5296
27	S	Хліб	5587
28	B	Банан	5902
29	D	Яйце	6186
30	D	Цибуля ріпчаста	6367
31	D	Курячі	6693
32	B	Низьким вмістом жиру фруктів йогурт	6895
33	D	Сир чеддер	7071
34	S	Банан	7323
35	B	1% молока	7656
36	B	Сир чеддер	7812
37	S	Банан	8064
38	D	Піца	8341
39	L	Білий рис	8483
40	D	Червоне вино	8594
41	B	Кава	8668
42	L	Морква	8770
43	B	Хліб	9076
44	L	Курячі	9368
45	B	Яблуко	9533
46	S	Помаранчевий	9789
47	L	Низьким вмістом жиру фруктів йогурт	9981
48	B	Помаранчевий	10155
49	B	Овес	10347
50	B	Французький хліб	10471
51	B	Банан	10660
52	B	Хліб	10979
53	L	Яблуко	11228
54	L	Тушкована квасоля	11484
55	D	Томатний	11544
56	B	Сир чеддер	11791
57	L	Банан	11971
58	D	Тост	12304
59	L	Сир чеддер	12564
60	B	Кава розчинна	12816
61	D	Червоне вино	12893
62	D	Томатний	12969
63	D	Бекон	13261
64	L	Оливкова олія	13443
65	L	Томатний	13557
66	L	Помаранчевий	13791
67	S	Яйце	13983
68	D	Курячі грудки	14164
69	L	Чай	14314
70	L	Томатний	14430
71	B	Шоколадний торт	14722
72	L	Хліб	14841
73	B	Яблуко	15133
74	S	Тост	15331
75	B	Банан	15591
76		Плавлений сир	15910
77		Монтерей сиру	16128
78		Мокрий Мацарелла	16386
79		Сиром моцарелла	16644
80		Сир пармезан	16901
81		Сир Рікотта	17049
82		Швейцарського сиру	17191
83		Американські сиру	17448
84		Американські сиру	17711
85		Сир, поширення	17972
86		Навпіл	18109
87		Легкий крем	18279
88		Важких збитих вершків	18453
89		Солоним маслом	18647
90		Збиті вершкове масло	18812
91		Топлене масло	18977
92		Сир чеддер	19129
93		Сметана	19388
94		Крем замінити порошок	19523
95		Незбираного молока	19696
96		2% молока	19860
97		1% молока	20023
98		Знежирене молоко	20186
99		Сухе молоко	20350
100		Все, що шоколадний молока	20497
101		Шоколадне молоко	20667
102		Шоколад знежиреного молока	20834
