Row	Meal	Name	Pos
0	B	蛋	33
1	B	咖啡	180
2	B	吐司	282
3	B	麵包	448
4	B	香蕉	669
5	B	咖啡	870
6	L	麵包	981
7	S	茶	1202
8	B	茶	1292
9	B	吐司	1382
10	B	香蕉	1602
11	D	麵包	1748
12	B	燕麥	1970
13	B	低脂肪水果酸奶	2091
14	L	番茄	2164
15	L	蛋	2317
16	D	白米飯	2465
17	B	全麥麵包	2571
18	D	胡蘿蔔	2734
19	S	餅乾	2968
20	B	咖啡	3110
21	D	番茄	3222
22	B	培根	3419
23	L	白米飯	3556
24	S	蘋果	3662
25	S	咖啡	3861
26	S	低脂肪水果酸奶	3964
27	L	番茄	4037
28	S	麵包	4234
29	B	香蕉	4456
30	D	蛋	4609
31	D	洋蔥	4757
32	D	雞	4980
33	B	低脂肪水果酸奶	5131
34	D	切達乾酪	5270
35	S	香蕉	5452
36	B	1%牛奶	5654
37	B	切達乾酪	5785
38	S	香蕉	5967
39	D	比薩	6113
40	L	白米飯	6246
41	D	紅酒	6353
42	B	咖啡	6422
43	L	胡蘿蔔	6499
44	B	麵包	6733
45	L	雞	6932
46	B	蘋果	7046
47	S	橙色	7245
48	L	低脂肪水果酸奶	7406
49	B	橙色	7543
50	B	燕麥	7704
51	B	法國麵包	7820
52	B	香蕉	7966
53	B	麵包	8154
54	L	蘋果	8310
55	L	烤的豆子	8509
56	D	番茄	8565
57	B	切達乾酪	8718
58	L	香蕉	8828
59	D	吐司	9030
60	L	切達乾酪	9197
61	B	即溶咖啡	9379
62	L	蒸谷米	9443
63	D	紅酒	9501
64	D	番茄	9572
65	D	培根	9770
66	L	橄欖油	9907
67	L	番茄	9997
68	L	橙色	10137
69	S	蛋	10298
70	D	雞胸肉	10446
71	L	茶	10566
72	L	番茄	10657
73	B	玉米片	10855
74	L	麵包	10970
75	B	蘋果	11169
76	S	吐司	11310
77	B	香蕉	11477
78		奶油芝士	11665
79		蒙特利乳酪	11831
80		濕馬蘇里拉乳酪	12019
81		馬蘇里拉乳酪	12207
82		乾酪	12394
83		義大利乳清乾酪	12527
84		瑞士乳酪	12661
85		美國乳酪	12848
86		美國乳酪	13041
87		傳播的乳酪	13232
88		一半，另一半	13367
89		淡奶油	13509
90		重攪打稀奶油	13652
91		咸的黃油	13800
92		奶油的黃油	13964
93		黃油油	14128
94		切達乾酪	14279
95		科爾比乳酪	14468
96		優酪乳油	14657
97		霜代替粉	14781
98		全脂牛奶	14926
99		2%牛奶	15065
100		1%牛奶	15203
101		脫脂牛奶	15342
102		幹奶	15482
103		整個巧克力牛奶	15620
104		巧克力牛奶	15765
105		低脂巧克力牛奶	15907
106		低脂肪香草酸奶	16046
107		低脂肪水果酸奶	16190
108		蛋	16337
109		蛋黃	16493
110		炒蛋	16629
111		硬煮的雞蛋	16787
112		炒的蛋	16961
113		幹的蛋	17134
114		無鹽黃油	17273
115		乳酪醬	17437
116		低脂肪切達乾酪	17573
117		輕低脂肪水果酸奶	17755
118		奶油替代	17898
119		強化低脂肪水果酸奶	18041
120		光強化低脂肪水果酸奶	18190
121		辣椒粉	18335
122		芥末	18473
123		鹽	18602
124		嬰兒麥片	18726
125		嬰兒米粉	18874
126		豬油	19004
127		蛋黃醬	19107
128		沙拉醬和蛋黃醬	19234
129		花生油	19376
130		大豆油	19496
131		橄欖油	19622
132		義大利敷料	19750
133		法國選礦	19893
134		低脂肪植物油蔓延	20035
135		粟米油	20194
136		藍芝士醬	20319
137		芥花籽油	20466
138		黃油棒	20590
139		人造黃油	20749
140		植物油蔓延	20906
141		植物油	21045
142		工業豉油油	21174
143		工業豉油和棉籽油	21299
144		椰油	21424
145		雞	21549
146		麵包的雞	21724
147		雞	21904
148		炒雞	22075
149		烤的雞肉	22253
150		燉的雞	22426
151		雞肝	22599
152		有皮雞胸肉	22718
153		麵包屑的雞胸肉	22854
154		烤的雞胸肉	22996
155		雞胸脯肉	23131
156		雞胸肉	23272
157		鼓槌	23408
158		炸雞腿	23533
159		雞大腿	23679
160		雞翼	23821
161		烤的雞翼	23945
162		烤的火雞	24058
163		烤的火雞肉	24186
164		地面土耳其	24310
165		雞肉塊	24427
166		牛肉湯	24551
