Row	ID	AllWeights	AllProperties
0	WS38572	1 tasseta=180|1 tassa gran=355|1 tasses	0342.5|043.5|050.95|064.95|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
1	WS20282	1 tasseta=180|1 tassa gran=355|1 tasses	031|040.15|050.1|122|1449|152
2	WS20281	1 llesca=25|1 llesca gran (cubs)=30|1 llesca fina=20|1 llesca molt prim (cubs)=15|1 llesca sense crosta=12|1 tassa (molles)=45|1 llesca fina sense crosta (cubs)=9|1 tassa (cubs)=35	03260|0411.5|052.35|0654.5|076.2
3	WS20009	1 mitjà (8 cm)=180|1 petita (7 cm)=150|1 gran (8 cm)=225|1 extraordinàriament petita (6cm)=100|1 tassa (picades)=125|1 tassa (làmines)=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
4	WS3473	1 pit=160|1 tassa (picades o picat)=140	03160|0430|053.9|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
5	WS46591	1 tasseta=180|1 tassa gran=355|1 tasses	0345|040.7|050.2|0610.5|070.2|088.4|100.05|110.05|1211|130.2|14200|151|1750
6	WS751		0395|041.8|050.35|0620.5
7	WS20281	1 llesca=25|1 llesca gran (cubs)=30|1 llesca fina=20|1 llesca molt prim (cubs)=15|1 llesca sense crosta=12|1 tassa (molles)=45|1 llesca fina sense crosta (cubs)=9|1 tassa (cubs)=35	03260|0411.5|052.35|0654.5|076.2
8	WS20282	1 tasseta=180|1 tassa gran=355|1 tasses	031|040.15|050.1|122|1449|152
9	WS19933	1 tasses|60 grams	03155|043.25|050.35|0634|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
10	WS91		0325.5|042|050.65|062.95
11	WS3473	1 pit=160|1 tassa (picades o picat)=140	03160|0430|053.9|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
12	WS91		0325.5|042|050.65|062.95
13	WS20007	1 llesca=25|1 llesca fina=20|1 llesca molt prim (cubs)=15|1 llesca sense crosta=12|2 llesca gran (cubs)=60|1 llesca fina sense crosta (cubs)=9|1 tassa (molles)=45|1 tassa (cubs)=35	03260|0410.5|051|073.5|084.5|090.5|15650
14	WS20010	1 ració=85|1 tasses	03155|0425|055.5|091.85|102.55|110.65|127|130.95|14315|151350|1655|180.9
15	WS91765	1 llesca=25|1 llesca gran (cubs)=30|1 tassa (cubs)=35|1 llesca fina=20|1 llesca sense crosta=12|1 tassa (molles)=45|1 llesca fina sense crosta (cubs)=9|1 llesca molt prim (cubs)=15	03260|0411.5|053.3|0650.5|074.3
16	WS118170	1 paquet=2|1 culleradetes=1	03165|0412.5|0512|0667|0765
17	WS168448	1 tassa (tallat)=140|1 petita=150|1 ració=165|1 gran=230|1 mitjà=180|1 tassa (cubs)=160	0357.5|040.35|050.15|0615|073.1|089.75|100.1|110.1|129|130.2|14115|151|174.3
18	WS20281	1 llesca=25|1 llesca gran (cubs)=30|1 llesca fina=20|1 llesca molt prim (cubs)=15|1 llesca sense crosta=12|1 tassa (molles)=45|1 llesca fina sense crosta (cubs)=9|1 tassa (cubs)=35	03260|0411.5|052.35|0654.5|076.2
19	WS20281	1 llesca=25|1 llesca gran (cubs)=30|1 llesca fina=20|1 llesca molt prim (cubs)=15|1 llesca sense crosta=12|1 tassa (molles)=45|1 llesca fina sense crosta (cubs)=9|1 tassa (cubs)=35	03260|0411.5|052.35|0654.5|076.2
20	WS85560	1 contenidor=245|1 contenidor petit=125|1 contenidor mitjà=185	0363|044.2|052.3|067.95
21	WS20009	1 mitjà (8 cm)=180|1 petita (7 cm)=150|1 gran (8 cm)=225|1 extraordinàriament petita (6cm)=100|1 tassa (picades)=125|1 tassa (làmines)=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
22	WS28500	1 mitjà (6cm)=125|1 gran (8 cm)=180|1 tomàquet petit (6cm)=91|1 Falca (1/4 de tomàquet mitjà)=31|1 tasses=240|1 llesca (1 cm)=20|1 llesca gruixuda/grans (1 cm)=27	0318|040.9|050.2|063.9|071.2|082.65|090.05|100.05|110.1|1210|130.3|14235|155|1713.5
23	WS20280	4 tasseta=710|1 tassa gran=355|1 tasses	031.65|060.3|1437|153
24	WS20097	1 ració=89|1 tassa (peces 1cm. picats. vagament ple)=57|1 enciam mitjà (15 cm)=540|4 fulla de mitjanes (uns 14 cm)=32|1 tassa (peces 1cm, picats, vagament ple)=57|1 enciam gran (15 cm)=755|1 fulla gran (uns 18 cm)=15|1 tassa (ratllat)=72|1 petita fulla (ratllat)=5|1 cap petit (ratllat)=325	0317|041.25|050.3|063.3|072.1|081.2|090.05|110.15|1233|130.95|14245|158|174
25	WS5618	1 mitjà=44|1 medium=44|1 gran=50|1 extra gran=56|1 petita=38|1 tasses=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
26	WS28500	1 mitjà (6cm)=125|1 gran (8 cm)=180|1 tomàquet petit (6cm)=91|1 Falca (1/4 de tomàquet mitjà)=31|1 tasses=240|1 llesca (1 cm)=20|1 llesca gruixuda/grans (1 cm)=27	0318|040.9|050.2|063.9|071.2|082.65|090.05|100.05|110.1|1210|130.3|14235|155|1713.5
27	WS20007	1 llesca=25|1 llesca fina=20|1 llesca molt prim (cubs)=15|1 llesca sense crosta=12|2 llesca gran (cubs)=60|1 llesca fina sense crosta (cubs)=9|1 tassa (molles)=45|1 tassa (cubs)=35	03260|0410.5|051|073.5|084.5|090.5|15650
28	WS5618	1 mitjà=44|1 medium=44|1 gran=50|1 extra gran=56|1 petita=38|1 tasses=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
29	WS20083	1 galeta (6cm)=35|1 petita=35|1 gran=77|1 mitjà=51	03360|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
30	WS28502	1 mitjà (6cm)=110|1 tassa (tallat)=115|1 gran=150|1 tassa (picades)=160|1 cullerada (picat)=10|1 llesca gran (1 cm)=38|1 llesca mitjà=14|1 petita=70|1 llesca fina=9|10 anells=60	0340|041.1|050.1|069.35|071.7|084.25|090.05|1223|130.2|14145|154|177.4
31	WS1518		0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
32	WS20009	1 mitjà (8 cm)=180|1 petita (7 cm)=150|1 gran (8 cm)=225|1 extraordinàriament petita (6cm)=100|1 tassa (picades)=125|1 tassa (làmines)=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
33	WS19933	1 tasses|60 grams	03155|043.25|050.35|0634|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
34	WS85560	1 contenidor=245|1 contenidor petit=125|1 contenidor mitjà=185	0363|044.2|052.3|067.95
35	WS85560	1 contenidor=245|1 contenidor petit=125|1 contenidor mitjà=185	0363|044.2|052.3|067.95
36	WS20007	1 llesca=25|1 llesca fina=20|1 llesca molt prim (cubs)=15|1 llesca sense crosta=12|2 llesca gran (cubs)=60|1 llesca fina sense crosta (cubs)=9|1 tassa (molles)=45|1 tassa (cubs)=35	03260|0410.5|051|073.5|084.5|090.5|15650
37	WS758		03320|045.3|051.85|0679.5
38	WS209372	1 llesca=27|1 llesca fina=15|1 tasses=140	03160|0418.5|058.4|062.3|092.7|103.95|110.95|127|130.9|14295|151300|1653|180.6
39	WS19932	1 taronja (7 cm)=130|1 petita (4cm)=98|1 petita (6cm)=96|1 gran (8 cm)=185|1 tassa (seccions)=180	0347.5|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
40	WS328		0339|046.95|050.35|064.95
41	WS169830		03140
42	WS20083	1 galeta (6cm)=35|1 petita=35|1 gran=77|1 mitjà=51	03360|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
43	WS328		0339|046.95|050.35|064.95
44	WS19932	1 taronja (7 cm)=130|1 petita (4cm)=98|1 petita (6cm)=96|1 gran (8 cm)=185|1 tassa (seccions)=180	0347.5|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
45	WS85560	1 contenidor=245|1 contenidor petit=125|1 contenidor mitjà=185	0363|044.2|052.3|067.95
46	WS19932	1 taronja (7 cm)=130|1 petita (4cm)=98|1 petita (6cm)=96|1 gran (8 cm)=185|1 tassa (seccions)=180	0347.5|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
47	WS20280	4 tasseta=710|1 tassa gran=355|1 tasses	031.65|060.3|1437|153
48	WS3473	1 pit=160|1 tassa (picades o picat)=140	03160|0430|053.9|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
49	WS751		0395|041.8|050.35|0620.5
50	WS5618	1 mitjà=44|1 medium=44|1 gran=50|1 extra gran=56|1 petita=38|1 tasses=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
51	WS148459	1 tasses	03355|047.5|050.4|0684|073.3|089.5|090.1|100.05|110.2|127|1329|14170|15730|1721|183.6
52	WS102734		03285
53	WS758		03320|045.3|051.85|0679.5
54	WS168636		03105
55	WS215458		0338|0413|059|066
56	WS46590	1 mitjà (3 cm)=12|1 ració|1 tassa (tallat)=165|1 tassa (meitats)=150|1 tassa (puré)=230|1 tasses=145|1 extra gran (4 cm)=27|1 gran (3 cm)=18|1 litre (3 cm)=355|1 petita (2 cm)=7	0332|040.65|050.3|067.7|072|084.9|100.05|110.15|1216|130.4|14155|151|1759
57	WS172314		0354.5
58	WS20108	1 truita=47|1 mitjà (15 cm)=30|1 10 "truita (15 cm)=72|1 12 "truita (15 cm)=115|1 7-8 "truita (15 cm)=49|1 paquet (fos)=405	03300|048|056.7|0651|072.3|084.4|091.65|103.55|111.45|12105|133.3|14155|15685
59	WS159910	1 mitjà (18cm a 20cm)=120|1 petita (15 cm a 18 cm)=100|1 gran (20 cm fins a 22 cm)=135|1 extra gran (22 cm o més)=150|1 extraordinàriament petita (inferior a 15 cm)=81|1 tassa (tallat)=150|1 tassa (puré)=225	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
60	WS5598		03425|0514|0650
61	WS20108	1 truita=47|1 mitjà (15 cm)=30|1 10 "truita (15 cm)=72|1 12 "truita (15 cm)=115|1 7-8 "truita (15 cm)=49|1 paquet (fos)=405	03300|048|056.7|0651|072.3|084.4|091.65|103.55|111.45|12105|133.3|14155|15685
62	WS136613	1 llesca mitjà (10 cm x 6 cm x 4 cm)=64|1 llesca gran (15 cm x 6 cm x 4 cm)=96|1 llesca petita (5 x 6 cm x 4 cm)=32	03310|0412|052.2|0663|073.15
63	WS159910	1 mitjà (18cm a 20cm)=120|1 petita (15 cm a 18 cm)=100|1 gran (20 cm fins a 22 cm)=135|1 extra gran (22 cm o més)=150|1 extraordinàriament petita (inferior a 15 cm)=81|1 tassa (tallat)=150|1 tassa (puré)=225	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
64	WS159910	1 mitjà (18cm a 20cm)=120|1 petita (15 cm a 18 cm)=100|1 gran (20 cm fins a 22 cm)=135|1 extra gran (22 cm o més)=150|1 extraordinàriament petita (inferior a 15 cm)=81|1 tassa (tallat)=150|1 tassa (puré)=225	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
65	WS72076	0.3 Copa=24.5|1 tasses=81	03350|0413|058.85|0662.5|0710|081|091.1|102|112.3|1252|134.25|14360|156
66	WS169830		03140
67	WS20280	4 tasseta=710|1 tassa gran=355|1 tasses	031.65|060.3|1437|153
68	WS1546		03260|043850|05135|06265
69	WS172314		0354.5
70	WS249732	0.1 barra|1 tassa (xips)=170	03500|0413|0552.5|0630|0716.5|080.9|0932.5|1016|111.55|12100|1317.5|14830|1524
71	WS1518		0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
72	WS270354		03160
73	WS751		0395|041.8|050.35|0620.5
74	WS20009	1 mitjà (8 cm)=180|1 petita (7 cm)=150|1 gran (8 cm)=225|1 extraordinàriament petita (6cm)=100|1 tassa (picades)=125|1 tassa (làmines)=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
75	WS160034	0.5 Filet de=160	03120|0420.5|054.4|090.8|101.35|110.8|127|130.4|14365|1575|1646|1811
76	WS20008	1 llesca=8|0.2 llesca gruixuda=2.4|1 llesca fina=5	03540|0437|0542|061.45|0913.5|1018.5|114.55|1211|131.45|14565|151700|16110|181
77	WS197506	1 galeta=12|1 mitjà (6cm)=10|1 gran (9 cm - 10 cm)=40	03470|045.6|0520|0670.5|072.8|0841|096.4|108.5|113.55|1222|138.7|14215|15460
78	WS758		03320|045.3|051.85|0679.5
79	WS20097	1 ració=89|1 tassa (peces 1cm. picats. vagament ple)=57|1 enciam mitjà (15 cm)=540|4 fulla de mitjanes (uns 14 cm)=32|1 tassa (peces 1cm, picats, vagament ple)=57|1 enciam gran (15 cm)=755|1 fulla gran (uns 18 cm)=15|1 tassa (ratllat)=72|1 petita fulla (ratllat)=5|1 cap petit (ratllat)=325	0317|041.25|050.3|063.3|072.1|081.2|090.05|110.15|1233|130.95|14245|158|174
80	WS86091		03195|041200|0512.5|062
81	WS751		0395|041.8|050.35|0620.5
82	WS215859	1 gran costella=185|1 costella petita=81	03165|0428.5|059.65|093.5|104.3|110.75|1218|131.1|14425|1558|1681|170.6|180.7
83	WS168448	1 tassa (tallat)=140|1 petita=150|1 ració=165|1 gran=230|1 mitjà=180|1 tassa (cubs)=160	0357.5|040.35|050.15|0615|073.1|089.75|100.1|110.1|129|130.2|14115|151|174.3
84	WS38572	1 tasseta=180|1 tassa gran=355|1 tasses	0342.5|043.5|050.95|064.95|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
85	WS135162	1 pot=165|1 tassa (sòlids o trossos)=155|1 pot gran (esgotat)=355	03145|0419.5|050.95|090.2|100.1|110.3|1217|131.65|14180|15245|1636|181.2
86	WS170634		03100
87	WS136614	0.3 Copa=24.5|1 tasses=81	03360|0412|056.9|0669.5|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
88	WS46590	1 mitjà (3 cm)=12|1 ració|1 tassa (tallat)=165|1 tassa (meitats)=150|1 tassa (puré)=230|1 tasses=145|1 extra gran (4 cm)=27|1 gran (3 cm)=18|1 litre (3 cm)=355|1 petita (2 cm)=7	0332|040.65|050.3|067.7|072|084.9|100.05|110.15|1216|130.4|14155|151|1759
89	WS164784	1 petit (4 cm 6 cm)=170|1 mitjà (cm 6-8 cm)=215|0.4 Copa (en cubs)=60|1 gran (8 cm a 11 cm)=370	0377|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156|1719.5
90	WS204229	1 barra=43	03395|047.7|056.3|0677.5|075.3|0843.5|090.75|100.15|114.85|1236|135.3|14240|15250
91	WS170634		03100
92	WS20008	1 llesca=8|0.2 llesca gruixuda=2.4|1 llesca fina=5	03540|0437|0542|061.45|0913.5|1018.5|114.55|1211|131.45|14565|151700|16110|181
93	WS328		0339|046.95|050.35|064.95
94	WS135162	1 pot=165|1 tassa (sòlids o trossos)=155|1 pot gran (esgotat)=355	03145|0419.5|050.95|090.2|100.1|110.3|1217|131.65|14180|15245|1636|181.2
95	WS20282	1 tasseta=180|1 tassa gran=355|1 tasses	031|040.15|050.1|122|1449|152
96	WS168456		03320
97	WS168636		03105
98	WS204229	1 barra=43	03395|047.7|056.3|0677.5|075.3|0843.5|090.75|100.15|114.85|1236|135.3|14240|15250
