Row	Meal	Name	Brand	Pos
0	B	llet 1%		33
1	B	Cafè		171
2	B	Pa		252
3	S	Poma		477
4	L	Pit de pollastre		704
5	B	Suc de taronja		823
6	S	Galeta multicereals (Radisson)		950
7	D	Pa		985
8	S	Cafè		1210
9	L	Arròs blanc		1291
10	S	Cafè amb llet semi		1396
11	D	Pit de pollastre		1431
12	B	Cafè amb llet semi		1551
13	B	Torrades		1586
14	B	Torrada de pernil		1820
15	B	Pa integral		1925
16	B	Cafè instantani		2150
17	B	Pera		2219
18	L	Pa		2397
19	S	Pa		2623
20	S	Iogurt fruita baixa greix		2849
21	B	Poma		2948
22	L	Tomàquet		3176
23	S	Tetera		3435
24	L	L'enciam		3509
25	D	Ou		3888
26	D	Tomàquet		4059
27	S	Torrades		4318
28	L	Ou		4552
29	B	Galeta		4723
30	D	Ceba		4869
31	L	Apple		5130
32	L	Poma		5219
33	D	Arròs blanc		5447
34	D	Iogurt fruita baixa greix		5553
35	B	Iogurt fruita baixa greix		5652
36	D	Torrades		5751
37	D	Mandarina		5985
38	B	Pernil magre extraordinàriament		6022
39	S	Taronja		6156
40	B	Iogurt		6333
41	L	Vedella		6370
42	S	Galeta		6390
43	D	Iogurt		6536
44	L	Taronja		6573
45	L	Iogurt fruita baixa greix		6750
46	B	Taronja		6849
47	B	Tetera		7026
48	B	Pit de pollastre		7100
49	B	Galeta multicereals (Radisson)		7220
50	S	Ou		7256
51	B	Flocs de blat de moro		7427
52	L	Pasta		7535
53	S	Mandarina		7555
54	L	Arròs		7592
55	B	Llet Avena		7612
56	B	Maduixa		7644
57	D	Kiwi		7908
58	L	Truita		7929
59	L	Plàtan		8143
60	D	Barrita Biocentury chocolate negro		8445
61	D	Truita		8473
62	B	Pa francès		8687
63	B	Plàtan		8845
64	S	Plàtan		9147
65	B	Civada		9449
66	D	Vedella		9559
67	L	Tetera		9579
68	B	Croissant		9653
69	S	Kiwi		9690
70	B	Xocolata per coure		9711
71	S	Apple		9832
72	S	Entrepà		9921
73	D	Galeta multicereals (Radisson)		9941
74	D	Poma		9977
75	L	Salmó		10205
76	B	Cansalada		10304
77	S	Galetes xocolata sandvitx		10446
78	B	Mandarina		10590
79	D	L'enciam		10627
80	D	Pernil dolç		11006
81	L	Galeta multicereals (Radisson)		11043
82	L	Llom de porc rostit		11079
83	S	Pera		11211
84	S	llet 1%		11389
85	L	Tonyina de llauna		11528
86	L	Llom		11680
87	B	Farina de civada		11700
88	L	Maduixa		11820
89	B	Patata		12084
90	B	Barreta de cereals		12269
91	D	Llom		12375
92	D	Cansalada		12395
93	L	Iogurt		12537
94	D	Tonyina de llauna		12574
95	L	Cafè		12726
96	B	Cereals		12808
97	D	Arròs		12828
98	S	Barreta de cereals		12848
99	B	Gelatines		12954
100	L	Formatge americà		13039
101	L	Carn de gall dindi rostit		13254
102	L	Pasta de tomàquet		13360
103	D	Pasta		13504
104	L	Mandarina		13525
105	L	Patata		13563
106	B	Coffee		13749
107	B	Barrita Biocentury chocolate negro		13787
108	S	Iogurt		13816
109	S	Pernil		13854
110	D	Formatge americà		14009
111	B	2% de llet		14224
112	D	Patata		14360
113	D	Salmó		14546
114	D	Gelatines		14646
115	B	Iogurt desnatat		14732
116	S	Maduixa		14754
117	S	2% de llet		15019
118	S	Torrada de pernil		15155
119	D	llet 1%		15261
120	B	Formatge greix reduïda		15401
121	L	Patata bullida		15613
122	L	Fruita		15796
123	L	llet 1%		15816
124	B	Pernil		15956
125	B	Llet		16111
126	B	Galetes xocolata sandvitx		16210
127	B	Pancakes		16355
128	B	Ou		16470
129	B	Bread		16642
130	B	Fruita		16743
131	B	Arròs		16763
132	B	Mantega batuda		16784
133	L	Bread		16946
134	B	Pernil i aigua		17047
135	B	Pasta de tomàquet		17181
136	B	Formatge americà		17325
137	S	L'enciam		17540
138	L	Pernil i aigua		17920
139	L	Fideus		18054
140	L	Barrita Biocentury chocolate negro		18175
141	D	Formatge greix reduïda		18204
142	L	Ceba		18416
143	D	Pernil i aigua		18678
144	D	Pinya		18812
145	D	Torrada de pernil		18967
146	L	Coffee		19073
147	D	Apple		19111
148	D	Pera		19201
149	S	Croissant		19380
150	S	Barrita Biocentury chocolate negro		19418
151	S	Llet de soja		19447
152	S	Tomàquet		19477
153	S	Pinya		19737
154	S	Pipes torrades		19892
155	S	Suc De Pinya		19994
156	S	Cereals		20015
157	D	Fruita		20036
158	S	Patata		20056
159	L	Pinya		20242
160	D	Iogurt desnatat		20397
161	D	Pasta de tomàquet		20419
162	B	Llom de porc rostit		20563
163	B	Fideus		20696
164	B	Margarina		20817
165	B	Sucre		20958
166	B	Kiwi		21144
167	B	Llom		21166
168	B	Tonyina de llauna		21187
169	D	2% de llet		21340
170	S	Fideus		21476
171	D	Pernil magre extraordinàriament		21597
172	S	Coffee		21732
173	S	Tonyina de llauna		21770
174	S	Nutella		21923
175	S	Pa integral		21960
176	S	Suc de taronja		22186
177	S	Llet		22315
178	S	Xocolata per coure		22414
179	S	Formatge greix reduïda		22536
180	S	Mantega batuda		22748
181	S	Pancakes		22910
182	B	Salmó		23025
183	L	Salmó fumat		23125
184	B	Carn de gall dindi rostit		23206
185	B	Truita		23312
186	B	Salmó fumat		23527
187	L	Pa integral		23608
188	L	Farina de civada		23834
189	L	Margarina		23955
190	L	Sucre		24096
191	L	Cereals		24282
192	L	Suc de taronja		24303
193	L	Torrades		24432
194	D	Patata bullida		24667
195	L	Gelatines		24850
196	B	Pernil dolç		24936
197	B	Llet de soja		24974
198	B	Apple		25004
199	B	Nutella		25094
200	B	Pinya		25131
201	B	Pipes torrades		25286
202	B	Entrepà		25388
203	B	Patata bullida		25409
204	D	Taronja		25592
205	D	Plàtan		25770
206	D	Suc de taronja		26073
207	L	Galeta		26202
208	D	Llenties		26349
209	L	Fesols al forn		26492
210	S	Llenties		26553
211	D	Hamburguesa		26696
212	D	Pastanaga		26823
213	D	Pollastre		27134
214	D	Pizzes		27313
215	D	Vi negre		27456
216	L	Pastanaga		27527
217	L	Pollastre		27838
218	L	Arròs vaporitzat		27980
219	L	Oli d'oliva		28043
220		Baguette		28154
221		Llet Desnatada		28191
222		Arròs integral		28211
223		Gall d'indi brasejat		28275
224		Proteïnes en pols		28310
225		Préssec		28348
226		Formatge suís		28539
227		Quetxup		28747
228		Salsitxes fresques de gall d'indi i pollastre		28785
229		Embotits		28823
230		Ametlles		28935
231		Poma verda		29103
232		Flocs d'arròs i blat integral		29196
233		Cafè amb llet desnatada		29233
234		Espetec		29253
235		Suc De Llimona		29293
236		Sucre Moreno		29331
237		Avena		29514
238		Seitan		29555
239		Baix greix formatge suís		29596
240		Cafè exprés		29810
241		Pavo		29895
242		Mantega salada		29929
243		Mantega oli		30143
244		Crema de formatge		30344
245		Crema lleugera		30556
246		Crema de llet pesat		30724
247		Substitut crema en pols		30892
248		Llet sencera		31063
249		Llet xocolata sencera		31220
250		Xocolata amb llet		31382
251		Baix greix xocolata amb llet		31541
252		Iogurt vainilla baix en greix		31697
253		Mantega sense sal		31874
254		Ou fregit		32087
255		Ous durs		32268
256		Remenat d'ou		32477
257		Iogurt fruita greix baix llum		32685
