Row	ID	AllWeights	AllProperties
0	WS24252	1 velký pohár=355|1 malý pohár=180|1 hrnky|3.1 t	031.6|060.45|090.05|110.05|130.05|1440|153.05
1	WS21541	1 velký pohár=355|1 malý pohár=180|1 hrnky|2 lžičky	031.5|040.05|060.35|070.1|127.45|130.05|1428.5|151.4
2	WS20504	1 plátek=25|1 velký plátek (kostky)=30|1 tenký plátek=20|1 plátek bez kůry=12|1 pohár (drobečky)=45|1 tenký plátek bez kůry (kostky)=9|2 plátky|2 platky|1 velmi tenký plátek (kostky)|1 pohár (kostky)=35	03295|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
3	WS20504	1 plátek=25|1 velký plátek (kostky)=30|1 tenký plátek=20|1 plátek bez kůry=12|1 pohár (drobečky)=45|1 tenký plátek bez kůry (kostky)=9|2 plátky|2 platky|1 velmi tenký plátek (kostky)|1 pohár (kostky)=35	03295|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
4	WS25124	0.5 kuře=460|1 prsa=290|1 stehno=135|1 pohár (nasekané nebo kostičky)=140|1 křídlo=49|1 platek=460|1 kuřecí maso=460	03230|0426.5|0513|093.8|105.35|112.95|1215|131.3|14225|1582|1688
5	WS21541	1 velký pohár=355|1 malý pohár=180|1 hrnky|2 lžičky	031.5|040.05|060.35|070.1|127.45|130.05|1428.5|151.4
6	WS20503	0.3 pohár=24.5|1 porce=30|1 miska=200|1 sálek=45.5|0.4 p=93.5|1 hrnky|0.5 hrnek	03360|0412|056.95|0668.5|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
7	WS23377	1 střední=44|1 velké=50|1 extra velké=56|1 malá=38|1 celé vejce. 2-3 bílky=44|1 celé vejce. 4 bílky=44|1 hrnky	03145|0412.5|059.55|060.7|080.35|093.1|103.65|111.9|1256|131.75|14140|15140|16370|182
8	WS25125	1 střední (8 cm)=180|1 malá (7 cm)=150|1 velké (8 cm)=225|1 velmi malé (6 cm)=100|1 ks=180|1 pohár (plátky)=110|1 šálek (nasekané)=125|1 kus=100	0352.5|040.25|050.2|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
9	WS24252	1 velký pohár=355|1 malý pohár=180|1 hrnky|3.1 t	031.6|060.45|090.05|110.05|130.05|1440|153.05
