Row	ID	AllWeights	AllProperties
0	WS3784	1 Becher=240|1 Kaffeetasse=240|1 große Tasse=355|1 kleine Tasse=180|1 große Tasse ☕=250|1 große Fast-Food- Bestellung=600|1 Portion=240|1 tassen|200 milliliter|1 fl oz|100 gramm|1 kleine Fast-Food-Bestellung=240|1 mittelgroße Fast Food Bestellung=480	031.05|040.1|060.1|090.2|110.1|1444|152
1	WS1121	1 Pat (2 cm sq. 1 cm)=5|1 Portion=5|1 Stückchen (2.5 cm ². 1 cm hoch)=5|1 EL=14|1 Stock (2 cm sq. 1 cm)=115|1 esslöffel|1 teelöffel|1 tassen|1 Stückchen (2,5 cm ², 1 cm hoch)=5|1 oz|100 gramm|1 Stück=115	03750|040.7|0582.5|060.8|080.65|0949.5|1019.5|113.8|1218|1421|1510|16240|181.3
2	WS40	1 EL=20|1 Portion=10|1 einzelne Packung=14|1 Päckchen=14|1 teelöffel|1 esslöffel|1 oz|100 gramm	03250|040.35|0666|070.7|0860|1442.5|1552
3	WS151	1 Brötchen (Pfanne. Abendessen oder kleine Brötchen) (5 cm Quadrat. 5 cm hoch)=28|1 Brötchen=28|2 Stück=105|1 Brötchen (Hamburger. Frankfurter Würstchen. Zwiebelbrötchen. Brötchen. große Brötchen)=43|1 Brötchen (Fuß langes Frankfurter Brötchen)=86|1 Brötchen (Pfanne, Abendessen oder kleine Brötchen) (5 cm Quadrat, 5 cm hoch)=28|1 oz|1 Brötchen (Hamburger, Frankfurter Würstchen, Zwiebelbrötchen, Brötchen, große Brötchen)=43|100 gramm	03310|048.5|057.2|0651|072.85|082.6|091.75|103.7|111.2|14130|15520
4	WS2289	1 Portion=240|1 kleine Tasse=180|1 große Tasse=355|100 milliliter|1 tassen|100 gramm	0348.5|043.5|051.7|064.9|085.2|091.05|100.45|110.05|14150|1543.5|167.3
5	WS3784	1 Becher=240|1 Kaffeetasse=240|1 große Tasse=355|1 kleine Tasse=180|1 große Tasse ☕=250|1 große Fast-Food- Bestellung=600|1 Portion=240|1 tassen|200 milliliter|1 fl oz|100 gramm|1 kleine Fast-Food-Bestellung=240|1 mittelgroße Fast Food Bestellung=480	031.05|040.1|060.1|090.2|110.1|1444|152
6	WS5601	1 mittelgroße (18 cm bis 20 cm)=120|1 kleine (15 cm bis 18 cm)=100|1 grosse (20 cm bis 22 cm)=135|1 extra-klein (kleiner als 15 cm)=81|1 Tasse (püriert)=225|1 Stück=150|1 extra groß (22 cm oder länger)=150|1 Cup (geschnitten)=150|1 halber liter|1 mittelgroße (18 cm bis 20 cms)|1 mittelgroß (18 cm - 20 cm lang)=120|1 Scheibe=5.6|1 linear Zoll=15.5|1 Resultat aus 28 g=18|1 extra klein (weniger als 15 cm lang)=81|100 gramm|1 klein (15 cm - 17,5 cm lang)=100|1 Portion=120|1 groß (20 cm - 22,5 cm lang)	0395|041.1|050.3|0623|072|0817|090.1|110.05|128|130.4|14385|151.05|1712
7	WS5877	1 mittelgroße (8 cm)=180|1 kleine (7 cm)=150|1 große (8 cm)=225|1 extra-klein (6 cm)=100|1 klein (150 gr)=150|1 Tasse (gehackt)=125|1 Tasse (Scheiben)=110|1 mittelgroß (7 cm Durchmesser) (ca. 3 pro 450 g)=140|1 mittelgroße (8 cms)|1 oz|100 gramm|1 klein (6,5 cm Durchmesser) (ca. 4 pro 450 g)=105|1 Tasse, Scheiben=110|1 Tasse, geviertelt oder gehackt=125|1 Portion=155|1 groß (8,5 cm D) (ca. 2 pro 450 g)	0357|040.3|050.3|0614|072.1|0811.5|090.05|110.1|125.05|130.2|14120|154|175
8	WS5166	1 Richtlinienbetrag pro 30 ml. Getränk=1.9|1 kleine Tasse=180|1 große Tasse=355|1 Portion=235|1 Richtlinienbetrag pro Tasse. kaltes Müsli=115|0.6 Richtlinienbetrag pro Tasse. heißes Müsli=34.5|100 milliliter|1 tassen|1 Suppendose mit Milch für Mo|1 Richtlinienbetrag pro 30 ml, Getränk=1.9|1 fl oz=29|1 Richtlinienbetrag pro Tasse, heißes Müsli=57.5|100 gramm|1 Richtlinienbetrag pro Tasse, kaltes Müsli=115	0363.5|043.4|052.25|064.9|085.25|091.35|100.6|110.1|14155|1541.5|167.6
9	WS5877	1 mittelgroße (8 cm)=180|1 kleine (7 cm)=150|1 große (8 cm)=225|1 extra-klein (6 cm)=100|1 klein (150 gr)=150|1 Tasse (gehackt)=125|1 Tasse (Scheiben)=110|1 mittelgroß (7 cm Durchmesser) (ca. 3 pro 450 g)=140|1 mittelgroße (8 cms)|1 oz|100 gramm|1 klein (6,5 cm Durchmesser) (ca. 4 pro 450 g)=105|1 Tasse, Scheiben=110|1 Tasse, geviertelt oder gehackt=125|1 Portion=155|1 groß (8,5 cm D) (ca. 2 pro 450 g)	0357|040.3|050.3|0614|072.1|0811.5|090.05|110.1|125.05|130.2|14120|154|175
