Row	ID	AllWeights	AllProperties
0	WS19354	1 μεγάλο φλιτζάνι=355|1 φλιτζανάκι=180|1 κύπελλα	031.5|040.1|122|1449|152
1	WS24013	1 φέτα=25|1 λεπτή φέτα=20|1 μεγάλη φέτα (κύβους)=30|3 φέτες=75|1 λεπτή φέτα χωρίς κόρα (κύβους)=9|1 φέτα χωρίς κρούστα=12|1 πολύ λεπτή φέτα (κύβους)=15|1 φλιτζάνι (κύβους)=35|1 φλιτζάνι (ψίχουλα)=45	03280|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
2	WS22463	1 φέτα=25|2 φέτες=25|1 λεπτή φέτα=20|1 φέτα χωρίς κρούστα=12|1 πολύ λεπτή φέτα (κύβους)=15|2 μικρό (8 cm)=69|1 φλιτζάνι (ψίχουλα)=45|1 λεπτή φέτα χωρίς κόρα (κύβους)=9|1.8 μεγάλη φέτα (κύβους)=54|1 φλιτζάνι (κύβους)=35	03335|0415.5|055.5|0657|074.6|086.3|090.95|101|111.7|12165|134.1|14220|15600|170.2
3	WS19354	1 μεγάλο φλιτζάνι=355|1 φλιτζανάκι=180|1 κύπελλα	031.5|040.1|122|1449|152
4	WS24878	1 φλιτζανάκι=180|1 μεγάλο φλιτζάνι=355|1 κύπελλα	0341.5|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
5	WS24014	1 μέτρια (6 cm)=125|1 μικρή ντομάτα (6 cm)=91|1 μεγάλο (8 cm)=180|1 μέτρια=180|1 φέτα (1 cm)=20|1 σφήνα (1/4 από μέτρια ντομάτα)=31|1 φέτα πάχους/μεγάλο (1 cm)=27|1 μεγάλη=180|1 μικρή ντομάτα (7 cm)=91|1 κύπελλα|10 μέτριες (6 cm)	0320.5|040.9|050.4|064.6|071.5|1215|131.1|1716
6	WS24015	0.5 κοτόπουλο=460|1 στήθος=290|1 φλιτζάνι (ψιλοκομμένα ή κομμένα σε κύβους)=140|1 κνήμη=135|50 γ=30|1 πτέρυγα=49|1 μερίδα=85|1 ψηγμάτων=20|1 στηθος=190|2.8 μεριδα=280|0.9 σ=200	03175|0420.5|0510|1214|131.5
7	WS24879	0.3 Κύπελλο=24.5|3 κουταλιες=20|5 Κουταλιά=8.1|1 φ=20|1 κ.σ=24.5|1 κ.γ=5|0.3 di un0.1 Κύπελλο=30|0.3 di un0,1 Κύπελλο=30|1 κύπελλα|1 Φλ|41.7 γρμ	03380|0413|056.55|0667.5|0710|081|091.1|102|112.3|1252|134.25|14360|156
8	WS23402	1 μέσο (18 cm έως 20 cm)=120|1 μικρό (15 cm έως 18 cm)=100|1 μεγάλο (20 cm έως 22 cm)=135|1 επιπλέον μικρές (μικρότερες από 15 cm)=81|1 μεγάλη (18 cm έως 20 cm)=120|1 μικρη=90|1 μεσαια=110|1 φλιτζάνι (πουρέ)=225|1 φλιτζάνι (φέτες)=150|1 μ=120|1 μικρό (10 cm έως 15 cm)=100|0.5 μέτρια=60|1 μετρια=130|1 μικρή=100	03105|040.95|050.5|0625.5|071.9
9	WS34648	1 κουταλιά σούπας=21|1 κουταλιά του γλυκού=10|1 κουταλιά γλυκου=21|1 κουταλιές της σούπας|1 κουταλια σούπας	03310|040.3|0683|070.2|0882|126|130.4|1452|154|170.5
10	WS45237	1 μεγάλο φλιτζάνι=355|1 φλιτζανάκι=180|1 ποτήρι=220|2 κουτάλια σουπας=355|1 κύπελλα	0349.5|043.3|051.95|064.8|085.05|091.25|100.55|110.05|12120|14140|1547|168|170.2|181.2
