Row	Meal	Name	Brand	Pos
0	B	Καφέ		33
1	L	Ψωμί		118
2	B	Τοστ		416
3	S	Καφέ		729
4	B	γάλα 1%		814
5	L	Ντομάτα		959
6	L	Κοτόπουλο		1247
7	B	Βρώμη		1464
8	S	Μπανάνα		1692
9	B	Μέλι		2047
10	B	2% γάλα		2219
11	L	Ελαιόλαδο		2402
12	L	Μακαρόνια		2584
13	D	Ψωμί		2778
14	L	Πατάτες		3077
15	L	Μαρούλι		3259
16	D	Ντομάτα		3713
17	S	Μπισκότο		4002
18	B	Ψωμί		4219
19	B	Μπανάνα		4518
20	B	Αυγό		4874
21	B	Τοστ ολικής αλέσεως		5052
22	B	Κουλούρι		5372
23	L	Αγγούρι		5562
24	S	Πορτοκαλί		5795
25	B	Τσάι		5984
26	S	Τοστ		6100
27	B	Στιγμιαίος καφές		6414
28	D	Τοστ		6499
29	D	Μαρούλι		6813
30	L	Αυγό		7267
31	S	Τσάι		7445
32	B	Φρέσκο χυμό πορτοκάλι		7561
33	B	Πλήρες γάλα		7713
34	D	Αυγό		7882
35	B	Ψωμί ολικής αλέσεως		8060
36	L	Άσπρο ρύζι		8302
37	L	Στήθος κοτόπουλου		8435
38	B	Δημητριακά πίτουρου βρώμης		8630
39	L	Άσπρο ψωμί		8787
40	L	Καρότο		9093
41	L	Βραστό ρύζι		9405
42	L	Πράσινο μαρούλι		9474
43	D	Πίτσα		9913
44	D	Στήθος κοτόπουλου		10070
45	S	Σοκολάτα γάλακτος		10265
46	S	Ψωμί		10402
47	S	Ξηρούς καρπούς		10701
48	S	Κουλούρι		10882
49	D	Γιαούρτι χαμηλής περιεκτικότητας σε λιπαρά φρούτων		11072
50	S	Γιαούρτι χαμηλής περιεκτικότητας σε λιπαρά φρούτων		11204
51	D	Βρώμη		11336
52	D	Μέλι		11565
53	S	Αυγό		11738
54	S	Μέλι		11916
55	D	Καρότο		12089
56	B	Γιαούρτι χαμηλής περιεκτικότητας σε λιπαρά φρούτων		12401
57	B	Τυρί τσένταρ		12533
58	B	Άσπρο ψωμί		12765
59	S	Μηλο		13071
60	L	Χοιρινή μπριζόλα		13089
61	D	Μπανάνα		13291
62	D	Κέικ σοκολάτας		13647
63	S	Φράουλα		13782
64	S	Αχλάδι		14036
65	B	Νιφάδες καλαμποκιού		14274
66	D	Αγγούρι		14396
67	L	Τυρί τσένταρ		14629
68	D	Κοτόπουλο		14861
69	B	Τυρί με μειωμένα λιπαρά		15079
70	B	Ζαχαρη		15328
71	S	Δημητριακά πίτουρου βρώμης		15621
72	D	Λευκό τοστ		15778
73	L	Φακές		16070
74	D	Άσπρο ρύζι		16262
75	D	Στιγμιαίος καφές		16395
76	L	Σοκολάτα γάλακτος		16480
77	S	Άπαχο γάλα		16617
78	D	Τυρί με μειωμένα λιπαρά		16756
79	L	Λευκό τοστ		17005
80	L	Χοιρινό κιμά		17297
81	D	Φρέσκο χυμό πορτοκάλι		17413
82	S	Παγωτό σοκολάτα		17565
83	D	Τοστ ολικής αλέσεως		17695
84	D	Ζαμπόν		18015
85	D	Κόκκινο κρασί		18153
86	S	Αγγούρι		18225
87	B	Ζαμπόν		18458
88	S	Ντομάτα		18596
89	B	γάλα 1,5%		18885
90	S	Σοκολατούχο γάλα		18905
91	D	Μακαρόνια		19090
92	L	Γιαούρτι χαμηλής περιεκτικότητας σε λιπαρά φρούτων		19284
93	S	2% γάλα		19416
94	B	Στήθος γαλοπούλας		19599
95	B	Κέικ σφουγγαριών		19777
96	B	Δημητριακα		19901
97	B	Δημητριακά πίτουρου σταφίδας		19936
98	L	2% γάλα		20047
99	B	Φράουλα		20230
100	B	Γάλα 3,5%		20484
101	B	Δημητριακά Fitness		20582
102	L	Ψημένα ψαρονέφρι		20603
103	S	Παγωτό βανίλια		20752
104	B	Αχλάδι		20900
105	B	Σοκολατούχο γάλα		21139
106	D	Τυρί κρέμα		21325
107	D	Ελβετικό τυρί		21519
108	L	Τυρί φέτα		21745
109	D	Τυρί τσένταρ		21765
110	S	Κέικ σφουγγαριών		21998
111	S	Κόκκινο κρασί		22123
112	S	Μήλου		22196
113	D	2% γάλα		22312
114	S	Τυρί μοτσαρέλα		22496
115	D	Ελαιόλαδο		22719
116	B	Μηλο		22902
117	D	Μηλο		22921
118	L	Μπανάνα		22940
119	D	Φράουλα		23297
120	D	Πατάτες		23552
121	B	Κρουασάν		23735
122	B	Φρυγανιά		23922
123	L	Δημητριακά πίτουρου βρώμης		23960
124	D	Στήθος γαλοπούλας		24118
125	B	Μαρμελάδα		24297
126	B	Ταχίνι		24317
127	S	Τοστ ολικής αλέσεως		24337
128	L	Ψωμί ολικής αλέσεως		24658
129	S	Τυρί με μειωμένα λιπαρά		24901
130	B	Σταφίδες		25151
131	B	Μαργαρίνη		25363
132	S	Φρέσκο χυμό πορτοκάλι		25563
133	L	παξιμάδι		25716
134	L	Τοστ		25736
135	B	Κασέρι		26051
136	B	Καφετιά ζάχαρη		26071
137	L	Φρέσκο χυμό πορτοκάλι		26285
138	D	Δημητριακά πίτουρου βρώμης		26438
139	L	Κρεμμύδι		26596
140	L	Κατεψυγμένο αρακά		26925
141	L	Πατάτα		27033
142	L	Βραστή πατάτα		27234
143	S	Μαυρη σοκολατα		27482
144	L	Ανάμικτα λαχανικά		27523
145	L	Ελιές		27650
146	D	Τσάι		27688
147	D	Βάφλα		27805
148	L	Πίτσα		27953
149	L	Δημητριακά πίτουρου σταφίδας		28111
150	D	Άσπρο ψωμί		28223
151	B	Μπισκότο		28530
152	L	Φετα		28748
153	L	Μπιφτεκι		28768
154	S	Μπάρα δημητριακών		28804
155	L	Άσπρα φασόλια		28824
156	S	Στήθος γαλοπούλας		28949
157	B	Τσουρέκι		29128
158	D	Μπύρα		29148
159	B	Γαλα		29287
160	B	Πορτοκαλί		29328
161	B	Γιαούρτι		29518
162	S	Καφετιά ζάχαρη		29556
163	S	Σοκολάτα λευκή		29770
164	B	Σαλάμι		29790
165	D	Γιαούρτι 2%		29906
166	L	Μουστάρδα		29944
167	L	Μαγιονέζα		30132
168	L	Τοστ ολικής αλέσεως		30313
169	L	Γιαούρτι		30634
170	L	Φακές μαγειρεμένα		30672
171	L	Τόνος		30834
172	B	Καφες		30872
173	S	Κέικ σοκολάτας		30911
174	B	Φρυγανιές		31047
175	B	Φυστικοβούτυρο		31068
176	B	Συμπυκνωμένου χυμού πορτοκαλιού		31214
177	L	Καστανό ρύζι		31348
178	B	Κουλουράκι		31449
179	B	Ελβετικό τυρί		31582
180	L	Ψωμί σίκαλης		31808
181	S	Χαλβάς		32105
182	L	Φασολάκια		32126
183	L	Στήθος γαλοπούλας		32146
184	S	Τσουρέκι		32325
185	S	Ακτινίδιο		32345
186	D	Μουστάρδα		32366
187	D	Κασέρι		32554
188	D	Πατάτα		32574
189	L	Ελβετικό τυρί		32775
190	S	Στιγμιαίος καφές		33001
191	L	Μηλο		33087
192	L	Τυρί με μειωμένα λιπαρά		33106
193	L	ΚΟΤΟΠΟΥΛΟ ΠΑΝΕ		33356
194	B	Μπάρα δημητριακών		33625
195	D	Βραστό ρύζι		33645
196	B	Γιαούρτι Γάλπο (Πλήρες)		33715
197	B	Πλιγούρι βρώμης		33755
198	D	παξιμάδι		33876
199	D	Τυρί φέτα		33896
200	D	Γαλοπούλα βραστή		33916
201	B	Γιαούρτι Αγελαδίτσα 2% (100γρ)		33955
202	L	Λουκάνικο		33994
203	D	Ηλιοσποροι		34114
204	B	Κέικ σοκολάτας		34170
205	L	Τυρί Cottage		34306
206	D	Ψωμί ολικής αλέσεως		34328
207	D	Φυστικοβούτυρο		34571
208	S	Ποπ κορν		34717
209	D	Αχλάδι		34859
210	S	Συμπυκνωμένου χυμού πορτοκαλιού		35098
211	L	Τσάι		35232
212	L	Πορτοκαλί		35349
213	S	Καφες		35539
214	S	Σοκολατα		35578
215	D	Τόνος		35598
216	L	Ψιλοκομμένο μπρόκολο		35636
217	L	Σαλατα		35880
218	L	Κουλούρι		35901
219	D	Τυρί Cottage		36092
220	S	Βρώμη		36114
221	S	Μαρούλι		36344
222	S	Γιαούρτι		36799
223	S	Πίτσα		36837
224	S	Μακαρόνια		36995
225	S	Φρυγανιές		37190
226	L	Σαλάτα με μαγιονέζα		37211
227	B	Ντομάτα		37330
228	S	Ψωμί ολικής αλέσεως		37620
229	D	Πορτοκαλί		37863
230	D	Καφέ		38053
231	B	Νερο		38140
232	D	Καφετιά ζάχαρη		38161
233	B	Πίτσα		38375
234	D	Φρυγανιές		38533
235	B	Γαλλικό ψωμί		38554
236	S	Κρουασάν		38714
237	D	Γιαούρτι 0%		38901
238	B	Τυρι		38942
239	S	Φυστικοβούτυρο		38980
240	D	Κρεμμύδι		39126
241	S	Ζαχαρη		39455
242	D	Κατεψυγμένο αρακά		39749
243	D	Χοιρινό κιμά		39857
244	L	Φέτα τυρι		39974
245	D	Μήλου		40002
246	L	Γεμιστα		40118
247	D	Τυρί Για Τοστ (Ημίσκληρο)		40138
248	B	Τυροπιτακι		40175
249	S	Μπύρα		40195
250	L	Μοσχαρι		40334
251	L	Καφέ		40366
252	L	Γιαούρτι 2%		40453
253	B	Γαλοπουλα		40491
254	L	Λευκό μανιταριών		40512
255	L	Κοτοσουπα		40668
256	D	Μπισκότο		40688
257	D	Ελιές		40906
258	B	Καρυδιά		40944
259	B	Κουλούρι Θεσσαλονίκης		41307
260	L	Τυρι		41346
261	B	Κεικ		41384
262	S	Κεράσια		41404
263	D	Μπέικον		41425
264	S	Πατατάκια		41558
265	D	Φακές		41597
266	B	Καφέ γλυκαντικο κ γαλατακι		41790
267	B	Βούτυρο ελαίου		41830
268	S	Καρότο		42045
269	D	Φρυγανιά Ολικής Αλέσεως		42358
270	L	Κόκκινο κρασί		42379
271	S	Κουλουράκι		42452
272	S	Δημητριακα		42585
273	L	Μέλι		42621
274	S	Πατάτες		42795
275	D	Ταχίνι		42978
276	D	Χοιρινή μπριζόλα		42998
277	L	Μπύρα		43201
278	D	Κρουασάν		43340
