Row	Meal	Name	Brand	Pos
0	B	Kohv		33
1	B	Muna		157
2	B	Leib		285
3	B	1% piima		513
4	L	Leib		653
5	S	Kohv		881
6	B	Tee		1005
7	L	Tomat		1081
8	B	Banaan		1328
9	L	Kana		1567
10	S	Banaan		1749
11	L	Kartul		1989
12	B	Röstsai		2135
13	L	Muna		2375
14	S	Tee		2504
15	D	Tee		2581
16	D	Kurk		2658
17	B	Kaer		2812
18	L	Kurk		2905
19	D	Tomat		3059
20	S	Leib		3307
21	B	Piim 2,5%		3536
22	B	Peekon		3574
23	S	Õun		3704
24	D	Kohv		3793
25	L	Kohv		3918
26	D	Leib		4043
27	S	Kurk		4272
28	D	Muna		4426
29	S	Šokolaad		4555
30	D	Kartulipuder		4648
31	L	Roheline salat		4751
32	B	Tomat		5052
33	D	Hapukoort		5300
34	L	Porgand		5415
35	L	Tee		5639
36	B	Kaerahelbepuder		5716
37	B	Kurk		5783
38	D	Ahjukartulid		5937
39	S	Röstsai		6084
40	S	Muna		6324
41	B	Müsli		6453
42	D	Sibul		6472
43	B	Kogu leiba		6666
44	S	Piim 2,5%		6888
45	D	Porgand		6926
46	B	Lahustuv kohv		7150
47	S	Lahustuv kohv		7232
48	L	Ahjukartulid		7314
49	D	Banaan		7461
50	B	Moos		7701
51	B	Cheddari juust		7720
52	B	Toorjuustu		7868
53	L	Banaan		8050
54	B	Kaerajahu		8290
55	B	Vorst		8393
56	L	Makaronid		8504
57	L	Õun		8613
58	B	Kohuke		8702
59	L	1% piima		8735
60	L	Kodujuust		8876
61	L	Tatar		8914
62	D	Roheline salat		8953
63	S	Madala rasvasisaldusega puuvilja jogurt		9254
64	B	Puder		9362
65	B	Madala rasvasisaldusega puuvilja jogurt		9381
66	B	Sink		9489
67	L	Röstsai		9609
68	B	Makaronid		9849
69	D	Sega pähklid		9958
70	D	Piim 2,5%		10081
71	L	Kookosõli		10119
72	L	Piim 2,5%		10215
73	D	Kodujuust		10253
74	D	Makaronid		10291
75	D	Kana		10400
76	B	Suhkur		10583
77	B	Lehtsalat		10602
78	D	Röstsai		10636
79	S	Apelsinimahl kaltsiumiga		10876
80	S	Kodujuust		11007
81	B	Egg		11045
82	L	Oliiviõli		11144
83	S	Vesi		11214
84	D	Suhkur		11233
85	D	Melon		11252
86	S	Tea		11270
87	B	Apelsinimahl kaltsiumiga		11302
88	B	Maisihelbed		11433
89	L	Sink		11542
90	L	Vorst		11662
91	D	Peekon		11773
92	D	Õun		11903
93	D	1% piima		11992
94	D	Šokolaad		12133
95	D	Tuhksuhkrut		12226
96	D	Kartulisalat		12300
97	L	Kartulisalat		12320
98	L	Madala rasvasisaldusega puuvilja jogurt		12340
99	L	Sai		12448
100	L	Vesi		12467
101	L	Kartulipuder		12487
102	L	Küpsetatud oad		12591
103	B	Mesi		12644
104	D	Cheddari juust		12691
105	B	Paprika		12840
106	B	Strawberry		12935
107	B	2% milk		13023
108	B	Vesi		13119
109	B	Kodujuust		13139
110	L	Avokaado		13178
111	S	Apple		13315
112	B	Pannkook		13406
113	B	Madala rasvasisaldusega juustu		13572
114	B	Kiivi		13722
115	B	Apelsin		13742
116	B	Maasikas		13764
117	D	Mesi		13952
118	D	Kartul		13999
119	B	Sarvesai		14146
120	S	Biskviitkook		14322
121	D	Soolatud või		14450
122	D	Oliiviõli		14557
123	D	Tatar		14628
124	B	Soolatud või		14668
125	B	Õun		14775
126	S	2% milk		14865
127	B	Prantsuse leiba		14961
128	L	Hapukoort		15118
129	B	Mustikad		15234
