Row	ID	AllWeights	AllProperties
0	WS24038	1 فنجان بزرگ=355|1 فنجان کوچک=180|1 فنجان	031|060.3|1437|153
1	WS24035	1 قاچ=25|1 تکه بزرگ (مکعب)=30|1 فنجان (مکعب)=35|10 تکه نازک بدون پوسته (مکعب)=90|1 برش نازک=20|1 تکه بدون پوسته=12|1 بسیار نازک قاچ (مکعب)=15|1 فنجان (خرده)=45|1 کف دست|1 unkown	03255|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
2	WS24035	1 قاچ=25|1 تکه بزرگ (مکعب)=30|1 فنجان (مکعب)=35|10 تکه نازک بدون پوسته (مکعب)=90|1 برش نازک=20|1 تکه بدون پوسته=12|1 بسیار نازک قاچ (مکعب)=15|1 فنجان (خرده)=45|1 کف دست|1 unkown	03255|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
3	WS24403	1 متوسط=44|1 بزرگ=56|1 ادم تنومند و بدقواره=63|1 فنجان=245|1 کوچک=38	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
4	WS20728	1 قاچ=28|1 فنجان (خرد)=115|1 فنجان (ذوب)=245|1 اینچ مکعب=17|1 بسته (ذوب)=170	03405|0425|0533|061.3|080.5|0921|109.4|110.95|12720|130.7|1498|15620|16105|180.6
5	WS24038	1 فنجان بزرگ=355|1 فنجان کوچک=180|1 فنجان	031|060.3|1437|153
6	WS24035	1 قاچ=25|1 تکه بزرگ (مکعب)=30|1 فنجان (مکعب)=35|10 تکه نازک بدون پوسته (مکعب)=90|1 برش نازک=20|1 تکه بدون پوسته=12|1 بسیار نازک قاچ (مکعب)=15|1 فنجان (خرده)=45|1 کف دست|1 unkown	03255|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
7	WS24545	1 بیسکویت (6 سانتی متر)=35|1 متوسط=51|1 بزرگ=77|1 کوچک=35	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
8	WS24402	1 متوسط (6 سانتی متر)=125|1 برش (1 سانتی متر)=20|1 گوجه فرنگی کوچک (6 سانتی متر)=91|1 فنجان=240|1 بزرگ (8 سانتی متر)=180|1 گوه (1/4 گوجه فرنگی متوسط)=31|1 برش ضخیم و بزرگ (1 سانتی متر)=27	0316|041.15|050.35|063.4|071.35
9	WS22060	1 فنجان بزرگ=355|1 فنجان|1 فنجان کوچک=180	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
10	WS24402	1 متوسط (6 سانتی متر)=125|1 برش (1 سانتی متر)=20|1 گوجه فرنگی کوچک (6 سانتی متر)=91|1 فنجان=240|1 بزرگ (8 سانتی متر)=180|1 گوه (1/4 گوجه فرنگی متوسط)=31|1 برش ضخیم و بزرگ (1 سانتی متر)=27	0316|041.15|050.35|063.4|071.35
11	WS22059	1 متوسط (18 سانتی متر به 20 سانتی متر)=120|1 بزرگ (20 سانتی متر تا 22 سانتی متر)=135|1 کوچک (15 سانتی متر 18 سانتی متر)=100|1 بزرگ (22 سانتی متر یا بیشتر)=150|1 کوچک (کوچکتر از 15 سانتی متر)=81|1 فنجان (قطعه قطعه)=150|1 فنجان (له شده)=225	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
12	WS38949	1 قاشق غذاخوری=21	03305|040.3|0682.5|070.2|0882|126|130.4|1452|154|170.5
13	WS40437	1 بسته=0.3|1 فنجان بسته بندی شده=220|1 قاشق=10|1 unkown	03385|06100|08100|121|130.05|142|151
14	WS40439	1 اونس (14 نیمه)=0.8|1 فنجان (قطعه یا تراشه)=120|1 فنجان قطعه یا=30|1 فنجان=25|1 فنجان (خرد شده)=115|1 فنجان (زمین)=80|1 فنجان (در صدف)=28	03600|0415|0565|0613.5|076.7|082.6|096.15|108.95|1147|1298|132.9|14440|152|171.3
15	WS20726	1 پستان=160|1 قطعه=20	03165|0430.5|053.8|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
16	WS41062	1 فنجان|100 گرم	0367.5|040.15|050.15|0617.5|071.2|0814.5|090.05|110.05|123.05|130.1|1475.5|152|171.75
17	WS24819	1 ظرف=245|1 ظرف متوسط=185|1 ظرف کوچک=125	0395.5|043.85|052.95|0613.5|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
18	WS24038	1 فنجان بزرگ=355|1 فنجان کوچک=180|1 فنجان	031|060.3|1437|153
19	WS24403	1 متوسط=44|1 بزرگ=56|1 ادم تنومند و بدقواره=63|1 فنجان=245|1 کوچک=38	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
20	WS24035	1 قاچ=25|1 تکه بزرگ (مکعب)=30|1 فنجان (مکعب)=35|10 تکه نازک بدون پوسته (مکعب)=90|1 برش نازک=20|1 تکه بدون پوسته=12|1 بسیار نازک قاچ (مکعب)=15|1 فنجان (خرده)=45|1 کف دست|1 unkown	03255|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
21	WS22059	1 متوسط (18 سانتی متر به 20 سانتی متر)=120|1 بزرگ (20 سانتی متر تا 22 سانتی متر)=135|1 کوچک (15 سانتی متر 18 سانتی متر)=100|1 بزرگ (22 سانتی متر یا بیشتر)=150|1 کوچک (کوچکتر از 15 سانتی متر)=81|1 فنجان (قطعه قطعه)=150|1 فنجان (له شده)=225	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
22	WS20726	1 پستان=160|1 قطعه=20	03165|0430.5|053.8|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
23	WS34239	1 متوسط (6 سانتی متر تا 8 سانتی متر)=215|1 بزرگ (8 سانتی متر به 11 سانتی متر)=370	0377|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156|1719.5
24	WS24038	1 فنجان بزرگ=355|1 فنجان کوچک=180|1 فنجان	031|060.3|1437|153
25	WS24819	1 ظرف=245|1 ظرف متوسط=185|1 ظرف کوچک=125	0395.5|043.85|052.95|0613.5|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
26	WS34236	1 فنجان (مارپیچی شکل)=135|3 فنجان (پوسته های کوچک)=345|1 فنجان	03150|045.8|050.95|0631|071.8|080.55|090.2|100.15|110.3|127|131.3|1444|151
27	WS27882	1 قاچ=120|1 پیتزا=945	03235|0411.5|0517.5|0633.5|072.3|083.6|094.45|102.6|111.7|12190|132.5|14170|15600|1617|171.4
28	WS35352	1 متوسط خدمت=115|10 سیب زمینی سرخ کرده=50|1 خدمت بزرگ=155|1 خدمت کوچک=71	03295|043.45|0514.5|0641.5|073.8|080.3|092.35|105.95|115.4|1218|130.8|14580|15210|174.7
29	WS35352	1 متوسط خدمت=115|10 سیب زمینی سرخ کرده=50|1 خدمت بزرگ=155|1 خدمت کوچک=71	03295|043.45|0514.5|0641.5|073.8|080.3|092.35|105.95|115.4|1218|130.8|14580|15210|174.7
30	WS24403	1 متوسط=44|1 بزرگ=56|1 ادم تنومند و بدقواره=63|1 فنجان=245|1 کوچک=38	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
31	WS24403	1 متوسط=44|1 بزرگ=56|1 ادم تنومند و بدقواره=63|1 فنجان=245|1 کوچک=38	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
32	WS27364	1 فنجان بزرگ=355|1 فنجان کوچک=180|1 فنجان	031|040.1|122|1449|152
33	WS27364	1 فنجان بزرگ=355|1 فنجان کوچک=180|1 فنجان	031|040.1|122|1449|152
34	WS32662	1 متوسط (6 سانتی متر)=110|1 بزرگ=150|1 فنجان (خرد شده)=160|1 فنجان (قطعه قطعه)=115|1 قاشق غذاخوری (خرد شده)=10|1 تکه بزرگ (1 سانتی متر)=38|1 برش متوسط=14|1 کوچک=70|1 برش نازک=9|10 حلقه=60	0340|041.1|050.1|069.35|071.7|084.25|090.05|1223|130.2|14145|154|177.4
35	WS35358	0.5 فنجان|100 گرم	03205|043.5|0511|0623.5|070.7|0821|096.8|102.95|110.45|12130|130.1|14200|1580|1644|170.6|180.2
36	WS62112	1 کیک اسفنجی=42|1 نوعی کیک کوچک=50	03375|043.45|0511.5|0664|071|0837.5|094.15|104.9|111.85|1224|131.35|1471|15470|1641|170.1|180.1
37	WS24545	1 بیسکویت (6 سانتی متر)=35|1 متوسط=51|1 بزرگ=77|1 کوچک=35	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
38	WS32363	1 متوسط (8 سانتی متر)=180|1 بزرگ (8 سانتی متر)=225|1 کوچک (7 سانتی متر)=150|1 کوچک (6 سانتی متر)=100|1 فنجان (خرد شده)=125|1 فنجان (برش)=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
