Row	Meal	Name	Brand	Pos
0	B	Kahvin		33
1	B	Kaurapuuro		125
2	B	Leipä		274
3	B	Maitokahvi		422
4	B	Ruisleipää		620
5	L	Leipä		823
6	S	Kahvin		971
7	L	Tomaatti		1063
8	B	Margariinia		1304
9	D	Leipä		1433
10	B	Kahvi		1581
11	L	Kurkku		1893
12	L	Peruna		2128
13	D	Tomaatti		2318
14	S	Banaani		2560
15	B	Banaani		3039
16	S	Leipä		3518
17	S	Ruisleipää		3667
18	D	Peruna		3871
19	B	Muna		4061
20	L	Ruisleipää		4232
21	D	Ruisleipää		4436
22	L	Rasvaton maito		4640
23	L	Jäävuorisalaatti		4819
24	D	Rasvaton maito		5299
25	S	Maitokahvi		5478
26	B	Mehukeitto		5677
27	B	Rasvaton maito		5732
28	D	Kurkku		5911
29	B	Keittokinkku		6146
30	L	Vihreää salaattia		6273
31	B	Rahka		6569
32	L	Margariinia		6691
33	L	Kana		6821
34	L	Porkkana		6943
35	B	Raejuusto		7215
36	L	Kahvin		7475
37	S	Omena		7568
38	B	Mustikoita		8171
39	L	Salaatti		8325
40	L	Maitokahvi		8463
41	D	Raejuusto		8662
42	B	Teen		8922
43	D	Margariinia		9031
44	L	Jauheliha (75/25)		9161
45	S	Teen		9255
46	B	Paahtoleipää		9364
47	D	Vihreää salaattia		9506
48	D	Kana		9802
49	S	Rahka		9924
50	D	Porkkana		10046
51	B	1 % maito		10318
52	B	Kurkku		10476
53	L	Makaroni		10711
54	B	Ingmariini		11254
55	D	Salaatti		11320
56	S	Keksi		11458
57	L	Raejuusto		11630
58	B	Ruisleipä		11890
59	L	Broilerin rintafileetä		12244
60	D	Makaroni		12357
61	L	Banaani		12900
62	B	Vähän rasvaa hedelmät jogurtti		13379
63	D	Broilerin rintafileetä		13550
64	D	Valkoinen riisi		13663
65	B	Cheddar-juusto		13964
66	D	Kahvi		14094
67	D	Jauheliha (75/25)		14406
68	L	Muna		14500
69	D	Makaronilaatikko		14671
70	D	Jäävuorisalaatti		14803
71	D	Muna		15283
72	L	Kahvi		15454
73	L	Valkoinen riisi		15766
74	S	Margariinia		16067
75	S	Rasvaton maito		16197
76	S	Pulla		16376
77	L	Perunasose		16507
78	D	Banaani		16642
79	L	Näkkileipä		17121
80	B	Kauraleipä		17209
81	S	Porkkana		17330
82	B	Omena		17602
83	S	Maitosuklaa		18205
84	D	Maitokahvi		18384
85	L	Ruisleipä		18583
86	B	Tomaatti		18937
87	S	Mandariini		19179
88	B	Sämpylä		19366
89	S	Muna		19725
90	S	Vähän rasvaa hedelmät jogurtti		19896
91	S	Kurkku		20067
92	B	Kalkkunaleike		20302
93	S	Kahvi		20361
94	S	Suklaa		20673
95	L	Omena		20741
96	L	Oliiviöljyä		21344
97	L	Lohi		21422
98	D	Näkkileipä		21617
99	S	Paahtoleipää		21705
100	B	Palvikinkku		21847
101	S	Tomaatti		21925
102	S	Kinkkua ja vesi		22168
103	D	Rahka		22300
104	D	Ruisleipä		22423
105	B	Kaakaota		22778
106	B	Mandariini		22979
107	S	Appelsiini		23167
108	S	Olut		23206
109	D	Sipuli		23400
110	D	Kevytmaito		23685
111	D	Punaviini		23860
112	L	Kauraleipä		24020
113	L	Kaurapuuro		24142
114	L	Kevytmaito		24293
115	D	Oliiviöljyä		24468
116	D	Jauhelihakastike		24547
117	B	Rasvaton jogurtti		24714
118	D	Spagetti		24789
119	B	Kananmuna		25021
120	L	Paprika		25272
121	B	Oltermanni		25819
122	B	Mysli		25918
123	S	Ruisleipä		25986
124	D	Lihapullat		26341
125	B	Mustikka		26442
126	B	Oltermanni (Valio)		26624
127	L	Parsakaali		26675
128	B	Kaura		26972
129	B	Pekonia		27108
130	B	Emmental Juustoviipaleet (Pirkka)		27248
131	B	Maitorahka		27305
132	B	Maustamaton jugurtti		27353
133	L	Makaronilaatikko		27424
134	L	Perunamuusi		27557
135	B	Koko-vehnä leipä		28074
136	L	Sämpylä		28218
137	L	Jääsalaatti		28578
138	B	Kinkkumakkara		28649
139	S	Hapankorppu		28680
140	L	Auringonkukansiemeniä		28745
141	D	Parsakaali		28860
142	D	Paprika		29157
143	D	Omena		29704
144	L	Jauhelihakastike		30308
145	B	Tuore Appelsiinimehu		30475
146	S	Palvikinkku		30724
147	D	Paahtoleipää		30802
148	L	Lihapullat		30945
149	B	Maissihiutaleet		31046
150	S	Sämpylä		31235
151	D	Lohi		31595
152	S	Oranssi		31791
153	D	Broilerin lihaa		31927
154	D	Kanafilee		32067
155	B	Rypsiöljy		32285
156	S	Juusto		32399
157	S	Sokeria		32419
158	B	Rasvaton maitorahka		32541
159	S	Riisipiirakka		32594
160	S	Suklaa jäätelöä		32671
161	L	Mandariini		32789
162	B	Näkkileipä		32977
163	B	Karjalanpiirakka		33066
164	S	Mehukeitto		33209
165	L	Kanafilee		33265
166	B	Emmentaljuusto		33483
167	D	Perunamuusi		33707
168	B	Mansikka		34224
169	D	Suklaa		34474
170	D	Ranskalaiset Perunat		34543
171	B	Kevytmaito		34859
172	D	Avokado		35034
173	B	Oivariini (Oivariini)		35362
174	B	Goudajuusto		35424
175	S	Proteiinipatukka		35566
176	D	Makkara		35733
177	L	Kananmuna		35861
178	L	Broilerin lihaa		36112
179	D	Sämpylä		36252
180	B	Täysjyvämuro		36612
181	S	Kananmuna		36682
182	S	Rasvaton maitorahka		36933
183	S	Ingmariini		36986
184	L	Hernekeitto		37053
185	B	Appelsiini		37138
186	B	Oltermanni 17%		37177
187	B	Juusto		37228
188	D	Pulla		37248
189	B	Sokeria		37380
190	B	Voi		37502
191	L	Avokado		37716
192	D	Kauraleipä		38044
193	L	Spagetti		38166
194	D	Goudajuusto		38398
195	L	Kastike		38540
196	L	Cheddar-juusto		38684
197	L	Palvikinkku		38815
198	D	Teen		38893
199	L	Kalakeitto		39003
200	B	Tavallinen Jogurtti		39091
201	S	Päärynä		39226
202	D	Palvikinkku		39410
203	S	Jäätelö		39488
204	S	Viinirypäleet		39757
205	D	Mandariini		40189
206	D	Nuudelit		40377
207	L	Nuudelit		40681
208	L	Fetajuusto		40985
209	B	Paprika		41204
210	S	Kalkkunaleike		41751
211	L	Kirjolohi		41811
212	S	Keittokinkku		41921
213	L	Ranskalaiset Perunat		42049
214	L	Lasagne		42365
215	S	Karjalanpiirakka		42453
216	D	Kirjolohi		42596
217	D	Kaurapuuro		42706
218	S	Kaurapuuro		42857
219	B	Neljän viljan puuro		43008
220	L	Rasvaton piimä		43063
221	S	Vaahtokarkkeja		43111
222	B	Mansikat		43239
223	D	Keittokinkku		43707
224	B	Kaurahiutale		43835
225	S	Raejuusto		44110
226	S	Kauraleipä		44371
227	D	Kananmuna		44493
228	S	Suklaakakku		44744
229	B	Kananmunan valkuainen		44868
230	B	Viili		44960
231	S	Goudajuusto		45010
232	S	Näkkileipä		45152
233	B	Suklaa		45241
234	L	Jauhelihapihvi		45310
235	D	Juustoleipä		45372
236	L	Ananas		45543
237	D	Karjalanpiirakka		46004
238	D	Cheddar-juusto		46147
239	S	Mysli		46278
240	D	Naudanjauheliha		46346
241	L	Pulla		46748
242	L	Kasvissosekeitto		46880
243	B	Mustikkakeitto Sokeroimaton (Valio)		46993
244	D	Naudanliha		47077
245	L	Rahka		47500
246	S	Maitorahka		47623
247	D	Kukkakaali		47671
248	L	Suklaa		48087
249	D	Kalkkunaleike		48156
250	L	Karjalanpiirakka		48216
251	B	Vihreä tee		48359
252	S	Kevytmaito		48487
253	L	Makkara		48662
254	S	Karamellit		48790
255	D	Ketsuppi		48937
256	B	Puuro		49061
257	D	Fetajuusto		49183
258	B	Keksi		49402
259	L	Kukkakaali		49575
260	S	Salaatti		49991
261	D	Hernekeitto		50130
262	B	Tuoretta appelsiinimehua		50215
263	S	Emmental Juustoviipaleet (Pirkka)		50361
264	S	Tonnikala öljyssä		50418
265	B	Pulla		50461
266	B	Metsämansikka Jugurtti (Valio)		50593
267	L	Oivariini (Oivariini)		50655
268	D	Kastike		50717
269	L	Mehukeitto		50861
270	L	Maitorahka		50917
271	D	Mehukeitto		50965
272	D	Olut		51021
273	S	Punaviini		51215
274	L	Goudajuusto		51375
275	L	Kala		51517
276	B	paahtoleipä		51631
277	S	Vihreä tee		51799
278	D	Perunasose		51927
279	D	Wokvihannekset		52063
280	B	Salaatti		52113
281	L	Sipuli		52252
282	B	Meetwursti		52537
283	S	Cashew-pähkinät		52600
284	D	Kinkkua ja vesi		52734
285	D	Oivariini (Oivariini)		52866
286	L	Keittokinkku		52928
287	L	Kalapuikot		53056
288	B	Paistettu kananmuna		53217
289	B	Porkkana		53436
290	B	Juustoleipä		53709
291	L	Rypsiöljy		53880
292	B	Vähärasvaisia juustoja		53994
293	L	Naudanliha		54183
294	D	Jauhelihapihvi		54606
295	S	Emmentaljuusto		54668
296	L	Jauhelihakeitto		54892
297	S	Mustikka		55038
298	B	Hunaja		55220
299	L	Ketsuppi		55311
300	D	Ananas		55435
301	D	Grillimakkara		55896
302	L	Tonnikala öljyssä		55958
303	L	Sekavihanneksia		56001
304	L	Punajuuri		56124
305	S	Suklaapatukka		56285
306	D	Bataatti		56343
307	D	Jääsalaatti		56525
308	D	Kuoreton Nakki (Kartanon)		56596
309	S	Oltermanni 17%		56665
310	B	Appelsiinimehu		56716
311	L	Wokvihannekset		56956
312	S	Korvapuusti		57006
313	S	Rasvaton jogurtti		57121
314	D	Emmental Juustoviipaleet (Pirkka)		57196
315	D	Rypsiöljy		57253
316	S	Viili		57367
317	D	Keksi		57417
318	L	Kaali		57590
319	L	Kinkkukiusaus		57915
320	B	Päärynä		58039
321	S	Kaakaota		58223
322	D	Kalakeitto		58424
323	S	Proteiinijuoma		58512
324	D	Mysli		58641
325	B	Auringonkukansiemeniä		58709
326	D	Tonnikala öljyssä		58824
327	S	Sokerikakku		58867
328	S	Oltermanni		59038
329	S	Ananas		59137
330	B	Pikakaurapuuro		59598
331	D	Maissitortilla		59931
332	L	Chocolate Shake (Nutrilett)		60193
333	L	1 % maito		60279
334	L	Kalkkunaleike		60438
335	L	Tonnikalasäilyke		60498
336	D	Kahvin		60657
337	D	Makkarakeitto		60751
338	L	Rasvaton raejuusto		60878
339	L	Koulunäkki (Vaasan)		60922
340	D	Tomaatit		61009
341	D	Jauheliha 9,5% (Atria)		61400
342	L	Grillimakkara		61448
343	L	Savustettu lohi		61510
344	B	Maitokahvia		61700
345	D	Juusto		61768
346	L	Viinirypäleet		61788
347	B	Oranssi		62220
348	D	Emmentaljuusto		62356
349	B	Cashew-pähkinät		62580
350	S	Pannukakku		62714
351	L	Appelsiini		62861
352	D	Jauhelihakeitto		62900
353	S	Limonadi		63046
354	S	Maustamaton jugurtti		63175
355	B	Smoothie		63246
356	S	Vähärasvaisia juustoja		63386
357	B	Kaurahiutaleet		63575
358	B	Viinirypäleet		63652
359	D	Tonnikalasäilyke		64084
360	D	Suklaakakku		64243
361	D	Ohut pizzan		64367
362	D	Pizza Lihatäytteellä		64480
363	D	Jäätelö		64809
364	B	Avokado		65078
365	D	Hampurilainen		65406
366	L	Tonnikala		65507
367	S	Makeiset (Kovat)		65660
368	D	Viinirypäleet		65978
369	L	Pizza Lihatäytteellä		66410
370	D	Broilerin Ohutleike (Rainbow)		66739
371	L	Teen		66783
372	S	Munkki		66893
373	D	Lasagne		67128
374	S	Smoothie		67216
375	L	Juusto		67356
376	L	Basmatiriisi		67376
377	D	Kalapuikot		67422
378	B	Hapankorppu		67583
379	D	Oltermanni (Valio)		67648
380	D	Kasvissosekeitto		67699
381	S	Oltermanni (Valio)		67812
382	B	Mantelit		67863
383	B	Sulatejuustosta		68174
384	B	Tuorejuustolevite		68319
385	B	Mehukeittoa		68410
386	L	Pinaattikeitto		68436
387	L	Naudanjauheliha		68508
388	L	Juustoleipä		68910
389	B	Edam juusto		69081
390	S	Suklaakeksi		69125
391	S	Oivariini (Oivariini)		69391
392	S	Avokado		69453
393	S	Tavallinen Jogurtti		69781
394	B	Emmentaljuusto (Vähärasvainen, Pastoroitu)		69916
395	L	Kanakeitto		70105
396	S	Hunaja		70238
397	B	Sämpylät (Täysjyvävehnä)		70329
398	D	Naudanjauheliha (10% Rasvaa)		70624
399	B	Pähkinä		70752
400	S	Paprika		70921
401	L	Tomaatit		71468
402	L	Vesimeloni		71859
403	B	Ananas		72269
404	D	Riisikakku		72730
405	D	Tortilla		72750
406	L	Rasvaton maitorahka		72952
407	D	1 % maito		73005
408	D	Sinappi		73164
409	B	Voileipämeetvursti		73355
410	L	Makkarakeitto		73391
411	L	Emmental Juustoviipaleet (Pirkka)		73518
412	L	Kuoreton Nakki (Kartanon)		73575
413	L	Naudanjauheliha (10% Rasvaa)		73644
414	L	Herne-Maissi-Paprika (Pirkka)		73772
415	B	Arkirae		73840
416	B	Vehnälese (Elovena)		73875
417	D	Pähkinä		73931
418	D	Hapankorppu		74100
419	D	Maitorahka		74165
420	L	Kasvispihvi		74213
421	L	Tortilla		74286
422	S	Siideri		74488
423	S	Lakritsi		74557
424	L	Oltermanni		74804
425	D	Voi		74903
426	D	Kesäkurpitsa (Kypsennetty)		75117
427	S	Metsämansikka Jugurtti (Valio)		75421
428	B	Tyrnimuru (muro, Taivalkosken mylly)		75483
429	L	Voi		75517
430	B	Maksamakkara		75731
431	L	Limonadi		76101
432	D	Paistettua kanaa		76230
433	L	Mozzarella-juustoa		76369
434	L	Metsämansikka Jugurtti (Valio)		76566
435	L	Porsaankyljyksiä		76628
