Row	ID	AllWeights	AllProperties
0	WS1818	1 tasse de café=240|1 grande tasse=355|1 petite tasse=180|1 portion=240|1 grande commande fast food=600|3 tasses de café=720|1 commande moyenne de fast food=480|1 tasses|100 millilitres|1 fl oz|100 grammes|1 commande de petit fast food=240	030.95|040.1|060.1|090.05|110.05|1444|152
1	WS201	1 verre=240|1 petite tasse=180|1 fruit donne=83|1 grande tasse=355|1 tasses|100 millilitres|1 oz|1 fl oz=30|100 grammes	0347.5|040.7|050.25|0611|070.2|088.95|090.05|100.05|110.05|14205|150.85
2	WS199	1 pat (2.5 cm ². 1 cm de haut)=5|1 pat (sq 2 cm. 1 cm)=5|1 bâton=115|1 cuillères à soupe|1 cuillères à café|1 tasses|100 grammes|1 pat (2,5 cm ², 1 cm de haut)=5|1 oz	03720|040.85|0581|060.1|080.1|0951|1021|113.1|1424|1511.5|16215
3	WS7761	1 grande tasse=355|1 petite tasse=180|1 tasses	031.05|060.3|090.25|100.05|110.85|1435.5|153.2
4	WS465	1 tranche=25|1 tranche. large=30|1 tranche fine. croûte pas mangée=9|1 tranche. mince=20|1 tranche. croûte pas mangée=12|1 tranche. très fine=15|1 tasse. miette=45|1 tasse. en cubes=35|2 tranches|100 grammes|1 tranche fine, croûte pas mangée=9|1 tranche, croûte pas mangée=12|1 tranche, très fine=15|1 tranche, mince=20|1 oz|1 tranche, large=30|1 tasse, en cubes=35|1 tasse, miette=45	03265|047.75|053|0651|072.4|083.9|090.65|100.6|111.25|1499.5|15680
5	WS916	1 c. à soupe=20|1 c. à café=8|1 sachet=14|2 Cuillère a café=28|1 c à café=20|3 cuillères à café|2.8 cuillères à soupe	03245|040.5|050.5|0661|072.2|0858.5|1218|131.4|14100|1512|174
6	WS8283	1 grande tasse=355|1 petite tasse=180|1 bol=250|0.1 grande tassé=100|0.5 mug=100|1 tasses|100 millilitres	0333.5|043.4|050.1|064.7|084.7|090.05|12125|14165|1539|170.6
7	WS5607	1 tranche=25|1 grande tranche (cubes)=30|2 tranches=25|1 tranche fine=20|1 petit pain chu=46|1 tranche sans croûte=12|1 très fine tranche (cubes)=15|1 tasse (cubes)=35|1 tasse (miettes)=45|1 fine tranche sans croûte (cubes)=9|0.9 tranché=90	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
8	WS8662	1 portion=54|1 tasses|100 grammes|1 oz	0314|041.6|050.2|062.35|071.1|080.7|090.05|110.1|14240|1527
9	WS8662	1 portion=54|1 tasses|100 grammes|1 oz	0314|041.6|050.2|062.35|071.1|080.7|090.05|110.1|14240|1527
10	WS1818	1 tasse de café=240|1 grande tasse=355|1 petite tasse=180|1 portion=240|1 grande commande fast food=600|3 tasses de café=720|1 commande moyenne de fast food=480|1 tasses|100 millilitres|1 fl oz|100 grammes|1 commande de petit fast food=240	030.95|040.1|060.1|090.05|110.05|1444|152
11	WS1424	1 récipient=245|1 petit récipient=125|1 récipient moyen=185	0396|043.8|053|0614|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
12	WS5607	1 tranche=25|1 grande tranche (cubes)=30|2 tranches=25|1 tranche fine=20|1 petit pain chu=46|1 tranche sans croûte=12|1 très fine tranche (cubes)=15|1 tasse (cubes)=35|1 tasse (miettes)=45|1 fine tranche sans croûte (cubes)=9|0.9 tranché=90	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
13	WS465	1 tranche=25|1 tranche. large=30|1 tranche fine. croûte pas mangée=9|1 tranche. mince=20|1 tranche. croûte pas mangée=12|1 tranche. très fine=15|1 tasse. miette=45|1 tasse. en cubes=35|2 tranches|100 grammes|1 tranche fine, croûte pas mangée=9|1 tranche, croûte pas mangée=12|1 tranche, très fine=15|1 tranche, mince=20|1 oz|1 tranche, large=30|1 tasse, en cubes=35|1 tasse, miette=45	03265|047.75|053|0651|072.4|083.9|090.65|100.6|111.25|1499.5|15680
14	WS1424	1 récipient=245|1 petit récipient=125|1 récipient moyen=185	0396|043.8|053|0614|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
15	WS7018	1 morceau. 2 cubes=4.9|2 morceaux=6|1 cuillère à café de déballé=3|1 carré de sucre=4.2|1 sachet=2.8|0.5 morceau=3|1 Montant indicatif par 30 ml. boisson=1.3|1.9 paquet individuel=11.5|2 morceau. 4 cubes=1|2 morceau. 6 cubes=4.9|1 portion=8|1 cuillères à café|1 tasses|1 morceau. 1 cubes|1 cuillère à café de déballés|1 c. à thé de la tassée=4.6|1 tasse emballée=220|1 tasse déballée=145|1 c. à thé de brownulated=3.2	03405|06105|08100
16	WS8057	1 tasse. cuit=160|1 portion=105|1 oz. sec. donne=87|1 tasse. sec. donne=570|1 tasse. sec=60|1 tasses|1 tasse, cuit=160|1 oz, sec, donne=87|100 grammes|1 tasse, sec, donne=570	03150|043|050.3|0632.5|070.5|080.05|090.1|100.1|110.1|1440.5|15330
17	WS4486	1 moyen (6 cm)=125|1 petite tomate (6 cm)=91|1 grande (8 cm)=180|1 tranche (1 cm)=20|1 tomate=110|1 coin (1/4 de tomates moyennes)=31|1 tomates=100|1 tranche épaisse en gros (1 cm)=27|1 tasses|1 moyen (6 cms)	0321.5|040.8|050.3|064.25|071.2|083.2|090.05|100.05|110.15|128.5|130.15|14225|151.6|1718
18	WS5607	1 tranche=25|1 grande tranche (cubes)=30|2 tranches=25|1 tranche fine=20|1 petit pain chu=46|1 tranche sans croûte=12|1 très fine tranche (cubes)=15|1 tasse (cubes)=35|1 tasse (miettes)=45|1 fine tranche sans croûte (cubes)=9|0.9 tranché=90	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
19	WS1424	1 récipient=245|1 petit récipient=125|1 récipient moyen=185	0396|043.8|053|0614|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
20	WS9012	1 tranche=36|2 tranches=36|1 portion=36|1 tranche sans croûte=12|1 oz|100 grammes	03245|048.55|053.6|0648|073.9|089.05|090.8|101.6|110.65|14225|15480
21	WS1818	1 tasse de café=240|1 grande tasse=355|1 petite tasse=180|1 portion=240|1 grande commande fast food=600|3 tasses de café=720|1 commande moyenne de fast food=480|1 tasses|100 millilitres|1 fl oz|100 grammes|1 commande de petit fast food=240	030.95|040.1|060.1|090.05|110.05|1444|152
22	WS4486	1 moyen (6 cm)=125|1 petite tomate (6 cm)=91|1 grande (8 cm)=180|1 tranche (1 cm)=20|1 tomate=110|1 coin (1/4 de tomates moyennes)=31|1 tomates=100|1 tranche épaisse en gros (1 cm)=27|1 tasses|1 moyen (6 cms)	0321.5|040.8|050.3|064.25|071.2|083.2|090.05|100.05|110.15|128.5|130.15|14225|151.6|1718
23	WS465	1 tranche=25|1 tranche. large=30|1 tranche fine. croûte pas mangée=9|1 tranche. mince=20|1 tranche. croûte pas mangée=12|1 tranche. très fine=15|1 tasse. miette=45|1 tasse. en cubes=35|2 tranches|100 grammes|1 tranche fine, croûte pas mangée=9|1 tranche, croûte pas mangée=12|1 tranche, très fine=15|1 tranche, mince=20|1 oz|1 tranche, large=30|1 tasse, en cubes=35|1 tasse, miette=45	03265|047.75|053|0651|072.4|083.9|090.65|100.6|111.25|1499.5|15680
24	WS7936	1 moyen (8 cm)=180|1 petit (7 cm)=150|1 grande (8 cm)=225|1 très petite (6 cm)=100|1 moyenne (7 cm de diamètre) (environ 3 pour 450 g)=140|1 tasse (tranches)=110|1 tasse (hachée)=125|1 moyen (8 cms)|1 tranche mince=7.7|1 rondelle=13.5|1 tranche=17|1 oz, avec peau, donne=27|1 pommier=34.5|100 grammes|1 petite (6,5 cm de diamètre) (environ 4 pour 450 g)=105|1 tasse, tranché	0354.5|040.3|050.3|0614|072.1|0811.5|090.05|110.1|125.05|130.2|14120|154|175
25	WS7936	1 moyen (8 cm)=180|1 petit (7 cm)=150|1 grande (8 cm)=225|1 très petite (6 cm)=100|1 moyenne (7 cm de diamètre) (environ 3 pour 450 g)=140|1 tasse (tranches)=110|1 tasse (hachée)=125|1 moyen (8 cms)|1 tranche mince=7.7|1 rondelle=13.5|1 tranche=17|1 oz, avec peau, donne=27|1 pommier=34.5|100 grammes|1 petite (6,5 cm de diamètre) (environ 4 pour 450 g)=105|1 tasse, tranché	0354.5|040.3|050.3|0614|072.1|0811.5|090.05|110.1|125.05|130.2|14120|154|175
26	WS1946	1 pièces (9.5 cm x 4.5 cm x 0.3 cm)=5.2|3 pièces=36|1 tours=3.1|1 tasses. tours=33|1 pièces (9,5 cm x 4,5 cm x 0,3 cm)=5.2|0.5 oz=14|1 tasse, morceau=30|1 tasses, tours=33|100 grammes	03405|0411.5|053.3|0675|075.85|081|090.45|100.75|111.25|14195|15800
27	WS5079	1 tranche mince (environ 5 cm x 4 cm x 0.3 cm)=7.2|1 Pilon=135|1 poitrine=290|1 tranche moyenne (environ 5 cm x 4 cm x 0.6 cm)=14|1 oz. avec os (donne après la cuisson. les os enlevés)=12|1 tasse (haché ou en dés)=140|1 pouce cube. désossé cuit=17|1 pépite=20|1 oz. avec os. cuit donne aprè|100 grammes|1 tranche mince (environ 5 cm x 4 cm x 0,3 cm)=7.2|1 oz, avec os (donne après la cuisson, les os enlevés)=12|1 tranche moyenne (environ 5 cm x 4 cm x 0,6 cm)=14|1 pouce cube, désossé cuit=17|1 oz, avec os, cuit donne aprè	03235|0426.5|0513.5|093.8|105.35|112.95|14220|15380|1686
28	WS7829	1 tasse (1 portion)=28|1 boîte. à portion individuelle=21|1 tasses|1 boîte, à portion individuelle=21|1 oz|100 grammes	03365|046.8|050.25|0686|074.4|086.7|100.05|110.05|14120|15885
29	WS7527	1 moyenne (18 cm - 20 cm de long)=120|1 moyen (18 cm à 20 cm)=120|1 petit (15 cm - 17.5 cm de long)=100|1 très petit (moins de 15 cm de long)=81|1 large (20 cm - 22.5 cm de long)=180|1 petite (15 cm à 18 cm)=100|1 grande (20 cm à 22 cm)=135|1 portion=120|1 moyen (18 cm à 20 cms)=120|1 tranche=5.6|1 pouce linéaire=15.5|1 g donne=18|100 grammes|1 petit (15 cm - 17,5 cm de long)=100|1 large (20 cm - 22,5 cm de long)	0390|041.1|050.35|0623|072.55|0813|090.1|100.05|110.05|14360|150.9
30	WS9653	10 fèves=62|10 haricots (10 cm de long)=55|1 lie=30|1 portion=150|1 tasses|100 grammes|1 oz|1 livres=455	0331|041.8|050.15|067|073.4|081.4|090.05|110.05|14205|155.75
31	WS8057	1 tasse. cuit=160|1 portion=105|1 oz. sec. donne=87|1 tasse. sec. donne=570|1 tasse. sec=60|1 tasses|1 tasse, cuit=160|1 oz, sec, donne=87|100 grammes|1 tasse, sec, donne=570	03150|043|050.3|0632.5|070.5|080.05|090.1|100.1|110.1|1440.5|15330
32	WS7632	1 tasse. cuit=140|1 portion=140|1 oz. sec. donne=80|1 tasses|1 tasse, cuit=140|1 oz, sec, donne=80|100 grammes	03185|046.15|051.1|0630.5|071.8|080.55|090.2|100.15|110.3|1445|15205
33	WS1025	1 tranche=25|2 tranches=25|2 tranche sans croûte=24|2 tranche fine=40|1 grande tranche (cubes)=30|1 très fine tranche (cubes)=15|1 tasse (miettes)=45|1 tasse (cubes)=35|1 fine tranche sans croûte (cubes)=9	03335|049.05|0510.5|0647.5|072.05|083.1|095.85|102.45|110.85|1252.5|131.1|14145|15535|1641.5|170.25|180.25
34	WS1013	1 grande tasse=355|1 petite tasse=180|1 tasses|1 bar|1 bol|1 tasse (puces)|1 barres|1 petite tassé|1 pièce	03150|043.5|056.2|0619|070.9|0816|093.8|101.9|110.25|12130|130.5|14235|1583.5|168.6|181.2
35	WS2784	1 moyen=44|1 petit=36.5|1 large=50.5|1 portion=50.5|1 tasse (4.86 oeufs)=245|1 extra large=58|2 moyens|1 Gros|2 récipient|1 grande|1 oz|1 jumbo=65.5|100 grammes|1 tasse (4,86 oeufs)=245	03150|0412.5|0510|060.8|080.75|093.1|103.85|111.4|14135|15140|16430
36	WS1424	1 récipient=245|1 petit récipient=125|1 récipient moyen=185	0396|043.8|053|0614|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
37	WS8152	1 moyen=61|1 petit (14 cm)=50|1 gros (7 à 21 cm)=72|1 tasse (râpé)=110|1 tasse (bandes ou tranches)=120|1 tasse (hachée)=130|1 tranche=3|1 large bande (8 cm)=7|1 portion=100|1 bande moyenne (bandes ou tranches)=4|1 gros (7 à 21 cms)	0341.5|040.9|050.35|0610|072.9|087.1|090.05|110.15|1233|130.15|14155|1525|176.2
38	WS6176	1 pâtisserie=57|1 bar=44|1 portion=57|1 pièce=8|1 tasse (puces)=170|100 grammes|1 oz	03415|048.55|0524|0644.5|073.9|0810.5|0914|106.6|111.15|14190|15650|1660
39	WS7527	1 moyenne (18 cm - 20 cm de long)=120|1 moyen (18 cm à 20 cm)=120|1 petit (15 cm - 17.5 cm de long)=100|1 très petit (moins de 15 cm de long)=81|1 large (20 cm - 22.5 cm de long)=180|1 petite (15 cm à 18 cm)=100|1 grande (20 cm à 22 cm)=135|1 portion=120|1 moyen (18 cm à 20 cms)=120|1 tranche=5.6|1 pouce linéaire=15.5|1 g donne=18|100 grammes|1 petit (15 cm - 17,5 cm de long)=100|1 large (20 cm - 22,5 cm de long)	0390|041.1|050.35|0623|072.55|0813|090.1|100.05|110.05|14360|150.9
40	WS7646	1 tranche=27|2 tranches=27|1 tranche fine=15|1 tasses	03180|0422.5|058.95|093.1|104.45|111.4|128.15|131.35|14410|151500|1659|180.8
41	WS7632	1 tasse. cuit=140|1 portion=140|1 oz. sec. donne=80|1 tasses|1 tasse, cuit=140|1 oz, sec, donne=80|100 grammes	03185|046.15|051.1|0630.5|071.8|080.55|090.2|100.15|110.3|1445|15205
42	WS7936	1 moyen (8 cm)=180|1 petit (7 cm)=150|1 grande (8 cm)=225|1 très petite (6 cm)=100|1 moyenne (7 cm de diamètre) (environ 3 pour 450 g)=140|1 tasse (tranches)=110|1 tasse (hachée)=125|1 moyen (8 cms)|1 tranche mince=7.7|1 rondelle=13.5|1 tranche=17|1 oz, avec peau, donne=27|1 pommier=34.5|100 grammes|1 petite (6,5 cm de diamètre) (environ 4 pour 450 g)=105|1 tasse, tranché	0354.5|040.3|050.3|0614|072.1|0811.5|090.05|110.1|125.05|130.2|14120|154|175
43	WS1939	1 portion=235|1 bol=300|1 tasses|3 louche|100 grammes|1 oz	0343.5|041.8|051.9|065.4|070.9|081.55|090.35|100.85|110.55|14215|15250
44	WS2838	1 mini (environ 23 cm de long)=150|1 petite tranche=32|1 portion=64|1 tranche moyenne=64|1 large tranche=96|1 pouce cube=3.7|1 tranche=25|1 tranche. croûte pas mangée=31|1 mini (environ 10 cm de long)=19.5|1 régulière (environ 56 cm de long)|100 grammes|1 oz|1 tranche, croûte pas mangée=31	03275|048.8|052.85|0652.5|072.95|080.3|090.6|101.15|110.7|14110|15610
45	WS7646	1 tranche=27|2 tranches=27|1 tranche fine=15|1 tasses	03180|0422.5|058.95|093.1|104.45|111.4|128.15|131.35|14410|151500|1659|180.8
46	WS783	1 portion moyenne=115|1 grande portion=155|1 petite portion=71|10 frites=50|1 portion=155	03165|042.65|055.3|0628|072.8|080.3|091.05|103.25|110.3|1212|130.75|14450|15390|1713.5
47	WS7936	1 moyen (8 cm)=180|1 petit (7 cm)=150|1 grande (8 cm)=225|1 très petite (6 cm)=100|1 moyenne (7 cm de diamètre) (environ 3 pour 450 g)=140|1 tasse (tranches)=110|1 tasse (hachée)=125|1 moyen (8 cms)|1 tranche mince=7.7|1 rondelle=13.5|1 tranche=17|1 oz, avec peau, donne=27|1 pommier=34.5|100 grammes|1 petite (6,5 cm de diamètre) (environ 4 pour 450 g)=105|1 tasse, tranché	0354.5|040.3|050.3|0614|072.1|0811.5|090.05|110.1|125.05|130.2|14120|154|175
48	WS2784	1 moyen=44|1 petit=36.5|1 large=50.5|1 portion=50.5|1 tasse (4.86 oeufs)=245|1 extra large=58|2 moyens|1 Gros|2 récipient|1 grande|1 oz|1 jumbo=65.5|100 grammes|1 tasse (4,86 oeufs)=245	03150|0412.5|0510|060.8|080.75|093.1|103.85|111.4|14135|15140|16430
49	WS7527	1 moyenne (18 cm - 20 cm de long)=120|1 moyen (18 cm à 20 cm)=120|1 petit (15 cm - 17.5 cm de long)=100|1 très petit (moins de 15 cm de long)=81|1 large (20 cm - 22.5 cm de long)=180|1 petite (15 cm à 18 cm)=100|1 grande (20 cm à 22 cm)=135|1 portion=120|1 moyen (18 cm à 20 cms)=120|1 tranche=5.6|1 pouce linéaire=15.5|1 g donne=18|100 grammes|1 petit (15 cm - 17,5 cm de long)=100|1 large (20 cm - 22,5 cm de long)	0390|041.1|050.35|0623|072.55|0813|090.1|100.05|110.05|14360|150.9
50	WS7761	1 grande tasse=355|1 petite tasse=180|1 tasses	031.05|060.3|090.25|100.05|110.85|1435.5|153.2
