Row	ID	AllWeights	AllProperties
0	WS19000	1 כוס גדול=355|1 כוס קטן=180|1.2 כוס קטנה=205|1 כוסות	032.85|040.1|060.35|070.1|126.4|130.05|1432.5|151.5
1	WS22319	1 חצי כוס=160|1 כוסות|1 כפות	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
2	WS25527	1 בינוני=200|1 קטן (16 ס מ)=160|1 כוס (קצוצים)=135|1 פרוסה=7|1 כוס (פרוסות)=120|1 גדול (21 ס מ)=280|1 מקל (10 ס מ)=9	0312|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
3	WS18977	1 פרוסה=25|1 פרוסה גדולה (קוביות)=30|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|2 פרוסות=25|1 כוס (קוביות)=35|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03240|0410.5|053.1|0639.5|078.3|090.65|100.75|111.3|1261|132.4|14220|15455|160.7
4	WS23042	1 חבילה=2|1 כפיות|2 כוסות	03225|0412.5|0512|0667|0765
5	WS22320	0.5 עוף=460|0.1 השד=29|1 כנף=49|0.5 כרע עוף=230|1 כוס (קצוצים או חתוכה לקוביות)=140|1 גוש=20	03175|0421|0510.5|1214|131.5
6	WS18977	1 פרוסה=25|1 פרוסה גדולה (קוביות)=30|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|2 פרוסות=25|1 כוס (קוביות)=35|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03240|0410.5|053.1|0639.5|078.3|090.65|100.75|111.3|1261|132.4|14220|15455|160.7
7	WS19811	1 בינוני (6 ס מ)=125|4 פרוסה (1 ס מ)=80|0.5 גדול (8 ס"מ)=91|1 וודג (1/4 של עגבנייה בינונית)=31|1 כוסות|1 פרוסה גדולה/עבה (1 ס מ)=27|1 עגבנייה קטנה (6 ס מ)=91	0319.5|040.9|050.4|064.55|071.5|1214.5|131.05|1716
8	WS35176	2 פרוסה=50|2 פרוסות=25|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03265|0413.5|054.25|0643.5|077.4|086.4|090.85|100.75|111.85|12105|132.5|14230|15380|170.1
9	WS19811	1 בינוני (6 ס מ)=125|4 פרוסה (1 ס מ)=80|0.5 גדול (8 ס"מ)=91|1 וודג (1/4 של עגבנייה בינונית)=31|1 כוסות|1 פרוסה גדולה/עבה (1 ס מ)=27|1 עגבנייה קטנה (6 ס מ)=91	0319.5|040.9|050.4|064.55|071.5|1214.5|131.05|1716
10	WS22318	1 בינוני=44|1 גדול=50|1 גדול מאוד=56|3 large=44|2 קטן=76|4 ג'מבו=250|1 כוסות=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
11	WS25502	1 השד=160|1 כוס (קצוצים או חתוכה לקוביות)=140|1 חתיכה=160	03165|0431|053.65|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
12	WS25526	1 פרוסה=25|2 פרוסות=16.5|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|1 כוס (קוביות)=35|1 פרוסה גדולה (קוביות)=30|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03260|0411.5|053.3|0650.5|074.3
13	WS18976	1 כוסות|41.7 גרמים	03355|047.5|050.5|0683.5|073.3|089.5|090.1|100.05|110.2|127|1329|14170|15730|1721|183.6
14	WS28444	1 אבוקדו=200|1 כוס (פרוסות)=145|1 כוס (קוביות)=150|0.2 כוס (מחית)=46	03160|042|0514.5|068.55|076.7|080.65|092.15|109.8|111.8|1212|130.55|14485|157|1710
15	WS22318	1 בינוני=44|1 גדול=50|1 גדול מאוד=56|3 large=44|2 קטן=76|4 ג'מבו=250|1 כוסות=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
16	WS18977	1 פרוסה=25|1 פרוסה גדולה (קוביות)=30|1 פרוסה בלי קרום=12|1 גביע (פירורים)=45|2 פרוסות=25|1 כוס (קוביות)=35|1 פרוסה דק=20|1 פרוסה דק ללא קרום (קוביות)=9|1 פרוסה דק מאוד (קוביות)=15	03240|0410.5|053.1|0639.5|078.3|090.65|100.75|111.3|1261|132.4|14220|15455|160.7
17	WS24661	1 כוס קטן=180|1 כוס גדול=355|1 כוסות	031|060.3|1437|153
18	WS25527	1 בינוני=200|1 קטן (16 ס מ)=160|1 כוס (קצוצים)=135|1 פרוסה=7|1 כוס (פרוסות)=120|1 גדול (21 ס מ)=280|1 מקל (10 ס מ)=9	0312|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
19	WS19811	1 בינוני (6 ס מ)=125|4 פרוסה (1 ס מ)=80|0.5 גדול (8 ס"מ)=91|1 וודג (1/4 של עגבנייה בינונית)=31|1 כוסות|1 פרוסה גדולה/עבה (1 ס מ)=27|1 עגבנייה קטנה (6 ס מ)=91	0319.5|040.9|050.4|064.55|071.5|1214.5|131.05|1716
20	WS22319	1 חצי כוס=160|1 כוסות|1 כפות	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
