Row	ID	AllWeights	AllProperties
0	WS128855	2 छोटे कप=355|2 बड़े कप=710|1 कप	031|060.3|1437|153
1	WS94249	1 स्लाइस=25|2 पतले स्लाइस पपड़ी (cubes) के बिना=18|0.5 कप (टुकड़ों)=22.5|1 कप (cubes)=35|1 बड़े स्लाइस (cubes)=30|1 पतले स्लाइस=20|1 बहुत पतली स्लाइस (cubes)=15	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
2	WS153368	1 मध्यम=44|1 बड़ी=50|1 अतिरिक्त बड़े=56|1 बरा=63|1 कप=245|1 छोटी सी=38	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
3	WS94250	1 कप	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
4	WS94249	1 स्लाइस=25|2 पतले स्लाइस पपड़ी (cubes) के बिना=18|0.5 कप (टुकड़ों)=22.5|1 कप (cubes)=35|1 बड़े स्लाइस (cubes)=30|1 पतले स्लाइस=20|1 बहुत पतली स्लाइस (cubes)=15	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
5	WS128855	2 छोटे कप=355|2 बड़े कप=710|1 कप	031|060.3|1437|153
6	WS94249	1 स्लाइस=25|2 पतले स्लाइस पपड़ी (cubes) के बिना=18|0.5 कप (टुकड़ों)=22.5|1 कप (cubes)=35|1 बड़े स्लाइस (cubes)=30|1 पतले स्लाइस=20|1 बहुत पतली स्लाइस (cubes)=15	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
7	WS94250	1 कप	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
8	WS94249	1 स्लाइस=25|2 पतले स्लाइस पपड़ी (cubes) के बिना=18|0.5 कप (टुकड़ों)=22.5|1 कप (cubes)=35|1 बड़े स्लाइस (cubes)=30|1 पतले स्लाइस=20|1 बहुत पतली स्लाइस (cubes)=15	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
9	WS175848	1 मध्यम=61|1 बड़े (7 के लिए 21 सेमी)=72|1 छोटी सी (14 सेमी.)=50|1 स्लाइस=3|1 कप (कद्दूकस किया हुआ)=110|1 कप (स्ट्रिप्स या स्लाइसें)=120|1 मध्यम पट्टी (स्ट्रिप्स या स्लाइसें)=4|1 बड़ी पट्टी (8 सेमी)=7|1 कप (बारीक कटी हुई)=130	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
10	WS94807	1 बड़े (8 सेमी)=225|1 छोटी सी (7 सेमी)=150|1 अतिरिक्त छोटे (6 सेमी)=100|1 कप (बारीक कटी हुई)=125|1 कप (स्लाइसें)=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
11	WS94805	1 स्लाइस=25|1 कप (टुकड़ों)=45|1 कप (cubes)=35|1 बड़े स्लाइस (cubes)=30|1 पतले स्लाइस=20|1 पतले स्लाइस पपड़ी (cubes) के बिना=9|1 बहुत पतली स्लाइस (cubes)=15	03260|0411.5|053.3|0650.5|074.3
12	WS153368	1 मध्यम=44|1 बड़ी=50|1 अतिरिक्त बड़े=56|1 बरा=63|1 कप=245|1 छोटी सी=38	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
13	WS153368	1 मध्यम=44|1 बड़ी=50|1 अतिरिक्त बड़े=56|1 बरा=63|1 कप=245|1 छोटी सी=38	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
14	WS180192	1 बिस्कुट (6 सेमी)=35|2 मध्यम=100|1 बड़ी=77|1 छोटी सी=35	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
15	WS175848	1 मध्यम=61|1 बड़े (7 के लिए 21 सेमी)=72|1 छोटी सी (14 सेमी.)=50|1 स्लाइस=3|1 कप (कद्दूकस किया हुआ)=110|1 कप (स्ट्रिप्स या स्लाइसें)=120|1 मध्यम पट्टी (स्ट्रिप्स या स्लाइसें)=4|1 बड़ी पट्टी (8 सेमी)=7|1 कप (बारीक कटी हुई)=130	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
16	WS166680	1 मध्यम (२० सेमी करने के लिए 18 सेमी)=120|3 अतिरिक्त बड़े (22 सेमी या लंबे समय तक)=450|1 कप (बारीक कटा हुआ)=150|1 बड़े (22 सेमी करने के लिए 20 सेमी)=135|1 छोटी सी (१८ सेमी करने के लिए 15 सेमी)=100|1 अतिरिक्त छोटे (15 सेमी से छोटा है)=81	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
17	WS245500	1 स्लाइस=25|8 बड़े स्लाइस (cubes)=240|1 पतले स्लाइस=20|1 कप (टुकड़ों)=45|1 कप (cubes)=35|1 पतले स्लाइस पपड़ी (cubes) के बिना=9|1 बहुत पतली स्लाइस (cubes)=15	03270|0411|051|073.5|084.5|090.5|15650
18	WS245499	1 कप|1 छोटे कप=180|1 बड़े कप=355	031|040.1|122|1449|152
19	WS94807	1 बड़े (8 सेमी)=225|1 छोटी सी (7 सेमी)=150|1 अतिरिक्त छोटे (6 सेमी)=100|1 कप (बारीक कटी हुई)=125|1 कप (स्लाइसें)=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
20	WS153367	1 स्लाइस=28|1 कप (diced)=130|1 कप (कटा हुआ)=115|1 कप (पिघला)=245|1 घन इंच=17|1 पैकेज (पिघला)=170	03405|0425|0533|061.3|080.5|0921|109.4|110.95|12720|130.7|1498|15620|16105|180.6
21	WS166680	1 मध्यम (२० सेमी करने के लिए 18 सेमी)=120|3 अतिरिक्त बड़े (22 सेमी या लंबे समय तक)=450|1 कप (बारीक कटा हुआ)=150|1 बड़े (22 सेमी करने के लिए 20 सेमी)=135|1 छोटी सी (१८ सेमी करने के लिए 15 सेमी)=100|1 अतिरिक्त छोटे (15 सेमी से छोटा है)=81	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
22	WS151751	1 नारंगी (7 सेमी)=130|1 कप (वर्गों)=180|1 बड़े (8 सेमी)=185|1 छोटी सी (6 सेमी)=96	0347|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
23	WS94806	1 मध्यम कंटेनर=185|1 छोटे कंटेनर=125	0376|044.15|052.45|069.3
24	WS245499	1 कप|1 छोटे कप=180|1 बड़े कप=355	031|040.1|122|1449|152
25	WS245500	1 स्लाइस=25|8 बड़े स्लाइस (cubes)=240|1 पतले स्लाइस=20|1 कप (टुकड़ों)=45|1 कप (cubes)=35|1 पतले स्लाइस पपड़ी (cubes) के बिना=9|1 बहुत पतली स्लाइस (cubes)=15	03270|0411|051|073.5|084.5|090.5|15650
26	WS151751	1 नारंगी (7 सेमी)=130|1 कप (वर्गों)=180|1 बड़े (8 सेमी)=185|1 छोटी सी (6 सेमी)=96	0347|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
27	WS94806	1 मध्यम कंटेनर=185|1 छोटे कंटेनर=125	0376|044.15|052.45|069.3
28	WS94806	1 मध्यम कंटेनर=185|1 छोटे कंटेनर=125	0376|044.15|052.45|069.3
29	WS94807	1 बड़े (8 सेमी)=225|1 छोटी सी (7 सेमी)=150|1 अतिरिक्त छोटे (6 सेमी)=100|1 कप (बारीक कटी हुई)=125|1 कप (स्लाइसें)=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
30	WS153367	1 स्लाइस=28|1 कप (diced)=130|1 कप (कटा हुआ)=115|1 कप (पिघला)=245|1 घन इंच=17|1 पैकेज (पिघला)=170	03405|0425|0533|061.3|080.5|0921|109.4|110.95|12720|130.7|1498|15620|16105|180.6
31	WS151751	1 नारंगी (7 सेमी)=130|1 कप (वर्गों)=180|1 बड़े (8 सेमी)=185|1 छोटी सी (6 सेमी)=96	0347|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
