Row	ID	AllWeights	AllProperties
0	WS19381	1 nagy pohár=355|1 kis pohár=180|1 csésze	032.65|040.1|060.4|070.1|127.65|130.05|1427.5|151.4
1	WS8997	1 mell=160|1 csésze (apróra vágott. vagy kockára vágott)=140|1 szelet=81|1 egység=100|1 adag=100|0.3 csésze (apróra k vágott)|2 egységs|1 csésze (apróra vágott, vagy kockára vágott)=140	03160|0430|053.45|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
2	WS19344	1 szelet=25|2 nagyon vékony szelet (kocka)=30|1 nagy szelet (kocka)=30|1 vékony szelet=20|1 szelet héja=12|1 vékony szelet héja (kocka)=9|1 csésze (zsemlemorzsa)=45|1 csésze (kocka)=35	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
3	WS19752	1 közepes=44|1 nagy=50|3 db=120|1 kis=38|1 extra nagy=56|2 darab=105|1 csésze	03145|0412.5|059.5|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15145|16370|182
4	WS19345	1 közepes (8 cm)=180|1 kis (7 cm)=150|1 nagy (8 cm)=225|1 kis alma=125|1 extra kicsi (6 cm)=100|2 db=275|1 kicsi=100|1 csésze (szeletek)=110|1 csésze (apróra vágott)=125|1 nagy=230|1 közepes=200|1 kis (5 cm)=50	0351|040.25|050.15|0613.5|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
5	WS19381	1 nagy pohár=355|1 kis pohár=180|1 csésze	032.65|040.1|060.4|070.1|127.65|130.05|1427.5|151.4
6	WS19753	1 adag=100|1 c=60|0.3 csésze	03365|0412|056.9|0668.5|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
7	WS8997	1 mell=160|1 csésze (apróra vágott. vagy kockára vágott)=140|1 szelet=81|1 egység=100|1 adag=100|0.3 csésze (apróra k vágott)|2 egységs|1 csésze (apróra vágott, vagy kockára vágott)=140	03160|0430|053.45|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
8	WS19279	1 adag=50|1 csésze	03335|046.6|050.6|0673.5|071.2|080.1|090.15|100.2|110.15|1226|133.9|14105|154.5
9	WS19280	1 kis pohár=180|1 nagy pohár=355|1 cu'p=235|1 csésze|1.5 deciliters	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
10	WS19518	1 szelet=27|1 vékony szelet=15|1 adag=200|1 csésze	03175|0422.5|059|093.1|104.45|111.4|128|131.35|14410|151500|1659|180.8
11	WS19344	1 szelet=25|2 nagyon vékony szelet (kocka)=30|1 nagy szelet (kocka)=30|1 vékony szelet=20|1 szelet héja=12|1 vékony szelet héja (kocka)=9|1 csésze (zsemlemorzsa)=45|1 csésze (kocka)=35	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
12	WS22400	1 szelet=25|1 nagyon vékony szelet (kocka)=15|1 vékony szelet=20|2 darab nagyon vékony szelet (kocka)=30|1 nagy szelet (kocka)=30|1 szelet héja=12|2 vékony szelet héja (kocka)=18|1 csésze (zsemlemorzsa)=45|1 csésze (kocka)=35	03260|0411|053.3|0650.5|074.3
13	WS21060	1 közepes adag=115|1 kis adag=71|1 nagy adag=155|10 sült krumplival=50|1 sült krumpli=71|1 nagy (8 cm. 11 cm-es)=370|8.3 sült=100	03310|043.4|0514.5|0641|073.8|080.3|092.3|105.95|115.35|1218|130.8|14580|15210|174.75
14	WS19345	1 közepes (8 cm)=180|1 kis (7 cm)=150|1 nagy (8 cm)=225|1 kis alma=125|1 extra kicsi (6 cm)=100|2 db=275|1 kicsi=100|1 csésze (szeletek)=110|1 csésze (apróra vágott)=125|1 nagy=230|1 közepes=200|1 kis (5 cm)=50	0351|040.25|050.15|0613.5|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
15	WS9000	1 nagy pohár=355|1 tányér=180|1 kis pohár=180|1 serving=100|1 csésze	037.9|041.25|050.25|060.1|090.1|100.1|126|130.15|1454|15370
16	WS19754	1 közepes (18 cm. 20 cm-es)=120|1 kis (15 cm-18 cm)=100|1 nagy (20 cm és 22 cm)=135|1 extra kicsi (15 cm-nél kisebb)=81|1 csésze (tört)=225|1 közepes (18 cm, 20 cm-es)=120|1 extra-nagy (22 cm-es vagy hosszabb)=150|1 csésze (szeletelve)=150	0394.5|041.1|050.3|0623|072.05|0817|090.1|110.05|127.75|130.4|14385|151|1711.5
17	WS19754	1 közepes (18 cm. 20 cm-es)=120|1 kis (15 cm-18 cm)=100|1 nagy (20 cm és 22 cm)=135|1 extra kicsi (15 cm-nél kisebb)=81|1 csésze (tört)=225|1 közepes (18 cm, 20 cm-es)=120|1 extra-nagy (22 cm-es vagy hosszabb)=150|1 csésze (szeletelve)=150	0394.5|041.1|050.3|0623|072.05|0817|090.1|110.05|127.75|130.4|14385|151|1711.5
18	WS20809	1 közepes kifli=57|1 kis kifli=42|1 nagy kifli=67|2 kifli=42|2 fél=100	03405|048.25|0521|0646|072.6|0811.5|0911.5|105.55|111.1|1237|132.05|14120|15470|1667|170.2
19	WS19344	1 szelet=25|2 nagyon vékony szelet (kocka)=30|1 nagy szelet (kocka)=30|1 vékony szelet=20|1 szelet héja=12|1 vékony szelet héja (kocka)=9|1 csésze (zsemlemorzsa)=45|1 csésze (kocka)=35	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
20	WS20324	1 közepes (6 cm)=125|1 kis paradicsom (6 cm)=91|1 nagy (8 cm)=180|1 kis parardicsom (6 cm)=110|1 szelet (1 cm)=20|5 kicsi=125|0.5 közepes=125|1 közepes 6 cm=83|1 vastag/nagy szelet (1 cm)=27|1 ék (1/4 közepes paradicsom)=31|1 kis paradicsom (6 cm)í hogy nem is=105|1 csésze	0320|040.9|050.4|064.6|071.5|1215|131.1|1716
21	WS20324	1 közepes (6 cm)=125|1 kis paradicsom (6 cm)=91|1 nagy (8 cm)=180|1 kis parardicsom (6 cm)=110|1 szelet (1 cm)=20|5 kicsi=125|0.5 közepes=125|1 közepes 6 cm=83|1 vastag/nagy szelet (1 cm)=27|1 ék (1/4 közepes paradicsom)=31|1 kis paradicsom (6 cm)í hogy nem is=105|1 csésze	0320|040.9|050.4|064.6|071.5|1215|131.1|1716
22	WS19381	1 nagy pohár=355|1 kis pohár=180|1 csésze	032.65|040.1|060.4|070.1|127.65|130.05|1427.5|151.4
23	WS19702	1 forduló szelet=12.5|6 darab=24.5|1 adag=30|2 szelet	03340|0422|0526|062.4|080.95|099.3|1011|112.55|1215|131.55|14315|151750|1689|181
24	WS19752	1 közepes=44|1 nagy=50|3 db=120|1 kis=38|1 extra nagy=56|2 darab=105|1 csésze	03145|0412.5|059.5|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15145|16370|182
25	WS19344	1 szelet=25|2 nagyon vékony szelet (kocka)=30|1 nagy szelet (kocka)=30|1 vékony szelet=20|1 szelet héja=12|1 vékony szelet héja (kocka)=9|1 csésze (zsemlemorzsa)=45|1 csésze (kocka)=35	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
26	WS20324	1 közepes (6 cm)=125|1 kis paradicsom (6 cm)=91|1 nagy (8 cm)=180|1 kis parardicsom (6 cm)=110|1 szelet (1 cm)=20|5 kicsi=125|0.5 közepes=125|1 közepes 6 cm=83|1 vastag/nagy szelet (1 cm)=27|1 ék (1/4 közepes paradicsom)=31|1 kis paradicsom (6 cm)í hogy nem is=105|1 csésze	0320|040.9|050.4|064.6|071.5|1215|131.1|1716
27	WS19286	1 keksz (6 cm)=35|10 keksz háztartási=20|1 közepes=51|1 kis=35|3 keksz=50|1 nagy=77|2 keksz (ĺ6 cm)=120	03360|046.2|0516.5|0648|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
