Row	Meal	Name	Brand	Pos
0	B	Kávé		33
1	L	Csirkemell		138
2	B	Kenyér		404
3	B	Tojás		688
4	S	Alma		864
5	S	Kávé		1165
6	B	Zabpehely		1270
7	D	Csirkemell		1391
8	L	Fehér rizs		1657
9	B	1 %-os tej		1767
10	B	Sonka		1929
11	D	Kenyér		2063
12	B	Teljes kiőrlésű kenyér		2348
13	L	Krumpli		2616
14	B	Alma		2844
15	L	Húsleves		3146
16	B	Banán		3286
17	S	Banán		3617
18	B	Kifli		3948
19	L	Kenyér		4122
20	B	Paradicsom		4407
21	D	Paradicsom		4738
22	L	Kávé		5069
23	B	Szalámi		5175
24	D	Tojás		5322
25	S	Kenyér		5499
26	L	Paradicsom		5784
27	S	Keksz		6115
28	L	Jégsaláta		6312
29	D	Fehér rizs		6753
30	B	Vaj, só nélkül		6864
31	B	Pirítós		7087
32	S	Tejes csokoládé		7371
33	L	Csirke		7501
34	D	Alma		7720
35	B	Uborka		8022
36	S	Zabpehely		8266
37	L	Tojás		8388
38	L	Darabolt sertés		8565
39	D	Sonka		8660
40	D	Pirítós		8794
41	S	Narancs		9078
42	B	Alacsony zsírtartalmú gyümölcs joghurt		9254
43	L	Alma		9427
44	D	Jégsaláta		9729
45	B	Svájci sajt		10170
46	B	Cukor		10384
47	D	Fehér kenyér		10536
48	S	Tojás		10828
49	B	Vaj-olaj		11005
50	S	Alacsony zsírtartalmú gyümölcs joghurt		11162
51	L	Zöld saláta		11335
52	L	Tejföl		11755
53	D	Banán		11909
54	D	Hagyma		12240
55	L	Csirkecomb		12578
56	L	Sárgarépa		12834
57	B	Krémsajt		13116
58	L	Sonka		13277
59	S	1 %-os tej		13411
60	B	Fehér kenyér		13574
61	S	Csirkemell		13866
62	L	Brokkoli		14133
63	D	Uborka		14398
64	D	Tükörtojás		14642
65	D	Csirke		14805
66	D	Kolbász		15024
67	B	Szalonna		15149
68	B	2 %-os tej		15301
69	S	Sonka		15437
70	D	Szalonna		15571
71	B	Narancs		15723
72	L	Kifli		15899
73	L	Uborka		16073
74	B	Tea		16317
75	S	Teljes kiőrlésű kenyér		16337
76	L	Vegyes zöldség		16605
77	B	Tej		16730
78	D	Darabolt sertés		16766
79	D	Zöld saláta		16861
80	D	Sárgarépa		17281
81	B	Kave Tejjel		17563
82	L	Barna rizs		17583
83	L	Banán		17690
84	S	Pirítós		18021
85	S	Cukor		18305
86	D	Csirkecomb		18457
87	S	Kolbász		18713
88	L	Lagris hosszúszemu rizs		18838
89	D	Lagris hosszúszemu rizs		18877
90	B	Zsemle		18916
91	D	Kifli		18946
92	D	Krumpli		19120
93	S	Paradicsom		19348
94	B	Keksz		19679
95	L	Lencse		19876
96	B	Kukoricapehely		19992
97	L	Teljes kiőrlésű pirítós		20121
98	S	Csokoládé fagylalt		20401
99	L	Narancs		20531
100	D	Narancs		20707
101	S	Vékony tésztájú pizzát		20884
102	D	Brokkoli		20994
103	D	Vegyes zöldség		21260
104	B	Alacsony zsírtartalmú kakaó		21386
105	S	Rozsos kenyér		21536
106	B	Kolbász		21819
107	S	Tejeskávé		21945
108	D	Kávé		21983
109	B	Méz		22090
110	D	Teljes kiőrlésű kenyér		22198
111	D	Lencse		22467
112	L	Forrázott a rizs		22584
113	S	Eper		22640
114	S	Jégsaláta		22933
115	B	Paprika		23375
116	S	Tej		23410
117	D	2 %-os tej		23447
118	D	Eper		23584
119	D	Tejföl		23877
120	B	Eper		24032
121	D	Barna rizs		24325
122	D	Zsemle		24433
123	S	2 %-os tej		24464
124	D	Rozsos kenyér		24601
125	B	Jégsaláta		24884
126	B	Fehérje turmix		25326
127	L	Rántott csirkemell		25362
128	L	Sült sonka		25584
129	L	Alacsony zsírtartalmú gyümölcs joghurt		25701
130	L	Tészta		25875
131	D	Húsleves		25910
132	D	Paprika		26051
133	D	Vanília fagylalttal		26086
134	S	Limonádé		26216
135	D	Szalámi		26407
136	B	Párizsi		26555
137	B	Margarin		26594
138	S	Őszibarack		26736
139	L	Káposzta		26972
140	D	1 %-os tej		27296
141	B	Virsli		27460
142	L	Pulykamell sonka		27498
143	L	Teljes kiőrlésű kenyér		27537
144	L	Tészta paradicsomos szósszal		27806
145	L	Tej		27919
146	D	Tea		27956
147	S	Mandarin		27977
148	L	Majonézes öntet		27998
149	B	Rozsos kenyér		28111
150	L	Tea		28394
151	D	Zabpehely		28415
152	L	Paprika		28538
153	D	Fehér bor		28573
