Row	ID	AllWeights	AllProperties
0	WS20404	1 cangkir	03355|046.95|050.65|0678|071.25|080.1|090.2|100.2|110.15|1227.5|134.2|14110|154.85
1	WS20404	1 cangkir	03355|046.95|050.65|0678|071.25|080.1|090.2|100.2|110.15|1227.5|134.2|14110|154.85
2	WS20404	1 cangkir	03355|046.95|050.65|0678|071.25|080.1|090.2|100.2|110.15|1227.5|134.2|14110|154.85
3	WS20399	1 besar=50|1 ekstra besar=56|1.6 kecil=61|1 cangkir=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
4	WS21008	1 besar (20 cm sampai 22 cm)=135|0.5 ekstra besar (22 cm atau lebih)=76|1 kecil (15 cm sampai 18 cm)=100|1 cangkir (dihaluskan)=225|1 kecil tambahan (lebih kecil daripada 15 cm)=81|1 cangkir (irisan)=150	0398.5|041.1|050.3|0623.5|072.05|0816.5|090.1|110.05|127.8|130.4|14385|151|1711.5
5	WS20565	1 biskuit (6 cm)=35|1 kecil=35|2 besar=155	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
6	WS32114	1 cangkir besar=355|1 cangkir kecil=180|1 cangkir	031|060.3|1437|153
7	WS32770	0.5 ayam=460|1 paha=135|1 cangkir (cincang atau potong dadu)=140|1 sayap=49|1 payudara=290	03240|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
8	WS33345	1 cangkir	03140|044.55|052.05|0625|071.2|080.4|090.4|100.6|110.55|1212|131.45|1438|155|1629|180.1
9	WS20399	1 besar=50|1 ekstra besar=56|1.6 kecil=61|1 cangkir=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
10	WS32609	0.5 ayam=260|1 paha=98|1 payudara=160|1 sayap=34|1 cangkir (cincang atau potong dadu)=140	03220|0430.5|059.1|061.7|070.1|092.45|103.35|112.15|1217|131.35|14255|1591|1694|180.1
11	WS20564	1 iris=25|1 iris tanpa kerak=12|1 cangkir (remah)=45|1 cangkir (batu)=35|1 iris besar (batu)=30|1 iris tipis=20|1 iris tipis tanpa kerak (batu)=9|1 iris tipis (batu)=15	03235|0410.5|053.05|0637.5|079.15|090.65|100.8|111.25|1245.5|132.2|14230|15445|160.7
12	WS21008	1 besar (20 cm sampai 22 cm)=135|0.5 ekstra besar (22 cm atau lebih)=76|1 kecil (15 cm sampai 18 cm)=100|1 cangkir (dihaluskan)=225|1 kecil tambahan (lebih kecil daripada 15 cm)=81|1 cangkir (irisan)=150	0398.5|041.1|050.3|0623.5|072.05|0816.5|090.1|110.05|127.8|130.4|14385|151|1711.5
13	WS32114	1 cangkir besar=355|1 cangkir kecil=180|1 cangkir	031|060.3|1437|153
14	WS20399	1 besar=50|1 ekstra besar=56|1.6 kecil=61|1 cangkir=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
