Row	Meal	Name	Brand	Pos
0	L	Nasi putih		33
1	B	Nasi putih		137
2	D	Nasi putih		241
3	B	Telur		345
4	B	Pisang		498
5	S	Biskuit		795
6	S	Teh		932
7	L	Ayam		1012
8	D	Mie		1180
9	S	Telur		1289
10	B	Ayam goreng		1442
11	D	Roti		1630
12	S	Pisang		1896
13	B	Teh		2194
14	D	Telur		2275
15	L	Mie		2429
16	B	Roti panggang		2539
17	L	Telur		2759
18	S	Roti		2913
19	S	Kopi		3179
20	B	Kopi		3294
21	B	Roti		3409
22	L	Pisang		3675
23	B	Coklat susu		3973
24	B	susu 1%		4121
25	L	Teh		4265
26	D	Ayam		4346
27	B	Kopi instan		4515
28	S	Roti panggang		4575
29	L	Roti		4795
30	D	Roti panggang		5061
31	S	Yoghurt rendah lemak buah		5281
32	D	Wortel		5443
33	L	Wortel		5672
34	L	Biskuit		5901
35	D	Bawang merah		6039
36	B	Roti gandum		6266
37	B	Gandum		6479
38	D	Beras merah		6590
39	B	Roti Prancis		6687
40	B	Tempe goreng		6844
41	B	Mie		6871
42	L	Kacang panggang		6981
43	B	Yoghurt rendah lemak buah		7099
44	L	Yoghurt rendah lemak buah		7261
45	D	Pisang		7423
46	B	Tempe		7721
47	L	Tahu		7747
48	L	Campuran sayuran		7766
49	L	Kopi instan		7870
50	L	Telur puyuh		7930
51	B	Campuran sayuran		7957
52	B	Kentang goreng		8061
53	S	Nasi putih		8233
54	L	Ikan nila		8338
55	D	Nasi goreng		8429
56	D	Kopi instan		8449
57	D	Campuran sayuran		8509
58	B	Ikan nila		8613
59	B	Jagung		8704
60	B	Kacang panggang		9016
61	D	Tempe		9134
62	S	Tahu		9160
63	D	Kentang goreng		9179
64	D	Ikan nila		9351
65	D	Teh		9442
66	L	Kentang goreng		9523
67	L	Jagung		9695
68	L	Kopi		10007
69	L	Beras merah		10122
70	B	Nasi goreng		10219
71	B	Telur puyuh		10239
72	B	Wortel		10266
73	B	Ayam		10495
74	D	Sawi		10664
75	S	Coklat susu		10787
76	S	Ayam		10935
77	S	Beras merah		11104
78	S	Bakso		11201
79	D	Tahu		11298
80	D	Kopi		11317
81	D	Ayam goreng		11432
82	L	Tempe goreng		11620
83	L	Bawang merah		11647
84	B	Bawang merah		11874
85	L	Bakso		12101
86	D	Coklat susu		12198
87	D	Dada ayam		12346
88	L	Tomat		12492
89	D	Tomat		12646
90	L	Beras pratanak		12800
91	S	Hati sapi		12864
92	S	Kubis		12986
93	D	Anggur merah		13356
94	L	Minyak zaitun		13428
95	D	Air botol		13526
96	S	Sup mie ayam		13659
97	S	Lobak		13824
98		Bayam dimasak		13963
99		Susu		14086
100		Kangkung		14239
101		Keju menyebar		14332
102		Mangga		14459
103		Pir		14595
104		Kentang rebus		14764
105		Susu tanpa lemak		14934
106		Seluruh coklat susu		15102
107		Susu cokelat rendah lemak		15275
108		Asin mentega		15442
109		Kocok mentega		15639
110		Mentega minyak		15836
111		Krim keju		16020
112		Keju Amerika		16215
113		Setengah dan setengah		16469
114		Cahaya krim		16633
115		Krim pengganti bedak		16796
116		susu 2%		16956
117		Chip		17123
118		Mengurangi lemak chip		17279
119		Keripik jagung		17428
120		Kacang tanah M & Ms		17580
121		M & Ms		17772
122		Marshmallow		17966
123		Gula merah		18125
124		Gula		18318
125		Kacang merah		18503
126		Kecap		18656
127		Susu kedelai yang diperkaya		18827
128		Roti putih		18996
129		Kerupuk		19287
130		Biskuit dengan selai kacang		19473
131		Kerupuk gandum		19663
132		Kuno donat		19850
133		Donat		20069
134		Roti gandum multi		20293
135		Roti hitam		20585
136		Ragi		20874
137		Kepiting		21021
138		Kerang		21215
139		Kalengan kerang		21386
140		Rasa buah diperkaya air		21561
141		Minuman energi rakasa		21698
142		Air keran		21837
143		Rasa buah air		21970
144		Jus sayuran kaleng		22109
145		Bir		22279
146		Bir ringan		22423
