Row	Meal	Name	Brand	Pos
0	B	Biscotti		33
1	L	Pasta		220
2	L	Olio d'oliva		417
3	B	Caffè, nero, non zuccherato		604
4	L	Pane		749
5	D	Pane		1066
6	D	Olio d'oliva		1383
7	B	Latte scremato		1570
8	B	Marmellata		1737
9	S	Mela		1911
10	B	Caffelatte, non zuccerato		2438
11	B	Latte parzialmente scremato, UHT		2613
12	B	Fette biscottate		2760
13	B	Zucchero		3134
14	B	Croissant		3401
15	L	Mela		3692
16	S	Banana		4220
17	B	Cornflakes		4723
18	L	Pomodoro		4815
19	L	Pasta al sugo		5108
20	D	Mela		5318
21	L	Riso bianco		5846
22	S	Biscotti		6170
23	D	Pane bianco		6358
24	L	Pane bianco		6824
25	B	Caffè espresso		7290
26	D	Pollo		7490
27	B	Fette biscottate integrali		8069
28	L	Insalata mista		8305
29	L	Pane integrale		8361
30	B	Miele		8712
31	L	Pollo		9038
32	B	Banana		9617
33	L	Lattuga		10120
34	L	Mozzarella		10680
35	D	Petto pollo		10968
36	B	Latte di soia		11183
37	D	Pasta		11441
38	D	Pomodoro		11639
39	L	Banana		11932
40	B	Pane		12435
41	D	Pane integrale		12753
42	L	Petto pollo		13104
43	D	Pizza Margherita (Dr. Schär)		13319
44	B	Fette biscotatte cereali (Dr. Schär)		13392
45	D	Mozzarella		13473
46	D	Insalata mista		13761
47	B	Zucchero cristallino		13817
48	B	Mela		14076
49	L	Arancia		14604
50	B	Latte intero		14896
51	L	Insalata belga, cruda		15414
52	L	Pasta, secca		15509
53	D	Pizza margherita		15638
54	D	Lattuga		15997
55	B	Succo d'arancia		16557
56	B	Yogurt, naturale magro		16769
57	L	Tonno, sott'olio, sgocciolato		16965
58	D	Minestrone		17058
59	L	Prosciutto		17292
60	S	Pane		17453
61	S	Arancia		17771
62	B	Caffe		18063
63	L	Carota		18427
64	D	Insalata belga, cruda		18736
65	B	Caffè istantaneo		18831
66	L	Olio Extra Vergine di Oliva		18974
67	L	Pomodoro, crudo		19185
68	L	Prosciutto, crudo		19292
69	B	Latte parzialmente scremato		19422
70	B	Cappuccino		19643
71	L	Caffè espresso		19890
72	S	Cioccolato al latte		20090
73	D	Prosciutto, crudo		20370
74	D	Prosciutto		20500
75	S	Caffè espresso		20661
76	B	Yogurt, naturale		20861
77	D	Carota		21058
78	D	Bresaola		21367
79	S	Zucchero		21555
80	D	Banana		21822
81	D	Riso bianco		22325
82	S	Yogurt, naturale magro		22649
83	D	Olio Extra Vergine di Oliva		22845
