Row	ID	AllWeights	AllProperties
0	WS29726	1 膳=100|0.7 合=115|1 カップ|1.2 皿	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
1	WS29726	1 膳=100|0.7 合=115|1 カップ|1.2 皿	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
2	WS22552	1 の小さなカップ=180|1 大カップ=355|1 ペットボトル=200|1 カップ	034.3|040.1|060.5|070.1|126.5|130.05|1432|151.5
3	WS22548	1 媒体=44|1 個=44|1 の余分な大規模です=56|1 大=50|1 カップ|1 ジャンボ=63	03145|0412.5|059.55|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
4	WS29726	1 膳=100|0.7 合=115|1 カップ|1.2 皿	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
5	WS29726	1 膳=100|0.7 合=115|1 カップ|1.2 皿	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
6	WS22545	1 スライス=25|1 スライス小さな=12|1 カップ （キューブ）=35|2 の薄いスライス=40|1 の大スライス （キューブ）=30|1 非常に薄いスライス （キューブ）=15|1 コーヒーミルクパン=35|1 薄いスライス地殻 （キューブ） なし地殻なし=9|1 カップ (パン粉)=45	03260|0410.5|053.15|0637.5|079.15|090.6|100.8|111.25|1245|132.2|14230|15445|160.7
7	WS22545	1 スライス=25|1 スライス小さな=12|1 カップ （キューブ）=35|2 の薄いスライス=40|1 の大スライス （キューブ）=30|1 非常に薄いスライス （キューブ）=15|1 コーヒーミルクパン=35|1 薄いスライス地殻 （キューブ） なし地殻なし=9|1 カップ (パン粉)=45	03260|0410.5|053.15|0637.5|079.15|090.6|100.8|111.25|1245|132.2|14230|15445|160.7
8	WS22543	1 スライス=25|1 スライス小さな=12|1 カップ (パン粉)=45|1 カップ （キューブ）=35|1 の大スライス （キューブ）=30|1 の薄いスライス=20|1 薄いスライス地殻 （キューブ） なし地殻なし=9|1 非常に薄いスライス （キューブ）=15	03260|0411.5|053.4|0650.5|074.3
9	WS74762	1 カップ （スライス）=150|50 グ=84|1 カップ （マッシュ アップ）=225|1 いち本=90|1 本|1 大一本	0381.5|041.15|050.35|0623|072.65|0812|090.1|100.05|110.05|125.3|130.25|14360|151|178.7
10	WS22545	1 スライス=25|1 スライス小さな=12|1 カップ （キューブ）=35|2 の薄いスライス=40|1 の大スライス （キューブ）=30|1 非常に薄いスライス （キューブ）=15|1 コーヒーミルクパン=35|1 薄いスライス地殻 （キューブ） なし地殻なし=9|1 カップ (パン粉)=45	03260|0410.5|053.15|0637.5|079.15|090.6|100.8|111.25|1245|132.2|14230|15445|160.7
11	WS22552	1 の小さなカップ=180|1 大カップ=355|1 ペットボトル=200|1 カップ	034.3|040.1|060.5|070.1|126.5|130.05|1432|151.5
12	WS22546	1 大カップ=355|0.5 カ=25|1 カップ|1 の小さなカップ=180	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
13	WS41814	1 ミディアム=185	0379|044|051.65|0612.5|0817.5|090.95|100.4|110.05|12145|130.05|14180|1555|165.15|170.7
14	WS43372	0.5 カ=200|0.5 カップ	0363|042.85|050.15|0612.5|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
15	WS149933		03110|0417|055.35|069.45
16	WS24311	0.5 カップ|300 グラム	0399.5
17	WS22545	1 スライス=25|1 スライス小さな=12|1 カップ （キューブ）=35|2 の薄いスライス=40|1 の大スライス （キューブ）=30|1 非常に薄いスライス （キューブ）=15|1 コーヒーミルクパン=35|1 薄いスライス地殻 （キューブ） なし地殻なし=9|1 カップ (パン粉)=45	03260|0410.5|053.15|0637.5|079.15|090.6|100.8|111.25|1245|132.2|14230|15445|160.7
18	WS43372	0.5 カ=200|0.5 カップ	0363|042.85|050.15|0612.5|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
19	WS151119		0384.5
20	WS23009	1 カップ|100 グラム	03160|045.8|050.95|0631|071.8|080.55|090.2|100.15|110.3|127|131.3|1444|151
21	WS22550	0.5 カップ （采の目切り）=75	0379.5|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156|1719.5
22	WS74762	1 カップ （スライス）=150|50 グ=84|1 カップ （マッシュ アップ）=225|1 いち本=90|1 本|1 大一本	0381.5|041.15|050.35|0623|072.65|0812|090.1|100.05|110.05|125.3|130.25|14360|151|178.7
23	WS42972	1 の小さなカップ=180|0.4 大カップ=140|1 カップ	031.05|060.3|1437|153
24	WS151119		0384.5
25	WS22551	1 スライス=8|4 の薄いスライス=20|1 の厚さのスライス=12|1 の厚さのスライス=12	03540|0437|0542|061.45|0913.5|1018.5|114.55|1211|131.45|14565|151700|16110|181
26	WS149952		03180
27	WS22550	0.5 カップ （采の目切り）=75	0379.5|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156|1719.5
28	WS43372	0.5 カ=200|0.5 カップ	0363|042.85|050.15|0612.5|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
29	WS24311	0.5 カップ|300 グラム	0399.5
30	WS24307	400 グラム	032900
31	WS22552	1 の小さなカップ=180|1 大カップ=355|1 ペットボトル=200|1 カップ	034.3|040.1|060.5|070.1|126.5|130.05|1432|151.5
32	WS42905	1 大規模なチョップ=185|0.7 小さなチョップ小さなコンテナー=56.5	03240|0426.5|0514|094.9|106|111.5|1220|131.1|14340|1557|1688|170.1|180.9
33	WS24312		0369.5|053.4
34	WS43373	1 の個々 のパケット=8.9|1 ティー スプーン|1 杯	0353.5|048.15|050.55|065.45|070.8|080.4|090.05|100.1|110.25|1233|131.45|14435|155500
35	WS42905	1 大規模なチョップ=185|0.7 小さなチョップ小さなコンテナー=56.5	03240|0426.5|0514|094.9|106|111.5|1220|131.1|14340|1557|1688|170.1|180.9
36	WS48107	1 カップ|1 の小さなカップ=180|1 大カップ=355	0352|042.6|051.95|066.05|070.3|080.55|090.55|100.85|110.55|129|131.35|1444|15705|1611
37	WS149933		03110|0417|055.35|069.45
38	WS26496	1 大カップ=355|1 の小さなカップ=180|1 カップ	03420|0410.5|0515.5|0663.5|072.3|081.55|097.55|106.55|111.45|1229|134|14180|152050|170.3
39	WS42972	1 の小さなカップ=180|0.4 大カップ=140|1 カップ	031.05|060.3|1437|153
40	WS214740		03510
41	WS22548	1 媒体=44|1 個=44|1 の余分な大規模です=56|1 大=50|1 カップ|1 ジャンボ=63	03145|0412.5|059.55|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
42	WS214965		03320|0421|0526|061.2
43	WS154259		0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
44	WS22548	1 媒体=44|1 個=44|1 の余分な大規模です=56|1 大=50|1 カップ|1 ジャンボ=63	03145|0412.5|059.55|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
45	WS24689	1 大カップ=355|1 カップ|1 の小さなカップ=180	0316|042|050.55|060.4|080.3|090.15|100.25|110.1|124|130.2|1486|15305
46	WS22550	0.5 カップ （采の目切り）=75	0379.5|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156|1719.5
47	WS48343	100 グラム	03270
48	WS30875	0.5 チキン=460|1 胸=290|1 ドラムスティック=135|1 翼=49|1 ナゲット=20|1 カップみじん切り (采の目切り)=140	03230|0426.5|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
49	WS23627	1 のホットドッグ=45	03305|0411.5|0527.5|061.7|0911|1013.5|112.75|1211|131.15|14165|15820|1650|180.9
50	WS74762	1 カップ （スライス）=150|50 グ=84|1 カップ （マッシュ アップ）=225|1 いち本=90|1 本|1 大一本	0381.5|041.15|050.35|0623|072.65|0812|090.1|100.05|110.05|125.3|130.25|14360|151|178.7
51	WS41700	1 媒体ウェッジ (1/8 メロン)=69|1 大きなくさび (1/8 メロン)=100|1 の小さなくさび (1/8 メロン)=55|1 の小さなくさび (1/8 メロン)=55|1 の小さなくさび (1/8 メロン)=55|1 の小さなくさび (1/8 メロン)=55	0330|040.6|050.15|067.55|070.4|086.2|100.05|110.05|127|130.25|14110|151|178.1
52	WS151119		0384.5
53	WS43376	1 の小さなカップ=180|1 カップ|0.5 リットル|1 大カップ=355	0343|040.6|050.1|0610.5|070.3|088.3|110.05|1211|130.15|14180|152|1733.5
54	WS42906	1 ミディアム=185	0385|044.95|051.25|0614|0814|090.8|100.35|110.05|12170|130.05|14220|1566|165|170.8
55	WS50183	100 グラム	03320|0410|0574|0654
56	WS151611		0318|040.35
57	WS42905	1 大規模なチョップ=185|0.7 小さなチョップ小さなコンテナー=56.5	03240|0426.5|0514|094.9|106|111.5|1220|131.1|14340|1557|1688|170.1|180.9
58	WS23625	1 ステーキ=56|1 サービング=56|1 パッケージ (溶融)=395	03325|0416.5|0533.5|0911.5|1011|110.5|1212|131.85|14235|1568|1671|180.4
59	WS42605	1 サービング=48	03340|0419.5|0528.5|099.15|1012.5|113.75|1213|131.35|14295|15895|1684|170.7|180.7
60	WS182717	1 杯 （みじん切り）=89|1 カップ (細切り)=70|1 葉 (細切り)=15|0.5 杯 (千切り)=50|0.5 カップ	0324.5|041.25|050.05|065.4|071.9|082.8|1248|130.15|14195|158|1737.5
61	WS144527	1 スライス=25|1 の大スライス （キューブ）=30|1 ダブルブレンド一枚|1 スライス小さな=12|1 カップ (パン粉)=45|1 カップ （キューブ）=35|1 の薄いスライス=20|1 薄いスライス地殻 （キューブ） なし地殻なし=9|1 非常に薄いスライス （キューブ）=15	03305|0411|051|073.5|084.5|090.5|15650
62	WS42831	100 グラム	0323000|04330|052600
63	WS23625	1 ステーキ=56|1 サービング=56|1 パッケージ (溶融)=395	03325|0416.5|0533.5|0911.5|1011|110.5|1212|131.85|14235|1568|1671|180.4
64	WS48107	1 カップ|1 の小さなカップ=180|1 大カップ=355	0352|042.6|051.95|066.05|070.3|080.55|090.55|100.85|110.55|129|131.35|1444|15705|1611
65	WS158735	1 カップ|50 グラム	03395|047.3|0515|0667
66	WS41813	0.5 カップ	03205|043.5|0511|0623.5|070.7|0821|096.8|102.95|110.45|12130|130.1|14200|1580|1644|170.6|180.2
67	WS202609		03850
68	WS38700	100 グラム	03310|047.2|059.6|0649.5|072.4|085|091.65|104.9|112.2|12305|136.9|14145|15730|1615
69	WS151611		0318|040.35
70	WS24689	1 大カップ=355|1 カップ|1 の小さなカップ=180	0316|042|050.55|060.4|080.3|090.15|100.25|110.1|124|130.2|1486|15305
71	WS41814	1 ミディアム=185	0379|044|051.65|0612.5|0817.5|090.95|100.4|110.05|12145|130.05|14180|1555|165.15|170.7
72	WS44310	4 個セット=62|1 個=125	03285|0417.5|0518|0616|071.3|080.1|093.15|106|117.5|1219|130.65|14330|15750|1647|180.2
73	WS22547	1 カップ (セクション)=180|1 こ=180	0343|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
74	WS42044	1 スライス=120|1 ピザ=945	03270|0410.5|0512.5|0629|072.2|083.55|094.25|104.25|111.9|12180|132.25|14150|15445|1614|171.2
75	WS41813	0.5 カップ	03205|043.5|0511|0623.5|070.7|0821|096.8|102.95|110.45|12130|130.1|14200|1580|1644|170.6|180.2
76	WS182717	1 杯 （みじん切り）=89|1 カップ (細切り)=70|1 葉 (細切り)=15|0.5 杯 (千切り)=50|0.5 カップ	0324.5|041.25|050.05|065.4|071.9|082.8|1248|130.15|14195|158|1737.5
77	WS26707	100 グラム	033500
78	WS53531	1 スライス=27|2 の薄いスライス=30|1 カップ=140	03165|0422.5|059|093.1|104.45|111.4|128|131.35|14410|151500|1659|180.8
79	WS22547	1 カップ (セクション)=180|1 こ=180	0343|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
80	WS174411	100 グラム	0356.5|040.75|050.15|061.25
81	WS147336		03345
82	WS26496	1 大カップ=355|1 の小さなカップ=180|1 カップ	03420|0410.5|0515.5|0663.5|072.3|081.55|097.55|106.55|111.45|1229|134|14180|152050|170.3
83	WS151722		03220
84	WS139919		03635
85	WS151722		03220
86	WS158317	100 グラム	0378
87	WS171516		03660|0433|0548.5|0626
88	WS31087	100 グラム	0347.5|042|050.1|062
89	WS147606		0357.5|044.55|053.65|061.6
90	WS47428	1 ドラムスティック=105|1 太もも=72|1 足の骨=200|1 裏骨=22	03175|0424|057.8|092.1|103.05|111.6|1212|131.1|14270|1599|16130|180.1
91	WS43375	6 媒体=84|1 カップ=250	0351|045.7|051.7|062.7|080.6|090.45|100.25|110.55|1259|134.6|14155|1585|1640
92	WS42972	1 の小さなカップ=180|0.4 大カップ=140|1 カップ	031.05|060.3|1437|153
93	WS44159	1 杯 （みじん切り）=125|1 カップ （スライス）=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
94	WS30875	0.5 チキン=460|1 胸=290|1 ドラムスティック=135|1 翼=49|1 ナゲット=20|1 カップみじん切り (采の目切り)=140	03230|0426.5|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
95	WS24689	1 大カップ=355|1 カップ|1 の小さなカップ=180	0316|042|050.55|060.4|080.3|090.15|100.25|110.1|124|130.2|1486|15305
96	WS53531	1 スライス=27|2 の薄いスライス=30|1 カップ=140	03165|0422.5|059|093.1|104.45|111.4|128|131.35|14410|151500|1659|180.8
97	WS44159	1 杯 （みじん切り）=125|1 カップ （スライス）=110	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
98	WS155271	1 媒体=44|0.9 ジャンボ=56.5|1 個=66.5|1 大=50|1 の余分な大規模です=56|1 カップ=245	03195|0413.5|0515|060.8|080.4|094.3|106.15|113.25|1262|131.9|14150|15205|16400|182.2
99	WS175245		03260
100	WS23625	1 ステーキ=56|1 サービング=56|1 パッケージ (溶融)=395	03325|0416.5|0533.5|0911.5|1011|110.5|1212|131.85|14235|1568|1671|180.4
101	WS22548	1 媒体=44|1 個=44|1 の余分な大規模です=56|1 大=50|1 カップ|1 ジャンボ=63	03145|0412.5|059.55|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
102	WS24308	200 グラム	0394
103	WS252657		03150|047.85|056.95|0615.5
104	WS219378	100 グラム	03160
105	WS175245		03260
106	WS29725	1 ウェッジ (1/4 媒体トマト）)=31|0.5 缶=200|100 グ=50|1 カップ	0321|040.8|050.3|064.2|071.2|083.15|090.05|100.05|110.15|128.65|130.15|14225|151.9|1717.5
107	WS182717	1 杯 （みじん切り）=89|1 カップ (細切り)=70|1 葉 (細切り)=15|0.5 杯 (千切り)=50|0.5 カップ	0324.5|041.25|050.05|065.4|071.9|082.8|1248|130.15|14195|158|1737.5
108	WS149933		03110|0417|055.35|069.45
109	WS44851	10 ブドウ=49|1 サービング=125|1 カップ=150	0369|040.7|050.15|0618|070.9|0815.5|090.05|110.05|1210|130.35|14190|152|173.2
110	WS41813	0.5 カップ	03205|043.5|0511|0623.5|070.7|0821|096.8|102.95|110.45|12130|130.1|14200|1580|1644|170.6|180.2
111	WS150028		0368|041.6|064
112	WS183788	1 切れ=25	03150|0411|059.2|066.4
113	WS151635		03235
114	WS173903		03225|046.8|058.4|0641.5
115	WS24311	0.5 カップ|300 グラム	0399.5
116	WS216937		0379|041.55|052.75|0612
117	WS49748	1 サービング=250|1 カップ=240	0375|042.2|050.45|0615|070.9|084|090.15|100.1|110.15|1213|130.9|14190|15270|161
118	WS67352	1 媒体=51|1 枚=10|1 大=77	03270|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
119	WS144527	1 スライス=25|1 の大スライス （キューブ）=30|1 ダブルブレンド一枚|1 スライス小さな=12|1 カップ (パン粉)=45|1 カップ （キューブ）=35|1 の薄いスライス=20|1 薄いスライス地殻 （キューブ） なし地殻なし=9|1 非常に薄いスライス （キューブ）=15	03305|0411|051|073.5|084.5|090.5|15650
120	WS23009	1 カップ|100 グラム	03160|045.8|050.95|0631|071.8|080.55|090.2|100.15|110.3|127|131.3|1444|151
