Row	Meal	Name	Brand	Pos
0	D	白いご飯		33
1	B	白いご飯		148
2	B	コーヒー		263
3	B	卵		366
4	S	白いご飯		517
5	L	白いご飯		632
6	S	パン		747
7	B	パン		990
8	B	全粒小麦のパン		1233
9	B	バナナ		1411
10	L	パン		1574
11	S	コーヒー		1818
12	B	1% のミルク		1922
13	B	低脂肪フルーツ ヨーグルト		2057
14	B	混合野菜		2168
15	B	牛乳		2278
16	D	サラダ		2317
17	D	パン		2352
18	L	混合野菜		2596
19	D	味噌汁		2706
20	D	スパゲッティ		2727
21	B	ジャガイモ		2828
22	S	バナナ		2937
23	B	茶		3101
24	B	味噌汁		3168
25	B	ベーコン		3189
26	B	納豆		3330
27	D	ジャガイモ		3350
28	D	混合野菜		3459
29	L	サラダ		3569
30	L	カレーライス		3604
31	L	コーヒー		3631
32	S	カット豚肉		3735
33	B	ヨーグルト		3860
34	B	醤油		3886
35	B	カット豚肉		4014
36	S	チキン ヌードル スープ		4139
37	S	牛乳		4268
38	D	ラーメン スープ		4307
39	S	茶		4439
40	L	弁当		4506
41	L	卵		4526
42	B	チーズ		4678
43	S	りんご		4714
44	S	卵		4805
45	L	チキンスープ		4957
46	L	ジャガイモ		5069
47	D	餃子		5178
48	D	チキン		5204
49	D	ホットドッグ		5359
50	L	バナナ		5464
51	D	スイカ		5628
52	L	味噌汁		5855
53	B	濃縮オレンジ ジュース		5876
54	B	低脂肪バニラ ヨーグルト		6000
55	L	焼きそば		6107
56	L	もずく		6148
57	L	カット豚肉		6174
58	L	ステーキ サンドイッチ		6299
59	D	ソーセージ		6421
60	D	キャベツ		6526
61	B	トースト		6673
62	D	唐揚げ		6872
63	B	ステーキ サンドイッチ		6913
64	B	チキン ヌードル スープ		7035
65	B	グラノーラ		7164
66	S	バニラアイス クリーム		7212
67	S	紅茶		7327
68	B	ワッフル		7347
69	B	もずく		7450
70	B	チキンスープ		7476
71	L	低脂肪フルーツ ヨーグルト		7588
72	L	鶏ささみ		7699
73	S	オレンジ		7816
74	S	冷凍ピザ		7919
75	D	バニラアイス クリーム		8045
76	B	キャベツ		8160
77	D	麻婆豆腐		8307
78	D	ハム		8334
79	B	オレンジ		8450
80	S	カフェオレ		8553
81	B	サンドイッチ		8602
82	L	ラーメン スープ		8622
83	L	おにぎり		8754
84	D	カレー		8774
85	D	おにぎり		8794
86	S	みかん		8814
87	D	すき焼き		8840
88	D	キムチ		8877
89	B	豆乳		8918
90	B	鶏の脚		8959
91	B	オイスター		9083
92	L	茶		9190
93	L	アップル		9257
94	L	チキン		9379
95	D	チキンスープ		9534
96	B	ハム		9646
97	B	アップル		9762
98	B	目玉焼き		9884
99	B	ごはん		10045
100	D	ステーキ サンドイッチ		10065
101	D	卵		10188
102	D	リンゴ		10341
103	D	チキンハンバーグ		10367
104	D	肉じゃが		10409
105	D	ごはん		10437
106	L	トマト		10458
107	L	キャベツ		10609
108	L	牛乳		10757
109	D	ブドウ		10797
110	B	バニラアイス クリーム		10920
111	B	柿		11036
112	B	卵焼き		11066
113	B	焼きさば		11111
114	B	ホットケーキ		11132
115	B	サラダ		11172
116	B	コーンスープ		11208
117	D	トマトソース パスタ		11247
118	S	ビスケット		11362
119	S	トースト		11480
120	S	スパゲッティ		11680
121	B	エビ		11782
122	D	バナナ		11885
123	B	おにぎり		12050
124	D	鶏の胸肉		12071
125	S	ハム		12200
126	B	平らな魚		12317
127	B	大豆油		12416
128	L	ピラフ		12471
129	S	低脂肪フルーツ ヨーグルト		12499
130	L	エビ		12611
131	L	唐揚げ		12714
132	L	トマトソース パスタ		12756
133	L	アーモンドミルク		12871
134	B	梅干し		12905
135	S	平らな魚		12925
136	B	豚ロース		13024
137	L	納豆		13149
138	L	ニンジン		13170
139	S	せんべい		13367
140	S	野菜ジュース		13404
141	S	アップル		13439
142	S	食パン		13562
143	S	イチゴ		13603
