Row	ID	AllWeights	AllProperties
0	WS46230	1 작은 컵=180|1 패킷=2|1 큰=355|1 컵|1 큰 컵=355	038.85|040.35|124.9|130.05|1438|151.7
1	WS46230	1 작은 컵=180|1 패킷=2|1 큰=355|1 컵|1 큰 컵=355	038.85|040.35|124.9|130.05|1438|151.7
2	WS72030	1 매체=44|1 작은=38|1 점보=63|1 특 대형=56|1 큰=50|1 컵	03145|0412.5|059.25|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
3	WS72028	1 공기=200|1 컵	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
4	WS102385	1 작은 컵=180|1 컵|18.7 큰 컵	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
5	WS101204	1 컵 (슬라이스)=150|0.5 개=110|1 컵 (으깬)=225|1 컵	0389|041.1|050.3|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
6	WS124752	1 큰 컵=355|1 작은 컵=180|1 컵	031|060.3|1437|153
7	WS72028	1 공기=200|1 컵	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
8	WS101201		03370
9	WS72029	1 슬라이스=25|1 대형 조각 (조각)=30|1 아주 얇게 슬라이스 (큐브)=15|1 컵 (부스러기)=45|4 얇은 슬라이스=80|1 얇은 슬라이스 빵 껍질 없이 (큐브)=9|2 컵 (큐브)=70	03310|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
10	WS101204	1 컵 (슬라이스)=150|0.5 개=110|1 컵 (으깬)=225|1 컵	0389|041.1|050.3|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
11	WS72030	1 매체=44|1 작은=38|1 점보=63|1 특 대형=56|1 큰=50|1 컵	03145|0412.5|059.25|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
12	WS72030	1 매체=44|1 작은=38|1 점보=63|1 특 대형=56|1 큰=50|1 컵	03145|0412.5|059.25|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
13	WS124754	1 매체=51|4 큰=310|1 작은=35	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
14	WS72030	1 매체=44|1 작은=38|1 점보=63|1 특 대형=56|1 큰=50|1 컵	03145|0412.5|059.25|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
15	WS101201		03370
16	WS72029	1 슬라이스=25|1 대형 조각 (조각)=30|1 아주 얇게 슬라이스 (큐브)=15|1 컵 (부스러기)=45|4 얇은 슬라이스=80|1 얇은 슬라이스 빵 껍질 없이 (큐브)=9|2 컵 (큐브)=70	03310|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
17	WS135989	1 컨테이너=245|1 작은 컨테이너=125|1 중간 컨테이너=185	0370.5|044.2|052.3|068.25
