Row	Meal	Name	Brand	Pos
0	B	커피		33
1	S	커피		122
2	B	계란		211
3	L	흰 쌀		355
4	B	1% 우유		453
5	B	바나나		572
6	S	차		706
7	D	흰 쌀		762
8	L	밥		860
9	B	빵		879
10	S	바나나		1089
11	L	계란		1224
12	D	계란		1369
13	S	비스킷		1514
14	S	계란		1634
15	B	밥		1779
16	L	빵		1799
17	S	낮은 뚱뚱한 과일 요구르트		2010
18	B	토스트		2088
19	S	빵		2251
20	B	사과		2462
21	B	토마토		2500
22	D	밥		2589
23	S	애플		2609
24	B	애플		2741
25	D	토마토		2873
26	D	치킨		2962
27	S	고구마		3105
28	B	고구마		3199
29	D	빵		3293
30	L	쌀		3504
31	S	오렌지		3561
32	L	돼지고기		3656
33	L	미역국		3692
34	B	오트밀		3712
35	D	닭 가슴살		3811
36	D	양파		3924
37	L	바나나		4100
38	B	미역국		4235
39	S	토스트		4255
40	B	인스턴트 커피		4418
41	B	콘플레이크		4475
42	B	낮은 뚱뚱한 과일 요구르트		4578
43	L	토마토		4656
44	D	커피		4745
45	L	애플		4835
46	D	돼지고기		4967
47	B	통 밀 빵		5003
48	D	당근		5157
49	D	고구마		5333
50	L	낮은 뚱뚱한 과일 요구르트		5427
51	L	치킨		5505
52	L	당근		5648
53	D	피자		5824
54	L	고구마		5962
55	B	딸기		6056
56	L	커피		6146
57	L	차		6236
58	B	오렌지		6293
59	D	체 다 치즈		6388
60	L	비빔밥		6561
61	B	차		6581
62	B	귀리		6638
63	B	베이컨		6728
64	D	미역국		6853
65	L	김치		6873
66	L	라면		6913
67	S	쉐이크		6933
68	L	코코넛 오일		6953
69	B	체 다 치즈		7036
70	S	흰 쌀		7209
71	B	흰 쌀		7308
72	D	토스트		7407
73	L	올리브 오일		7570
74	L	오트밀		7631
75	D	바나나		7730
76	L	사과		7865
77	S	밥		7903
78	L	된장국		7923
79	D	베이컨		7943
80	L	체 다 치즈		8068
81	L	오렌지		8241
82	S	치킨		8336
83	B	프랑스 빵		8479
84	D	김치		8528
85	D	삼겹살		8568
86	B	플레인요거트		8606
87	S	닭 가슴살		8645
88	L	닭가슴살		8758
89	B	김치		8789
90	L	오징어		8829
91	B	잡곡밥		8863
92	B	우유		8883
93	L	떡볶이		8916
94	B	현미밥		8953
95	D	닭가슴살		8973
96	B	라면		9004
97	L	딸기		9024
98	L	북어국		9114
99	L	식빵		9134
100	D	김밥		9175
101	S	식빵		9196
102	B	귤		9238
103	L	김치찌개		9279
104	B	김밥		9299
105	L	계란후라이		9320
106	L	부대찌개		9341
107	D	자몽		9362
108	D	된장국		9400
109	D	라면		9421
110	D	돼지 갈비		9442
111	S	미역국		9548
112	L	김치볶음		9569
113	S	닭가슴살		9590
114	S	김밥		9622
115	B	닭가슴살		9643
116	B	요거트		9675
117	S	사과		9696
118	S	2% 우유		9735
119	D	계란후라이		9854
120	L	김		9875
121	B	볶은 아몬드		9895
122	L	오이		10044
123	B	쉐이크		10127
124	B	과자		10148
125	B	요플레		10169
126	B	두유		10190
127	L	만두		10211
128	L	볶음밥		10251
129	D	콜라		10272
130	L	김밥		10331
131	D	비빔밥		10352
132	D	떡볶이		10373
133	D	사과		10411
134	D	오트밀		10450
135	L	구운된 고구마		10550
136	B	된장찌게		10680
137	D	부대찌개		10701
138	D	치즈		10722
139	D	딸기		10761
140	D	식빵		10852
141	B	Coffee		10894
142	B	닭 가슴살		10933
143	S	김		11047
144	S	라면		11067
145	S	딸기		11088
146	D	과자		11179
147	B	고등어		11200
148	B	돼지 갈비		11222
149	B	멸치볶음		11328
150	B	오이		11349
151	L	카레		11432
152	B	구운된 고구마		11453
153	L	콩나물국		11583
154	L	우유		11605
155	L	두부		11639
156	L	쌀밥		11677
157	S	떡		11768
158	B	볶음밥		11789
159	D	된장찌게		11810
160	D	오렌지		11831
161	B	검은콩		11927
162	B	2% 우유		11978
163	B	카레		12097
164	B	저지방우유		12118
165	B	김		12152
166	B	떡국		12172
167	B	식빵		12193
168	B	현미		12235
169	B	콩나물무침		12280
170	D	김치볶음밥		12307
171	B	참외		12328
172	S	아몬드		12366
173	S	감		12505
