Row	ID	AllWeights	AllProperties
0	WS19871	1 didelis puodelis=355|1 mažas puodelis=180|1 puodeliai	031|060.3|1437|153
1	WS19396	1 vidutinio=44|1 didelis=50|1 labai didelis=56|1 mažas=38|3 d=38|1 puodeliai	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
2	WS19860	1 didelis puodelis=355|1 mažas puodelis=180|1 puodeliai	031.6|040.05|060.35|070.1|127.8|130.05|1427|151.35
3	WS19860	1 didelis puodelis=355|1 mažas puodelis=180|1 puodeliai	031.6|040.05|060.35|070.1|127.8|130.05|1427|151.35
4	WS19871	1 didelis puodelis=355|1 mažas puodelis=180|1 puodeliai	031|060.3|1437|153
5	WS21949	0.5 vištiena=460|1 taurė (susmulkinti arba supjaustyti)=140|1 krūties=290|1 koja be kulšies=135|1 sparnas=49|1 grynuolis=20	03240|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
6	WS26878	0.3 taurė=24.5|0.3 t=35|1 puodeliai	03370|0412|056.9|0669.5|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
7	WS19861	1 sausainių (6 cm)=35|1 didelis=77|2 mažas=70|1 vidutinio=51|2.5 sausainių (3 cm)	03395|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
8	WS19396	1 vidutinio=44|1 didelis=50|1 labai didelis=56|1 mažas=38|3 d=38|1 puodeliai	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
9	WS26877	1 vidutinio (18 cm iki 20 cm)=120|1 mažas (15 cm iki 18 cm)=100|1 didelis (20 cm iki 22 cm)=135|1 labai mažas (mažesnis nei 15 cm)=81|1 labai didelis (22 cm arba ilgesnis)=150|1 puodelis (griežinėliais)=150|1 taurė (koše)=225	0395|041.1|050.3|0623|072|0817|090.1|110.05|127.95|130.4|14385|151|1712
10	WS22903	1 pakelis=2|1 saukstelis=10|1 puodeliai|2 šaukšteliai	03175|0412.5|0512|0667|0765
11	WS18847	1 griežinėlis=25|1 plonas gabalas=20|1 labai plonas gabalas (kubeliai)=15|1 riekele=200|1 gabalas be plutos=12|1 plonas gabalas be plutos (kubeliai)=9|1 didelis gabalas (kubeliai)=30|1 taurė (trupinius)=45|1 taurė (kubeliai)=35	03260|0410.5|052.2|0656|076.55
12	WS18847	1 griežinėlis=25|1 plonas gabalas=20|1 labai plonas gabalas (kubeliai)=15|1 riekele=200|1 gabalas be plutos=12|1 plonas gabalas be plutos (kubeliai)=9|1 didelis gabalas (kubeliai)=30|1 taurė (trupinius)=45|1 taurė (kubeliai)=35	03260|0410.5|052.2|0656|076.55
13	WS18847	1 griežinėlis=25|1 plonas gabalas=20|1 labai plonas gabalas (kubeliai)=15|1 riekele=200|1 gabalas be plutos=12|1 plonas gabalas be plutos (kubeliai)=9|1 didelis gabalas (kubeliai)=30|1 taurė (trupinius)=45|1 taurė (kubeliai)=35	03260|0410.5|052.2|0656|076.55
14	WS18847	1 griežinėlis=25|1 plonas gabalas=20|1 labai plonas gabalas (kubeliai)=15|1 riekele=200|1 gabalas be plutos=12|1 plonas gabalas be plutos (kubeliai)=9|1 didelis gabalas (kubeliai)=30|1 taurė (trupinius)=45|1 taurė (kubeliai)=35	03260|0410.5|052.2|0656|076.55
15	WS26877	1 vidutinio (18 cm iki 20 cm)=120|1 mažas (15 cm iki 18 cm)=100|1 didelis (20 cm iki 22 cm)=135|1 labai mažas (mažesnis nei 15 cm)=81|1 labai didelis (22 cm arba ilgesnis)=150|1 puodelis (griežinėliais)=150|1 taurė (koše)=225	0395|041.1|050.3|0623|072|0817|090.1|110.05|127.95|130.4|14385|151|1712
16	WS26468	1 vidutinio (6 cm)=125|1 nedidelis Pomidoras (6 cm)=91|1 didelis (8 cm)=180|1 pleišto (1/4 vidutinio dydžio pomidorų)=31|1 gabaliuką (1 cm)=20|2 stori/didelis gabalas (1 cm)=54|1 puodeliai	0321|040.8|050.3|064.2|071.2|083.2|090.05|100.05|110.15|128.6|130.15|14225|151.6|1718
17	WS26857	1 griežinėlis=25|1 gabalas be plutos=12|1 didelis gabalas (kubeliai)=30|1 plonas gabalas=20|1 taurė (trupinius)=45|1 taurė (kubeliai)=35|1 plonas gabalas be plutos (kubeliai)=9|1 labai plonas gabalas (kubeliai)=15	03265|049.15|053.2|0649|072.7|085.05|090.7|100.6|111.6|12260|133.6|14115|15490
18	WS37183	1 griežinėlis=120|1 pica=945|2 griežinėliai=120	03265|0411.5|059.7|0633.5|072.3|083.6|094.45|102.6|111.7|12190|132.5|14170|15600|1617|171.4
19	WS19396	1 vidutinio=44|1 didelis=50|1 labai didelis=56|1 mažas=38|3 d=38|1 puodeliai	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
20	WS26469	1 oranžinė (7 cm)=130|1 taurė (skyriai)=180|1 didelis (8 cm)=185|1 mažas (6 cm)=96	0347|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
21	WS70978	1 mažas puodelis=180|1 didelis puodelis=355|1 puodeliai	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
22	WS26876	1 griežinėlis=25|2 griežinėliai=50|1 gabalas be plutos=12|1 plonas gabalas be plutos (kubeliai)=9|1 plonas gabalas=20|1 labai plonas gabalas (kubeliai)=15|2 didelis gabalas (kubeliai)=60|1 taurė (trupinius)=45|1 taurė (kubeliai)=35	03310|0413|054.15|0656|074.65|086.35|090.95|101|111.7|12165|134.1|14225|15605|170.2
23	WS19869	1 tarnauja=89|1 taurė (1 cm gabalus. kapotų. laisvai pietūs)=57|1 mažas lapų (susmulkinti)=5|1 didelis lapas (apie 18 cm)=15|1 taurė (susmulkinti)=72|1 didelis salotos (15 cm)=755|1 vidutinio salotos (15 cm)=540|1 vidutinio lapų (apie 14 cm)=8|1 maža galva (susmulkinti)|1 taurė (1 cm gabalus, kapotų, laisvai pietūs)=57	0315.5|041.35|050.15|062.85|071.3|080.8|110.1|1236|130.85|14195|1528|179.2
24	WS19399	1 konteinerio=245|1 vidutinio dydžio konteineris=185|1 mažas konteineris=125	0398|043.8|053|0614|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
25	WS21949	0.5 vištiena=460|1 taurė (susmulkinti arba supjaustyti)=140|1 krūties=290|1 koja be kulšies=135|1 sparnas=49|1 grynuolis=20	03240|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
26	WS19871	1 didelis puodelis=355|1 mažas puodelis=180|1 puodeliai	031|060.3|1437|153
27	WS22903	1 pakelis=2|1 saukstelis=10|1 puodeliai|2 šaukšteliai	03175|0412.5|0512|0667|0765
28	WS21948	1 puodeliai|100 gramai	03360|047.05|050.65|0679|071.3|080.1|090.2|100.2|110.2|1227.5|134.25|14115|154.95
29	WS19865	1 vidutinio=44|1 didelis=50|1 mažas=38|1 labai didelis=56|1 puodelis (supjaustyti)=135|1 šaukštai=8.5	03155|0412.5|0510.5|061.1|081.1|093.25|104.1|111.4|1250|131.2|14125|15125|16375|182.2
30	WS19620	1 tarnauja=125|2 t=83.5	03295|0425.5|0521|097.7|109.25|111.85|1222|131.3|14360|1573|1694|170.7|180.5
31	WS19399	1 konteinerio=245|1 vidutinio dydžio konteineris=185|1 mažas konteineris=125	0398|043.8|053|0614|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
32	WS35932	0.3 taurė=24.5|1 elis=48|1 puodeliai	03380|0413|056.5|0667.5|0710|081|091.1|102|112.3|1252|134.25|14360|156
33	WS19396	1 vidutinio=44|1 didelis=50|1 labai didelis=56|1 mažas=38|3 d=38|1 puodeliai	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
34	WS26468	1 vidutinio (6 cm)=125|1 nedidelis Pomidoras (6 cm)=91|1 didelis (8 cm)=180|1 pleišto (1/4 vidutinio dydžio pomidorų)=31|1 gabaliuką (1 cm)=20|2 stori/didelis gabalas (1 cm)=54|1 puodeliai	0321|040.8|050.3|064.2|071.2|083.2|090.05|100.05|110.15|128.6|130.15|14225|151.6|1718
35	WS53777	1 krūties=160|1 taurė (susmulkinti arba supjaustyti)=140|1 porc. (susmulkinti arba supjaustyti)=80	03160|0431|053.6|091.05|101.25|110.8|1215|131.05|14255|1574|1685|180.1
36	WS39102	1 vidutinio=61|1 dideli (7-21 cm)=72|1 puodelis (juostų arba skiltelės)=120|1 mažas (14 cm)=50|1 puodelis (supjaustyti)=130|1 taurė (tarkuoto)=110|3.3 didelių juostelių (8 cm)=23|1 griežinėlis=3|1 vidutinės juostos (juostų arba skiltelės)=4	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
37	WS26469	1 oranžinė (7 cm)=130|1 taurė (skyriai)=180|1 didelis (8 cm)=185|1 mažas (6 cm)=96	0347|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
38	WS26876	1 griežinėlis=25|2 griežinėliai=50|1 gabalas be plutos=12|1 plonas gabalas be plutos (kubeliai)=9|1 plonas gabalas=20|1 labai plonas gabalas (kubeliai)=15|2 didelis gabalas (kubeliai)=60|1 taurė (trupinius)=45|1 taurė (kubeliai)=35	03310|0413|054.15|0656|074.65|086.35|090.95|101|111.7|12165|134.1|14225|15605|170.2
39	WS19620	1 tarnauja=125|2 t=83.5	03295|0425.5|0521|097.7|109.25|111.85|1222|131.3|14360|1573|1694|170.7|180.5
40	WS21948	1 puodeliai|100 gramai	03360|047.05|050.65|0679|071.3|080.1|090.2|100.2|110.2|1227.5|134.25|14115|154.95
41	WS26877	1 vidutinio (18 cm iki 20 cm)=120|1 mažas (15 cm iki 18 cm)=100|1 didelis (20 cm iki 22 cm)=135|1 labai mažas (mažesnis nei 15 cm)=81|1 labai didelis (22 cm arba ilgesnis)=150|1 puodelis (griežinėliais)=150|1 taurė (koše)=225	0395|041.1|050.3|0623|072|0817|090.1|110.05|127.95|130.4|14385|151|1712
42	WS38742	1 šaukštai|1 puodeliai|1 šaukšteliai	03680|040.95|0575|060.55|081.85|0911.5|1017|1144.5|128|130.2|1420|15635|1642|180.2
43	WS39102	1 vidutinio=61|1 dideli (7-21 cm)=72|1 puodelis (juostų arba skiltelės)=120|1 mažas (14 cm)=50|1 puodelis (supjaustyti)=130|1 taurė (tarkuoto)=110|3.3 didelių juostelių (8 cm)=23|1 griežinėlis=3|1 vidutinės juostos (juostų arba skiltelės)=4	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
44	WS38745	1 tarnauja=125|1 puodeliai	0369|040.7|050.15|0618|070.9|0815.5|090.05|110.05|1210|130.35|14190|152|173.2
45	WS38743	1 keksas=50|1 Biszkopt=42	03400|043.65|0516|0660.5|073.2|0838|094.9|108.5|111.8|12115|133.6|14175|15330|171.9
46	WS41572	0.5 puodelio=35|1 puodelis (supjaustyti)=89|1 mažas kopūstas (apie 11 cm)=715|1 taurė (susmulkinti)=70|1 didelis lapas (apie 18 cm)=33|1 lapų (susmulkinti)=15|1 didelis kopūstas (apie 18 cm)=1250|1 vidutinio dydžio kopūstas (apie 14 cm)=910|1 vidutinio lapų (apie 14 cm)=23	0323|041.25|050.05|065.5|071.9|082.8|1248|130.15|14195|158|1737.5
47	WS26876	1 griežinėlis=25|2 griežinėliai=50|1 gabalas be plutos=12|1 plonas gabalas be plutos (kubeliai)=9|1 plonas gabalas=20|1 labai plonas gabalas (kubeliai)=15|2 didelis gabalas (kubeliai)=60|1 taurė (trupinius)=45|1 taurė (kubeliai)=35	03310|0413|054.15|0656|074.65|086.35|090.95|101|111.7|12165|134.1|14225|15605|170.2
48	WS19400	1 šaukštai|1 šaukšteliai	03900|05100|0913|1066.5|118|121|130.1|151
49	WS39674	1 puodeliai	03355|047.5|050.4|0684|073.3|089.5|090.1|100.05|110.2|127|1329|14170|15730|1721|183.6
50	WS86954		0365|0615
51	WS19870	1 konteinerio=245|1 mažas konteineris=125|1 vidutinio dydžio konteineris=185	03100|044.85|051.4|0618.5|082.9|090.9|100.4|110.05|12150|130.05|14195|1558|166|170.7
52	WS66007	1 šaukšteliai|1 šaukštai|0.6 griežinėlis|10 gramai	03875|040.5|0598.5|0961.5|1028.5|113.7|127.2|146.95|152|16255|181.8
53	WS19399	1 konteinerio=245|1 vidutinio dydžio konteineris=185|1 mažas konteineris=125	0398|043.8|053|0614|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
54	WS19871	1 didelis puodelis=355|1 mažas puodelis=180|1 puodeliai	031|060.3|1437|153
55	WS19706	1 tarnauja=48|1 grezinelis=48	03380|0414.5|0535|0911.5|1015|114.85|12135|130.9|14305|15750|1674|170.7|180.8
56	WS26879	1 vidutinio dydžio gabaliuką (10 cm x 6 cm x 4 cm)=64|1.2 mažas griežinėlis (5 cm x 6 cm x 4 cm)=38.5|1 didelis gabalas (15 cm x 6 cm x 4 cm)=96	03310|0412|052.2|0663|073.15
57	WS76552		03100
58	WS26469	1 oranžinė (7 cm)=130|1 taurė (skyriai)=180|1 didelis (8 cm)=185|1 mažas (6 cm)=96	0347|040.95|050.1|0612|072.4|089.35|110.05|1240|130.1|14180|1753
59	WS79059	1 vidutinio (6 cm)=110|0.2 šaukštas (susmulkinti)=2|1 mažas=70|1 didelis=150|1 puodelis (supjaustyti)=160|1 puodelis (griežinėliais)=115|1 didelis gabalas (1 cm)=38|1 vidutinio gabalas=14|1 plonas gabalas=9	0340|041.1|050.1|069.35|071.7|084.25|090.05|1223|130.2|14145|154|177.4
60	WS38744	1 mažas puodelis=180|1 didelis puodelis=355|1 puodeliai	0346|040.1|050.15|0611.5|070.2|089.6|110.05|128|130.1|14100|154|170.9
61	WS40391	1 puodeliai|1 šaukštai	03350|0425|051.05|0659.5|0730.5|082.05|090.15|100.2|110.5|1256|137.55|14955|156|174.4
62	WS26468	1 vidutinio (6 cm)=125|1 nedidelis Pomidoras (6 cm)=91|1 didelis (8 cm)=180|1 pleišto (1/4 vidutinio dydžio pomidorų)=31|1 gabaliuką (1 cm)=20|2 stori/didelis gabalas (1 cm)=54|1 puodeliai	0321|040.8|050.3|064.2|071.2|083.2|090.05|100.05|110.15|128.6|130.15|14225|151.6|1718
63	WS86954		0365|0615
64	WS171510		03500|0535.5|0645.5
65	WS90557	1 vidutinio (6 cm iki 8 cm)=215|1 mažas (4 cm iki 6 cm)=170|1 didelis (8 cm iki 11 cm)=370|0.5 taurė (supjaustyti)=75	0393|041.95|050.1|0621.5|071.5|081.7|090.05|110.05|125|130.35|14390|155|1713
66	WS199790	1 blynas=40|1 blynas (15 cm)=73|3 blynai (15 cm)=24.5|3 blynai	03220|046.7|058.3|0637.5|071|088.3|091.15|101.55|113.85|1278|135.65|1490|15460|1618|170.3
67	WS37183	1 griežinėlis=120|1 pica=945|2 griežinėliai=120	03265|0411.5|059.7|0633.5|072.3|083.6|094.45|102.6|111.7|12190|132.5|14170|15600|1617|171.4
