Row	ID	AllWeights	AllProperties
0	WS593	1 rebanada=25|2 rebanadas=25|1 rebanada grande (cubos)=30|1 rebanada sin corteza=12|1 rebanada fina=20|1 rebanada delgada sin corteza (cubos)=9|1 taza (cubos)=35|1 taza (migas)=45|1 rebanada muy delgada (cubos)=15|1 rebanada gruesa=60	03265|0411.5|052.3|0656.5|076.6
1	WS601	1 taza de café=240|1 taza grande=355|1 taza pequeña=180|1 orden de comida rápida de gran tamaño=600|1 porción=240|1 tazas|100 mililitros|1 cucharillas|1 onzas|100 gramos|1 orden de comida rápida=240|1 orden mediana de comida rápida=480	031.45|040.15|060.05|090.05|110.1|1446.5|152.1
2	WS580	1 pecho=290|1 pata de pollo=135|1 taza (picado o en cubitos)=140|1 pechuga=100|1 muslo=135|1 ala=49|1 pepita=20|1 Filete=290	03175|0420.5|0510|1214|131.5
3	WS4909	1 mediana (6 cm)=125|1 tomate pequeño (6 cm)=91|1 grande (8 cm)=180|1 rebanada (1 cm)=20|1 rodaja gruesa grande (1 cm)=27|1 cuña (1/4 de tomate mediano)=31|1 tazas|1 cucharadas|1 mediana (6 Fm)|1 doscientos gramos|4 cherry	0320|040.95|050.4|064.6|071.5|1215|131.1|1716
4	WS10486	1 rebanada=25|1 rebanada grande (cubos)=30|2 rebanadas=50|1 rebanada fina=20|1 rebanada sin corteza=12|1 taza (migas)=45|1 rebanada muy delgada (cubos)=15|1 rebanada delgada sin corteza (cubos)=9|1 pan=25|1 taza (cubos)=35|1 panes=100	03275|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
5	WS10810	1 paquete individual=6|2 cucharaditas=10|1 porción=8|2 cucharilla=6|1 paquete=2.8|1 cucharadita desempaquetada=3|1 terrones. 2 cubos=4.9|1 cantidad de bebida por 30 ml. según instrucciones=1.3|1 sobrecillo=8|2 cucharaditas a=20|1 cucharadit=1.3|1 cucharillas|1 cucharadas|1 tazas|1 cucharadita llena=4.6|1 taza llena=220|1 taza desempaquetada=145|1 cucharadita de brownulated=3.2	03390|0699.5|0899.5
6	WS7789	400 mililitros|1 tazas|100 gramos	0363.5|043.1|053.55|064.9|12105|131.25|170.5
7	WS10486	1 rebanada=25|1 rebanada grande (cubos)=30|2 rebanadas=50|1 rebanada fina=20|1 rebanada sin corteza=12|1 taza (migas)=45|1 rebanada muy delgada (cubos)=15|1 rebanada delgada sin corteza (cubos)=9|1 pan=25|1 taza (cubos)=35|1 panes=100	03275|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
8	WS10419	1 taza grande=355|0.5 porción=120|1 tazas|100 mililitros|1 onzas=27|1 onzas=29.5|100 gramos	0338.5|044.3|050.2|066.15|085.15|090.1|100.05|110.2|14175|1555|162.15
9	WS1568	1 mediana (7 cm de diámetro) (aprox. 3 por 450 g)=140|1 pequeña (6.5 cm de diámetro) (aprox 4 por 450 g)=105|1 mediana (8 cm)=180|1 manzana=17|1 grande (8 cm)=225|1 tajada=17|1 tajada delgada=7.7|1 manzana silvestre=34.5|1 pequeña=170|1 onza. con la cáscara. productos=27|1 anillo=13.5|1 pequeño (7 cm)=150|1 unidad|1 onza, con la cáscara, productos=27|100 gramos|1 pequeña (6,5 cm de diámetro) (aprox 4 por 450 g)=105|	0358.5|040.25|050.15|0614|072.4|0810.5|090.05|110.05|14105|150.75
10	WS4909	1 mediana (6 cm)=125|1 tomate pequeño (6 cm)=91|1 grande (8 cm)=180|1 rebanada (1 cm)=20|1 rodaja gruesa grande (1 cm)=27|1 cuña (1/4 de tomate mediano)=31|1 tazas|1 cucharadas|1 mediana (6 Fm)|1 doscientos gramos|4 cherry	0320|040.95|050.4|064.6|071.5|1215|131.1|1716
11	WS113427	1 taza de café=240|1 taza grande=355|1 taza pequeña=180|1 orden de comida rápida de gran tamaño=600|1 porción=240|1 orden mediana de comida rápida=480|1 tazas|100 mililitros|1 cucharillas|1 onzas|100 gramos|1 orden de comida rápida=240	031.2|040.15|050.05|060.05|090.05|110.1|1446.5|152.75
12	WS10486	1 rebanada=25|1 rebanada grande (cubos)=30|2 rebanadas=50|1 rebanada fina=20|1 rebanada sin corteza=12|1 taza (migas)=45|1 rebanada muy delgada (cubos)=15|1 rebanada delgada sin corteza (cubos)=9|1 pan=25|1 taza (cubos)=35|1 panes=100	03275|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
13	WS115155	1 taza. cocido=160|1 porción=105|1 onza. seca. cocida=87|1 taza. con cocido=570|0.3 cocido=95|1 tazas|1 taza, cocido=160|1 onza, seca, cocida=87|100 gramos|1 taza, con cocido=570	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1435|15365
14	WS616	1 taza. con ralladura o picadura=57|1 porción=57|1 hoja grande=14.5|1 hojas medianas=7.2|1 hoja pequeña=7.2|1 cabeza mediana (15 cm de diámetro)=535|1 cabeza pequeña=320|1.3 ca=77|1 taza (rallada)=72|1 lechuga grande (15 cm)=755|1 lechuga mediana (15 cm)=540|1 taza (llenos de trozos de 1 cm. picadas. libremente)=57|1 onza. cruda. cocida=28.5|1 litros|1 taza (llenos de trozos de 1 cm, picadas, libremente)=57|1 hoja mediana (aproximadamente 14 cm)=8|1 hoja grande (alrededor de 18 cm)=15	0314|040.9|050.15|062.9|071.25|081.7|110.05|14135|1510.5
15	WS114343	1 mediana=44|1 pequeño=38|1 grande=50|1 extra grande=56|1 jumbo=63|1 tazas	03160|0413|0511.5|060.7|1254|132.7
16	WS4466	1 mediano=410|1 grande=485|1 pequeño=305|1 porción=410|1 taza de café=240|1 tazas|200 mililitros|250 centilitros|1 onzas=24|100 gramos	0334.5|042.2|051.4|063.05|083.3|090.8|100.35|110.1|14135|1530.5|164.95
17	WS113371	1 rebanada=28|1 pulgada cúbica=17|1 taza (cortada)=130|1 taza (rallada)=115|2 rebanadas=170|1 paquete (derretido)=170|1 feta=21|1 taza (derretida)=245	03335|0424|0522.5|0610|12705|131.8
18	WS4324	1 rebanada=28|1 pulgada cúbica=17|1 taza (cortada)=130|1 paquete (derretido)=170|1 taza (rallada)=115|1 feta=21|2 rebanadas=170|1 taza (derretida)=245	03335|0424|0522.5|0610|12705|131.8
19	WS580	1 pecho=290|1 pata de pollo=135|1 taza (picado o en cubitos)=140|1 pechuga=100|1 muslo=135|1 ala=49|1 pepita=20|1 Filete=290	03175|0420.5|0510|1214|131.5
