Row	ID	AllWeights	AllProperties
0	WS829	1 sneetje=25|2 sneetjes=25|1 sneetje zonder korst=12|1 kop (kruimels)=45|1 grote sneetje (blokjes)=30|1 dun plakje zonder korst (blokjes)=9|1 zeer dun plakje (blokjes)=15|1 kop (blokjes)=35|2 stuks=7|1 dun plakje=20	03230|0410.5|053|0635.5|079.75|090.6|100.8|111.2|1233|132|14235|15435|160.7
1	WS829	1 sneetje=25|2 sneetjes=25|1 sneetje zonder korst=12|1 kop (kruimels)=45|1 grote sneetje (blokjes)=30|1 dun plakje zonder korst (blokjes)=9|1 zeer dun plakje (blokjes)=15|1 kop (blokjes)=35|2 stuks=7|1 dun plakje=20	03230|0410.5|053|0635.5|079.75|090.6|100.8|111.2|1233|132|14235|15435|160.7
2	WS3983	1 mok=240|1 kopje=235|1 koffie kopje=240|2 mokken=240|1 grote kop=480|1 kleine kop=240|1 klein kopje=180|1 portie=240|3 kopjes=470|250 milliliters|2 cups|2 koppen|1 eenheid van 30 ml	031.2|040.15|060.05|090.1|1448.5|152.05
3	WS7661	1 sneetje=25|2 sneetjes=50|1 sneetje zonder korst=12|1 grote sneetje (blokjes)=30|1 dun plakje zonder korst (blokjes)=9|1 kop (kruimels)=45|1 dun plakje=20|1 zeer dun plakje (blokjes)=15|1 kop (blokjes)=35|1 boterhammen|6.699999 grote snee	03235|0411|052.15|0639.5|076.6|090.4|100.6|110.9|1233|132|14215|15465|160.7
4	WS7661	1 sneetje=25|2 sneetjes=50|1 sneetje zonder korst=12|1 grote sneetje (blokjes)=30|1 dun plakje zonder korst (blokjes)=9|1 kop (kruimels)=45|1 dun plakje=20|1 zeer dun plakje (blokjes)=15|1 kop (blokjes)=35|1 boterhammen|6.699999 grote snee	03235|0411|052.15|0639.5|076.6|090.4|100.6|110.9|1233|132|14215|15465|160.7
5	WS3983	1 mok=240|1 kopje=235|1 koffie kopje=240|2 mokken=240|1 grote kop=480|1 kleine kop=240|1 klein kopje=180|1 portie=240|3 kopjes=470|250 milliliters|2 cups|2 koppen|1 eenheid van 30 ml	031.2|040.15|060.05|090.1|1448.5|152.05
6	WS253	1 kopje=235|1 grote kop=355|1 klein kopje=180|1 beker=200|1 scheut=100|1 bij de koffie (mok)=125|1 bekertje=150|1 scheut 100ml=105|250 milliliters|1 cups|2 glas|2 koppen	0346|043.75|051.5|065.05|091|100.3|12120|14160|1539|165.6|171
7	WS7755	1 mok=240|1 theekop=240|2 portie=480|2 Glazen=480|200 milliliters|1 kopje|1 grote kop|2 kopjes|3 koppen|1 eenheid van 30 ml|100 grammen	030.9|040.3|060.3|090.3|1432.5|152.85
8	WS829	1 sneetje=25|2 sneetjes=25|1 sneetje zonder korst=12|1 kop (kruimels)=45|1 grote sneetje (blokjes)=30|1 dun plakje zonder korst (blokjes)=9|1 zeer dun plakje (blokjes)=15|1 kop (blokjes)=35|2 stuks=7|1 dun plakje=20	03230|0410.5|053|0635.5|079.75|090.6|100.8|111.2|1233|132|14235|15435|160.7
9	WS278	1 sneetje=28|1 kop (in blokjes gesneden)=130|1 plakje=10|0.5 kop (versnipperd)=56.5|2 stuks=14|1 pakket (gesmolten)=170|1 kubieke inch=17|0.1 p=24|1 k=20|1 kop (gesmolten)=245	03355|0425.5|0527.5|0918|106|110.8|12830|130.4|1481|15720|1670.5|180.8
10	WS7755	1 mok=240|1 theekop=240|2 portie=480|2 Glazen=480|200 milliliters|1 kopje|1 grote kop|2 kopjes|3 koppen|1 eenheid van 30 ml|100 grammen	030.9|040.3|060.3|090.3|1432.5|152.85
11	WS829	1 sneetje=25|2 sneetjes=25|1 sneetje zonder korst=12|1 kop (kruimels)=45|1 grote sneetje (blokjes)=30|1 dun plakje zonder korst (blokjes)=9|1 zeer dun plakje (blokjes)=15|1 kop (blokjes)=35|2 stuks=7|1 dun plakje=20	03230|0410.5|053|0635.5|079.75|090.6|100.8|111.2|1233|132|14235|15435|160.7
12	WS3767	1 medium (6 cm aan 8 cm)=215|1 grote (8 cm tot 11 cm)=370|1 klein (4 cm tot 6 cm)=170|2 aardappel=200|1 portie=100|0.5 cup (blokjes)=75|2.1 medium (12 cm aan 8 cms)=250|2 grotes (16 cm tot 11 cms)	0377|042.05|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156.3|1719.5
13	WS1298	1 container=245|1 kleine container=125|1 middelgrote container=185|1 beker=200|1 potje=245|200 milliliters|1 portie	0338.5|044.45|050.3|064.15|090.2|100.1|12150|14155|1542|162.7
14	WS8156	1 ronde (4 cm)=10|1 ovale object (8 cm x 3 cm x 1 cm)=15|2 koekjes=10|1 ronde (4 cms)|1 oz=28.5	03510|046.2|0520|0667|073|099.4|105.6|112.1|1240|131.7|14210|15315|1621.5|180.2
15	WS556	1 middelgrote (18 cm - 20 cm lang)=120|1 klein (15 cm - 17.5 cm lang)=100|1 medium (18 cm tot 20 cm)=120|1 extra klein (minder dan 15 cm lang)=81|1 middelgrote banaan=120|1 stuk=14|1 kleine banaan=90|1 banaan=100|1 grote (20 cm tot 22 cm)=135|1 klein (15 cm tot 18 cm)=100|1 portie=120|1 schijf=5.6|1 middelgrote=100|1 kleine=175|1 groot (20 cm - 22.5 cm lang)|1 medium (18 cm tot 20 cms)|1 extra grote (22 cm of langer)=150|1 extra klein (kleiner dan 15 cm)=81|1 kop (gesneden)=150|1 kop (puree)=225	0389.5|041.1|050.35|0622.5|072.6|0812|090.1|100.05|110.1|14360|150.85
16	WS556	1 middelgrote (18 cm - 20 cm lang)=120|1 klein (15 cm - 17.5 cm lang)=100|1 medium (18 cm tot 20 cm)=120|1 extra klein (minder dan 15 cm lang)=81|1 middelgrote banaan=120|1 stuk=14|1 kleine banaan=90|1 banaan=100|1 grote (20 cm tot 22 cm)=135|1 klein (15 cm tot 18 cm)=100|1 portie=120|1 schijf=5.6|1 middelgrote=100|1 kleine=175|1 groot (20 cm - 22.5 cm lang)|1 medium (18 cm tot 20 cms)|1 extra grote (22 cm of langer)=150|1 extra klein (kleiner dan 15 cm)=81|1 kop (gesneden)=150|1 kop (puree)=225	0389.5|041.1|050.35|0622.5|072.6|0812|090.1|100.05|110.1|14360|150.85
17	WS278	1 sneetje=28|1 kop (in blokjes gesneden)=130|1 plakje=10|0.5 kop (versnipperd)=56.5|2 stuks=14|1 pakket (gesmolten)=170|1 kubieke inch=17|0.1 p=24|1 k=20|1 kop (gesmolten)=245	03355|0425.5|0527.5|0918|106|110.8|12830|130.4|1481|15720|1670.5|180.8
18	WS951	1 middelgrote=44|1 medium=44|1 klein=36.5|1 groot=50.5|1 portie=50.5|1 extra grote=58|1 grote=50|1 kop (4.86 eieren)=245|1 stuk=14|1 jumbo=65.5|1 kleine=38|1 kopje=245	03145|0412.5|059.85|060.8|080.8|093.1|103.8|111.3|14135|15140|16420
19	WS5583	1 kopje=120|1 portie=28|1 kommetje=50|1 cups|3 eetlepels|1.5 koppen|100 grammen|1 oz	03350|0410|055.95|0676|077.35|0830.5|090.95|102.7|111.65|14485|15220
20	WS3297	1 middelgrote (7 cm diameter) (ca. 3 per 450 g)=140|1 klein (6.5 cm diameter) (ca. 4 per 450 g)=105|1 klein (6 cm)=96|1 grote (8 cm)=185|0.5 geschild=69|1 wilde appel=34.5|1 Een middelgroot=110|0.5 middelgroot=37.5|1 dunne schijf=7.7|2 portie=310|1 medium (8 cm)=180|1 schijf=17|1 kop. gesneden=110|1 ring=13.5|1 oranje (7 cm)=130|1 oz. met schil. na bereiding=27|1 kleine=75|1 jonagold|1 oz, met schil, na bereiding=27|100 grammen|1 klein (6,5 cm diameter) (ca. 4 per 450 g)=105|1 kop, gesneden=110|	0352.5|040.3|050.2|0614|072.4|0810|090.05|100.3|110.05|14105|152.5
21	WS8537	1 medium (6 cm)=125|1 kleine tomaat (6 cm)=91|2 slice (1 cm)=40|1 kopje=240|1 grote (8 cm)=180|1 stuk=42|1 dik/groot segment (1 cm)=27|1 wig (1/4 van middellange tomaat)=31|1 grote kop=355|1 klein kopje=180|1 grotes (16 cms)	0323|040.7|050.5|063.1|071.4|090.1|100.1|110.3|129|130.4|14265|152|1718
22	WS1221	1 pat (sq 2 cm. 1 cm)=5|1 stick (2 cm sq. 1 cm)=115|1 kopje=225|1 eetlepels|1 theelepels|1 s|1 pat (sq 2 cm, 1 cm)=5|1 stick (2 cm sq, 1 cm)=115	03325|0535|060.8|098.6|106.7|1117.5|1210|130.1|1442|1510|161|187.5
23	WS9283	1 medium (8 cm)=180|1 klein (7 cm)=150|1 grote (8 cm)=225|1 extra klein (6 cm)=100|1 appel=160|1 klein=150|1 stuk=150|1 medium (8 cms)=80|1 kop (gehakte)=125|1 kop (segmenten)=110	0359.5|040.2|050.2|0613|072|110.1|124|130.1|14125|151|175
24	WS8537	1 medium (6 cm)=125|1 kleine tomaat (6 cm)=91|2 slice (1 cm)=40|1 kopje=240|1 grote (8 cm)=180|1 stuk=42|1 dik/groot segment (1 cm)=27|1 wig (1/4 van middellange tomaat)=31|1 grote kop=355|1 klein kopje=180|1 grotes (16 cms)	0323|040.7|050.5|063.1|071.4|090.1|100.1|110.3|129|130.4|14265|152|1718
25	WS9597	1 dunne plak (ca. 5 cm x 4 cm x 0.3 cm)=7.2|1 middelgrote plak (ca. 5 cm x 4 cm x 0.6 cm)=14|1 borst=160|1 kop (gehakt of in blokjes gesneden)=140|1 plakje=81|1 stuk=14|1 oz. zonder bot (na bereiding)=18|1 kubieke inch. zonder bot. bereid=17|2 plakjes=81|1 di|100 grammen|1 dunne plak (ca. 5 cm x 4 cm x 0,3 cm)=7.2|1 middelgrote plak (ca. 5 cm x 4 cm x 0,6 cm)=14|1 oz, rauw (na bereiding, bot verwijderd)=15|1 kubieke inch, zonder bot, bereid=17|1 oz, zonder bot (na bereiding)=18	03185|0430|057.4|092.1|102.9|111.6|14250|15375|1682
