Row	Meal	Name	Brand	Pos
0	B	Brood		33
1	L	Brood		334
2	B	Koffie		635
3	L	Volkorenbrood		868
4	B	Volkorenbrood		1194
5	S	Koffie		1520
6	B	Melk halfvolle		1753
7	B	Thee		1994
8	S	Brood		2178
9	L	Kaas 45+		2479
10	S	Thee		2735
11	D	Brood		2920
12	D	Aardappel		3222
13	B	Yoghurt magere		3511
14	S	Koekje		3700
15	B	Banaan		3887
16	S	Banaan		4468
17	B	Kaas 45+		5049
18	L	Ei		5306
19	B	Muesli		5552
20	S	Appel		5717
21	L	Tomaat		6296
22	B	Halvarineproduct		6604
23	S	Appel m schil		6827
24	D	Tomaat		7076
25	D	Kipfilet		7384
26	S	Chips		7930
27	L	Halvarineproduct		8281
28	L	Koffie		8504
29	B	Ei		8738
30	S	Mandarijn		8984
31	B	Havermout		9285
32	B	Jam		9758
33	L	Komkommer		9908
34	L	Thee		10194
35	B	Cornflakes		10379
36	D	Mayonaise		10571
37	L	Volkoren brood		10828
38	S	Kauwgom z suiker		11232
39	B	Pindakaas		11281
40	S	Sinaasappel		11409
41	S	Chocolade puur		11633
42	B	Melk magere		11773
43	D	Witte rijst		11884
44	L	Banaan		12171
45	D	Kipfilet bereid		12752
46	L	Kipfilet		12850
47	S	Yoghurt magere		13396
48	L	Melk halfvolle		13585
49	B	Beschuit		13827
50	B	Pap havermout		14016
51	L	Pindakaas		14172
52	D	Aardappelen		14300
53	B	Kiwi		14526
54	D	Gemengde groenten		14693
55	D	Komkommer		14851
56	S	Rijstwafel		15137
57	D	Aardappels		15273
58	D	Broccoli gekookt		15468
59	S	Gemengde noten		15754
60	D	Friet		15842
61	D	Groenten gekookt		16047
62	D	Kaas 45+		16163
63	S	Koek		16420
64	B	Kipfilet (vleeswaar)		16605
65	L	Mayonaise		16883
66	L	Filet americain		17140
67	B	Smeerkaas 20+		17255
68	L	Kaas 30+ jong		17430
69	D	Cola light		17553
70	S	Kaas 45+		17795
71	L	Kipfilet bereid		18052
72	S	Melk halfvolle		18150
73	B	Appel m schil		18392
74	S	Kiwi		18641
75	S	Volkorenbrood		18808
