Row	ID	AllWeights	AllProperties
0	WS19357	1 skive=25|2 skiver=50|1 veldig tynn skive (kuber)=15|1 skive uten skorpe=12|1 stor SKIVE (kuber)=30|1 tynn skive=20|0.2 vinge=9.8|1 tynn skive uten skorpe (kuber)=9	03265|0410.5|053.4|0648|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
1	WS19356	1 stor kopp=355|1 liten kopp=180|1 kopper	031.5|040.05|060.35|070.1|127.45|130.05|1428.5|151.4
2	WS19357	1 skive=25|2 skiver=50|1 veldig tynn skive (kuber)=15|1 skive uten skorpe=12|1 stor SKIVE (kuber)=30|1 tynn skive=20|0.2 vinge=9.8|1 tynn skive uten skorpe (kuber)=9	03265|0410.5|053.4|0648|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
3	WS4052		03275|0410.5|053.5|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
4	WS4052		03275|0410.5|053.5|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
5	WS125425		031.15|040.1|050.05|090.15|110.15|122|130.75|1449|152
6	WS19357	1 skive=25|2 skiver=50|1 veldig tynn skive (kuber)=15|1 skive uten skorpe=12|1 stor SKIVE (kuber)=30|1 tynn skive=20|0.2 vinge=9.8|1 tynn skive uten skorpe (kuber)=9	03265|0410.5|053.4|0648|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
7	WS23596	1 skive=27|1 tynn skive=15|1 slice=27|3 skiver=50|1 kopper|3 stk	03140|0420|056|093.1|104.45|111.4|128.4|131.35|14410|151500|1659|180.8
8	WS23596	1 skive=27|1 tynn skive=15|1 slice=27|3 skiver=50|1 kopper|3 stk	03140|0420|056|093.1|104.45|111.4|128.4|131.35|14410|151500|1659|180.8
9	WS22018	0.5 kylling=460|1 filet=135|1 bryst=290|1 vinge=49	03150|0421.5|057.55|1214|131.45
10	WS27790		03140|0412.5|059.55|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
11	WS23761	1 stor kopp=355|1 liten kopp=180|1 kopper	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
12	WS26985	2 porsjon=80|0.3 kopper|1.2 deciliters	03380|0413|056.5|0667.5|0710|081|091.1|102|112.3|1252|134.25|14360|156
