Row	Meal	Name	Brand	Pos
0	B	Brød		33
1	B	Kaffe		295
2	L	Brød		401
3	L	Bread		663
4	B	Bread		761
5	B	Coffee		859
6	S	Brød		926
7	B	Skinke		1188
8	L	Skinke		1335
9	D	Kylling		1482
10	B	Egg		1576
11	B	1% melk		1676
12	B	Havre		1813
13	B	Smør		1935
14	S	Coffee		2051
15	B	Oatmeal		2119
16	D	Brød		2214
17	S	Apple		2477
18	S	Melkesjokolade		2573
19	L	Coffee		2677
20	S	Kaffe		2745
21	S	Chocolate		2852
22	D	Pizza		2951
23	D	Gulrot		3055
24	S	Bread		3255
25	B	Speilegg		3354
26	B	Knekkebrød		3521
27	D	Bread		3540
28	D	Løk		3639
29	D	Karbonadedeig		3894
30	L	Egg		3927
31	B	2% milk		4027
32	D	Brokkoli		4123
33	D	Potet		4362
34	B	Banan		4560
35	D	Idun Ketshup		4838
36	S	Tea		4866
37	B	1% milk		4913
38	S	Banana		5007
39	B	Banana		5102
40	L	Smør		5197
41	S	Skinke		5313
42	S	Egg		5461
43	S	Banan		5561
44	L	Tomat		5839
45	D	Egg		6087
46	B	Havregryn		6187
47	B	Pulverkaffe		6222
48	L	Banan		6277
49	S	Chips		6555
50	D	Tomato		6651
51	B	Nonfat milk		6748
52	D	Tomat		6834
53	D	Grønn salat		7082
54	L	Kaffe		7343
55	L	Agurk		7450
56	D	Brun ris		7651
57	B	Cheddarost		7758
58	D	F.makaroni 40 g		7926
59	L	Ironcore Bar		7962
60	L	Ham		7997
61	D	Laks		8083
62	B	Tomat		8190
63	D	Saus		8438
64	S	Orange		8548
65	D	Carrot		8629
66	D	Rømme		8720
67	S	Te		8838
68	D	Agurk		8911
69	L	Tomato		9112
70	B	Toast		9209
71	B	Eple		9302
72	L	Gulrot		9340
73	L	Grønn salat		9540
74	D	Broccoli		9801
75	B	Low fat fruit yogurt		9897
76	B	Idun Ketshup		9990
77	D	Cola		10018
78	B	F.makaroni 40 g		10079
79	B	Gulrot		10115
80	L	Grønnsakssuppe		10315
81	B	Agurk		10356
82	B	Tea		10557
83	L	Cucumber		10604
84	S	2% milk		10682
85	L	Knekkebrød		10778
86	B	Fresh orange juice		10797
87	B	Styrk Melk		10887
88	B	Lav fett fruktyoghurt		10914
89	L	Kylling		11065
90	B	Laks		11160
91	L	1% melk		11267
92	D	Paprika		11404
93	S	Carrot		11435
94	S	Yogurt, Greek, plain, nonfat		11526
95	L	Proteinpulver		11611
96	S	Lav fett fruktyoghurt		11650
97	S	Sjokoladekake		11801
98	L	Banana		11913
99	B	Appelsinjuice konsentrat		12008
100	S	Pære		12134
101	L	Cheddarost		12300
102	L	Havregryn		12469
103	L	Apple		12505
104	B	Avokado		12602
105	B	Te		12751
106	D	Røde kidneybønner		12825
107	S	Biscuit		12951
108	D	Kaffe		13049
109	D	Ost Jarlsberg		13157
110	L	Lav fett fruktyoghurt		13190
111	S	Eple		13342
112	L	Redusert fett ost		13381
113	B	Bacon		13552
114	B	Fersk appelsinjuice		13649
115	B	Blåbær		13780
116	B	Hel-hvete brød		13911
117	B	Makrell i tomat		14096
118	L	Appelsin		14135
119	L	Cheddar cheese		14154
120	B	Proteinshake		14251
121	L	Pølse		14291
122	B	Ironcore Bar		14401
123	L	Pizza		14437
124	L	Eple		14542
125	D	Skinke		14581
126	D	Purre		14730
127	D	Avocado		14767
128	S	Proteinshake		14864
129	B	Apple		14904
130	B	Cheddar cheese		15001
131	L	Cottage cheese		15098
132	S	Low fat fruit yogurt		15139
133	D	Banan		15233
134	D	Bacon		15512
135	D	Cheddar cheese		15609
136	L	Te		15706
137	L	Styrk Melk		15780
138	L	Helmelk		15808
139	S	Grapes		15949
140	S	Strawberry		16054
141	D	Avokado		16143
142	S	Jordbær		16292
143	B	Oransje		16544
144	B	Valnøtt		16680
145	D	Cucumber		16848
146	D	Smør		16927
147	S	Sukker		17044
148	B	Pære		17122
149	B	Gammeldags bolle		17288
150	D	Apple		17515
151	S	Almonds		17612
152	D	Cottage cheese		17702
153	D	Ironcore Bar		17743
154	D	Mashed potatoes		17779
155	L	Avokado		17882
156	S	Appelsin		18031
157	S	Cheddar cheese		18050
158	L	Bacon		18147
159	L	Carrot		18244
160	L	Chips		18336
161	B	Kaviar		18433
162	L	Røde kidneybønner		18454
163	L	F.makaroni 40 g		18580
164	L	Jordbær		18617
165	L	Broccoli		18869
166	L	Cheese, gouda		18966
167	B	Scrambled egg		19069
168	S	Knekkebrød		19169
169	S	Redusert fett ost		19189
170	B	Hard boiled egg		19360
171	S	Ananas		19462
172	S	Pear		19660
173	D	Spinat		19750
174	D	Torsk		19787
175	D	Hamburger		19820
176	S	Appelsinjuice konsentrat		19902
177	S	Avokado		20029
178	S	Fersk appelsinjuice		20178
179	B	Yogurt, Greek, plain, nonfat		20309
180	S	Pølse		20395
181	D	Havregryn		20505
182	B	Sugar		20541
183	B	Biscuit		20593
184	B	F.makaroni		20691
185	B	Fransk brød		20712
186	L	Vaffel		20871
187	L	Orange		20984
188	L	Strawberry		21066
189	L	Avocado		21155
190	B	Strawberry		21252
