Row	ID	AllWeights	AllProperties
0	WS19019	1 kromka=25|2 kromki=50|1 kawałek bez skórki=12|1 cienki plasterek bez skórki (moduły)=9|1 duży kawałek (moduły)=30|1 szklanka (tarta)=45|1 cienki plasterek=20|1 bardzo cienki kawałek (moduły)=15|1 szklanka (moduły)=35	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
1	WS18964	1 średni=44|1 duże=50|1 małe=38|2 średnie=44|1 duży=56|1 szklanka=245|2 sztuka	03145|0412.5|059.55|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
2	WS18965	1 szklanka=235|1 duża szklanka=355|1 mały kubek=180	031.55|040.05|060.35|070.1|127.3|130.05|1429|151.4
3	WS19340	0.3 Puchar=24.5|1 szklanka=81|1 Porcja=20|0.5 szklanki=81|6 łyżek=81|0.3 P=27|1 lyzka=81|1 Miska=190|0.5 s=29|3 łyżki|1 ł	03370|0411.5|056.85|0668.5|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
4	WS19019	1 kromka=25|2 kromki=50|1 kawałek bez skórki=12|1 cienki plasterek bez skórki (moduły)=9|1 duży kawałek (moduły)=30|1 szklanka (tarta)=45|1 cienki plasterek=20|1 bardzo cienki kawałek (moduły)=15|1 szklanka (moduły)=35	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
5	WS19021	1 szklanka=235|1 duża szklanka=355|1 mały kubek=180	031.2|060.35|1437|153.25
6	WS19021	1 szklanka=235|1 duża szklanka=355|1 mały kubek=180	031.2|060.35|1437|153.25
7	WS18965	1 szklanka=235|1 duża szklanka=355|1 mały kubek=180	031.55|040.05|060.35|070.1|127.3|130.05|1429|151.4
8	WS23097	1 kromka=25|2 kromki=25|1 bardzo cienki kawałek (moduły)=15|1 szklanka (tarta)=45|1 cienki plasterek bez skórki (moduły)=9|5 kromek=25|1 duży kawałek (moduły)=30|1 kawałek bez skórki=12|0.5 cienki plasterek=10|1 szklanka (moduły)=35|2 cienkie kawałek	03270|0411.5|053.35|0652|074.3
9	WS19026	1 kromka=27|1 cienki plasterek=15|2 cienke plasterki=30|2 cienkie plasterki=30|4 plasterki=27|1 szklanka=140|4 kromki=36|1 s=140	03175|0423|059.05|093.1|104.45|111.4|128|131.35|14410|151500|1659|180.8
10	WS19020	1 średni (18 cm do 20 cm)=120|1 małych (15 cm-18 cm)=100|1 duże (20 cm do 22 cm)=135|1 dodatkowe małe (mniejsze niż 15 cm)=81|1 duży (22 cm lub dłuższe)=150|1 szklanka (puree)=225|1 szklanka (w plastrach)=150|1 dodatkowe małe (mniejsze niż 8 8 cm)	03100|040.95|050.5|0626|071.95
11	WS19019	1 kromka=25|2 kromki=50|1 kawałek bez skórki=12|1 cienki plasterek bez skórki (moduły)=9|1 duży kawałek (moduły)=30|1 szklanka (tarta)=45|1 cienki plasterek=20|1 bardzo cienki kawałek (moduły)=15|1 szklanka (moduły)=35	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
12	WS19341	1 szklanka=160|1.3 z=260|1 porcja=80|1 s=100|1 szklanką=100|1 porcja (pół torebki)=50|1 szklanki=480|1 łyżki|1 Torebka	03320|046.25|050.6|0669.5|071.15|080.1|090.15|100.2|110.15|1224.5|133.75|14100|154.25
