Row	Meal	Name	Brand	Pos
0	B	Pão		33
1	L	Arroz branco		337
2	B	Café		613
3	S	Pão		840
4	B	leite de 1%		1144
5	L	Frango		1293
6	D	Arroz branco		1653
7	L	Pão		1929
8	L	Verde alface		2233
9	D	Frango		2619
10	B	Torrada		2979
11	B	Chá		3270
12	S	Chá		3361
13	D	Pão		3452
14	L	Tomate		3757
15	B	Banana		4013
16	B	Pão de trigo integral		4558
17	B	Cereais Fitness		4797
18	S	Iogurte de baixa gordura frutas		4911
19	L	Cenoura		5012
20	S	Café		5340
21	B	Iogurte de baixa gordura frutas		5568
22	B	Manteiga com sal		5669
23	S	Biscoito		5914
24	L	Café expresso		6066
25	D	Sopa de legumes		6244
26	S	Banana		6367
27	L	Batatas fritas		6912
28	B	Manteiga		7290
29	B	Aveia		7553
30	L	Ovo		7729
31	D	Batatas fritas		7951
32	L	Sopa de legumes		8329
33	S	Laranja		8452
34	L	Café		8626
35	S	Bolacha		8854
36	D	Peito de frango		9170
37	D	Tomate		9651
38	L	Azeite de oliva		9907
39	L	Laranja		10013
40	B	Café instantâneo		10187
41	D	Ovo		10256
42	D	Cenoura		10478
43	B	Pão branco		10806
44	B	Laranja		11220
45	B	Ovo		11394
46	L	Peito de peru		11616
47	S	Maça		11816
48	S	Torrada		12267
49	L	Feijões cozidos		12558
50	D	Espaguete		12643
51	B	Leite meio gordo		12743
52	S	Leite com chocolate		12872
53	S	Iogurte natural		13063
54	B	Café expresso		13238
55	L	Ovo cozido		13416
56	D	Cebola		13632
57	B	Manteiga sem sal		13906
58	S	Café expresso		14119
59	L	Batata assada		14297
60	D	Laranja		14770
61	B	Queijo fresco light		14944
62	S	Pão de trigo integral		15012
63	S	Ovo		15251
64	B	Flocos de milho		15473
65	B	Maça		15647
66	B	Mel		16098
67	B	Ovo cozido		16220
68	S	Açúcar		16436
69	S	Bolachas Cream Cracker		16690
70	B	Pão multi-grãos		16908
71	B	Leite magro		17204
72	S	Pão branco		17623
73	D	Peito de peru		18037
74	L	Maça		18237
75	D	Carne de bovino		18688
76	D	Maça		18845
77	B	Leite com chocolate		19296
78	B	Pão francês		19487
79	S	Manteiga com sal		19643
80	D	Salmão		19888
81	S	Morango		20036
82	L	Massa Espiral (Pingo Doce)		20316
83	D	Batata		20377
84	S	Queijo fresco light		20575
85	L	Atum enlatado		20643
86	S	Leite integral		20840
87	L	Carne de bovino		21208
88	S	Batatas fritas		21365
89	D	Verde alface		21743
90	L	Salmão		22130
91	B	Cereais		22278
92	S	Pão de centeio		22399
93	L	Peixe-gato		22701
94	L	Feijão verde		22794
95	S	Kiwi		22957
96	L	Coca-Cola		23121
97	B	Bolacha		23270
98	L	Banana		23586
99	S	Chá verde		24131
100	L	Peixe		24272
101	L	Peito de frango		24396
102	B	Croissant		24878
103	L	Chá		25067
104	B	Café com Leite de Gordura Reduzida		25159
105	D	Iogurte de baixa gordura frutas		25326
106	L	Bife de Carne de Vaca		25428
107	L	Cebola		25951
108	S	Canela		26226
109	D	Whey protein		26360
110	B	Iogurte Aroma (Mimosa)		26429
111	B	Farinha de aveia		26497
112	B	Kiwi		26603
113	L	Bacalhau		26768
114	B	Leite de soja enriquecido		26879
115	B	Iogurte natural		27028
116	D	Banana		27204
117	B	Leite desnatado		27750
118	B	Açúcar		27899
119	S	Queijo Flamengo (Pingo Doce)		28154
120	B	Brinde		28199
121	B	Pão de centeio		28433
122	B	Whey protein		28736
123	L	Esparguete		28805
124	S	Sumo de limão		29011
125	S	Brinde		29153
126	S	Pera		29387
127	B	Pão branco bolinha		29574
128	D	Massa Espiral (Pingo Doce)		29614
129	D	Bife de Carne de Vaca		29676
130	D	Peixe-gato		30199
131	D	Alface de Folha Verde		30293
132	L	Espaguete		30515
133	D	Morangos		30616
134	S	Croissant		31060
135	B	Bolo de chocolate		31249
136	D	Brócolis		31428
137	B	Fiambre		31703
138	S	Manteiga		31723
139	B	Queijo Flamengo (Pingo Doce)		31987
140	S	Iogurte magro aroma		32032
141	B	Sumo de laranja		32096
142	B	Fiambre de Peru		32268
143	L	Alface de Folha Verde		32437
144	D	Azeite de oliva		32659
145	L	Brócolis		32766
146	L	Coxa de frango		33041
147	L	Morangos		33528
148	S	Bolo de chocolate		33972
149	D	Café expresso		34151
150	B	Iogurte magro aroma		34330
151	L	Carne de Porco Assada		34394
152	S	Pão de leite		34873
153	L	Atum		35024
154	B	Pão integral		35236
155	D	Café		35331
156	D	Atum enlatado		35560
157	L	Sumo de laranja		35758
158	B	Pão de leite		35930
159	L	Açúcar		36081
160	B	Tosta integral		36336
161	D	Ovo cozido		36421
162	D	Ovo frito		36638
163	S	Aveia		36844
164	L	Kiwi		37021
165	L	Pera		37186
166	D	Atum		37373
167	D	Salsicha		37585
168	L	Arroz doce		37691
169	S	Cereais		37816
170	S	Fiambre		37938
171	D	Queijo Flamengo (Pingo Doce)		37958
172	L	Arroz de tomate		38003
173	S	Whey protein		38120
174	D	Bacalhau		38189
175	S	Cereais Fitness		38300
176	D	Chá		38415
177	L	Salada de Alface com Vegetais Variados		38507
178	D	Sopa de Legumes sem Batata		38617
179	B	Batido		38742
180	B	Chá verde		38883
181	D	Coca-Cola		39025
182	B	Leite Magro (Continente)		39175
183	S	Leite magro		39239
184	B	Bolacha Integral (Proalimentar)		39659
185	B	Leite de Soja		39756
186	L	Salsicha		39915
187	S	Leite meio gordo		40021
188	D	Batido		40151
189	S	Iogurte Aroma (Mimosa)		40292
190	B	Iogurte Líquido Morango Banana (Pingo Doce)		40360
191	B	Iogurte Bifidus Magro Kiwi e Cereais (Continente)		40439
192	S	Arroz branco		40515
193	L	Chá verde		40793
194	B	Pera		40935
195	L	Pepino		41122
196	B	Pão de forma		41326
197	L	Milho		41405
198	D	Canja de galinha		41672
199	L	Batido		41812
200	L	Arroz de pato		41953
201	L	Pescada cozida		42080
202	L	Feijão		42200
203	D	Feijão verde		42331
204	L	Bolo de chocolate		42495
205	L	Frango Assado		42674
206	L	Arroz integral		43175
207	D	Batata Doce		43446
208	D	Peixe		43669
209	L	Ice Tea Manga (Lipton)		43793
210	L	Canja de galinha		43847
211	L	Queijo Flamengo (Pingo Doce)		43987
212	L	Macarrão		44032
213	L	Iogurte de baixa gordura frutas		44337
214	L	Massa Fresca		44439
215	B	Morango		44536
