Row	ID	AllWeights	AllProperties
0	WS19561	1 ceasca=235|1 cana mare=355|1 pahar mic=180|2 pahar mare=360	031.85|040.05|060.35|070.1|127.75|130.05|1427|151.35
1	WS19837	1 felie=25|2 felii=25|1 felie subtire=20|1 mare felie (cuburi)=30|1 felie fără crustă=12|1 felie foarte subţire (cuburi)=15|1 felie subtire fara coaja (cuburi)=9|1 ceasca (firimituri)=45|1 ceasca (cuburi)=35	03260|0410.5|052.25|0656|076.55
2	WS19837	1 felie=25|2 felii=25|1 felie subtire=20|1 mare felie (cuburi)=30|1 felie fără crustă=12|1 felie foarte subţire (cuburi)=15|1 felie subtire fara coaja (cuburi)=9|1 ceasca (firimituri)=45|1 ceasca (cuburi)=35	03260|0410.5|052.25|0656|076.55
3	WS19834	1 mediu=44|2 medii=44|1 mare=56|1 mici=38|1 ceasca=245|1 m=22	03145|0412.5|059.65|060.75|080.4|093.1|103.65|111.9|1256|131.75|14140|15140|16370|182
4	WS19561	1 ceasca=235|1 cana mare=355|1 pahar mic=180|2 pahar mare=360	031.85|040.05|060.35|070.1|127.75|130.05|1427|151.35
5	WS19837	1 felie=25|2 felii=25|1 felie subtire=20|1 mare felie (cuburi)=30|1 felie fără crustă=12|1 felie foarte subţire (cuburi)=15|1 felie subtire fara coaja (cuburi)=9|1 ceasca (firimituri)=45|1 ceasca (cuburi)=35	03260|0410.5|052.25|0656|076.55
6	WS19837	1 felie=25|2 felii=25|1 felie subtire=20|1 mare felie (cuburi)=30|1 felie fără crustă=12|1 felie foarte subţire (cuburi)=15|1 felie subtire fara coaja (cuburi)=9|1 ceasca (firimituri)=45|1 ceasca (cuburi)=35	03260|0410.5|052.25|0656|076.55
7	WS19841	0.5 pui=460|1 copan de=135|1 piept=290|1 aripa=49|1 ceasca (tocate sau cuburi)=140|1 pepită=20	03235|0427.5|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582.5|1688
8	WS19833	1 biscuiti (6 cm)=35|1 mare=77|1 mediu=51|8 biscuiti=35|1 mici=35	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
9	WS20158	1 mediu (18 cm 20 cm)=120|1 mici (15 cm la 18 cm)=100|1 mari (20 cm 22 cm)=135|1 mare (22 cm sau mai mult)=150|1 extra mici (mai mici de 15 cm)=81|1 ceasca (piure)=225|0.2 ceasca (feliate)=30	0395|041.1|050.3|0623|072|0817|090.1|110.05|127.9|130.4|14385|151|1712
10	WS20158	1 mediu (18 cm 20 cm)=120|1 mici (15 cm la 18 cm)=100|1 mari (20 cm 22 cm)=135|1 mare (22 cm sau mai mult)=150|1 extra mici (mai mici de 15 cm)=81|1 ceasca (piure)=225|0.2 ceasca (feliate)=30	0395|041.1|050.3|0623|072|0817|090.1|110.05|127.9|130.4|14385|151|1712
11	WS19832	1 ceasca=235|1 cana mare=355|1 pahar mic=180	031.05|060.3|1437|153
12	WS19834	1 mediu=44|2 medii=44|1 mare=56|1 mici=38|1 ceasca=245|1 m=22	03145|0412.5|059.65|060.75|080.4|093.1|103.65|111.9|1256|131.75|14140|15140|16370|182
13	WS19835	1 felie=25|2 felii pâine albă=20|1 felie fără crustă=12|1 felie subtire=20|1 mare felie (cuburi)=30|1 felie subtire fara coaja (cuburi)=9|2 felie foarte subţire (cuburi)=30|1 ceasca (cuburi)=35|1 ceasca (firimituri)=45|4 felii	03270|0411|051.05|073.5|084.5|090.5|15650
14	WS19832	1 ceasca=235|1 cana mare=355|1 pahar mic=180	031.05|060.3|1437|153
15	WS21359	1 ceasca=235|1 cana mare=355|1 pahar mic=180|1 cana=400|1 pahar mare=180	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
16	WS19834	1 mediu=44|2 medii=44|1 mare=56|1 mici=38|1 ceasca=245|1 m=22	03145|0412.5|059.65|060.75|080.4|093.1|103.65|111.9|1256|131.75|14140|15140|16370|182
17	WS19834	1 mediu=44|2 medii=44|1 mare=56|1 mici=38|1 ceasca=245|1 m=22	03145|0412.5|059.65|060.75|080.4|093.1|103.65|111.9|1256|131.75|14140|15140|16370|182
18	WS20746	1 piept=160|1 ceasca (tocate sau cuburi)=140|1 c=600|1 p=125|0.4 ceasca tocate sau cuburi=56|1 portie=100	03165|0431|053.7|091.05|101.25|110.8|1215|131.05|14255|1574.5|1685|180.1
19	WS19836	0.3 Cupa=24.5|1 ceasca=81|1 c=100|3 linguri|1 litri|0.3 Cu	03360|0412|056.95|0669|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
20	WS22672	1 portie medie=115|1 portie mica=71|1 portie mare=155|10 cartofi prajiti=50	03310|044.5|0514.5|0641.5|073.8|080.3|092.35|105.95|115.4|1218|130.8|14580|15210|174.7
21	WS40769	1 mediu (6 cm şi 8 cm)=215|1 mare (8 cm 11 cm)=370|1 mici (4 cm şi 6 cm)=170|0.5 Cupa (cuburi)=75|2 Cupe (cuburi)=150	0377|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156|1719.5
22	WS21925	1 portie=89|1 salata mediu (15 cm)=540|1 salata mare (15 cm)=755|1 Cupa (1 cm de bucăţi. tăiate. vag ambalate)=57|1 ceasca (tocat)=72|1 frunze mijlocii (aproximativ 14 cm)=8|1 frunze mici (tocat)=5|1 frunze mari (aproximativ 18 cm)=15|1 cap mic (tocat)=540|1 porție|1.3 salata mare|1 Cupa (1 cm de bucăţi, tăiate, vag ambalate)=57	0315|041.35|050.15|063.1|071.3|080.8|110.1|1236|130.85|14195|1528|179.2
23	WS36606	1 ceasca=235|1 cana mare=355|1 pahar mic=180|1 cupe|2 ceașcă mare|3 cești	0350.5|043.7|052.7|064.8|085.05|091.25|100.55|110.05|12120|14140|1547|168|170.2|181.2
24	WS19833	1 biscuiti (6 cm)=35|1 mare=77|1 mediu=51|8 biscuiti=35|1 mici=35	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
25	WS21925	1 portie=89|1 salata mediu (15 cm)=540|1 salata mare (15 cm)=755|1 Cupa (1 cm de bucăţi. tăiate. vag ambalate)=57|1 ceasca (tocat)=72|1 frunze mijlocii (aproximativ 14 cm)=8|1 frunze mici (tocat)=5|1 frunze mari (aproximativ 18 cm)=15|1 cap mic (tocat)=540|1 porție|1.3 salata mare|1 Cupa (1 cm de bucăţi, tăiate, vag ambalate)=57	0315|041.35|050.15|063.1|071.3|080.8|110.1|1236|130.85|14195|1528|179.2
26	WS19561	1 ceasca=235|1 cana mare=355|1 pahar mic=180|2 pahar mare=360	031.85|040.05|060.35|070.1|127.75|130.05|1427|151.35
27	WS34304	1 copan de=105|1 coapsei=72|1 picior OS=200|1 înapoi osoase=22|1 copan de 100grame=105|2 pulpa pui=44|1 pulpa superioara=72|1 copan de pui=5|1 copana=13	03175|0424|057.8|092.1|103.05|111.6|1212|131.1|14270|1599|16130|180.1
28	WS19838	1 ceasca=160|1 c=10|1 felie=10	03130|042.7|050.3|0628.5|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
29	WS32713	10 jetoane=12|1 punga=34|1 ceasca=34|1 sac=170|1 u=21.5	03570|046.65|0536.5|0650.5|074.4|080.35|094|1016|1116|1224|131.6|141650|15480|1718.5
30	WS21924	1 mediu=115|1 mare=145|1 mici=62|1.2 felie=30|0.3 f=25	03335|048.2|054.9|0671.5|071.7|080.25|090.7|101.05|110.95|1223|133.9|1488|15805|163
31	WS20157		0362.5|042.3|0619.5
32	WS21924	1 mediu=115|1 mare=145|1 mici=62|1.2 felie=30|0.3 f=25	03335|048.2|054.9|0671.5|071.7|080.25|090.7|101.05|110.95|1223|133.9|1488|15805|163
