Row	ID	AllWeights	AllProperties
0	WS28274	1 velika=56|1 mala=38|2 sredni=110|1 skodelice|2 srednji	03145|0418.5|0510|061|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
1	WS19228	1 rezina=25|1 velika rezina (kocke)=30|1 tanka rezina=20|1 zelo tanka rezina (kocke)=15|1 rezina brez skorje=12|1 tanka rezina brez skorje (kocke)=9|1 pokal (drobtine)=45|2 rezine=30|1 pokal (kocke)=35|2 rezini=60|5 rezin=125	03275|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
2	WS28545	1 majhna skodelica=180|1 veliko skodelico=355|1 skodelice	031.3|040.1|122|1449|152
3	WS19228	1 rezina=25|1 velika rezina (kocke)=30|1 tanka rezina=20|1 zelo tanka rezina (kocke)=15|1 rezina brez skorje=12|1 tanka rezina brez skorje (kocke)=9|1 pokal (drobtine)=45|2 rezine=30|1 pokal (kocke)=35|2 rezini=60|5 rezin=125	03275|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
4	WS25064	1 srednje (8 cm)=180|1 velik (8 cm)=225|1 mala (7 cm)=150|1 Srednje velika 150g=180|1 skodelica (sesekljan)=125|1 pokal (rezine)=110|1 ekstra majhne (6 cm)=100|1 srednje=180|1 srednje veliko	0351.5|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
5	WS25061	0.5 piščanec=460|1 prsi=290|1 palčka=135|1 krilo=49|1 pokal (narezanih ali zmleta)=140|1 Zrno=20	03195|0422.5|0511.5|1214.5|131.4
6	WS25064	1 srednje (8 cm)=180|1 velik (8 cm)=225|1 mala (7 cm)=150|1 Srednje velika 150g=180|1 skodelica (sesekljan)=125|1 pokal (rezine)=110|1 ekstra majhne (6 cm)=100|1 srednje=180|1 srednje veliko	0351.5|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
7	WS28544	1 piškotov (6 cm)=35|1 velika=77|1 mala=35|3 piškotov (3 cm)=67.5	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
8	WS28545	1 majhna skodelica=180|1 veliko skodelico=355|1 skodelice	031.3|040.1|122|1449|152
9	WS19228	1 rezina=25|1 velika rezina (kocke)=30|1 tanka rezina=20|1 zelo tanka rezina (kocke)=15|1 rezina brez skorje=12|1 tanka rezina brez skorje (kocke)=9|1 pokal (drobtine)=45|2 rezine=30|1 pokal (kocke)=35|2 rezini=60|5 rezin=125	03275|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
