Row	Meal	Name	Brand	Pos
0	B	Jajce		33
1	B	Kruh		184
2	B	Kava		509
3	D	Kruh		603
4	S	Jabolko		928
5	L	Piščanec		1209
6	B	Jabolko		1350
7	S	Piškotov		1631
8	S	Kava		1791
9	L	Kruh		1885
10	S	Čaj		2210
11	B	1 % mleka		2299
12	B	Čaj		2452
13	B	Polnozrnati kruh		2541
14	S	Kruh		2789
15	L	Beli riž		3115
16	D	Jajce		3224
17	L	Paradižnika		3376
18	L	Jajce		3610
19	B	Koruzni kosmiči		3762
20	B	Slanino		3882
21	D	Piščanec		4020
22	D	Paradižnika		4162
23	S	Nizko maščobe sadni jogurt		4396
24	S	Jajce		4506
25	L	Oljčno olje		4658
26	D	Piščančje prsi		4770
27	D	Beli riž		4966
28	B	Nizko maščobe sadni jogurt		5075
29	B	Banana		5185
30	L	Jabolko		5203
31	B	Ovsena kaša		5485
32	D	Korenček		5592
33	B	Jogurt		5861
34	L	Korenček		5900
35	L	Solata ledene gore		6169
36	L	Krompirja		6581
37	D	Jabolko		6793
38	D	Čebula		7075
39	D	Slanino		7357
40	B	Oves		7495
41	S	Banana		7592
42	L	Prsut		7610
43	B	Francoski kruh		7643
44	L	Čaj		7809
45	L	Zelena solata		7898
46	L	Nizko maščobe sadni jogurt		8323
47	S	Keks		8433
48	B	Beli kruh		8641
49	L	Polnozrnati kruh		8963
50	B	Keks		9211
51	L	Solata		9419
52	B	Sveži sir		9437
53	S	Polnozrnati kruh		9620
54	S	Čips		9868
55	B	Maslo		9887
56	L	Tuna		9916
57	D	Polnozrnati kruh		9935
58	B	Kava z mlekom		10183
59	D	Tuna		10202
60	B	Paradižnika		10221
61	L	Goveja juha		10455
62	S	Čokolada		10594
63	L	Puranje prsi		10614
64	S	Mlečna čokolada		10763
65	B	Hrenovka		10899
66	D	Mleko		10919
67	L	Kuhana krompirja		11016
68	D	Banana		11212
69	B	Mleko		11230
70	L	Beli kruh		11327
71	B	Soljeno maslo		11649
72	B	Kivi		11764
73	B	Klobasa		11782
74	D	Beli kruh		11887
75	D	Jogurt		12209
76	S	Pomaranca		12248
77	B	Kakav puder		12268
78	L	Sveži sir		12380
79	B	Med		12563
80	S	Indijski orehi		12583
81	D	Klobasa		12739
82	L	Makaroni		12844
83	D	Keks		13023
84	L	Palačinka		13231
85	D	Nizko maščobe sadni jogurt		13372
86	B	Marmelada		13482
87	B	Otrobi, kosmiči		13503
88	S	Korenček		13611
89	S	Pomarančni sok		13880
90	L	Pire krompir		13967
91	B	Jagoda		14104
92	B	Ananas		14347
93	B	Palačinka		14514
94	B	Pomaranca		14655
95	L	Zelje		14675
96	D	Pica		14962
97	B	Čokolino		14995
98	B	Piškotov		15029
99	S	Pomarančni sok s kalcijem		15190
100	L	Banana		15337
101	L	Pica		15356
102	D	Piškotov		15390
103	B	Kosmici		15552
104	L	Kosi svinjine		15592
105	D	Sveži sir		15689
106	L	Riž		15873
107	D	Mlečna čokolada		15979
108	S	Mleko		16116
109	B	Egg		16214
110	B	2 % mleko		16313
111	S	Jabolčni zavitek		16468
