Row	ID	AllWeights	AllProperties
0	WS20014	1 liten kopp=180|1 stor kopp=355|3 små kopp=355	031.45|040.1|060.35|070.1|127|130.05|1430|151.45
1	WS19015	1 segment=25|2 skivor=1.1|1 skiva utan skorpa=12|1 tunn skiva=20|1 stor bit (kuber)=30|1 tunn skiva utan skorpa (kuber)=9|1 mycket tunn skiva (kuber)=15|1 skiva=2.2|1 m|0.5 s	03250|0411.5|053.2|0638|079.4|090.6|100.8|111.25|1240|132.1|14230|15440|160.7
2	WS19017	1 stora=50|1 små=38|1 extra stor=56|1 stor=50|1 s=50	03145|0413|059.7|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
3	WS20014	1 liten kopp=180|1 stor kopp=355|3 små kopp=355	031.45|040.1|060.35|070.1|127|130.05|1430|151.45
4	WS10081	1 deciliters|100 gram	03360|0412|056.85|0668|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
5	WS19604	0.5 kyckling=460|1 bröst=290|1 Kycklingben=135|1 kycklingfilé=90|1 Kycklingbröst=100|1 k=200	03235|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
6	WS19016	1 liten kopp=180|1 stor kopp=355	0346|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
7	WS24293	1 stora (8 cm till 11 cm)=370|1 små (4 cm till 6 cm)=170|1 må (4 cm till 6 cm)=355|1 st 4-6 cm 20 gram=20|3 små (2 cm till 4 cm)=95	0394.5|042.1|050.1|0618|072.25|080.8|090.05|100.1|110.05|1212|130.8|14425|157.5|1720
8	WS23846	1 stora (8 cm)=180|1 liten tomat (6 cm)=91|1 kil (1/4 medelstora tomater)=31|5.2 liten tomat (2 cm)=48.5|1 tjocka/stora segment (1 cm)=27|1 Liten=20|1 tomat=225|4 skivor	0318|040.9|050.2|063.9|071.2|082.65|090.05|100.05|110.1|1210|130.3|14235|155|1714
9	WS19015	1 segment=25|2 skivor=1.1|1 skiva utan skorpa=12|1 tunn skiva=20|1 stor bit (kuber)=30|1 tunn skiva utan skorpa (kuber)=9|1 mycket tunn skiva (kuber)=15|1 skiva=2.2|1 m|0.5 s	03250|0411.5|053.2|0638|079.4|090.6|100.8|111.25|1240|132.1|14230|15440|160.7
10	WS20161	1 stora (20 cm till 22 cm)=135|1 liten (15 cm till 18 cm)=100|1 extra liten (mindre än 15 cm)=81|2 små (15 cm till 18 cm)=200|1 extra stora (22 cm eller längre)=150|1 liten|1 stor	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
11	WS19015	1 segment=25|2 skivor=1.1|1 skiva utan skorpa=12|1 tunn skiva=20|1 stor bit (kuber)=30|1 tunn skiva utan skorpa (kuber)=9|1 mycket tunn skiva (kuber)=15|1 skiva=2.2|1 m|0.5 s	03250|0411.5|053.2|0638|079.4|090.6|100.8|111.25|1240|132.1|14230|15440|160.7
