Row	ID	AllWeights	AllProperties
0	WS19046	1 her 1 orta boy=44|1 orta=44|1 orta boy=44|1 her 1 orta=50|1 küçük=36.5|1 büyük=50.5|1 porsiyon=50.5|1 her 2 orta boy=44|4 Adet=200|1 kap (4.86 yumurta)=245|1 ekstra büyük=58|1 su bardağı=245	03145|0412.5|059.8|060.75|080.7|093.1|103.75|111.45|14135|15140|16410
1	WS19047	1 küçük Kupası=180|1 çay bardağı=235|1 kupa şekersiz çay=235|0.2 büyük kase=71|1 su bardağı	031.05|060.3|090.05|110.05|1437|153
2	WS19305	1 dilim=25|1 ince dilim=20|1 dilim kabuk olmadan=12|1 büyük dilim (küp)=30|3 dilim ekmek=25|1 çok ince dilim (küp)=15|1 Kupası (küp)=35|1 su bardağı (kırıntı)=45|1 ince dilim olmadan kabuk (küp)=9	03265|0410.5|052.4|0655|076.25
3	WS22638	1 orta (6 cm)=125|1 küçük domates (6 cm)=91|1 orta (4 cm)=40|2 dilim (1 cm)=40|2 kalın/büyük dilim (1 cm)=54|0.6 Adet (küçük)=51|0.5 büyük (8 cm)=91|1 su bardağı|1 kama (orta boy domates, 1/4)=31	0319.5|040.9|050.4|064.55|071.5|1215|131.1|1716
4	WS19305	1 dilim=25|1 ince dilim=20|1 dilim kabuk olmadan=12|1 büyük dilim (küp)=30|3 dilim ekmek=25|1 çok ince dilim (küp)=15|1 Kupası (küp)=35|1 su bardağı (kırıntı)=45|1 ince dilim olmadan kabuk (küp)=9	03265|0410.5|052.4|0655|076.25
5	WS27213	1 orta=200|1 Porsiyon(orta)=75|1 küçük=105|1 küçük (16 cm)=160|2 dilim=14|0.5 büyük (21 cm)=140|1 sopa (10 cm)=9|1 fincan (dilimlenmiş)=120|1 Kupası (doğranmış)=135	0312|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
6	WS19047	1 küçük Kupası=180|1 çay bardağı=235|1 kupa şekersiz çay=235|0.2 büyük kase=71|1 su bardağı	031.05|060.3|090.05|110.05|1437|153
7	WS19305	1 dilim=25|1 ince dilim=20|1 dilim kabuk olmadan=12|1 büyük dilim (küp)=30|3 dilim ekmek=25|1 çok ince dilim (küp)=15|1 Kupası (küp)=35|1 su bardağı (kırıntı)=45|1 ince dilim olmadan kabuk (küp)=9	03265|0410.5|052.4|0655|076.25
8	WS20958	1 dilim=28|1 Kupası (erimiş)=245|1 fincan (doğranmış)=130|1 kübik inç=17|0.6 paketi (erimiş)=100|1 su bardağı (rendelenmiş)=115	03240|0417.5|0514|0610.5|088|098.85|104.15|110.4|12530|130.2|14330|151600|1653|180.3
9	WS19304	1 orta (8 cm)=180|1 küçük (7 cm)=150|1 büyük (8 cm)=225|1 küçük (6 cm)=120|1 tane=50|3 dilim=60|1 ekstra küçük (6 cm)=100|1 küçük (8 cm)=100|1 küçük boy=68.5|1 Kupası (doğranmış)=125|1 Kupası (dilim)=110	0352.5|040.25|050.2|0614|072.4|0810.5|090.05|110.05|126|130.1|14110|151|174.6
10	WS33724	1 her 1 büyük=50.5|1 orta boy=25|1 büyük=50.5|2 her 2 büyük=100|2 tane orta=190|1 adet=50.5|1 kase. kıyılmış=135|1 tam=50.5|2 tane büyük=66|1 her 1 orta=45|0.5 adet (orta/normal)|1 orta|1 yemek kaşığı=8.4|1 oz|100 gram|1 kase, kıyılmış=135	03155|0412.5|0510.5|061.1|081.1|093.25|104.05|111.4|14125|15125|16420
11	WS22806	1 bisküvi (6 cm)=35|1 orta=51|1 büyük=77|1 küçük=35|10 gram bisküvi=8.6|1 bisküvi=120	03365|046.2|0517|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
