Row	ID	AllWeights	AllProperties
0	WS19168	1 велика чаша=355|1 невелика чашка=180|1 чашки	031|060.3|1437|153
1	WS19398	1 тарелка=70.5|3.5 сухая ложк=285|0.6 тарілки=81|0.3 чашки|6.2 ложка	03355|0412|056.8|0668.5|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
2	WS19165	1 велика чаша=355|1 невелика чашка=180|1 чашки	031.7|040.05|060.4|070.1|127.7|130.05|1427.5|151.35
3	WS19402	1 середній=44|1 великий=50|1 невеликий=38|1 надвеликого=56|1 чашки	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
4	WS19168	1 велика чаша=355|1 невелика чашка=180|1 чашки	031|060.3|1437|153
5	WS20333	1 середній (8 см)=180|1 невеликий (7 см)=150|1 великий (8 см)=225|1 додаткове невеликий (6 см)=100|2 великих (8 см)=225|1 середній (8см)=28|1 чашка (шматочки)=110|1 велике=110|1 чашки (порізаних)=125	0351.5|040.25|050.15|0613.5|072.4|0810.5|090.05|110.05|126|130.1|14105|151.05|174.6
6	WS19168	1 велика чаша=355|1 невелика чашка=180|1 чашки	031|060.3|1437|153
7	WS19250	1 скибочку=25|2 скибочки=25|1 великий фрагмент (кубів)=30|1 тонкий скибочку=20|1 скибочка без кори=12|1 дуже тонкий скибочку (кубів)=15|1 скибочка=12.5|1 тонкий скибочку без кори (кубів)=9|1 чашка (кубів)=35|1 чашка (крихти)=45	03260|0410.5|052.25|0655.5|076.45
8	WS19250	1 скибочку=25|2 скибочки=25|1 великий фрагмент (кубів)=30|1 тонкий скибочку=20|1 скибочка без кори=12|1 дуже тонкий скибочку (кубів)=15|1 скибочка=12.5|1 тонкий скибочку без кори (кубів)=9|1 чашка (кубів)=35|1 чашка (крихти)=45	03260|0410.5|052.25|0655.5|076.45
9	WS19250	1 скибочку=25|2 скибочки=25|1 великий фрагмент (кубів)=30|1 тонкий скибочку=20|1 скибочка без кори=12|1 дуже тонкий скибочку (кубів)=15|1 скибочка=12.5|1 тонкий скибочку без кори (кубів)=9|1 чашка (кубів)=35|1 чашка (крихти)=45	03260|0410.5|052.25|0655.5|076.45
10	WS19165	1 велика чаша=355|1 невелика чашка=180|1 чашки	031.7|040.05|060.4|070.1|127.7|130.05|1427.5|151.35
11	WS19168	1 велика чаша=355|1 невелика чашка=180|1 чашки	031|060.3|1437|153
12	WS19250	1 скибочку=25|2 скибочки=25|1 великий фрагмент (кубів)=30|1 тонкий скибочку=20|1 скибочка без кори=12|1 дуже тонкий скибочку (кубів)=15|1 скибочка=12.5|1 тонкий скибочку без кори (кубів)=9|1 чашка (кубів)=35|1 чашка (крихти)=45	03260|0410.5|052.25|0655.5|076.45
13	WS20333	1 середній (8 см)=180|1 невеликий (7 см)=150|1 великий (8 см)=225|1 додаткове невеликий (6 см)=100|2 великих (8 см)=225|1 середній (8см)=28|1 чашка (шматочки)=110|1 велике=110|1 чашки (порізаних)=125	0351.5|040.25|050.15|0613.5|072.4|0810.5|090.05|110.05|126|130.1|14105|151.05|174.6
14	WS20333	1 середній (8 см)=180|1 невеликий (7 см)=150|1 великий (8 см)=225|1 додаткове невеликий (6 см)=100|2 великих (8 см)=225|1 середній (8см)=28|1 чашка (шматочки)=110|1 велике=110|1 чашки (порізаних)=125	0351.5|040.25|050.15|0613.5|072.4|0810.5|090.05|110.05|126|130.1|14105|151.05|174.6
15	WS20333	1 середній (8 см)=180|1 невеликий (7 см)=150|1 великий (8 см)=225|1 додаткове невеликий (6 см)=100|2 великих (8 см)=225|1 середній (8см)=28|1 чашка (шматочки)=110|1 велике=110|1 чашки (порізаних)=125	0351.5|040.25|050.15|0613.5|072.4|0810.5|090.05|110.05|126|130.1|14105|151.05|174.6
16	WS21357	1 молочної залози=235|1 чашки (порізаних або нарізаних)=140|1 (порізаних або нарізаних)=400	03115|0421.5|052.8|090.55|100.75|110.4|125|130.35|14370|15115|1664|171.2|180.1
17	WS19601	1 чашки|3 ложки|50 грам	03130|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
18	WS23058	1 середній (6 см до 8 см)=215|1 великий (8 см до 11 см)=370|1 невеликий (4 см до 6 см)=170|0.5 чашки (шматочки)=75	0377|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156.6|1719.5
19	WS19402	1 середній=44|1 великий=50|1 невеликий=38|1 надвеликого=56|1 чашки	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
20	WS19988	1 невелика чашка=180|1 велика чаша=355|1 чашки|1 ч	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
