Row	Meal	Name	Brand	Pos
0	B	Чай		33
1	B	Вівсянка		110
2	B	Кава		271
3	B	Яйце		381
4	S	Чай		545
5	S	Яблуко		622
6	D	Чай		917
7	L	Хліб		994
8	B	Хліб		1267
9	D	Хліб		1540
10	S	Кава		1813
11	L	Чай		1924
12	S	Хліб		2002
13	L	Яблуко		2276
14	B	Яблуко		2572
15	D	Яблуко		2868
16	L	М'ясо куряче філе		3164
17	L	Білий рис		3347
18	D	Картопля		3457
19	D	Яйце		3662
20	B	1% молока		3827
21	S	Банан		3973
22	S	Яйце		4315
23	L	Яйце		4480
24	L	Огірок		4645
25	L	Ковбаса		4880
26	B	Банан		5035
27	D	Курячі грудки		5377
28	L	Кава		5551
29	S	Бісквіт		5662
30	S	Цукор		5819
31	B	Хліб пшеничний		6011
32	D	Ковбаса		6318
33	B	Кава розчинна		6473
34	L	Капуста		6562
35	D	Білий рис		6948
36	B	Шоколадний торт		7058
37	S	Молочний шоколад		7188
38	S	Вівсянка		7330
39	L	Хліб пшеничний		7492
40	B	Сир чеддер		7799
41	D	Капуста		7988
42	D	Огірок		8374
43	L	Булочки		8609
44	S	Низьким вмістом жиру фруктів йогурт		8863
45	B	Плавлений сир		8983
46	D	Кава		9192
47	B	Мед		9303
48	S	Мед		9416
49	D	Хліб пшеничний		9529
50	L	Банан		9836
51	D	Соус майонез		10178
52	D	Морква		10305
53	D	Вівсянка		10596
54	L	Морква		10758
55	D	2% молока		11049
56	D	Смажені яйця		11205
57	S	2% молока		11385
58	L	Сметана		11541
59	B	Низьким вмістом жиру фруктів йогурт		11688
60	B	Огірок		11808
61	B	Обід м'ясо		12043
62	B	Цукор		12153
63	L	Курячі		12345
64	D	Мед		12540
65	S	Горіх		12653
66	B	Тост		12956
67	S	Плавлений сир		13237
68	B	2% молока		13446
69	L	Соус майонез		13602
70	L	Картопля		13729
71	D	Сир чеддер		13934
72	B	Бекон		14123
73	L	Макарони		14269
74	S	Помаранчевий		14442
75	D	Сметана		14607
76	D	Курячі		14754
77	L	Курячий суп з локшиною		14949
78	L	Гречка		15094
79	L	Сирої капусти		15113
80	B	Капуста		15462
81	B	Гречка		15848
82	B	Ковбаса		15867
83	D	Цибуля ріпчаста		16022
84	L	Оливкова олія		16341
85	S	Шоколадний торт		16425
86	B	Творог		16555
87	L	Обсмажене насіння соняшнику		16593
88	B	Зелений салат		16697
89	L	Крем грибний суп		17116
90	B	Картопля		17258
91	L	Шоколадне морозиво		17463
92	B	Помаранчевий		17588
93	S	Оселедець		17753
94	D	Картопляне пюре		17978
95	S	Яблучний сік		18144
96	D	Кетчуп		18273
97	L	Томатний		18412
98	B	Макарони		18692
99	D	Тост		18865
100	S	Яблучний пиріг		19146
101	B	Сирої капусти		19364
102	S	Ізюм висівки		19714
103	L	Картопляне пюре		19835
104	S	Ковбаса		20002
105	B	Французький хліб		20158
106	L	Курячі грудки		20344
107	S	Шоколад Сандвічеві печиво		20519
108	D	Банан		20658
109	D	Макарони		21001
110	L	Помаранчевий		21175
111	B	Овес		21341
112	D	Гречка		21435
113	D	Паста з томатним соусом		21455
114	B	Курячий суп з локшиною		21569
115	L	Зелений салат		21715
116	L	Борщ		22135
117	L	Біле вино		22154
118	L	Цукор		22226
119	B	Печиво ванільне сендвіч		22419
120	B	Булочки		22563
121	L	Творог		22818
122	L	Вівсянка		22857
123	B	Білий рис		23020
124	B	Молочний шоколад		23131
125	B	Висівки пластівці		23274
126	S	Тост		23404
127	S	Хліб пшеничний		23686
128	D	Низьким вмістом жиру фруктів йогурт		23994
129	D	Цукор		24115
130	D	Молочний шоколад		24308
131	S	Творог		24451
132	S	Чорниця		24490
133	B	Збиті вершкове масло		24620
134	D	Творог		24748
135	B	Сметана		24787
136	B	Млинець		24935
137	L	Піца		25129
138	B	Горіх		25286
139	S	Печиво		25590
140	L	Плавлений сир		25684
141	D	М'ясо куряче філе		25894
142	S	Морква		26078
143	B	Картопляне пюре		26370
144	L	Мед		26537
145	D	Зелений салат		26651
146	L	2% молока		27071
147	L	Хліб житній		27228
148	L	Суп		27564
149	S	Мандарин		27583
150	D	Плавлений сир		27678
151	L	Млинець		27888
152	L	Молочний шоколад		28082
153	D	Курячий суп з локшиною		28225
154	B	Курячі грудки		28371
155	L	Кава розчинна		28546
156	L	Обід м'ясо		28636
157	D	Бекон		28747
158	S	Кефір		28894
159	D	Печиво ванільне сендвіч		28915
160	B	Варення		29059
161	S	Жорсткий цукерки		29080
162	D	Млинець		29164
163	L	1% молока		29358
164	B	Жорсткий цукерки		29505
165	S	Огірок		29589
166	S	Печиво ванільне сендвіч		29825
167	B	Топлене масло		29969
168	L	Печиво ванільне сендвіч		30074
169	S	Картопля		30218
170	D	Яєчня		30424
171	D	Борщ		30645
172	L	Низьким вмістом жиру фруктів йогурт		30664
173	L	Шоколадний торт		30785
174	B	Смажені яйця		30916
175	L	Котлета		31097
176	S	М'ясо куряче філе		31131
177	L	Жорсткий цукерки		31315
178	D	Піца		31399
179	D	Йогурт		31556
180	S	Булочки		31593
181	B	Морква		31848
182	S	Чіпси		32140
183	B	М'ясо куряче філе		32284
184	B	Апельсин		32468
185	D	Чіпси		32500
186	L	Відварна картопля		32644
187	D	Кефір		32846
188	B	Круто яйця		32867
189	B	Печиво		33070
190	B	Мюслі		33164
191	B	Сир, поширення		33204
192	D	Шоколадний торт		33323
193	S	Грейпфрут		33454
194	S	Курячі грудки		33551
195	D	Відварна картопля		33726
196	L	Сир чеддер		33928
197	L	Риба		34118
198	B	Омлет		34138
199	S	Гречка		34178
200	B	Хліб житній		34198
201	D	Печінка куряча		34534
202	D	Обід м'ясо		34634
203	D	Хліб житній		34745
204	B	Кава З Молоком		35081
205	D	Суп		35149
206	S	Макарони		35168
207	L	Йогурт		35342
208	S	Апельсин		35379
209	L	Курячого бульйону		35411
210	L	Яблучний сік		35551
211	B	Кефір		35681
212	L	Сир, поширення		35702
213	L	Печиво		35821
214	D	Салат		35915
215	D	Булочки		35935
216	D	Кава розчинна		36190
217	S	Млинець		36280
218	B	Соус майонез		36474
219	S	Варені помідорів		36602
220	L	Свинячі відбивні		36862
221	L	Смажене куряче м'ясо		36994
222	L	Кефір		37192
223	B	Яєчня		37213
224	B	Відварна картопля		37434
225	D	Варені помідорів		37636
226	S	Морозиво ванільне		37896
227	D	Плоский риби		38048
228	L	Круто яйця		38146
229	L	Помідор		38349
230	D	Помідор		38389
231	B	Грейпфрут		38429
232	D	Сирої капусти		38526
233	S	Сир чеддер		38876
234	D	Вафельні		39066
235	S	Апельсиновий сік з кальцію		39210
236	D	Рослинна олія		39343
237	D	Круасан		39439
238	D	Грейпфрут		39666
239	D	Свинячі відбивні		39763
240	S	Виноградний сік		39895
241	D	Оливкова олія		40024
242	B	Ізюм висівки		40109
243	S	Кетчуп		40230
244	B	Незбираного молока		40370
245	D	Сир, поширення		40518
246	D	Топлене масло		40637
247	L	Вареники		40742
248	L	Полуниця		40762
249	S	Хліб житній		41066
250	B	Смажене куряче м'ясо		41402
251	S	Капуста		41600
252	B	Шоколад Сандвічеві печиво		41987
253	L	Печінка куряча		42126
254	D	Буряк		42226
255	S	Курячий суп з локшиною		42246
256	D	Риба		42392
257	L	Топлене масло		42412
258	L	Варені помідорів		42517
259	D	Кекс		42777
260	B	Круасан		42798
261	B	Родзинки		43025
262	B	Сирники		43279
263	S	Картопляне пюре		43318
264	S	Піца		43485
265	S	Білий рис		43642
266	L	Зелена цибуля		43753
267	B	Бісквіт		43960
268	B	Піца		44118
269	D	Жорсткий цукерки		44275
270	B	Борщ		44359
271	L	Пельмені		44378
272	L	Яблучний пиріг		44415
273	S	Йогурт		44633
274	L	Морська капуста		44670
275	L	Цибуля ріпчаста		44702
276	L	Тушкована квасоля		45022
277	L	Висівки пластівці		45088
278	B	Йогурт		45218
279	D	Полуниця		45255
280	D	Томатний		45559
281	B	Масло		45840
282	B	Зефір		45945
283	B	Яблучний пиріг		46021
284	B	Томатний		46239
285	B	Торт		46520
286	S	Випічки шоколаду		46554
287	S	Укріплений низький жир фруктів йогурт		46693
288	L	Кетчуп		46862
289	L	Свинина скорочень		47002
290	D	Смажене куряче м'ясо		47122
291	L	Буряк		47320
292	L	Печеня		47340
293	D	Вареники		47435
294	L	Апельсин		47455
295	D	Омлет		47487
296	S	Кефір нежирний		47527
297	D	Шоколадне морозиво		47563
298	B	Котлета		47689
299	B	Салат		47723
300	B	Рослинна олія		47743
301	B	Ковбаса свинини ковбаса		47839
302	S	Бублик		47961
303	D	Морозиво ванільне		48156
304	D	Цукерки		48308
305	D	Оселедець		48347
306	L	Картопля в шкірі		48573
307	L	Рослинна олія		48776
308	D	Печиво		48872
309	D	Свинина скорочень		48966
310	D	Голубці		49086
311	D	Апельсин		49107
312	D	Крем грибний суп		49139
313	L	Яєчня		49282
314	D	Куряча ніжка		49503
315	L	Мандарин		49648
316	B	Масло вершкове		49743
317	S	Висівки пластівці		49783
318	L	Горіх		49913
