Row	ID	AllWeights	AllProperties
0	WS9702	1 碗=160|1 两=50|1 大汤匙	03280|045.65|050.55|0662.5|071|080.1|090.15|100.15|110.15|1222|133.3|1488.5|153.65
1	WS11404	1 中期=44|1 大=50|1 小=38|1 特大=56|2 中=76|1 珍宝=63|1 大汤匙=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
2	WS9702	1 碗=160|1 两=50|1 大汤匙	03280|045.65|050.55|0662.5|071|080.1|090.15|100.15|110.15|1222|133.3|1488.5|153.65
3	WS1449	1 片=25|1 片无外壳=12|2 一块s=28|1 个=100|1 薄切片=20|1 薄层无外壳 （多维数据集）=9|1 大切片 （多维数据集）=30|1 杯 （面包屑）=45|1 非常薄切片 （多维数据集）=15|1 块=25|1 杯 （多维数据集）=35	03280|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
4	WS19628	1 块=4|1 饼干 (6 厘米)=35|0.3 小=10.5|2 大=155|0.2 中期=10|1 小块=0.6	03450|047|0522|0656.5|072.05|082.4|093.3|109.25|118.3|14165|15890
5	WS3773	1 个，中型的 （直径7厘米）（约3个共450克）=140|1 介质 （8 厘米）=180|1 大 （8 厘米）=225|1 小 (7 厘米)=150|0.5 个，小的 （6.5厘米直径）（约4个共450克）=53|1 份=155|0.7 杯 (切碎)=87.5|1 大块的 （直径11厘米）（每约2个共450克）=210|1 杯 （切片）=110|1 小 (7 厘米s)|1 额外小 （6 厘米）=100	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|14105|150.8
6	WS11250	0.3 大汤匙|100 克|0.5 磅	03380|0418.5|058.5|0680.5|0710.5|091.25|102.2|112.5|14405|1565
7	WS16091	1 杯 （240毫升）=200|1 大杯=355|1 小杯=180|1 杯（咖啡杯大小） （180毫升）=200|1 份，标准个人份量=400|1 大汤匙	031.25|040.15|060.05|1452.5|152.25
8	WS19115	1 整个（中等大小） （6.5厘米直径）=120|1 介质 （6 厘米）=125|1 小个 （6厘米直径）=89|1 个=5.6|4 片（薄的／小的）=66.5|2 大 （8 厘米）=365|0.2 整个（中等大小） （5厘米直径）=24|1 大汤匙=240|1 切片 （1 厘米）=20|1 楔子 （1/4 的中型番茄=31|1 厚或大切片 （1 厘米）=27|1 小番茄 (6 厘米)=91	0318.5|040.9|050.25|064.15|071.3|082.65|090.05|100.05|110.15|14240|154.9
9	WS15985	1 小杯=180|1 大杯=355|1 大汤匙	0342.5|043.35|051|064.95|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
10	WS17983	1 大块的=50.5|1 个，中型的=44|1 个，小的=36.5|1 盎司=28.5|1 份 （50克）=50.5|1 个，特大的=58|1 个，超大型=65.5|100 克|1 杯 （4.86个蛋）=245	03145|0412.5|059.7|061.25|080.8|093.05|103.75|111.35|14135|15140|16420
11	WS34668	0.5 杯嗯=200|2 份=600|0.5 大汤匙	0365|042.85|050.15|0613|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
12	WS14741	1 个，中型的 （18厘米- 20厘米长）=120|1 介质 （18 厘米到 20 厘米=120|2 根/条，特小型 （少于15厘米长）=160|1 小 （15 厘米至 18 厘米）=100|1 大 （20 厘米至 22 厘米=135|1 个，小的 （15厘米- 17.5厘米长=100|1 大块的 （20厘米- 22.5厘米长）=135|1 特大 22 厘米或更长时间）=150|1 额外小 （小于 15 厘米）=81|1 杯 （切片）=150|1 杯 (土豆泥)=225	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|14360|150.9
13	WS9968	1 片=25|1 片无外壳=12|1 非常薄切片 （多维数据集）=15|2 大切片 （多维数据集）=60|1 杯 （面包屑）=45|1 杯 （多维数据集）=35|1 薄切片=20|1 薄层无外壳 （多维数据集）=9	03295|0412|052.8|0656|074.15|085.55|090.75|101|111.7|12165|134.1|14225|15625|170.2
14	WS3773	1 个，中型的 （直径7厘米）（约3个共450克）=140|1 介质 （8 厘米）=180|1 大 （8 厘米）=225|1 小 (7 厘米)=150|0.5 个，小的 （6.5厘米直径）（约4个共450克）=53|1 份=155|0.7 杯 (切碎)=87.5|1 大块的 （直径11厘米）（每约2个共450克）=210|1 杯 （切片）=110|1 小 (7 厘米s)|1 额外小 （6 厘米）=100	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|14105|150.8
15	WS18817	1 片（一般大小）=26|1 片=25|2 片（薄的，不吃周边）=18|3 大切片 （多维数据集）=90|1 片无外壳=12|1 杯 （面包屑）=45|1 杯 （多维数据集）=35|1 薄切片=20|1 薄层无外壳 （多维数据集）=9|1 非常薄切片 （多维数据集）=15	03260|049.75|053.9|0648|074.3|085.55|090.9|101.75|110.9|14205|15530
16	WS7740	1 个（学生奶盒大小） （240毫升）=235|1 大杯=355|1 小杯=180|1 标准一杯的份量，热麦片=59.5|1 大汤匙|1 以30毫升为标准份量，饮料=3.3|100 克|1 标准一杯的份量，冷麦片=120|1 份 （244克）=235	0361.5|043.3|053.35|064.7|085.35|091.9|100.85|110.2|14145|1542|1610
17	WS8202		03125|042.7|050.3|0628|070.4|080.05|090.1|100.1|110.1|1210|131.2|1435|151
18	WS14741	1 个，中型的 （18厘米- 20厘米长）=120|1 介质 （18 厘米到 20 厘米=120|2 根/条，特小型 （少于15厘米长）=160|1 小 （15 厘米至 18 厘米）=100|1 大 （20 厘米至 22 厘米=135|1 个，小的 （15厘米- 17.5厘米长=100|1 大块的 （20厘米- 22.5厘米长）=135|1 特大 22 厘米或更长时间）=150|1 额外小 （小于 15 厘米）=81|1 杯 （切片）=150|1 杯 (土豆泥)=225	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|14360|150.9
19	WS1449	1 片=25|1 片无外壳=12|2 一块s=28|1 个=100|1 薄切片=20|1 薄层无外壳 （多维数据集）=9|1 大切片 （多维数据集）=30|1 杯 （面包屑）=45|1 非常薄切片 （多维数据集）=15|1 块=25|1 杯 （多维数据集）=35	03280|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
20	WS19373	1 大杯=355|1 小杯=180|1 大汤匙	031|060.3|1437|153
21	WS11404	1 中期=44|1 大=50|1 小=38|1 特大=56|2 中=76|1 珍宝=63|1 大汤匙=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
22	WS377	1 杯（煮熟的）=160|1 份 （160克）=160|1 大汤匙|1.5 杯s|1 盎司，干的，=73.5|100 克|1 杯，干的=110	03135|044.45|052|0624.5|071.2|080.4|090.4|100.6|110.55|1438|15190|1629
23	WS377	1 杯（煮熟的）=160|1 份 （160克）=160|1 大汤匙|1.5 杯s|1 盎司，干的，=73.5|100 克|1 杯，干的=110	03135|044.45|052|0624.5|071.2|080.4|090.4|100.6|110.55|1438|15190|1629
24	WS1449	1 片=25|1 片无外壳=12|2 一块s=28|1 个=100|1 薄切片=20|1 薄层无外壳 （多维数据集）=9|1 大切片 （多维数据集）=30|1 杯 （面包屑）=45|1 非常薄切片 （多维数据集）=15|1 块=25|1 杯 （多维数据集）=35	03280|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
25	WS8223		0325.5
26	WS13753		03225
27	WS19115	1 整个（中等大小） （6.5厘米直径）=120|1 介质 （6 厘米）=125|1 小个 （6厘米直径）=89|1 个=5.6|4 片（薄的／小的）=66.5|2 大 （8 厘米）=365|0.2 整个（中等大小） （5厘米直径）=24|1 大汤匙=240|1 切片 （1 厘米）=20|1 楔子 （1/4 的中型番茄=31|1 厚或大切片 （1 厘米）=27|1 小番茄 (6 厘米)=91	0318.5|040.9|050.25|064.15|071.3|082.65|090.05|100.05|110.15|14240|154.9
28	WS3773	1 个，中型的 （直径7厘米）（约3个共450克）=140|1 介质 （8 厘米）=180|1 大 （8 厘米）=225|1 小 (7 厘米)=150|0.5 个，小的 （6.5厘米直径）（约4个共450克）=53|1 份=155|0.7 杯 (切碎)=87.5|1 大块的 （直径11厘米）（每约2个共450克）=210|1 杯 （切片）=110|1 小 (7 厘米s)|1 额外小 （6 厘米）=100	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|14105|150.8
29	WS11404	1 中期=44|1 大=50|1 小=38|1 特大=56|2 中=76|1 珍宝=63|1 大汤匙=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
30	WS11447	1 薄煎饼=40|1 薄煎饼 （15 厘米）=73|1 迷你煎饼 （15 厘米）=10|1 盎司=28.5	03235|045.25|056.8|0638|071|088.3|091.15|101.55|113.85|1278|135.65|1490|15460|1618|170.3
31	WS12287	1 一杯=185|1 克	0392.5|043.3|053.95|0612|15100
32	WS19647	1 容器=245|1.3 小容器=160|1 中型容器=185	0367|044.25|052.2|067.4
33	WS377	1 杯（煮熟的）=160|1 份 （160克）=160|1 大汤匙|1.5 杯s|1 盎司，干的，=73.5|100 克|1 杯，干的=110	03135|044.45|052|0624.5|071.2|080.4|090.4|100.6|110.55|1438|15190|1629
34	WS19461	1 乳腺癌=160|1 杯 切碎或切成小方块）=140|1.2 片（厚的） （约5厘米× 4厘米× 1厘米）=25|5.3 薄片 （约5厘米× 4厘米× 0.3厘米）=38|100 克|1 片（中等大小） （约5厘米× 4厘米× 0.6厘米）=14|1 盎司，生的 （煮熟后，去骨）=15|1 立方英寸（去骨，煮熟的）=17|1 盎司，去骨 （煮熟后）=18|1 盎司，带骨，熟 （去骨后）=24|1 盎司，去骨，煮熟的=28|0.5 块，小的 （煮熟后，去骨）	03185|0430|056.3|091.8|102.4|111.35|14250|15280|1683.5
35	WS1449	1 片=25|1 片无外壳=12|2 一块s=28|1 个=100|1 薄切片=20|1 薄层无外壳 （多维数据集）=9|1 大切片 （多维数据集）=30|1 杯 （面包屑）=45|1 非常薄切片 （多维数据集）=15|1 块=25|1 杯 （多维数据集）=35	03280|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
36	WS11473	1 小玉米 （14 厘米到 16 厘米=89|1 中等玉米 17 厘米到 19 厘米）=105|1 小个 （14厘米- 17厘米长）=73.5|0.1 杯 (切)=15|1 大汤匙|100 克|1 盎司=28|1 个，中等大小 （17.5厘米- 19厘米长）=89.5|1 大个 （19.5厘米- 23厘米长）=145	0390.5|043.3|051.3|0620|072.55|083.8|090.2|100.35|110.6|14245|158.95
37	WS8204	1 件=285|0.7 沙朗牛排=115|1 立方英寸（去骨，煮熟的）=17|1 杯（煮熟的，切丝状）=120|1 薄切片=27|2 薄切片s|100 克|1 盎司，去骨 （煮熟后）=22|1 盎司，去骨，煮熟的=28.5|1 份 （85克）=85|1 杯（煮熟的，颗粒状）=135	03290|0426.5|0519.5|097.75|108.4|110.7|14315|15310|1687
38	WS25176	100 克	03210|040.6|0611.5
39	WS3773	1 个，中型的 （直径7厘米）（约3个共450克）=140|1 介质 （8 厘米）=180|1 大 （8 厘米）=225|1 小 (7 厘米)=150|0.5 个，小的 （6.5厘米直径）（约4个共450克）=53|1 份=155|0.7 杯 (切碎)=87.5|1 大块的 （直径11厘米）（每约2个共450克）=210|1 杯 （切片）=110|1 小 (7 厘米s)|1 额外小 （6 厘米）=100	0352|040.25|050.15|0614|072.4|0810.5|090.05|110.05|14105|150.8
40	WS17414	1 中期=61|1 大 （7 至 21 厘米）=72|1 小 （14 厘米）=50|1 片=3|1 杯 (磨碎)=110|1 杯 （小条或切片）=120|1 中型地带 （小条或切片）=4|1 大地带 （8 厘米）=7|1 杯 (切碎)=130	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
41	WS17414	1 中期=61|1 大 （7 至 21 厘米）=72|1 小 （14 厘米）=50|1 片=3|1 杯 (磨碎)=110|1 杯 （小条或切片）=120|1 中型地带 （小条或切片）=4|1 大地带 （8 厘米）=7|1 杯 (切碎)=130	0341|040.95|050.25|069.6|072.8|084.75|090.05|110.1|1233|130.3|14320|1569|175.9
42	WS10873	1 金块=20|3 块=60|1 几 块=30|1 几块=20	03295|0415.5|0520|0614|072.1|094|108.85|114.4|1231|131.2|14265|15555|1643|180.3
43	WS12285		03195|047.45|057.9|0627|071.7
44	WS11871	1 中期=200|1 大 (21 厘米)=280|1 小 (16 厘米)=160|5 片=35|1 杯 (切碎)=135|1 杯 （切片）=120|1 棒 (10 厘米)=9	0312|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
45	WS11404	1 中期=44|1 大=50|1 小=38|1 特大=56|2 中=76|1 珍宝=63|1 大汤匙=245	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
46	WS14741	1 个，中型的 （18厘米- 20厘米长）=120|1 介质 （18 厘米到 20 厘米=120|2 根/条，特小型 （少于15厘米长）=160|1 小 （15 厘米至 18 厘米）=100|1 大 （20 厘米至 22 厘米=135|1 个，小的 （15厘米- 17.5厘米长=100|1 大块的 （20厘米- 22.5厘米长）=135|1 特大 22 厘米或更长时间）=150|1 额外小 （小于 15 厘米）=81|1 杯 （切片）=150|1 杯 (土豆泥)=225	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|14360|150.9
47	WS30759	1 小杯=180|1 大杯=355|1 大汤匙	0343|042.6|051.45|064.9|070.2|083.65|090.2|100.4|110.85|12125|130.4|14120|1547|181.1
48	WS19115	1 整个（中等大小） （6.5厘米直径）=120|1 介质 （6 厘米）=125|1 小个 （6厘米直径）=89|1 个=5.6|4 片（薄的／小的）=66.5|2 大 （8 厘米）=365|0.2 整个（中等大小） （5厘米直径）=24|1 大汤匙=240|1 切片 （1 厘米）=20|1 楔子 （1/4 的中型番茄=31|1 厚或大切片 （1 厘米）=27|1 小番茄 (6 厘米)=91	0318.5|040.9|050.25|064.15|071.3|082.65|090.05|100.05|110.15|14240|154.9
