Row	Meal	Name	Brand	Pos
0	L	白米饭		33
1	B	蛋		147
2	D	白米饭		299
3	B	面包		413
4	S	饼干		643
5	S	苹果		779
6	B	燕麦		1056
7	B	咖啡		1150
8	L	番茄		1274
9	B	1%牛奶		1556
10	B	鸡蛋		1676
11	L	混合的蔬菜		1865
12	B	香蕉		1982
13	B	吐司		2298
14	B	苹果		2500
15	B	全麦面包		2778
16	B	全脂牛奶		2995
17	L	米饭		3200
18	S	香蕉		3286
19	L	面包		3602
20	S	茶		3833
21	L	蛋		3888
22	L	面条		4041
23	B	面条		4194
24	D	面包		4347
25	B	豆浆		4578
26	B	馒头		4597
27	D	番茄		4616
28	D	苹果		4899
29	D	蛋		5177
30	B	煎饼		5330
31	D	酸奶		5485
32	S	低脂肪水果酸奶		5541
33	D	面条		5609
34	D	鸡胸肉		5762
35	S	面包		6061
36	B	玉米		6292
37	L	牛肉		6533
38	B	黑米粥		6742
39	L	苹果		6779
40	D	胡萝卜		7057
41	L	胡萝卜		7270
42	L	鸡肉块		7483
43	B	包子		7607
44	L	黄瓜		7650
45	S	蛋		7814
46	D	香蕉		7967
47	B	浓缩的豆浆		8283
48	B	番茄		8404
49	D	牛肉		8687
50	L	香蕉		8896
51	B	速溶咖啡		9212
52	D	萝卜青菜		9279
53	B	红薯		9386
54	B	低脂肪水果酸奶		9404
55	B	甜豆浆		9472
56	S	咖啡		9511
57	B	白菜		9636
58	D	白菜		9848
59	L	白菜		10060
60	B	切达干酪		10272
61	B	黄瓜		10425
62	S	牛奶巧克力		10589
63	D	饺子		10725
64	B	茶		10880
65	L	炒饭		10935
66	D	玉米		11057
67	D	黄瓜		11298
68	L	低脂肪水果酸奶		11462
69	S	核桃		11530
70	S	西瓜		11724
71	S	牛奶		12021
72	B	法国面包		12218
73	B	白米饭		12351
74	D	鸡肉块		12466
75	L	馒头		12590
76	L	玉米		12609
77	B	饺子		12850
78	D	巧克力饼干		13005
79	L	西兰花		13153
80	S	橙		13382
81	S	巧克力冰淇淋		13529
82	S	巧克力饼干		13678
83	L	炒白菜		13826
84	S	吐司		13844
85	L	橄榄油		14046
86	D	水煮的土豆		14135
87	S	绿茶		14303
88	S	牛肉		14399
89	D	吐司		14608
90	B	燕麦粥		14810
91	S	硬糖		14956
92	D	海带		15061
93	B	粥		15194
94	B	煮鸡蛋		15211
95	B	橙		15392
96	S	番茄		15539
97	S	玉米		15822
98	S	花生奶油曲奇		16063
99	L	茶		16215
100	L	红烧肉		16270
101	L	鸡肉		16290
102	L	烤的豆子		16558
103	B	杂粮粥		16607
104	S	葡萄		16648
105	L	鱼丸		16822
106	S	雪碧		16842
107	B	棒子面粥		16949
108	B	小米粥		16971
109	D	切达干酪		16990
110	B	肉包子		17144
111	S	橘子		17193
112	L	地面猪肉		17391
113	B	红枣		17490
114	D	米饭		17527
115	S	梨		17614
116	L	蔬菜沙拉		17769
117	B	牛奶		17889
118	B	油条		18087
119	D	橙		18136
120	D	混合的蔬菜		18284
121	L	奶酪饼干		18402
122	B	煎鸡蛋		18541
123	B	切片面包		18724
124	L	巧克力		18823
125	L	火腿		18874
126	D	西瓜		18984
127	L	嫩豆腐		19282
128	B	豆沙包		19385
129	B	包菜		19422
130	L	醋		19459
131	L	橙		19479
132	S	烘焙巧克力		19627
133	D	馒头		19748
134	L	全麦吐司		19768
135	B	鸡肉		19967
136	L	海带		20235
137	L	三明治		20369
138	D	诺丁焦糖饼干		20389
139	B	一碗米粥		20410
140	S	草莓		20495
141	B	纯牛奶		20757
142	B	绿茶		20810
143	S	葡萄干		20907
144	B	脱脂牛奶		21068
145	S	蜂蜜		21192
146	S	红枣		21213
147	L	鸡腿		21250
148	L	肉松饼		21567
149	L	红枣		21607
150	D	桃子		21644
151	L	烤的红薯		21879
152	D	全麦面包		22037
153	S	白米饭		22255
154	S	酸奶		22371
155	B	培根		22428
156	L	藕		22550
157	L	土豆丝		22569
158	D	芝士蛋糕		22589
159	L	土豆沙拉		22714
160	S	米饭		22809
161	S	蛋糕		22896
162	L	鸡蛋		22981
163	B	香肠		23171
164	S	柚子		23280
165	L	烤的土豆		23299
166	L	饭团		23454
167	L	煎鸡蛋		23474
168	L	油面筋		23657
169	S	鱿鱼丝		23677
170	D	雪碧		23697
171	L	切达干酪		23804
172	D	土豆（水煮，加盐）		23958
173	B	海绵蛋糕		24092
174	D	低脂肪水果酸奶		24232
175	S	福事多洋槐蜂蜜		24301
176	S	诺丁焦糖饼干		24322
177	L	炸鱼条		24343
178	L	水煮的土豆		24497
179	S	棉花糖		24666
180	L	杂粮粥		24806
181	L	豆浆		24847
182	L	煮熟茄子		24867
183	L	白菜汤		25050
184	B	酸奶		25177
185	B	白粥		25234
186	B	蜂蜜		25266
187	B	黑芝麻糊		25287
188	B	如水红薯干		25345
189	L	蘑菇		25366
190	D	梨		25529
191	D	炒饭		25684
192	D	炒白菜		25807
193	B	手抓饼		25826
194	L	鸡蛋汤		25863
195	L	土豆（水煮，加盐）		25977
196	L	炸薯条		26111
197	B	土豆（水煮，加盐）		26380
198	L	芹菜		26514
199	B	饭团		26801
200	D	虾		26821
201	D	饼干		27116
202	D	杂粮粥		27254
203	S	鸡蛋白		27295
204	D	白蘑菇		27334
205	B	诺丁焦糖饼干		27461
206	B	炒饭		27482
207	L	小米粥		27605
208	D	粥		27624
209	D	煎饼		27642
210	D	木瓜		27798
211	L	鸡胸肉		28039
212	L	萝卜青菜		28339
213	D	香肠		28447
214	L	猪肉削减		28556
215	B	紫甘蓝		28661
216	L	西瓜		28680
217	L	辣白菜豆腐汤		28978
218	S	桃子		29057
219	L	冬瓜		29292
220	L	可乐		29384
221	S	点心		29485
222	S	脱脂牛奶		29505
223	B	饼干		29629
224	B	花生酱		29767
225	B	玉米片		29906
226	B	煮熟的西红柿		30058
227	S	鸡蛋		30248
228	B	煎饼果子		30438
229	S	切片面包		30459
230	S	火龙果		30558
231	S	黄瓜		30577
232	B	硬糖		30742
233	S	猕猴桃/奇异果		30848
234	D	葡萄		30988
235	D	鸡蛋		31162
236	D	肉松饼		31352
237	D	嫩豆腐		31392
238	S	红糖姜茶		31495
239	L	绿色豆角		31516
240	D	大豆油		31625
241	L	甜豆浆		31693
242	L	煮熟胡萝卜		31733
243	B	菜包		31947
244	L	猪肉白菜饺子		31967
245	B	蜂蜜水		31988
246	B	猕猴桃/奇异果		32025
247	B	生菜球		32165
248	B	鱼丸		32366
249	L	排骨		32386
250	D	生菜		32495
251	B	牛肉		32696
252	D	全麦吐司		32906
253	D	烙饼		33105
254	D	培根		33125
255	D	炸薯条		33247
256	D	地面猪肉		33516
257	D	核桃		33615
258	D	脱脂牛奶		33810
259	D	巧克力冰淇淋		33934
260	B	稀饭		34084
261	B	麦片		34121
262	D	西兰花		34229
263	L	芝麻酱		34459
264	S	肉松饼		34583
265	B	火腿		34623
266	B	牛角面包		34734
267	B	鸡蛋白		34904
268	B	鸡蛋饼		34943
269	B	小笼包		34963
270	L	生菜		35000
271	L	南瓜		35201
272	B	生菜		35221
273	S	椰子汁		35422
274	B	纯酸奶		35478
275	B	点心		35604
276	L	煮鸡蛋		35624
277	B	金针菇		35806
278	B	肉包子 (巴比馒头)		35841
279	L	统一冰红茶		35890
280	L	发面饼		35912
281	L	脱脂牛奶		35933
282	L	橘子		36057
283	S	柠檬水		36255
284	S	低脂牛奶		36386
285	S	猪肉和牛肉香肠		36564
286	B	奶茶		36757
287	B	煎饺		36810
288	B	鸡蛋灌饼		36830
289	D	绿茶		36851
290	B	菊苣青菜		36948
291	D	鸡腿		37049
292	D	橘子		37366
293	D	奶茶		37564
294	D	煮熟胡萝卜		37617
295	B	土豆丝		37831
296	D	煮熟的菠菜		37851
297	B	巧克力		37954
298	D	如水红薯干		38005
299	D	南瓜		38026
300	L	饺子		38046
301	L	土豆泥		38202
302	B	紫薯		38450
303	D	芹菜		38483
304	B	低脂牛奶		38770
305	B	煎蛋		38948
306	B	炒茄子		38968
307	B	混合的蔬菜		38988
308	B	烤的红薯		39106
309	B	油条 (肯德基)		39264
310	B	芹菜		39313
311	B	蛋糕		39600
312	L	拉面		39685
313	B	炒面		39811
314	B	烧饼		39831
315	B	粽子		39851
316	B	南瓜		39871
317	B	豆奶		39891
318	S	奥利奥饼干		39911
319	S	巧克力		39931
320	S	包子		39982
321	S	煎饼		40026
322	B	豆腐脑		40182
323	D	猕猴桃/奇异果		40203
324	D	草莓		40343
325	D	煎饺		40605
326	B	煮熟胡萝卜		40625
327	D	包子		40839
328	L	香肠		40883
329	D	木耳		40992
330	D	红薯		41011
331	D	山药		41030
332	L	白蘑菇		41050
333	L	豆奶		41177
334	L	根布鲁塞尔豆芽		41197
335	L	牛奶		41302
336	L	面筋		41500
337	L	包子		41520
338	L	酸奶		41564
339	L	煎饼		41621
340	L	红薯		41777
341	L	炝炒白菜		41796
342	L	豆干		41816
343	L	燕麦粥		41836
344	L	炒鸡蛋		41983
345	B	油饼		42085
346	L	煮熟的菠菜		42187
347	L	纯牛奶		42290
348	S	豆奶		42343
349	L	生菜球		42363
350	B	草莓		42564
351	B	木瓜		42826
352	B	法兰克福牛肉香肠或热狗肠		43067
353	S	红薯		43219
354	S	鸡肉块		43238
355	S	芒果		43363
356	S	麦片		43508
357	S	奶茶		43616
358	S	肉松面包		43669
359	B	豆皮		43689
360	D	一碗米粥		43709
361	D	煮熟的西红柿		43794
362	D	豆浆		43984
363	D	速溶咖啡		44004
364	D	牛奶		44072
365	D	三文鱼		44270
366	D	烘焙巧克力		44393
367	D	火龙果		44514
368	D	棒子面粥		44533
369	B	油面筋		44555
370	B	白菜汤		44575
371	B	凉拌西红柿		44702
372	B	米粉（煮熟）		44721
373	D	白粥		44820
374	D	藕		44852
375	D	海绵蛋糕		44871
376	D	甜面酱		45011
377	D	炸鱼条		45032
378	D	硬糖		45186
379	D	柚子		45292
380	D	鸡蛋白		45311
381	D	橙子		45350
382	D	凉面		45498
383	D	菜花		45517
384	D	纯牛奶		45538
385	B	核桃		45591
386	D	蛋糕		45786
387	D	烤的土豆		45871
388	D	拉面		46026
389	D	鱿鱼丝		46152
390	D	可乐		46172
391	D	巧克力蛋糕		46273
