Row	ID	AllWeights	AllProperties
0	:SD9909795	1 Scheibe=25g|1 Scheibe ohne Kruste=12g|1 Tasse (Krümel)=45g|1 Tasse (Cubes)=35g|1 große Scheibe (Cubes)=30g|1 dünne Scheibe=20g|1 dünne Scheibe ohne Kruste (Cubes)=9g|1 dünne Scheibe (Cubes)=15g	03272|0411|051|073.5|084.5|15650|090.5
1	:SD1001795	1 Tasse=237g|1 kleine Tasse=178g|1 große Tasse=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
2	:SD1001272	1 El=20g|1 Päckchen=14g	03245.7|040.5|050.5|0660.9|072.2|0858.7|1218|131.4|14100|1512|174
3	:SD821039	1 Tasse=237g|1 kleine Tasse=178g|1 große Tasse=356g	0368.9|043.3|054.13|064.64|084.64|12120|130.014|14156|1538.8|180.09|171.01|092.5|100.97|110.19|1615.5
4	:SD1000844	1 mittelgroße (18 cm bis 20 cm)=118g|1 grosse (20 cm bis 22 cm)=136g|1 kleine (15 cm bis 18 cm)=101g|1 extra groß (22 cm oder länger)=152g|1 extra-klein (kleiner als 15 cm)=81g|1 Cup (geschnitten)=150g|1 Tasse (püriert)=225g	0395.1|041.1|050.3|0623|072|0817.2|128|130.42|14385|151|1712|090.12|110.06
5	:SD9909795	1 Scheibe=25g|1 Scheibe ohne Kruste=12g|1 Tasse (Krümel)=45g|1 Tasse (Cubes)=35g|1 große Scheibe (Cubes)=30g|1 dünne Scheibe=20g|1 dünne Scheibe ohne Kruste (Cubes)=9g|1 dünne Scheibe (Cubes)=15g	03272|0411|051|073.5|084.5|15650|090.5
6	:SD1001011	1 Glas=150g	0369.2|040.2|060.3|080.29|128|130.9|14115|155
7	:SD1000809	1 mittelgroße (6 cm)=123g|1 Tasse=240g|1 Scheibe (1 cm)=20g|1 große (8 cm)=182g|1 Keil (1/4 mittlere Tomate)=31g|1 dicken/großen Scheibe (1 cm)=27g|1 kleine Tomate (6 cm)=91g	0321.1|040.8|050.3|064.2|071.2|083.2|128.5|130.16|14224|151.58|1718|090.05|100.05|110.14
8	:SD9909795	1 Scheibe=25g|1 Scheibe ohne Kruste=12g|1 Tasse (Krümel)=45g|1 Tasse (Cubes)=35g|1 große Scheibe (Cubes)=30g|1 dünne Scheibe=20g|1 dünne Scheibe ohne Kruste (Cubes)=9g|1 dünne Scheibe (Cubes)=15g	03272|0411|051|073.5|084.5|15650|090.5
9	:U05006	0,5 Huhn=460g|1 Brust=290g|1 Trommelstock=133g|1 Flügel=49g|1 nugget=20g|1 Tasse (gehackt oder gewürfelt)=140g	
10	:SD9908031	1 Scheibe=25g|1 Scheibe ohne Kruste=12g|1 Tasse (Krümel)=45g|1 Tasse (Cubes)=35g|1 große Scheibe (Cubes)=30g|1 dünne Scheibe=20g|1 dünne Scheibe ohne Kruste (Cubes)=9g|1 dünne Scheibe (Cubes)=15g	03247|049|051|073|085|15520|090.5
11	:SD9909795	1 Scheibe=25g|1 Scheibe ohne Kruste=12g|1 Tasse (Krümel)=45g|1 Tasse (Cubes)=35g|1 große Scheibe (Cubes)=30g|1 dünne Scheibe=20g|1 dünne Scheibe ohne Kruste (Cubes)=9g|1 dünne Scheibe (Cubes)=15g	03272|0411|051|073.5|084.5|15650|090.5
12	:SD1001613	1 Tasse=28g	03358.4|047.15|050.6|0683|074|087.12|1213|132|14120|15938|090.08|100.219|110.217
