Row	ID	AllWeights	AllProperties
0	:U01123	1 medium=44g|1 large=50g|1 extra large=56g|1 jumbo=63g|1 cup=243g|1 small=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U08122	0.333 cup=27g|1 cup=81g	03362|0411.92|056.9|0669.52|0710|081.5|12351|1324.72|14366|15220|091.346|102.325|112.533
2	:U14209	1 cup=237g|1 small cup=178g|1 large cup=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
3	:U11282	1 medium (2-1/2")=110g|1 large=150g|1 cup (chopped)=160g|1 cup (sliced)=115g|1 tbsp (chopped)=10g|1 large slice (1/4")=38g|1 medium slice (1/8")=14g|1 small=70g|1 thin slice=9g|10 rings=60g	0340|041.1|050.1|069.34|071.7|084.24|1223|130.21|14146|154|177.4|090.042|100.013|110.017
4	:U18009	1 biscuit (2-1/2")=35g|1 medium=51g|1 large=77g|1 small=35g	03365|046.2|0516.5|0648.5|071.3|083.48|1249|133.3|14224|15942|092.49|106.906|116.209|161
5	:U18065	1 slice=25g|1 slice without crust=12g|1 cup (crumbs)=45g|1 cup (cubes)=35g|1 large slice=30g|1 thin slice=20g|1 thin slice without crust=9g|1 very thin slice=15g	03313|0412.96|054.27|0655.77|074.7|086.42|12165|134.09|14223|15601|170.2|090.989|101.019|111.72
6	:U18064	1 slice=25g|1 slice without crust=12g|1 cup (crumbs)=45g|1 cup (cubes)=35g|1 large slice=30g|1 thin slice=20g|1 thin slice without crust=9g|1 very thin slice=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
7	:U10124	1 slice=8g|1 thin slice=5g|1 thick slice=12g|1 cup (pieces) 80g	03541|0437.04|0541.78|061.43|1211|131.44|14565|151717|181|0913.739|1018.52|114.548|16110
8	:U18064	1 slice=25g|1 slice without crust=12g|1 cup (crumbs)=45g|1 cup (cubes)=35g|1 large slice=30g|1 thin slice=20g|1 thin slice without crust=9g|1 very thin slice=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
9	:U11124	1 medium=61g|1 large (7 to 8.5")=72g|1 small (5.5")=50g|1 slice=3g|1 cup (grated)=110g|1 cup (strips or slices)=122g|1 medium strip=4g|1 large strip (3")=7g|1 cup (chopped)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
10	:U09040	1 medium (7" to 8")=118g|1 large (8" to 9")=136g|1 small (6" to 7")=101g|1 extra large (9" or longer)=152g|1 extra small (smaller than 6")=81g|1 cup (sliced)=150g|1 cup (mashed)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
11	:U05009	0.5 chicken=460g|1 breast=290g|1 drumstick=133g|1 wing=49g|1 nugget=20g|1 cup (chopped or diced)=140g	03239|0427.3|0513.6|1215|131.26|14223|1582|093.79|105.34|112.97|1688
12	:U18064	1 slice=25g|1 slice without crust=12g|1 cup (crumbs)=45g|1 cup (cubes)=35g|1 large slice=30g|1 thin slice=20g|1 thin slice without crust=9g|1 very thin slice=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
13	:U01123	1 medium=44g|1 large=50g|1 extra large=56g|1 jumbo=63g|1 cup=243g|1 small=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
14	:U14355	1 cup=237g|1 small cup=178g|1 large cup=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
15	:U20045	1 cup=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
16	:U01079	1 cup=237g|1 small cup=178g|1 large cup=356g	0350|043.3|051.98|064.8|085.06|12120|130.02|14140|1547|181.2|170.2|091.257|100.56|110.073|168
17	:U14355	1 cup=237g|1 small cup=178g|1 large cup=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
18	:U01123	1 medium=44g|1 large=50g|1 extra large=56g|1 jumbo=63g|1 cup=243g|1 small=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
19	:U01082	1 cup=237g|1 small cup=178g|1 large cup=356g	0342|043.37|050.97|064.99|085.2|12125|130.03|14150|1544|181.2|090.633|100.277|110.035|165
20	:U10124	1 slice=8g|1 thin slice=5g|1 thick slice=12g|1 cup (pieces) 80g	03541|0437.04|0541.78|061.43|1211|131.44|14565|151717|181|0913.739|1018.52|114.548|16110
21	:U20045	1 cup=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
22	:U11529	1 medium (2-3/5")=123g|1 cup=240g|1 slice (1/4")=20g|1 large (3")=182g|1 wedge (1/4 of medium tomato)=31g|1 thick/large slice (1/2")=27g|1 small tomato (2-2/5")=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
23	:U11529	1 medium (2-3/5")=123g|1 cup=240g|1 slice (1/4")=20g|1 large (3")=182g|1 wedge (1/4 of medium tomato)=31g|1 thick/large slice (1/2")=27g|1 small tomato (2-2/5")=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
24	:U08120	0.333 cup=27g|1 cup=81g	03379|0413.15|056.52|0667.7|0710.1|080.99|1252|134.25|14362|156|091.11|101.98|112.3
25	:U19035	1 bag=28g|1 cup=11g	03583|047.29|0543.55|0645.06|078.1|080.46|124|131.98|14182|151058|170.3|096.82|109.809|1123.191
26	:U11124	1 medium=61g|1 large (7 to 8.5")=72g|1 small (5.5")=50g|1 slice=3g|1 cup (grated)=110g|1 cup (strips or slices)=122g|1 medium strip=4g|1 large strip (3")=7g|1 cup (chopped)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
27	:U09200	1 orange (2-5/8")=131g|1 cup (sections)=180g|1 large (3-1/16")=184g|1 small (2-3/8")=96g	0347|040.94|050.12|0611.75|072.4|089.35|1240|130.1|14181|1753.2|090.015|100.023|110.025
28	:U11091	1 medium stalk (7-1/2" - 8")=180g|0.5 cup (chopped)=92g|1 spear (about 5")=37g|1 large stalk (11"-12")=280g|1 small stalk (5")=140g	0335|042.38|050.41|067.18|073.3|081.39|1240|130.67|14293|1541|1764.9|090.079|100.04|110.17
29	:U14096	1 glass=150g	0385|040.07|062.61|080.62|128|130.46|14127|154
30	:U09003	1 medium (3")=182g|1 large (3-1/4")=223g|1 small (2-3/4")=149g|1 extra small (2-1/2")=101g|1 cup (chopped)=125g|1 cup (slices)=109g	0352|040.26|050.17|0613.81|072.4|0810.39|126|130.12|14107|151|174.6|090.028|100.007|110.051
31	:U01121	1 container=245|1 medium container=184g|1 small container=123g	03102|044.37|051.08|0619.05|0819.05|12152|130.07|14195|1558|170.7|090.697|100.297|110.031|164
32	:U09200	1 orange (2-5/8")=131g|1 cup (sections)=180g|1 large (3-1/16")=184g|1 small (2-3/8")=96g	0347|040.94|050.12|0611.75|072.4|089.35|1240|130.1|14181|1753.2|090.015|100.023|110.025
33	:U09200	1 orange (2-5/8")=131g|1 cup (sections)=180g|1 large (3-1/16")=184g|1 small (2-3/8")=96g	0347|040.94|050.12|0611.75|072.4|089.35|1240|130.1|14181|1753.2|090.015|100.023|110.025
