Row	ID	AllWeights	AllProperties
0	:U01123	1 keskikokoinen=44g|1 suuri=50g|1 erittäin suuri=56g|1 kuppi=243g|1 pieni=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U14209	1 kuppi=237g|1 pieni kuppi=178g|1 iso kuppi=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
2	:SD9909795	1 viipale=25g|1 suuresta (kuutiot)=30g|1 ohut siivu=20g|1 erittäin ohut siivu (kuutiot)=15g	03272|0411|051|073.5|084.5|15650|090.5
3	:U18064	1 viipale=25g|1 suuresta (kuutiot)=30g|1 ohut siivu=20g|1 erittäin ohut siivu (kuutiot)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
4	:U09040	1 keskikokoinen (18 cm-20 cm)=118g|1 suuret (20 cm 22 cm)=136g|1 pieni (15 cm (18 cm)=101g|1 erittäin suuri (22 cm tai pidempi)=152g|1 ylimääräinen pieni (pienempi kuin 15 cm)=81g|1 kuppi (viipaleina)=150g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
5	:SD1001795	1 kuppi=237g|1 pieni kuppi=178g|1 iso kuppi=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
6	:U18064	1 viipale=25g|1 suuresta (kuutiot)=30g|1 ohut siivu=20g|1 erittäin ohut siivu (kuutiot)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
7	:U14355	1 kuppi=237g|1 pieni kuppi=178g|1 iso kuppi=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
8	:U14355	1 kuppi=237g|1 pieni kuppi=178g|1 iso kuppi=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
9	:U18065	1 viipale=25g|1 suuresta (kuutiot)=30g|1 ohut siivu=20g|1 erittäin ohut siivu (kuutiot)=15g	03313|0412.96|054.27|0655.77|074.7|086.42|12165|134.09|14223|15601|170.2|090.989|101.019|111.72
10	:LC055	1 keskikokoinen (18 cm-20 cm)=118g|1 suuret (20 cm 22 cm)=136g|1 pieni (15 cm (18 cm)=101g|1 erittäin suuri (22 cm tai pidempi)=152g|1 ylimääräinen pieni (pienempi kuin 15 cm)=81g|1 kuppi (viipaleina)=150g	03104.54|040.95|050.5|0625.91|071.85
11	:U18064	1 viipale=25g|1 suuresta (kuutiot)=30g|1 ohut siivu=20g|1 erittäin ohut siivu (kuutiot)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
12	:U08122	1 kuppi=81g	03362|0411.92|056.9|0669.52|0710|081.5|12351|1324.72|14366|15220|091.346|102.325|112.533
13	:LG042	1 säiliöön=245g|1 keskikokoinen kontti=184g|1 pieni kontti=123g	0364.48|044.29|052.16|066.97
14	:LB798	1 keskikokoinen (6 cm)=123g|1 kuppi=240g|1 viipale (1 cm)=20g|1 suuri (8 cm)=182g|1 kiila (1/4 keskikokoinen tomaatti)=31g|1 paksu/suuresta (1 cm)=27g|1 pieni tomaatti (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
15	:U01123	1 keskikokoinen=44g|1 suuri=50g|1 erittäin suuri=56g|1 kuppi=243g|1 pieni=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
