Row	ID	AllWeights	AllProperties
0	:SF1001795	1 tasse=237g|1 petite tasse=178g|1 grande tasse=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
1	:SF821031	1 récipient=245g|1 récipient moyen=184g|1 petit récipient=123g	0398.38|043.8|053.02|0614|0813.1|12132|130.016|14126|1544.8|180.06|091.8|100.7|110.14|169
2	:SF821031	1 récipient=245g|1 récipient moyen=184g|1 petit récipient=123g	0398.38|043.8|053.02|0614|0813.1|12132|130.016|14126|1544.8|180.06|091.8|100.7|110.14|169
3	:SF1000844	1 moyen (18 cm à 20 cm)=118g|1 grande (20 cm à 22 cm)=136g|1 petite (15 cm à 18 cm)=101g|1 extra grand (22 cm ou plus)=152g|1 très petite (moins de 15 cm)=81g|1 tasse (tranchée)=150g|1 tasse (purée)=225g	0395.1|041.1|050.3|0623|072|0817.2|128|130.42|14385|151|1712|090.12|110.06
4	:SF821031	1 récipient=245g|1 récipient moyen=184g|1 petit récipient=123g	0398.38|043.8|053.02|0614|0813.1|12132|130.016|14126|1544.8|180.06|091.8|100.7|110.14|169
5	:SF1001795	1 tasse=237g|1 petite tasse=178g|1 grande tasse=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
6	:SF1000844	1 moyen (18 cm à 20 cm)=118g|1 grande (20 cm à 22 cm)=136g|1 petite (15 cm à 18 cm)=101g|1 extra grand (22 cm ou plus)=152g|1 très petite (moins de 15 cm)=81g|1 tasse (tranchée)=150g|1 tasse (purée)=225g	0395.1|041.1|050.3|0623|072|0817.2|128|130.42|14385|151|1712|090.12|110.06
7	:SF1001105	1 tasse=237g|1 petite tasse=178g|1 grande tasse=356g	0351.1|040.5|050.5|0611.2|070.1|0811.1|1210.5|130.2|14181|151|1731
8	:SF821040	1 tasse=237g|1 petite tasse=178g|1 grande tasse=356g	0333.28|043.43|050.08|064.71|084.71|12126|130.015|14164|1538.9|170.59|090.048|100.019
9	:SF1000844	1 moyen (18 cm à 20 cm)=118g|1 grande (20 cm à 22 cm)=136g|1 petite (15 cm à 18 cm)=101g|1 extra grand (22 cm ou plus)=152g|1 très petite (moins de 15 cm)=81g|1 tasse (tranchée)=150g|1 tasse (purée)=225g	0395.1|041.1|050.3|0623|072|0817.2|128|130.42|14385|151|1712|090.12|110.06
10	:SF9901535	1 tranche=118g|1 pizza=946g	03238|0410|058.33|0631.7|071.63|081.73|1298|130.911|14163|15285|180.03|173.22|093.32|103.55|110.643|1611.5
11	:SF1001492	1 tranche=25g|1 tranche sans croûte=12g|1 tasse (miettes)=45g|1 tasse (cubes)=35g|1 grande tranche (cubes)=30g|1 tranche fine=20g|1 fine tranche sans croûte (cubes)=9g|1 très fine tranche (cubes)=15g	03243.116|048.51|050.744|0651.7|072.19|080.628|1215|131.17|1495.9|15673|090.131|100.115|110.414
12	:SF1001229	1 tasse=237g|1 petite tasse=178g|1 grande tasse=356g	0339|041|051.13|067.29|070.667|083.5|128|130.4|14140|15407|177|090.5|100.442|110.024|160.5
13	:SF9901750	1 tasse=140g	03353|049|052.5|080.4|1524
14	:SF822013	1 tasse=237g|1 boîte=356g|12 fl oz=356g|16 oz liq=475g|1 petite tasse=178g	0342.4|0610.6|0810.6
15	:SF1001496	1 tranche=25g|1 tranche sans croûte=12g|1 tasse (miettes)=45g|1 tasse (cubes)=35g|1 grande tranche (cubes)=30g|1 tranche fine=20g|1 fine tranche sans croûte (cubes)=9g|1 très fine tranche (cubes)=15g	03317|049.03|0510.4|0647.4|072.03|083.11|1252.6|131.12|14147|15535|180.25|170.231|095.87|102.43|110.837|1641.6
16	:SF1000900	1 tasse=158g	03347.8|046.6|050.6|0679.7|071.4|129|130.6|1498|155|090.15|100.17|110.19
17	:SF1001795	1 tasse=237g|1 petite tasse=178g|1 grande tasse=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
18	:SF822013	1 tasse=237g|1 boîte=356g|12 fl oz=356g|16 oz liq=475g|1 petite tasse=178g	0342.4|0610.6|0810.6
19	:SF821023	1 cuillère à soupe=14g|1 cuillère à café=4g|1 pat (sq 2 cm, 1 cm)=5g|1 tasse=227g|1 bâton (sq 2 cm, 1 cm)=113g	03746.3|040.7|0582.3|060.7|080.6|1217.9|130.013|1421|1510|181.3|0949.4|1019.3|113.8|16241
20	:SF9901535	1 tranche=118g|1 pizza=946g	03238|0410|058.33|0631.7|071.63|081.73|1298|130.911|14163|15285|180.03|173.22|093.32|103.55|110.643|1611.5
21	:SF821031	1 récipient=245g|1 récipient moyen=184g|1 petit récipient=123g	0398.38|043.8|053.02|0614|0813.1|12132|130.016|14126|1544.8|180.06|091.8|100.7|110.14|169
22	:SF9906201	1 hamburger=313g	03190|0417|0513|070.5|081|15430|094.5
23	:SF9901229	1 tasse=28g	03378.1|047|050.9|073|088|138|15500|181.7|090.2
24	:SF1001520	1 portion moyenne=117g|1 grande portion=154g|1 petite portion=71g|10 frites=50g	03227.35|043.55|059.55|0633.3|073|081.15|1211|130.85|14660|1523.5|179|092.25|103.5|113.5
25	:SF9907778	1 tranche=28g|1 tasse (en dés)=132g|1 tasse (râpée)=113g|1 tasse (fondue)=244g|1 pouce cube=17g|1 paquet (fondu)=170g	03362|0423|0530|15800|0921
26	:SF9404253	1 moyen=61g|1 gros (7 à 21 cm)=72g|1 petit (14 cm)=50g|1 tranche=3g|1 tasse (râpé)=110g|1 tasse (bandes ou tranches)=122g|1 bande moyenne (bandes ou tranches)=4g|1 large bande (8 cm)=7g|1 tasse (hachée)=128g	0341.653|040.889|050.333|0610.2|072.89|087.11|1233|130.17|14154|1525.1|176.22|090.056|100.022|110.133
27	:SF1001469	1 tasse=237g|1 petite tasse=178g|1 grande tasse=356g	1419
28	:SF1001795	1 tasse=237g|1 petite tasse=178g|1 grande tasse=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
