Row	ID	AllWeights	AllProperties
0	:SI821040	1 tazza=237g|1 tazza piccola=178g|1 tazza grande=356g	0333.28|043.43|050.08|064.71|084.71|12126|130.015|14164|1538.9|170.59|090.048|100.019
1	:U18158	1 giro (4 cm)=10g|1 elemento ovale (8 x 3 cm x 1 cm)=15g|1 oz=28.35g	
2	:SI1001128	1 cucchiaio=13.6g|1 cucchiaino=4.5g|1 tazza=218g	03899.1|0599.9|121|130.1|151|0913|1066.6|118
3	:SI1000809	1 medio (6 cm)=123g|1 tazza=240g|1 fetta (1 cm)=20g|1 grande (8 cm)=182g|1 a Cuneo (1/4 di pomodoro medio)=31g|1 fetta spessa/grandi (1 cm)=27g|1 pomodoro piccolo (6 cm)=91g	0321.1|040.8|050.3|064.2|071.2|083.2|128.5|130.16|14224|151.58|1718|090.05|100.05|110.14
4	:SI1000844	1 medio (18 cm a 20 cm)=118g|1 grande (20 cm a 22 cm)=136g|1 piccolo (15 cm a 18 cm)=101g|1 extra-large (22 cm o più)=152g|1 extra piccolo (inferiore a 15 cm)=81g|1 tazza (a fette)=150g|1 tazza (purè)=225g	0395.1|041.1|050.3|0623|072|0817.2|128|130.42|14385|151|1712|090.12|110.06
5	:SI1001272	1 cucchiaio=20g|1 confezione=14g	03245.7|040.5|050.5|0660.9|072.2|0858.7|1218|131.4|14100|1512|174
6	:SI1001465	1 tazza=140g|1 tazza (a forma di spirale)=134g|1 tazza (piccole conchiglie)=115g	03353|0412.5|051.2|0675.6|075.1|080.4|1222|131.5|14200|155|090.2|100.1|110.5
7	:SI1001128	1 cucchiaio=13.6g|1 cucchiaino=4.5g|1 tazza=218g	03899.1|0599.9|121|130.1|151|0913|1066.6|118
8	:SI821034	1 biscotto (6 cm)=35g|1 medio=51g|1 grande=77g|1 piccolo=35g	0366.55|044.14|053.55|065.4|084.51|12147|130.017|14178|1545.3|180.08|092.2|100.85|110.17|1610.8
9	:SI1000844	1 medio (18 cm a 20 cm)=118g|1 grande (20 cm a 22 cm)=136g|1 piccolo (15 cm a 18 cm)=101g|1 extra-large (22 cm o più)=152g|1 extra piccolo (inferiore a 15 cm)=81g|1 tazza (a fette)=150g|1 tazza (purè)=225g	0395.1|041.1|050.3|0623|072|0817.2|128|130.42|14385|151|1712|090.12|110.06
