Row	ID	AllWeights	AllProperties
0	:U01123	1 sederhana=44g|1 besar=50g|1 katil besar=56g|1 cawan=243g|1 kecil=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U14209	1 cawan=237g|1 cawan kecil=178g|1 cawan besar=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
2	:SD9909795	1 hirisan=25g|1 hirisan tanpa Kerak=12g|1 cawan (serbuk)=45g|1 cawan (kiub)=35g|1 hirisan besar (kiub)=30g|1 hirisan nipis=20g|1 hirisan nipis tanpa Kerak (kiub)=9g|1 hirisan nipis sangat (kiub)=15g	03272|0411|051|073.5|084.5|15650|090.5
3	:U18064	1 hirisan=25g|1 hirisan tanpa Kerak=12g|1 cawan (serbuk)=45g|1 cawan (kiub)=35g|1 hirisan besar (kiub)=30g|1 hirisan nipis=20g|1 hirisan nipis tanpa Kerak (kiub)=9g|1 hirisan nipis sangat (kiub)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
4	:U09040	1 sederhana (18 cm untuk 20 cm)=118g|1 besar (20 cm ke 22 cm)=136g|1 kecil (15 cm ke 18 cm)=101g|1 katil besar (22 cm atau lebih)=152g|1 katil kecil (lebih kecil daripada 15 cm)=81g|1 cawan (dihiris)=150g|1 cawan (Condominium)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
5	:SD1001795	1 cawan=237g|1 cawan kecil=178g|1 cawan besar=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
6	:U18064	1 hirisan=25g|1 hirisan tanpa Kerak=12g|1 cawan (serbuk)=45g|1 cawan (kiub)=35g|1 hirisan besar (kiub)=30g|1 hirisan nipis=20g|1 hirisan nipis tanpa Kerak (kiub)=9g|1 hirisan nipis sangat (kiub)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
7	:U14355	1 cawan=237g|1 cawan kecil=178g|1 cawan besar=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
8	:U14355	1 cawan=237g|1 cawan kecil=178g|1 cawan besar=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
9	:U18065	1 hirisan=25g|1 hirisan tanpa Kerak=12g|1 cawan (serbuk)=45g|1 cawan (kiub)=35g|1 hirisan besar (kiub)=30g|1 hirisan nipis=20g|1 hirisan nipis tanpa Kerak (kiub)=9g|1 hirisan nipis sangat (kiub)=15g	03313|0412.96|054.27|0655.77|074.7|086.42|12165|134.09|14223|15601|170.2|090.989|101.019|111.72
10	:LC055	1 sederhana (18 cm untuk 20 cm)=118g|1 besar (20 cm ke 22 cm)=136g|1 kecil (15 cm ke 18 cm)=101g|1 katil besar (22 cm atau lebih)=152g|1 katil kecil (lebih kecil daripada 15 cm)=81g|1 cawan (dihiris)=150g|1 cawan (Condominium)=225g	03104.54|040.95|050.5|0625.91|071.85
11	:U18064	1 hirisan=25g|1 hirisan tanpa Kerak=12g|1 cawan (serbuk)=45g|1 cawan (kiub)=35g|1 hirisan besar (kiub)=30g|1 hirisan nipis=20g|1 hirisan nipis tanpa Kerak (kiub)=9g|1 hirisan nipis sangat (kiub)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
12	:U01123	1 sederhana=44g|1 besar=50g|1 katil besar=56g|1 cawan=243g|1 kecil=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
13	:U20045	1 cawan=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
14	:U11124	1 sederhana=61g|1 besar (7 hingga 21 cm)=72g|1 kecil (14 cm)=50g|1 hirisan=3g|1 cawan (parut)=110g|1 cawan (jalur atau hirisan)=122g|1 jalur sederhana (jalur atau hirisan)=4g|1 jalur besar (8 cm)=7g|1 cawan (dicincang)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
15	:U18009	1 biskut (6 cm)=35g|1 sederhana=51g|1 besar=77g|1 kecil=35g	03365|046.2|0516.5|0648.5|071.3|083.48|1249|133.3|14224|15942|092.49|106.906|116.209|161
16	:SF1001795	1 cawan=237g|1 cawan kecil=178g|1 cawan besar=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
17	:U20045	1 cawan=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
18	:U14209	1 cawan=237g|1 cawan kecil=178g|1 cawan besar=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
19	:U18064	1 hirisan=25g|1 hirisan tanpa Kerak=12g|1 cawan (serbuk)=45g|1 cawan (kiub)=35g|1 hirisan besar (kiub)=30g|1 hirisan nipis=20g|1 hirisan nipis tanpa Kerak (kiub)=9g|1 hirisan nipis sangat (kiub)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
20	:LC043	1 sederhana (18 cm untuk 20 cm)=118g|1 besar (20 cm ke 22 cm)=136g|1 kecil (15 cm ke 18 cm)=101g|1 katil besar (22 cm atau lebih)=152g|1 katil kecil (lebih kecil daripada 15 cm)=81g|1 cawan (dihiris)=150g|1 cawan (Condominium)=225g	041.2|050.2|0623|127|130.41|14348|151|176.1
21	:U01123	1 sederhana=44g|1 besar=50g|1 katil besar=56g|1 cawan=243g|1 kecil=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
22	:U11282	1 sederhana (6 cm)=110g|1 besar=150g|1 cawan (dicincang)=160g|1 cawan (dihiris)=115g|1 sudu besar (dicincang)=10g|1 hirisan besar (1 cm)=38g|1 kecil=70g|1 hirisan nipis=9g|10 cincin=60g	0340|041.1|050.1|069.34|071.7|084.24|1223|130.21|14146|154|177.4|090.042|100.013|110.017
23	:U05009	0,5 ayam=460g|1 payudara=290g|1 bungkal=20g|1 cawan (dicincang atau didadu)=140g	03239|0427.3|0513.6|1215|131.26|14223|1582|093.79|105.34|112.97|1688
24	:U09040	1 sederhana (18 cm untuk 20 cm)=118g|1 besar (20 cm ke 22 cm)=136g|1 kecil (15 cm ke 18 cm)=101g|1 katil besar (22 cm atau lebih)=152g|1 katil kecil (lebih kecil daripada 15 cm)=81g|1 cawan (dihiris)=150g|1 cawan (Condominium)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
25	:U01082	1 cawan=237g|1 cawan kecil=178g|1 cawan besar=356g	0342|043.37|050.97|064.99|085.2|12125|130.03|14150|1544|181.2|090.633|100.277|110.035|165
26	:LC055	1 sederhana (18 cm untuk 20 cm)=118g|1 besar (20 cm ke 22 cm)=136g|1 kecil (15 cm ke 18 cm)=101g|1 katil besar (22 cm atau lebih)=152g|1 katil kecil (lebih kecil daripada 15 cm)=81g|1 cawan (dihiris)=150g|1 cawan (Condominium)=225g	03104.54|040.95|050.5|0625.91|071.85
27	:U20044	1 cawan=158g	03365|047.13|050.66|0679.95|071.3|080.12|1228|134.31|14115|155|090.18|100.206|110.177
28	:U14096	1 gelas=150g	0385|040.07|062.61|080.62|128|130.46|14127|154
29	:LL009	1 cawan=237g|1 cawan kecil=178g|1 cawan besar=356g	0412.4|0543.7|0634.3|12130|135.8|173
30	:U11124	1 sederhana=61g|1 besar (7 hingga 21 cm)=72g|1 kecil (14 cm)=50g|1 hirisan=3g|1 cawan (parut)=110g|1 cawan (jalur atau hirisan)=122g|1 jalur sederhana (jalur atau hirisan)=4g|1 jalur besar (8 cm)=7g|1 cawan (dicincang)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
